No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
42,Delrick Abrams,23,DB,3,0,185,6-3,Colorado,4/6/1997,Rook,0,,,AbraDe00
37,Ricardo Allen,29,CB,12,12,186,5-9,Purdue,12/18/1991,6,4,Atlanta Falcons / 5th / 147th pick / 2014,$5250000,AlleRi00
93,Allen Bailey,31,DL,16,4,288,6-3,Miami (FL),3/25/1989,9,3,Kansas City Chiefs / 3rd / 86th pick / 2011,$1050000,BailAl00
13,Christian Blake,24,WR,16,0,181,6-1,Northern Illinois,6/8/1996,2,1,,$675000,BlakCh00
36,Tony Brooks-James,26,RB,1,0,179,5-9,Oregon,12/6/1994,1,0,,,BrooTo01
77,James Carpenter,31,LG,13,13,321,6-5,Alabama,3/22/1989,9,7,Seattle Seahawks / 1st / 25th pick / 2011,$3750000,CarpJa00
35,Jamal Carter,26,S,1,0,215,6-1,Miami (FL),4/12/1994,3,0,,$660000,CartJa02
50,John Cominsky,25,DE,13,1,285,6-5,Charleston (WV),11/22/1995,1,2,Atlanta Falcons / 4th / 135th pick / 2019,$675000,ComiJo00
90,Marlon Davidson,22,DL,8,0,303,6-3,Auburn,5/11/1998,Rook,1,Atlanta Falcons / 2nd / 47th pick / 2020,$585294,DaviMa01
96,Tyeler Davison,28,DT,16,15,309,6-2,Fresno St.,9/3/1992,5,7,New Orleans Saints / 5th / 154th pick / 2015,$910000,DaviTy01
34,Darqueze Dennard,29,CB,8,6,205,5-11,Michigan St.,10/10/1991,6,2,Cincinnati Bengals / 1st / 24th pick / 2014,$910000,DennDa00
95,Austin Edwards,23,DE,1,0,280,6-5,Ferris St.,8/27/1997,Rook,0,,,EdwaAu00
56,Dante Fowler,26,OLB,14,13,255,6-3,Florida,8/3/1994,4,6,Jacksonville Jaguars / 1st / 3rd pick / 2015,$2000000,FowlDa00
1,Elliott Fry,26,K,1,0,170,6-0,South Carolina,12/12/1994,Rook,0,,,FryxEl01
83,Russell Gage,24,WR,16,8,184,6-0,LSU,1/22/1996,2,7,Atlanta Falcons / 6th / 194th pick / 2018,$750000,GageRu00
73,Matt Gono,24,T,16,4,305,6-4,Wesley,5/10/1996,2,3,,$750000,GonoMa00
87,Jaeden Graham,25,TE,16,0,250,6-4,Yale,10/10/1995,1,0,,$675000,GrahJa01
39,T.J. Green,25,FS,1,0,215,6-3,Clemson,3/15/1995,4,0,Indianapolis Colts / 2nd / 57th pick / 2016,,GreeT.00
21,Todd Gurley,26,RB,15,15,224,6-1,Georgia,8/3/1994,5,6,St. Louis Rams / 1st / 10th pick / 2015,$3500000,GurlTo01
44,Tyler Hall,22,DB,9,0,190,5-10,Wyoming,10/31/1998,Rook,0,,$430588,HallTy01
92,Charles Harris,25,DE,13,1,252,6-3,Missouri,3/6/1995,3,2,Miami Dolphins / 1st / 22nd pick / 2017,$1943692,HarrCh03
47,Josh Harris,31,LS,16,0,224,6-1,Auburn,4/27/1989,8,1,,$1050000,HarrJo02
32,Jaylinn Hawkins,23,S,12,2,208,6-1,California,8/25/1997,Rook,1,Atlanta Falcons / 4th / 134th pick / 2020,$610000,HawkJa00
61,Matt Hennessy,23,OL,13,2,307,6-3,Temple,11/17/1997,Rook,2,Atlanta Falcons / 3rd / 78th pick / 2020,$610000,HennMa00
23,Brian Hill,25,RB,16,1,219,6-1,Wyoming,11/9/1995,3,4,Atlanta Falcons / 5th / 156th pick / 2017,$2133000,HillBr02
4,Sterling Hofrichter,24,P,16,0,196,5-10,Syracuse,12/5/1996,Rook,1,Atlanta Falcons / 7th / 228th pick / 2020,$610000,HofrSt00
81,Hayden Hurst,27,TE,16,9,260,6-4,South Carolina,8/24/1993,2,5,Baltimore Ravens / 1st / 25th pick / 2018,$1483275,HursHa00
97,Grady Jarrett,27,DT,16,16,305,6-0,Clemson,4/28/1993,5,10,Atlanta Falcons / 5th / 137th pick / 2015,$5001000,JarrGr00
45,Deion Jones,26,OLB,16,16,227,6-1,LSU,11/4/1994,4,8,Atlanta Falcons / 2nd / 52nd pick / 2016,$5850000,JoneDe01
11,Julio Jones,31,WR,9,9,220,6-3,Alabama,2/8/1989,9,6,Atlanta Falcons / 1st / 6th pick / 2011,$11200000,JoneJu02
27,Damontae Kazee,27,CB,4,4,174,5-11,San Diego St.,6/5/1993,3,1,Atlanta Falcons / 5th / 149th pick / 2017,$2133000,KazeDa00
7,Younghoe Koo,26,K,15,0,185,5-9,Georgia Southern,8/3/1994,3,5,,$750000,KooxYo00
63,Chris Lindstrom,23,OL,16,16,307,6-3,Boston Col.,2/28/1997,1,7,Atlanta Falcons / 1st / 14th pick / 2019,$1161503,LindCh00
51,Alex Mack,35,C,14,14,311,6-4,California,11/19/1985,11,6,Cleveland Browns / 1st / 21st pick / 2009,$8000000,MackAl20
70,Jake Matthews,28,OT,16,16,309,6-5,Texas A&M,2/11/1992,6,9,Atlanta Falcons / 1st / 6th pick / 2014,$3550000,MattJa00
65,Justin McCray,28,G,10,2,315,6-3,Central Florida,5/31/1992,3,1,,$825000,McCrJu00
76,Kaleb McGary,25,OL,14,13,306,6-6,Washington,2/22/1995,1,7,Atlanta Falcons / 1st / 31st pick / 2019,$961625,McGaKa00
98,Takkarist McKinley,25,OLB,4,4,260,6-2,UCLA,11/2/1995,3,2,Atlanta Falcons / 1st / 26th pick / 2017,$1858163,McKiTa00
55,Steven Means,30,DE,16,11,263,6-3,Buffalo,9/16/1990,7,5,Tampa Bay Buccaneers / 5th / 147th pick / 2013,$910000,MeanSt00
28,Jordan Miller,23,CB,1,0,190,6-2,Washington,2/8/1997,1,0,Atlanta Falcons / 5th / 172nd pick / 2019,$555882,MillJo05
22,Keanu Neal,25,FS,15,14,211,6-0,Florida,7/26/1995,4,5,Atlanta Falcons / 1st / 17th pick / 2016,$6466000,NealKe01
41,Sharrod Neasman,29,S,16,2,213,5-11,Florida Atlantic,10/14/1991,4,1,,$910000,NeasSh00
26,Isaiah Oliver,24,CB,16,12,210,6-0,Colorado,9/30/1996,2,4,Atlanta Falcons / 2nd / 58th pick / 2018,$901513,OlivIs00
30,Qadree Ollison,24,RB,3,0,232,6-1,Pittsburgh,9/8/1996,1,0,Atlanta Falcons / 5th / 152nd pick / 2019,$675000,OlliQa00
54,Foyesade Oluokun,25,LB,15,14,215,6-2,Yale,8/2/1995,2,7,Atlanta Falcons / 6th / 200th pick / 2018,$750000,OluoFo00
15,Brandon Powell,25,WR,15,1,188,5-8,Florida,9/12/1995,2,1,,$750000,PoweBr00
59,LaRoy Reynolds,30,LB,16,0,240,6-1,Virginia,11/3/1990,7,1,,$1050000,ReynLa00
18,Calvin Ridley,26,WR,15,15,190,6-1,Alabama,12/20/1994,2,11,Atlanta Falcons / 1st / 26th pick / 2018,$1470974,RidlCa00
46,Edmond Robinson,28,OLB,13,0,245,6-3,Newberry,2/23/1992,5,1,Minnesota Vikings / 7th / 232nd pick / 2015,$428235,RobiEd00
14,Chris Rowland,23,WR,2,0,180,5-8,Tennessee St.,12/19/1997,Rook,0,,,RowlCh00
2,Matt Ryan,35,QB,16,16,217,6-4,Boston Col.,5/17/1985,12,13,Atlanta Falcons / 1st / 3rd pick / 2008,$1050000,RyanMa00
8,Matt Schaub,39,QB,1,0,245,6-6,Virginia,6/25/1981,16,0,Atlanta Falcons / 3rd / 90th pick / 2004,$2000000,SchaMa00
94,Deadrin Senat,26,DT,5,0,305,6-1,South Florida,7/22/1994,2,1,Atlanta Falcons / 3rd / 90th pick / 2018,$750000,SenaDe00
20,Kendall Sheffield,24,CB,13,9,212,5-10,Ohio St.,5/30/1996,1,3,Atlanta Falcons / 4th / 111th pick / 2019,$675000,ShefKe00
25,Ito Smith,25,RB,14,0,195,5-9,Southern Miss,9/11/1995,2,2,Atlanta Falcons / 4th / 126th pick / 2018,$750000,SmitIt00
40,Keith Smith,28,LB,16,7,240,6-0,San Jose St.,4/8/1992,6,1,,$910000,SmitKe03
88,Luke Stocker,32,TE,16,13,253,6-5,Tennessee,7/17/1988,9,1,Tampa Bay Buccaneers / 4th / 104th pick / 2011,$1050000,StocLu00
52,Pita Taumoepenu,26,OLB,1,0,245,6-1,Utah,3/9/1994,3,0,San Francisco 49ers / 6th / 202nd pick / 2017,,TaumPi00
24,AJ Terrell,22,CB,14,14,195,6-1,Clemson,9/23/1998,Rook,5,Atlanta Falcons / 1st / 16th pick / 2020,$610000,TerrAJ00
80,Laquon Treadwell,25,WR,5,0,215,6-2,Mississippi,6/14/1995,4,0,Minnesota Vikings / 1st / 23rd pick / 2016,,TreaLa00
91,Jacob Tuioti-Mariner,24,DT,16,0,285,6-2,UCLA,7/25/1996,1,2,,$675000,TuioJa00
43,Mykal Walker,23,LB,16,6,230,6-3,Azusa PacificFresno St.,8/28/1997,Rook,3,Atlanta Falcons / 4th / 119th pick / 2020,$610000,WalkMy00
75,John Wetzel,29,T,4,0,328,6-7,Boston Col.,7/18/1991,7,0,,$856471,WetzJo00
33,Blidi Wreh-Wilson,31,CB,15,0,190,6-1,Connecticut,12/5/1989,7,1,Tennessee Titans / 3rd / 70th pick / 2013,$1050000,WrehBl00
17,Olamide Zaccheaus,23,WR,11,2,193,5-8,Virginia,7/23/1997,1,2,,$675000,ZaccOl01
,Team Total,26.4,,16,,237.5,6-1.5,,,3.6,,,,-9999
