No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
57,Lorenzo Alexander,35,DT/LB,16,8,245,6-1,California,5/31/1983,11,7,,AlexLo99
17,Josh Allen,22,QB,12,11,237,6-5,Wyoming,5/21/1996,Rook,6,Buffalo Bills / 1st / 7th pick / 2018,AlleJo02
3,Derek Anderson,35,QB,2,2,235,6-6,Oregon St.,6/15/1983,12,1,Baltimore Ravens / 6th / 213th pick / 2005,AndeDe00
5,Matt Barkley,28,QB,1,1,234,6-2,USC,9/8/1990,5,1,Philadelphia Eagles / 4th / 98th pick / 2013,BarkMa00
13,Kelvin Benjamin,27,WR,12,10,245,6-5,Florida St.,2/5/1991,4,2,Carolina Panthers / 1st / 28th pick / 2014,BenjKe00
66,Russell Bodine,26,OG,10,10,308,6-3,North Carolina,6/30/1992,4,3,Cincinnati Bengals / 4th / 111th pick / 2014,BodiRu00
65,Ike Boettger,24,G,4,0,313,6-6,Iowa,10/5/1994,Rook,0,,BoetIk00
9,Corey Bojorquez,22,P,8,0,217,6-0,Cerritos (CA)New Mexico,9/13/1996,Rook,1,,BojoCo00
13,Victor Bolden,23,WR,2,0,178,5-8,Oregon St.,4/4/1995,1,0,,BoldVi00
20,Rafael Bush,31,S,15,7,203,5-11,South Carolina St.,5/12/1987,7,3,,BushRa00
85,Charles Clay,29,TE,13,12,246,6-3,Tulsa,2/13/1989,7,1,Miami Dolphins / 6th / 174th pick / 2011,ClayCh00
80,Jason Croom,24,TE,15,3,246,6-5,Tennessee,2/28/1994,Rook,2,,CrooJa00
8,Matt Darr,26,P,5,0,217,6-1,Tennessee,7/2/1992,3,0,,DarrMa00
22,Vontae Davis,30,DB,1,1,207,5-11,Illinois,5/27/1988,9,0,Miami Dolphins / 1st / 25th pick / 2009,DaviVo99
73,Dion Dawkins,24,OG,16,16,320,6-5,Temple,4/26/1994,1,5,Buffalo Bills / 2nd / 63rd pick / 2017,DawkDi00
42,Patrick DiMarco,29,FB,16,5,234,6-1,South Carolina,4/30/1989,6,0,,DiMaPa00
62,Vlad Ducasse,31,G,10,9,329,6-5,Massachusetts,10/15/1987,8,3,New York Jets / 2nd / 61st pick / 2010,DucaVl20
49,Tremaine Edmunds,20,ILB,15,15,250,6-5,Virginia Tech,5/2/1998,Rook,9,Buffalo Bills / 1st / 16th pick / 2018,EdmuTr01
69,Reid Ferguson,24,LS,16,0,235,6-2,LSU,3/24/1994,1,1,,FergRe00
35,Keith Ford,24,RB,2,1,219,5-10,Texas A&M,4/18/1994,Rook,1,,FordKe00
16,Robert Foster,24,WR,13,3,196,6-2,Alabama,5/7/1994,Rook,4,,FostRo01
28,Phillip Gaines,27,CB,7,6,193,6-0,Rice,4/4/1991,4,2,Kansas City Chiefs / 3rd / 87th pick / 2014,GainPh00
72,Ryan Groy,28,OG,15,6,320,6-5,Wisconsin,9/30/1990,4,3,,GroyRy00
4,Stephen Hauschka,33,K,16,0,210,6-4,MiddleburyNorth Carolina St.,6/29/1985,10,3,,HausSt00
18,Andre Holmes,30,WR,12,3,210,6-4,Hillsdale,6/16/1988,7,1,,HolmAn00
55,Jerry Hughes,30,DE,16,16,254,6-2,TCU,8/13/1988,8,9,Indianapolis Colts / 1st / 31st pick / 2010,HughJe99
50,Ramon Humber,31,MLB,9,0,232,5-11,North Dakota St.,8/10/1987,9,1,,HumbRa00
23,Micah Hyde,28,S,15,15,197,6-0,Iowa,12/31/1990,5,7,Green Bay Packers / 5th / 159th pick / 2013,HydeMi00
33,Chris Ivory,30,RB,13,1,223,6-0,Washington St.Tiffin,3/22/1988,8,3,,IvorCh00
36,Dontae Johnson,27,FS,1,0,200,6-2,North Carolina St.,12/1/1991,4,0,San Francisco 49ers / 4th / 129th pick / 2014,JohnDo02
24,Taron Johnson,22,CB,11,2,192,5-11,Weber St.,7/27/1996,Rook,2,Buffalo Bills / 4th / 121st pick / 2018,JohnTa01
26,Taiwan Jones,30,RB,6,0,195,6-0,East. Washington,7/26/1988,7,0,Oakland Raiders / 4th / 125th pick / 2011,JoneTa00
11,Zay Jones,23,WR,16,15,200,6-2,East Carolina,3/30/1995,1,5,Buffalo Bills / 2nd / 37th pick / 2017,JoneZa00
10,Jeremy Kerley,30,WR,1,1,188,5-9,TCU,11/8/1988,7,0,New York Jets / 5th / 153rd pick / 2011,KerlJe00
44,Deon Lacey,28,LB,16,0,235,6-3,West Alabama,7/18/1990,1,1,,LaceDe00
90,Shaq Lawson,24,DE,14,6,270,6-3,Clemson,6/17/1994,2,4,Buffalo Bills / 1st / 19th pick / 2016,LawsSh00
88,Khari Lee,26,TE,2,0,253,6-4,Bowie St.,1/16/1992,3,0,,LeexKh00
38,Ryan Lewis,24,CB,7,3,185,6-0,Pittsburgh,4/15/1994,Rook,1,,LewiRy01
98,Star Lotulelei,29,DT,16,16,315,6-2,Snow College (UT)Utah,12/20/1989,5,7,Carolina Panthers / 1st / 14th pick / 2013,LotuSt00
56,Mike Love,24,DE,3,0,255,6-3,South Florida,1/22/1994,Rook,0,,LoveMi00
31,Dean Marlowe,26,S,2,1,203,6-1,James Madison,7/25/1992,3,0,,MarlDe00
14,Ray-Ray McCloud,22,WR,10,1,190,5-9,Clemson,10/15/1996,Rook,0,Buffalo Bills / 6th / 187th pick / 2018,McClRa00
25,LeSean McCoy,30,RB,14,13,210,5-11,Pittsburgh,7/12/1988,9,4,Philadelphia Eagles / 2nd / 53rd pick / 2009,McCoLe01
68,Conor McDermott,26,OT,5,0,305,6-8,UCLA,10/19/1992,1,0,New England Patriots / 6th / 211th pick / 2017,McDeCo00
19,Isaiah McKenzie,23,WR,7,1,173,5-8,Georgia,4/9/1995,1,2,Denver Broncos / 5th / 172nd pick / 2017,McKeIs00
58,Matt Milano,24,OLB,13,13,223,6-0,Boston Col.,7/28/1994,1,9,Buffalo Bills / 5th / 163rd pick / 2017,MilaMa00
76,John Miller,25,OG,15,15,315,6-3,Louisville,8/12/1993,3,5,Buffalo Bills / 3rd / 81st pick / 2015,MillJo04
79,Jordan Mills,28,OT,16,16,316,6-5,Louisiana Tech,12/24/1990,5,5,Chicago Bears / 5th / 163rd pick / 2013,MillJo02
45,Marcus Murphy,27,RB,11,1,195,5-9,Missouri,10/3/1991,3,1,New Orleans Saints / 7th / 230th pick / 2015,MurpMa03
93,Trent Murphy,28,DE,13,10,260,6-6,Stanford,12/22/1990,4,6,Washington Redskins / 2nd / 47th pick / 2014,MurpTr00
29,Siran Neal,24,CB,16,0,206,6-0,Jacksonville St.,8/4/1994,Rook,1,Buffalo Bills / 5th / 154th pick / 2018,NealSi00
71,Marshall Newhouse,30,GT,3,0,330,6-4,TCU,9/29/1988,7,0,Green Bay Packers / 5th / 169th pick / 2010,NewhMa20
53,Nate Orchard,25,OLB,3,0,251,6-3,Utah,1/5/1993,3,0,Cleveland Browns / 2nd / 51st pick / 2015,OrchNa00
2,Nathan Peterman,24,QB,4,2,225,6-2,TennesseePittsburgh,5/4/1994,1,1,Buffalo Bills / 5th / 171st pick / 2017,PeteNa00
87,Cam Phillips,23,WR,2,0,201,6-0,Virginia Tech,12/16/1995,Rook,0,,PhilCa01
99,Harrison Phillips,22,DT,16,0,307,6-3,Stanford,1/25/1996,Rook,2,Buffalo Bills / 3rd / 96th pick / 2018,PhilHa00
97,Jordan Phillips,26,DT,12,0,341,6-6,Oklahoma,9/21/1992,3,2,Miami Dolphins / 2nd / 52nd pick / 2015,PhilJo01
30,Lafayette Pitts,26,CB,16,0,195,5-11,Pittsburgh,9/24/1992,2,1,,PittLa00
21,Jordan Poyer,27,CB,16,16,191,6-0,Oregon St.,4/25/1991,5,8,Philadelphia Eagles / 7th / 218th pick / 2013,PoyeJo00
10,Terrelle Pryor,29,QB,2,1,228,6-4,Ohio St.,6/20/1989,7,0,Oakland Raiders / 3rd / 1st pick / 2011 Supp,PryoTe00
37,Denzel Rice,25,DB,4,0,185,6-0,Coastal Carolina,3/31/1993,3,0,,RiceDe00
6,Colton Schmidt,28,P,3,0,224,5-11,UC Davis,10/27/1990,4,0,,SchmCo00
15,Da'Mari Scott,23,WR,3,0,205,6-0,Fresno St.,8/8/1995,Rook,0,,ScotDa02
74,Jeremiah Sirles,27,OT,12,5,315,6-6,Nebraska,8/8/1991,4,2,,SirlJe00
51,Julian Stanford,28,LB,13,1,230,6-1,Wagner,9/2/1990,6,2,,StanJu00
75,Wyatt Teller,24,OG,8,7,314,6-4,Virginia Tech,11/21/1994,Rook,2,Buffalo Bills / 5th / 166th pick / 2018,TellWy00
82,Logan Thomas,27,QB/TE,12,3,250,6-6,Virginia Tech,7/1/1991,4,1,Arizona Cardinals / 4th / 120th pick / 2014,ThomLo00
97,Robert Thomas,27,NT,2,0,316,6-1,Arkansas,2/18/1991,4,0,,ThomRo04
52,Corey Thompson,25,LB,6,1,222,6-1,LSU,12/23/1993,Rook,1,,ThomCo02
10,Deonte Thompson,29,WR,5,2,204,6-0,Florida,2/14/1989,6,0,,ThomDe04
47,Levi Wallace,23,CB,7,7,179,6-0,Alabama,6/12/1995,Rook,3,,WallLe00
92,Adolphus Washington,24,DT,1,0,295,6-4,Ohio St.,11/24/1994,2,0,Buffalo Bills / 3rd / 80th pick / 2016,WashAd00
27,Tre'Davious White,23,CB,16,16,192,5-11,LSU,1/16/1995,1,7,Buffalo Bills / 1st / 27th pick / 2017,WhitTr01
95,Kyle Williams,35,DT,16,16,303,6-1,LSU,6/10/1983,12,12,Buffalo Bills / 5th / 134th pick / 2006,WillKy20
54,Eddie Yarbrough,25,DE,15,0,259,6-3,Wyoming,4/24/1993,1,2,,YarbEd01
,Team Total,26.5,,16,,240.0,6-1.8,,,3.6,,,-9999
