No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
57,Lorenzo Alexander,36,DT/LB,16,7,245,6-1,California,5/31/1983,12,6,,$2000000,AlexLo99
41,Maurice Alexander,28,SS,7,0,220,6-2,Utah St.,2/16/1991,5,1,St. Louis Rams / 4th / 110th pick / 2014,$850000,AlexMa00
17,Josh Allen,23,QB,16,16,237,6-5,Wyoming,5/21/1996,1,11,Buffalo Bills / 1st / 7th pick / 2018,$570000,AlleJo02
5,Matt Barkley,29,QB,2,0,234,6-2,USC,9/8/1990,6,1,Philadelphia Eagles / 4th / 98th pick / 2013,$1250000,BarkMa00
71,Ryan Bates,22,OL,8,0,302,6-4,Penn St.,2/14/1997,Rook,1,,$495000,BateRy02
10,Cole Beasley,30,WR,15,10,174,5-8,SMU,4/26/1989,7,6,,$2200000,BeasCo00
65,Ike Boettger,25,G,2,0,313,6-6,Iowa,10/5/1994,1,0,,$570000,BoetIk00
9,Corey Bojorquez,23,P,16,0,217,6-0,Cerritos (CA)New Mexico,9/13/1996,1,1,,$570000,BojoCo00
15,John Brown,29,WR,15,15,178,5-11,Pittsburg St.,4/3/1990,5,9,Arizona Cardinals / 3rd / 91st pick / 2014,$3800000,BrowJo02
28,Kurt Coleman,31,LB,14,0,208,5-11,Ohio St.,7/1/1988,9,1,Philadelphia Eagles / 7th / 244th pick / 2010,$930000,ColeKu99
73,Dion Dawkins,25,OG,16,16,320,6-5,Temple,4/26/1994,2,7,Buffalo Bills / 2nd / 63rd pick / 2017,$845294,DawkDi00
42,Patrick DiMarco,30,FB,16,4,234,6-1,South Carolina,4/30/1989,7,0,,$1600000,DiMaPa00
49,Tremaine Edmunds,21,ILB,16,16,250,6-5,Virginia Tech,5/2/1998,1,14,Buffalo Bills / 1st / 16th pick / 2018,$1055434,EdmuTr01
76,Jon Feliciano,27,OG,16,16,325,6-4,Miami (FL),2/10/1992,4,7,Oakland Raiders / 4th / 128th pick / 2015,$2400000,FeliJo00
69,Reid Ferguson,25,LS,16,0,235,6-2,LSU,3/24/1994,2,1,,$700000,FergRe00
70,Cody Ford,23,OL,16,15,329,6-3,Oklahoma,12/28/1996,Rook,6,Buffalo Bills / 2nd / 38th pick / 2019,$495000,FordCo00
16,Robert Foster,25,WR,13,2,196,6-2,Alabama,5/7/1994,1,1,,$570000,FostRo01
20,Frank Gore,36,RB,16,8,212,5-9,Miami (FL),5/14/1983,14,4,San Francisco 49ers / 3rd / 65th pick / 2005,$1250000,GoreFr00
4,Stephen Hauschka,34,K,16,0,210,6-4,MiddleburyNorth Carolina St.,6/29/1985,11,3,,$2000000,HausSt00
55,Jerry Hughes,31,DE,16,16,254,6-2,TCU,8/13/1988,9,10,Indianapolis Colts / 1st / 31st pick / 2010,$6800000,HughJe99
23,Micah Hyde,29,S,16,16,197,6-0,Iowa,12/31/1990,6,8,Green Bay Packers / 5th / 159th pick / 2013,$3950000,HydeMi00
92,Darryl Johnson,22,DE,16,0,250,6-6,North Carolina A&T,4/4/1997,Rook,2,Buffalo Bills / 7th / 225th pick / 2019,$495000,JohnDa10
46,Jaquan Johnson,24,CB,13,0,191,5-10,Miami (FL),11/6/1995,Rook,1,Buffalo Bills / 6th / 181st pick / 2019,$495000,JohnJa11
29,Kevin Johnson,27,CB,16,1,185,6-0,Wake Forest,8/5/1992,4,2,Houston Texans / 1st / 16th pick / 2015,$2000000,JohnKe04
24,Taron Johnson,23,CB,12,7,192,5-11,Weber St.,7/27/1996,1,3,Buffalo Bills / 4th / 121st pick / 2018,$570000,JohnTa01
11,Zay Jones,24,WR,5,2,200,6-2,East Carolina,3/30/1995,2,1,Buffalo Bills / 2nd / 37th pick / 2017,$1081348,JoneZa00
88,Dawson Knox,23,TE,15,11,254,6-4,Mississippi,11/14/1996,Rook,3,Buffalo Bills / 3rd / 96th pick / 2019,$495000,KnoxDa00
81,Tyler Kroft,27,TE,11,3,252,6-6,Rutgers,10/15/1992,4,1,Cincinnati Bengals / 3rd / 85th pick / 2015,$1800000,KrofTy00
90,Shaq Lawson,25,DE,15,0,270,6-3,Clemson,6/17/1994,3,3,Buffalo Bills / 1st / 19th pick / 2016,$1851679,LawsSh00
94,Corey Liuget,29,DT,7,0,300,6-2,Illinois,3/18/1990,8,1,San Diego Chargers / 1st / 18th pick / 2011,,LiugCo00
61,Spencer Long,29,OG,14,0,318,6-5,Nebraska,11/8/1990,5,1,Washington Redskins / 3rd / 78th pick / 2014,$1350000,LongSp00
98,Star Lotulelei,30,DT,16,16,315,6-2,Snow College (UT)Utah,12/20/1989,6,10,Carolina Panthers / 1st / 14th pick / 2013,$7150000,LotuSt00
31,Dean Marlowe,27,S,9,2,203,6-1,James Madison,7/25/1992,4,1,,$645000,MarlDe00
19,Isaiah McKenzie,24,WR,15,8,173,5-8,Georgia,4/9/1995,2,2,Denver Broncos / 5th / 172nd pick / 2017,$645000,McKeIs00
58,Matt Milano,25,OLB,15,15,223,6-0,Boston Col.,7/28/1994,2,10,Buffalo Bills / 5th / 163rd pick / 2017,$645000,MilaMa00
60,Mitch Morse,27,C,16,16,305,6-6,Missouri,4/21/1992,4,7,Kansas City Chiefs / 2nd / 49th pick / 2015,$4400000,MorsMi00
