No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
46,Rashard Anderson,24,DB,15,9,204,6-2,Jackson St.,6/14/1977,1,5,Carolina Panthers / 1st / 23rd pick / 2000,AndeRa21
21,Tim Biakabutuka,27,RB,5,4,215,6-0,Michigan,1/24/1974,5,3,Carolina Panthers / 1st / 8th pick / 1996,BiakTi00
80,Luther Broughton,27,TE,15,0,248,6-2,Furman,11/30/1974,3,0,Philadelphia Eagles / 5th / 155th pick / 1997,BrouLu00
99,Brentson Buckner,30,DT,16,10,305,6-2,Clemson,9/30/1971,7,6,Pittsburgh Steelers / 2nd / 50th pick / 1994,BuckBr20
82,Isaac Byrd,27,WR,15,5,188,6-1,Kansas,11/16/1974,4,4,Kansas City Chiefs / 6th / 195th pick / 1997,ByrdIs00
64,Larry Chester,26,DT,11,5,325,6-2,Temple,10/17/1975,3,3,,ChesLa20
40,Jarrod Cooper,23,DB,16,0,210,6-0,Kansas St.,3/31/1978,Rook,1,Carolina Panthers / 5th / 143rd pick / 2001,CoopJa20
2,Dameyune Craig,27,QB,2,0,200,6-1,Auburn,4/19/1974,1,0,,CraiDa00
84,Casey Crawford,24,TE,3,1,255,6-6,Virginia,8/1/1977,1,0,,CrawCa00
65,Kevin Donnalley,33,G,6,6,310,6-5,DavidsonNorth Carolina,6/10/1968,10,2,Houston Oilers / 3rd / 79th pick / 1991,DonnKe21
33,Doug Evans,31,DB,16,16,188,6-1,Louisiana Tech,5/13/1970,8,8,Green Bay Packers / 6th / 141st pick / 1993,EvanDo21
94,Sean Gilbert,31,DT,9,9,318,6-5,Pittsburgh,4/10/1970,9,4,Los Angeles Rams / 1st / 3rd pick / 1992,GilbSe00
36,Nick Goings,23,RB,13,2,225,6-0,Ohio St.Pittsburgh,1/26/1978,Rook,2,,GoinNi00
27,Deon Grant,22,DB,16,16,215,6-2,Tennessee,3/14/1979,Rook,7,Carolina Panthers / 2nd / 57th pick / 2000,GranDe21
59,Darren Hambrick,26,LB,9,8,227,6-1,FloridaSouth Carolina,8/30/1975,3,4,Dallas Cowboys / 5th / 130th pick / 1998,HambDa20
88,Karl Hankton,31,WR,11,0,202,6-2,LSUTrinity (IL),7/24/1970,3,0,,HankKa00
28,Deveron Harper,24,DB,8,1,187,5-11,Notre Dame,11/15/1977,1,1,,HarpDe20
59,Michael Hawkes,24,LB,2,0,242,6-0,Virginia Tech,4/11/1977,1,0,,HawkMi20
81,Donald Hayes,26,WR,16,15,220,6-4,Wisconsin,7/13/1975,3,5,Carolina Panthers / 4th / 106th pick / 1998,HayeDo00
54,Nate Hemsley,27,LB,9,3,228,6-0,Syracuse,5/5/1974,4,2,,HemsNa20
44,Chris Hetherington,29,FB,16,1,245,6-3,Yale,11/27/1972,5,1,,HethCh00
37,Jimmy Hitchcock,31,DB,16,7,190,5-10,North Carolina,11/9/1970,6,4,New England Patriots / 3rd / 88th pick / 1995,HitcJi20
58,Rob Holmberg,30,MLB,1,0,230,6-3,NavyPenn St.,5/6/1971,7,0,Los Angeles Raiders / 7th / 217th pick / 1994,HolmRo20
45,Brad Hoover,25,FB,16,7,245,6-0,Western Carolina,11/11/1976,1,2,,HoovBr00
23,Reggie Howard,24,DB,11,0,190,6-0,Henderson St.Memphis,5/17/1977,1,1,,HowaRe21
34,Richard Huntley,29,RB,14,9,224,5-11,Winston-Salem St.,9/18/1972,5,5,Atlanta Falcons / 4th / 117th pick / 1996,HuntRi00
78,Jeno James,24,G,14,6,320,6-4,Auburn,1/12/1977,1,2,Carolina Panthers / 6th / 182nd pick / 2000,JameJe20
83,Patrick Jeffers,28,WR,9,0,217,6-3,Virginia,2/2/1973,5,1,Denver Broncos / 5th / 159th pick / 1996,JeffPa00
77,Kris Jenkins,22,DT,16,11,360,6-4,Maryland,8/3/1979,Rook,5,Carolina Panthers / 2nd / 44th pick / 2001,JenkKr00
76,Leander Jordan,24,T,13,5,320,6-4,Indiana (PA),9/15/1977,Rook,2,Carolina Panthers / 3rd / 82nd pick / 2000,JordLe20
4,John Kasay,32,K,16,0,210,5-10,Georgia,10/27/1969,10,4,Seattle Seahawks / 4th / 98th pick / 1991,kasayjoh01
91,Cedric Killings,24,DT,4,0,290,6-2,Carson-Newman,12/14/1977,1,0,,KillCe20
56,Jason Kyle,29,LB,16,0,242,6-3,Arizona St.,5/12/1972,6,1,Seattle Seahawks / 4th / 126th pick / 1995,KyleJa20
71,Al Lucas,23,DT,7,0,294,6-1,Troy,9/1/1978,1,1,,LucaAl20
9,Matt Lytle,26,QB,3,1,225,6-4,Pittsburgh,9/4/1975,1,0,,LytlMa00
86,Kris Mangum,28,TE,16,10,252,6-4,AlabamaMississippi,8/15/1973,4,1,Carolina Panthers / 7th / 228th pick / 1997,MangKr00
98,John Milem,26,DE,2,0,290,6-7,Lenoir-Rhyne,6/9/1975,1,0,San Francisco 49ers / 5th / 150th pick / 2000,MileJo20
52,Kory Minor,25,LB,11,2,247,6-1,Notre Dame,12/14/1976,1,2,San Francisco 49ers / 7th / 234th pick / 1999,MinoKo20
30,Mike Minter,27,DB,14,14,195,5-10,Nebraska,1/15/1974,4,6,Carolina Panthers / 2nd / 56th pick / 1997,MintMi21
60,Jeff Mitchell,27,C,15,15,300,6-4,Florida,1/29/1974,3,4,Baltimore Ravens / 5th / 134th pick / 1997,MitcJe20
55,Dan Morgan,23,LB,11,11,245,6-2,Miami (FL),12/19/1978,Rook,5,Carolina Panthers / 1st / 11th pick / 2001,MorgDa99
87,Muhsin Muhammad,28,WR,11,11,215,6-2,Michigan St.,5/5/1973,5,5,Carolina Panthers / 2nd / 43rd pick / 1996,MuhaMu00
53,Hannibal Navies,24,MLB,5,5,247,6-3,Colorado,7/19/1977,2,2,Carolina Panthers / 4th / 100th pick / 1999,NaviHa20
