No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
11,Robby Anderson,27,WR,16,16,190,6-3,Temple,5/9/1993,4,9,,$4000000,AndeRo04
41,Eli Apple,25,CB,2,0,199,6-1,Ohio St.,8/9/1995,4,0,New York Giants / 1st / 10th pick / 2016,$2000000,ApplEl00
40,Alex Armah,26,FB,16,1,255,6-2,West Georgia,5/17/1994,3,0,Carolina Panthers / 6th / 192nd pick / 2017,$825000,ArmaAl00
39,Reggie Bonnafon,24,RB,2,0,215,6-0,Louisville,1/4/1996,1,1,,$675000,BonnRe00
33,Tre Boston,28,FS,16,16,205,6-1,North Carolina,6/25/1992,6,6,Carolina Panthers / 4th / 128th pick / 2014,$1160000,BostTr00
5,Teddy Bridgewater,28,QB,15,15,215,6-2,Louisville,11/10/1992,6,13,Minnesota Vikings / 1st / 32nd pick / 2014,$8000000,BridTe00
95,Derrick Brown,22,DL,16,15,320,6-5,Auburn,4/15/1998,Rook,6,Carolina Panthers / 1st / 7th pick / 2020,$610000,BrowDe05
53,Brian Burns,22,EDGE,15,14,250,6-5,Florida St.,4/23/1998,1,6,Carolina Panthers / 1st / 16th pick / 2019,$1110463,BurnBr00
31,Juston Burris,27,CB,13,12,210,6-0,North Carolina St.,8/4/1993,4,4,New York Jets / 4th / 118th pick / 2016,$910000,BurrJu00
36,Trenton Cannon,26,RB,14,0,185,5-11,Virginia St.,7/23/1994,2,0,New York Jets / 6th / 204th pick / 2018,$750000,CannTr00
56,Jermaine Carter Jr.,25,LB,16,7,225,6-1,Maryland,1/14/1995,2,4,Carolina Panthers / 5th / 161st pick / 2018,$750000,CartJe00
3,Joseph Charlton,23,P,16,0,190,6-5,South Carolina,4/7/1997,Rook,2,,,CharJo01
21,Jeremy Chinn,22,S,15,15,220,6-3,Southern Illinois,2/26/1998,Rook,14,Carolina Panthers / 2nd / 64th pick / 2020,$610000,ChinJe00
14,Pharoh Cooper,25,WR,16,1,208,5-11,South Carolina,3/7/1995,4,1,Los Angeles Rams / 4th / 117th pick / 2016,$910000,CoopPh00
65,Dennis Daley,24,OL,5,3,325,6-6,South Carolina,8/7/1996,1,1,Carolina Panthers / 6th / 212th pick / 2019,$675000,DaleDe00
28,Mike Davis,27,RB,15,12,220,5-9,South Carolina,2/19/1993,5,7,San Francisco 49ers / 4th / 126th pick / 2015,$2950000,DaviMi01
24,Rasul Douglas,26,CB,14,11,209,6-2,West Virginia,8/29/1994,3,4,Philadelphia Eagles / 3rd / 99th pick / 2017,$825000,DougRa00
29,Corn Elder,26,CB,16,1,185,5-10,Miami (FL),10/9/1994,2,1,Carolina Panthers / 5th / 152nd pick / 2017,$750000,EldeCo00
42,Sam Franklin,24,OLB,14,4,210,6-3,Temple,2/2/1996,Rook,4,,$610000,FranSa00
97,Yetur Gross-Matos,22,DL,12,7,265,6-5,Penn St.,2/26/1998,Rook,3,Carolina Panthers / 2nd / 38th pick / 2020,$572941,GrosYe00
78,Woodrow Hamilton,28,DL,5,0,315,6-3,Mississippi,12/20/1992,4,1,,$660000,HamiWo00
38,Myles Hartsfield,23,DB,16,0,210,5-11,Mississippi,8/5/1997,Rook,1,,,HartMy00
98,Marquis Haynes,27,OLB,15,0,235,6-2,Mississippi,12/16/1993,2,2,Carolina Panthers / 4th / 136th pick / 2018,$750000,HaynMa01
26,Donte Jackson,25,CB,14,13,180,5-10,LSU,11/8/1995,2,5,Carolina Panthers / 2nd / 55th pick / 2018,$917502,JackDo02
30,Natrell Jamerson,25,FS,4,0,200,5-11,Wisconsin,12/15/1995,2,0,New Orleans Saints / 5th / 164th pick / 2018,$660000,JameNa00
44,J.J. Jansen,34,C,16,0,235,6-2,Notre Dame,1/20/1986,11,2,,$1050000,JansJ.00
47,Clay Johnston,24,LB,2,0,225,6-1,Baylor,8/8/1996,Rook,0,Los Angeles Rams / 7th / 234th pick / 2020,,JohnCl00
63,Matt Kaskey,23,T,1,0,325,6-7,Dartmouth,3/17/1997,Rook,0,,,KaskMa00
92,Zach Kerr,30,NT,13,4,334,6-2,Delaware,8/29/1990,6,2,,$910000,KerrZa00
18,Keith Kirkwood,26,WR,1,0,210,6-3,HawaiiTemple,12/26/1994,2,0,,$467647,KirkKe00
96,Austin Larkin,25,DE,9,0,265,6-3,Purdue,4/6/1995,1,1,,$476472,LarkAu00
69,Tyler Larsen,29,C,13,0,335,6-4,Utah St.,7/8/1991,4,1,,$1300000,LarsTy00
74,Greg Little,23,OL,10,3,310,6-5,Mississippi,11/4/1997,1,2,Carolina Panthers / 2nd / 37th pick / 2019,$842224,LittGr01
82,Chris Manhertz,28,TE,16,12,255,6-6,Canisius,4/10/1992,6,0,,$910000,ManhCh00
22,Christian McCaffrey,24,RB,3,3,205,5-11,Stanford,6/7/1996,3,3,Carolina Panthers / 1st / 8th pick / 2017,$825000,McCaCh01
83,Marken Michel,27,WR,2,0,190,5-11,Massachusetts,7/6/1993,Rook,0,,,MichMa00
67,John Miller,27,OG,14,14,315,6-3,Louisville,8/12/1993,5,6,Buffalo Bills / 3rd / 81st pick / 2015,$1790000,MillJo04
12,D.J. Moore,23,WR,15,14,210,6-0,Maryland,4/14/1997,2,10,Carolina Panthers / 1st / 24th pick / 2018,$1495574,MoorD.00
72,Taylor Moton,26,OT,16,16,325,6-5,Western Michigan,8/14/1994,3,8,Carolina Panthers / 2nd / 64th pick / 2017,$1032021,MotoTa00
94,Efe Obada,28,LB,16,1,265,6-6,None,4/13/1992,2,2,,$750000,ObadEf00
76,Russell Okung,32,T,7,7,310,6-5,Oklahoma St.,10/7/1988,10,4,Seattle Seahawks / 1st / 6th pick / 2010,$13000000,OkunRu20
45,Chris Orr,23,LB,3,0,224,6-0,Wisconsin,6/17/1997,Rook,0,,,OrrxCh00
61,Matt Paradis,31,C,16,16,300,6-3,Boise St.,10/12/1989,6,7,Denver Broncos / 6th / 207th pick / 2014,$5500000,ParaMa00
25,Troy Pride Jr.,22,CB,14,8,194,5-11,Notre Dame,1/19/1998,Rook,3,Carolina Panthers / 4th / 113th pick / 2020,,PridTr00
64,Chris Reed,28,G,14,14,300,6-5,Minnesota St.,7/22/1992,4,6,,$1375000,ReedCh00
15,Seth Roberts,29,WR,7,1,195,6-2,West Alabama,2/22/1991,6,0,,$3100000,RobeSe00
27,Kenny Robinson Jr.,21,S,9,0,202,6-2,West Virginia,1/8/1999,Rook,0,Carolina Panthers / 5th / 152nd pick / 2020,,RobiKe02
93,Bravvion Roy,24,DT,15,9,330,6-1,Baylor,10/18/1996,Rook,4,Carolina Panthers / 6th / 184th pick / 2020,$610000,RoyxBr00
10,Curtis Samuel,24,WR,15,5,195,5-11,Ohio St.,8/11/1996,3,8,Carolina Panthers / 2nd / 40th pick / 2017,$1220044,SamuCu00
75,Michael Schofield,30,OT,11,3,301,6-6,Michigan,11/15/1990,6,2,Denver Broncos / 3rd / 95th pick / 2014,$1000000,SchoMi00
68,Trenton Scott,26,T,14,4,320,6-5,Grambling St.,1/25/1994,2,3,,$750000,ScotTr01
99,Kawann Short,31,DT,3,3,315,6-3,Purdue,2/2/1989,7,1,Carolina Panthers / 2nd / 44th pick / 2013,$12500000,ShorKa00
4,Joey Slye,24,K,16,0,213,5-11,Virginia Tech,4/10/1996,1,2,,$675000,SlyeJo00
35,Rodney Smith,24,RB,7,1,210,5-11,Minnesota,2/28/1996,Rook,1,,,SmitRo08
50,Julian Stanford,30,LB,16,0,230,6-1,Wagner,9/2/1990,8,1,,$910000,StanJu00
15,Tommy Stevens,24,QB,1,0,235,6-5,Penn St.Mississippi St.,12/15/1996,Rook,0,New Orleans Saints / 7th / 240th pick / 2020,,StevTo01
57,Adarius Taylor,30,MLB,13,2,230,6-0,Florida Atlantic,9/21/1990,6,2,,$910000,GlanAd00
71,Sam Tecklenburg,23,C,2,0,310,6-4,Baylor,1/31/1997,Rook,0,,,TeckSa00
