No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
10,Louie Aguiar,34,P,9,0,215,6-2,Utah St.,6/30/1966,9,1,,aguialou01
20,James Allen,25,RB,16,15,212,5-10,Oklahoma,3/28/1975,2,7,,AlleJa00
84,John Allred,26,TE,5,3,249,6-4,USC,9/9/1974,3,1,Chicago Bears / 2nd / 38th pick / 1997,AllrJo00
23,Jerry Azumah,23,DB,14,4,195,5-10,New Hampshire,9/1/1977,1,2,Chicago Bears / 5th / 147th pick / 1999,AzumJe00
32,Marlon Barnes,24,RB,13,0,215,5-9,Colorado,3/13/1976,Rook,0,,BarnMa00
12,Brent Bartholomew,24,P,7,0,220,6-2,Ohio St.,10/22/1976,1,0,Miami Dolphins / 6th / 192nd pick / 1999,BartBr20
87,D'Wayne Bates,25,WR,5,0,212,6-2,Northwestern,12/4/1975,1,0,Chicago Bears / 3rd / 71st pick / 1999,BateDW00
86,Marty Booker,24,WR,15,7,205,6-0,La-Monroe,7/31/1976,1,4,Chicago Bears / 3rd / 78th pick / 1999,BookMa00
78,Blake Brockermeyer,27,T,15,14,295,6-4,Texas,4/11/1973,5,5,Carolina Panthers / 1st / 29th pick / 1995,BrocBl20
83,Macey Brooks,25,WR,16,3,212,6-5,James Madison,2/2/1975,1,2,Dallas Cowboys / 4th / 127th pick / 1997,BrooMa00
30,Mike Brown,22,DB,16,16,207,5-10,Nebraska,2/13/1978,Rook,6,Chicago Bears / 2nd / 39th pick / 2000,BrowMi99
59,Rosevelt Colvin,23,LB,13,8,250,6-3,Purdue,9/5/1977,1,4,Chicago Bears / 4th / 111th pick / 1999,ColvRo20
76,Brad Culpepper,31,DT,12,1,275,6-1,Florida,5/8/1969,8,1,Minnesota Vikings / 10th / 264th pick / 1992,CulpBr20
93,Phillip Daniels,27,DE,14,14,310,6-6,Georgia,3/4/1973,4,7,Seattle Seahawks / 4th / 99th pick / 1996,DaniPh20
45,Scott Dragos,25,FB,9,2,245,6-2,Boston Col.,10/28/1975,Rook,0,,DragSc00
2,Paul Edinger,22,K,16,0,175,5-8,Michigan St.,1/17/1978,Rook,3,Chicago Bears / 6th / 174th pick / 2000,edingpau01
81,Bobby Engram,27,WR,3,3,192,5-10,Penn St.,1/7/1973,4,1,Chicago Bears / 2nd / 52nd pick / 1996,EngrBo00
44,Curtis Enis,24,RB,12,5,242,6-0,Penn St.,6/15/1976,2,1,Chicago Bears / 1st / 5th pick / 1998,EnisCu00
99,Jim Flanigan,29,DT,16,14,290,6-2,Notre Dame,8/27/1971,6,7,Chicago Bears / 3rd / 74th pick / 1994,FlanJi21
43,Michael Green,24,DB,7,0,195,6-0,Northwestern St. (LA),12/6/1976,Rook,0,Chicago Bears / 7th / 254th pick / 2000,GreeMi20
94,Ty Hallock,29,RB,2,0,252,6-2,Michigan St.,4/30/1971,7,0,Detroit Lions / 7th / 174th pick / 1993,HallTy00
55,Sean Harris,28,RLB,15,13,250,6-3,Arizona,2/25/1972,5,6,Chicago Bears / 3rd / 83rd pick / 1995,HarrSe20
27,Walt Harris,26,DB,12,12,196,5-11,Mississippi St.,8/10/1974,4,5,Chicago Bears / 1st / 13th pick / 1996,HarrWa21
11,Mark Hartsell,27,QB,1,0,225,6-4,Boston Col.,12/7/1973,Rook,0,,HartMa20
74,Jimmy Herndon,27,T,10,2,318,6-8,Houston,8/30/1973,3,1,Jacksonville Jaguars / 5th / 146th pick / 1996,HernJi20
53,Warrick Holdman,25,LB,10,10,235,6-1,Texas A&M,11/22/1975,1,4,Chicago Bears / 4th / 106th pick / 1999,HoldWa20
82,Eddie Kennison,27,WR,16,10,201,6-1,LSU,1/20/1973,4,4,St. Louis Rams / 1st / 18th pick / 1996,KennEd00
57,Olin Kreutz,23,C,7,7,292,6-2,Washington,6/9/1977,2,2,Chicago Bears / 3rd / 64th pick / 1998,KreuOl00
89,Dustin Lyman,24,TE,14,7,245,6-4,Wake Forest,8/5/1976,Rook,0,Chicago Bears / 3rd / 87th pick / 2000,LymaDu00
