No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
20,Prince Amukamara,30,CB,15,15,206,6-0,Nebraska,6/6/1989,8,7,New York Giants / 1st / 19th pick / 2011,$8500000,AmukPr00
76,Abdullah Anderson,23,DT,6,0,297,6-3,Bucknell,1/24/1996,Rook,1,,$495000,AndeAb00
64,Alex Bars,24,T,5,0,334,6-5,Notre Dame,9/8/1995,Rook,0,,,BarsAl01
53,Devante Bond,26,OLB,3,0,236,6-1,Oklahoma,7/3/1993,2,0,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,,BondDe00
82,Ben Braunecker,25,TE,11,3,247,6-3,Harvard,2/7/1994,3,0,,$750000,BrauBe00
80,Trey Burton,28,TE,8,5,238,6-2,Florida,10/29/1991,5,1,,$6700000,BurtTr01
26,Deon Bush,26,FS,15,0,187,6-0,Miami (FL),8/14/1993,3,1,Chicago Bears / 4th / 124th pick / 2016,$720000,BushDe00
21,Ha Ha Clinton-Dix,27,FS,16,16,211,6-1,Alabama,12/21/1992,5,8,Green Bay Packers / 1st / 21st pick / 2014,$2000000,ClinHa00
29,Tarik Cohen,24,RB,16,11,191,5-6,North Carolina A&T,7/26/1995,2,5,Chicago Bears / 4th / 119th pick / 2017,$645000,CoheTa00
69,Rashaad Coward,25,DT,13,10,319,6-5,Old Dominion,11/6/1994,2,4,,$645000,CowaRa00
4,Chase Daniel,33,QB,3,1,218,6-0,Missouri,10/7/1986,10,1,,$4000000,DaniCh00
68,James Daniels,22,C,16,16,327,6-4,Iowa,9/13/1997,1,6,Chicago Bears / 2nd / 39th pick / 2018,$795916,DaniJa01
25,Mike Davis,26,RB,7,1,220,5-9,South Carolina,2/19/1993,4,0,San Francisco 49ers / 4th / 126th pick / 2015,$1000000,DaviMi01
94,Leonard Floyd,27,OLB,16,16,240,6-5,Georgia,9/8/1992,3,7,Chicago Bears / 1st / 9th pick / 2016,$2602208,FloyLe00
23,Kyle Fuller,27,CB,16,16,190,5-11,Virginia Tech,2/16/1992,5,10,Chicago Bears / 1st / 14th pick / 2014,$1000000,FullKy00
18,Taylor Gabriel,28,WR,9,7,168,5-7,Abilene Christian,2/17/1991,5,3,,$5500000,GabrTa00
91,Eddie Goldman,25,DT,15,15,325,6-3,Florida St.,1/6/1994,4,7,Chicago Bears / 2nd / 39th pick / 2015,$2250000,GoldEd00
71,Jonathan Harris,23,DE,2,0,295,6-5,Lindenwood,8/4/1996,Rook,0,,,HarrJo05
