No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
53,Khalid Abdullah,24,LB,16,0,227,6-2,Mars Hill,3/6/1979,Rook,1,Cincinnati Bengals / 5th / 136th pick / 2003,AbduKh20
71,Willie Anderson,28,T,16,16,340,6-5,Auburn,7/11/1975,7,14,Cincinnati Bengals / 1st / 10th pick / 1996,AndeWi00
45,Rogers Beckett,26,DB,16,9,207,6-2,Marshall,1/31/1977,3,4,San Diego Chargers / 2nd / 43rd pick / 2000,BeckRo20
36,Brandon Bennett,30,RB,16,0,220,5-11,South Carolina,2/3/1973,5,3,,BennBr00
74,Rich Braham,33,C,16,15,305,6-4,West Virginia,11/6/1970,9,8,Arizona Cardinals / 3rd / 76th pick / 1994,BrahRi20
21,Jeff Burris,31,DB,13,8,190,6-0,Notre Dame,6/7/1972,9,3,Buffalo Bills / 1st / 27th pick / 1994,BurrJe20
55,Frank Chamberlin,25,MLB,5,0,235,6-1,Boston Col.,1/2/1978,3,0,Tennessee Titans / 5th / 160th pick / 2000,ChamFr20
92,Duane Clemons,29,DE,16,13,275,6-5,California,5/23/1974,7,6,Minnesota Vikings / 1st / 16th pick / 1996,ClemDu20
28,Corey Dillon,29,RB,13,11,225,6-1,Washington,10/24/1974,6,5,Cincinnati Bengals / 2nd / 43rd pick / 1997,DillCo00
41,Chris Edmonds,25,FB,4,0,250,6-3,West Virginia,1/1/1978,1,0,,EdmoCh20
99,Oliver Gibson,31,DT,16,0,304,6-2,Notre Dame,3/15/1972,8,1,Pittsburgh Steelers / 4th / 120th pick / 1995,GibsOl20
63,Mike Goff,27,G,16,16,311,6-5,Iowa,1/6/1976,5,9,Cincinnati Bengals / 3rd / 78th pick / 1998,GoffMi20
17,Shayne Graham,26,K,16,0,210,6-0,Virginia Tech,12/9/1977,2,5,,grahasha01
88,Lawrence Hamilton,23,WR,5,1,204,6-3,S.F. Austin,8/31/1980,Rook,0,,HamiLa20
51,Kevin Hardy,30,LB,16,16,259,6-4,Illinois,7/24/1973,7,6,Jacksonville Jaguars / 1st / 2nd pick / 1996,HardKe00
8,Nick Harris,25,P,5,0,218,6-2,California,7/23/1978,2,0,Denver Broncos / 4th / 120th pick / 2001,HarrNi20
27,Artrell Hawkins,27,DB,14,9,195,5-10,Cincinnati,11/24/1976,5,3,Cincinnati Bengals / 2nd / 43rd pick / 1998,HawkAr20
84,T.J. Houshmandzadeh,26,WR,2,0,200,6-2,Cerritos (CA)Oregon St.,9/26/1977,2,0,Cincinnati Bengals / 7th / 204th pick / 2001,HousTJ00
26,Tory James,30,DB,16,16,192,6-2,LSU,5/18/1973,7,6,Denver Broncos / 2nd / 44th pick / 1996,JameTo99
85,Chad Johnson,25,WR,16,14,188,6-1,LangstonOregon St.,1/9/1978,2,14,Cincinnati Bengals / 2nd / 36th pick / 2001,JohnCh01
31,Jeremi Johnson,23,FB,16,13,275,5-11,IndianaWestern Kentucky,9/4/1980,Rook,1,Cincinnati Bengals / 4th / 118th pick / 2003,JohnJe00
50,Riall Johnson,25,MLB,13,1,243,6-3,Stanford,4/20/1978,2,1,Cincinnati Bengals / 6th / 168th pick / 2001,JohnRi20
32,Rudi Johnson,24,RB,13,5,228,5-10,Butler (KS)Auburn,10/1/1979,2,9,Cincinnati Bengals / 4th / 100th pick / 2001,JohnRu00
76,Levi Jones,24,T,16,16,307,6-5,Arizona St.,8/24/1979,1,9,Cincinnati Bengals / 1st / 10th pick / 2002,JoneLe23
34,Kevin Kaesviharn,27,DB,16,7,200,6-1,Augustana (SD),8/29/1976,2,3,,KaesKe20
