No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
77,Hakeem Adeniji,23,OL,15,5,300,6-5,Kansas,12/8/1997,Rook,3,Cincinnati Bengals / 6th / 180th pick / 2020,$610000,AdenHa00
92,Freedom Akinmoladun,24,DE,2,0,284,6-3,Nebraska,2/11/1996,1,0,,$134400,AkinFr01
21,Mackensie Alexander,27,CB,13,10,192,5-10,Clemson,11/12/1993,4,4,Minnesota Vikings / 2nd / 54th pick / 2016,$2250000,AlexMa01
8,Brandon Allen,28,QB,5,5,209,6-2,Arkansas,9/5/1992,2,2,Jacksonville Jaguars / 6th / 201st pick / 2016,$204000,AlleBr00
97,Geno Atkins,32,DT,8,0,300,6-1,Georgia,3/28/1988,10,1,Cincinnati Bengals / 4th / 120th pick / 2010,$11100000,AtkiGe99
51,Markus Bailey,23,LB,11,0,235,6-0,Purdue,3/7/1997,Rook,1,Cincinnati Bengals / 7th / 215th pick / 2020,$610000,BailMa01
30,Jessie Bates III,23,FS,16,16,200,6-1,Wake Forest,2/26/1997,2,10,Cincinnati Bengals / 2nd / 54th pick / 2018,$929801,BateJe00
24,Vonn Bell,26,SS,16,16,205,5-11,Ohio St.,12/12/1994,4,6,New Orleans Saints / 2nd / 61st pick / 2016,$3000000,BellVo00
25,Giovani Bernard,29,RB,16,10,205,5-9,North Carolina,11/22/1991,7,5,Cincinnati Bengals / 2nd / 37th pick / 2013,$3100000,BernGi00
91,Amani Bledsoe,22,DE,14,4,280,6-4,Oklahoma,2/6/1998,Rook,3,,$574112,BledAm01
83,Tyler Boyd,26,WR,15,8,203,6-2,Pittsburgh,11/15/1994,4,7,Cincinnati Bengals / 2nd / 55th pick / 2016,$4200000,BoydTy00
93,Andrew Brown,25,DE,4,0,290,6-3,Virginia,12/30/1995,2,0,Cincinnati Bengals / 5th / 158th pick / 2018,$675000,BrowAn05
27,Tony Brown,25,CB,13,1,199,6-0,Alabama,7/13/1995,2,1,,$750000,BrowTo01
4,Randy Bullock,31,K,12,0,210,5-9,Texas A&M,12/16/1989,8,2,Houston Texans / 5th / 161st pick / 2012,$1525000,BullRa00
9,Joe Burrow,24,QB,10,10,221,6-4,Ohio St.LSU,12/10/1996,Rook,7,Cincinnati Bengals / 1st / 1st pick / 2020,$610000,BurrJo01
56,Josh Bynes,31,MLB,16,16,240,6-1,Auburn,8/24/1989,9,8,,$1050000,ByneJo00
63,Shaq Calhoun,24,G,1,1,310,6-3,Mississippi St.,2/20/1996,1,0,,$675000,CalhSh01
82,Cethan Carter,25,TE,15,5,248,6-3,Nebraska,9/5/1995,3,0,,$2133000,CartCe00
99,Christian Covington,27,DT,16,14,289,6-2,Rice,10/16/1993,5,7,Houston Texans / 6th / 216th pick / 2015,$1250000,CoviCh00
76,Mike Daniels,31,DT,11,11,310,6-0,Iowa,5/5/1989,8,5,Green Bay Packers / 4th / 132nd pick / 2012,$1050000,DaniMi00
37,Jalen Davis,24,CB,6,0,185,5-10,Utah St.,2/2/1996,2,0,,,DaviJa06
