No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
68,Chad Beasley,25,T,8,3,300,6-5,Virginia Tech,11/13/1978,Rook,2,Minnesota Vikings / 7th / 218th pick / 2002,BeasCh20
59,Kevin Bentley,24,MLB,16,14,248,6-0,Northwestern,12/29/1979,1,7,Cleveland Browns / 4th / 101st pick / 2002,BentKe20
28,Leigh Bodden,22,DB,13,1,193,6-1,Duquesne,9/24/1981,Rook,2,,BoddLe20
34,R.J. Bowers,29,RB,1,0,250,6-0,Grove City,2/10/1974,2,0,,BoweRJ00
52,Brant Boyer,32,MLB,15,7,240,6-1,Arizona,6/27/1971,9,4,Miami Dolphins / 6th / 177th pick / 1994,BoyeBr20
92,Courtney Brown,25,DE,13,13,285,6-4,Penn St.,2/14/1978,3,7,Cleveland Browns / 1st / 1st pick / 2000,BrowCo22
91,Felipe Claybrooks,25,DE,7,0,275,6-5,Georgia Tech,1/22/1978,2,1,,ClayFe20
56,Sherrod Coates,25,LB,16,0,225,6-2,Western Kentucky,12/22/1978,Rook,1,,CoatSh20
5,Brett Conway,28,K,3,0,208,6-2,Penn St.,3/8/1975,5,0,Green Bay Packers / 3rd / 90th pick / 1997,conwabre01
2,Tim Couch,26,QB,10,8,220,6-4,Kentucky,7/31/1977,4,4,Cleveland Browns / 1st / 1st pick / 1999,CoucTi00
25,Chris Crocker,23,DB,16,1,197,5-11,Marshall,3/9/1980,Rook,1,Cleveland Browns / 3rd / 84th pick / 2003,CrocCh20
54,Andra Davis,25,LB,16,16,255,6-1,Florida,12/23/1978,1,8,Cleveland Browns / 5th / 141st pick / 2002,DaviAn20
87,Andre' Davis,24,WR,16,8,195,6-1,Virginia Tech,6/12/1979,1,5,Cleveland Browns / 2nd / 47th pick / 2002,DaviAn01
4,Phil Dawson,28,K,13,0,200,5-11,Texas,1/23/1975,4,3,,dawsophi01
70,Enoch DeMar,23,G,5,2,317,6-4,Indiana,9/7/1980,Rook,1,,DeMaEn20
50,Jeff Faine,22,C,9,9,291,6-3,Notre Dame,4/6/1981,Rook,4,Cleveland Browns / 1st / 21st pick / 2003,FainJe20
67,Melvin Fowler,24,C,14,10,300,6-3,Maryland,3/31/1979,1,5,Cleveland Browns / 3rd / 76th pick / 2002,FowlMe20
95,Antonio Garay,24,DE,4,0,320,6-4,Boston Col.,11/30/1979,Rook,0,Cleveland Browns / 6th / 195th pick / 2003,GaraAn20
