No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
91,Eli Ankou,25,DT,9,2,325,6-3,UCLA,6/8/1994,2,1,,,AnkoEl00
55,Genard Avery,24,LB,2,0,250,6-0,Memphis,4/26/1995,1,0,Cleveland Browns / 5th / 150th pick / 2018,$570000,AverGe00
13,Odell Beckham Jr.,27,WR,16,15,198,5-11,LSU,11/5/1992,5,9,New York Giants / 1st / 12th pick / 2014,$16750000,BeckOd00
75,Joel Bitonio,28,G,16,16,320,6-4,Nevada,10/11/1991,5,11,Cleveland Browns / 2nd / 35th pick / 2014,$6500000,BitoJo00
86,Pharaoh Brown,25,TE,9,6,258,6-6,Oregon,5/4/1994,2,0,,$570000,BrowPh01
90,Brandin Bryant,26,DL,4,0,294,6-3,Florida Atlantic,9/16/1993,Rook,0,,$495000,BryaBr00
42,Morgan Burnett,30,DB,8,8,210,6-1,Georgia Tech,1/13/1989,9,3,Green Bay Packers / 3rd / 71st pick / 2010,$1000000,BurnMo99
31,Juston Burris,26,CB,14,9,210,6-0,North Carolina St.,8/4/1993,3,4,New York Jets / 4th / 118th pick / 2016,$645000,BurrJu00
11,Antonio Callaway,22,WR,4,2,200,5-11,Florida,1/9/1997,1,1,Cleveland Browns / 4th / 105th pick / 2018,$570000,CallAn00
89,Stephen Carlson,23,TE,9,5,240,6-4,Princeton,12/12/1996,Rook,0,,,CarlSt00
38,T.J. Carrie,29,CB,16,6,204,6-0,Ohio,7/28/1990,5,3,Oakland Raiders / 7th / 219th pick / 2014,$7500000,CarrTr00
24,Nick Chubb,24,RB,16,16,227,5-11,Georgia,12/27/1995,1,12,Cleveland Browns / 2nd / 35th pick / 2018,$815595,ChubNi00
63,Austin Corbett,24,C,3,0,306,6-4,Nevada,9/5/1995,1,0,Cleveland Browns / 2nd / 33rd pick / 2018,$821745,CorbAu00
94,Bryan Cox Jr.,25,DE,6,2,270,6-3,Florida,6/25/1994,2,1,,,CoxxBr01
55,Tae Davis,23,LB,9,0,224,6-1,Chattanooga,8/14/1996,1,1,,,DaviTa00
96,Daniel Ekuale,25,DL,7,0,300,6-3,Washington St.,1/13/1994,Rook,1,,$495000,EkuaDa00
79,Drew Forbes,22,OT,2,0,305,6-5,SE Missouri St.,1/18/1997,Rook,0,Cleveland Browns / 6th / 189th pick / 2019,$495000,ForbDr00
95,Myles Garrett,24,DE,10,10,272,6-4,Texas A&M,12/29/1995,2,5,Cleveland Browns / 1st / 1st pick / 2017,$3229750,GarrMy00
3,Garrett Gilbert,28,QB,5,0,230,6-4,TexasSMU,7/1/1991,5,0,St. Louis Rams / 6th / 214th pick / 2014,$570000,GilbGa01
7,Jamie Gillan,22,P,16,0,207,6-1,Ark-Pine Bluff,7/4/1997,Rook,2,,$495000,GillJa00
97,Porter Gustin,22,LB,6,0,260,6-5,USC,2/8/1997,Rook,1,,,GustPo01
88,Demetrius Harris,28,TE,15,6,230,6-7,Wisconsin–Milwaukee,7/29/1991,6,1,,$1250000,HarrDe03
56,Willie Harvey,23,LB,2,0,230,5-11,Iowa St.,1/9/1996,Rook,0,,,HarvWi00
49,J.T. Hassell,24,DB,4,0,199,5-11,Florida Tech,8/14/1995,Rook,0,,,HassJT00
81,Rashard Higgins,25,WR,10,1,198,6-1,Colorado St.,10/7/1994,3,0,Cleveland Browns / 5th / 172nd pick / 2016,$2025000,HiggRa00
25,Dontrell Hilliard,24,RB,14,0,202,5-11,Tulane,2/26/1995,1,1,,$570000,HillDo00
12,KhaDarel Hodge,24,WR,16,1,183,5-11,Prairie View A&M,1/3/1995,1,1,,,HodgKh00
74,Chris Hubbard,28,G,14,13,295,6-4,Ala-Birmingham,4/23/1991,6,6,,$6150000,HubbCh00
47,Charley Hughlett,29,LS,16,0,248,6-4,Central Florida,5/16/1990,5,1,,$805000,HughCh01
27,Kareem Hunt,24,RB,8,3,216,5-11,Toledo,8/6/1995,2,3,Kansas City Chiefs / 3rd / 86th pick / 2017,$645000,HuntKa00
34,Robert Jackson,26,CB,6,0,207,6-2,UNLV,12/8/1993,1,0,,$495000,JackRo00
40,Malik Jefferson,23,OLB,9,0,241,6-2,Texas,11/15/1996,1,1,Cincinnati Bengals / 3rd / 78th pick / 2018,,JeffMa00
30,D'Ernest Johnson,23,RB,16,0,208,5-10,South Florida,2/27/1996,Rook,1,,$495000,JohnDE04
58,Christian Kirksey,27,OLB,2,2,235,6-2,Iowa,8/31/1992,5,1,Cleveland Browns / 3rd / 71st pick / 2014,$7000000,KirkCh00
72,Eric Kush,30,C,16,7,317,6-4,California (PA),9/9/1989,6,4,Kansas City Chiefs / 6th / 170th pick / 2013,$1100000,KushEr00
70,Kendall Lamm,27,T,4,2,310,6-5,Appalachian St.,6/5/1992,4,1,,$1200000,LammKe00
80,Jarvis Landry,27,WR,16,16,196,5-11,LSU,11/28/1992,5,10,Miami Dolphins / 2nd / 63rd pick / 2014,$12500000,LandJa00
99,Devaroe Lawrence,27,DL,11,2,295,6-2,Auburn,10/13/1992,1,2,,$570000,LawrDe02
6,Baker Mayfield,24,QB,16,16,215,6-1,Oklahoma,4/14/1995,1,11,Cleveland Browns / 1st / 1st pick / 2018,$570000,MayfBa00
67,Justin McCray,27,G,15,4,315,6-3,Central Florida,5/31/1992,2,3,,,McCrJu00
52,Rob McCray,23,LB,1,0,280,6-2,Indiana,3/24/1996,Rook,0,,,McCrRo00
39,Terrance Mitchell,27,CB,15,4,191,5-11,Oregon,5/17/1992,5,2,Dallas Cowboys / 7th / 254th pick / 2014,$2500000,MitcTe00
22,Eric Murray,25,CB,9,4,199,5-11,Minnesota,1/7/1994,3,2,Kansas City Chiefs / 4th / 106th pick / 2016,$2015500,MurrEr00
85,David Njoku,23,TE,4,1,246,6-4,Miami (FL),7/10/1996,2,0,Cleveland Browns / 1st / 29th pick / 2017,$1330918,NjokDa00
65,Larry Ogunjobi,25,DT,15,15,305,6-4,Charlotte,6/3/1994,2,7,Cleveland Browns / 3rd / 65th pick / 2017,$820200,OgunLa00
23,Damarious Randall,27,FS,11,11,196,5-11,Butler (KS)Arizona St.,8/29/1992,4,4,Green Bay Packers / 1st / 30th pick / 2015,$9069000,RandDa00
18,Damion Ratley,24,WR,13,3,200,6-2,Texas A&M,4/16/1995,1,2,Cleveland Browns / 6th / 175th pick / 2018,$570000,RatlDa00
29,Sheldrick Redwine,23,S,12,5,196,6-0,Miami (FL),11/6/1996,Rook,2,Cleveland Browns / 4th / 119th pick / 2019,$800000,RedwSh00
