No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
93,Lionel Barnes,25,DE,6,0,260,6-5,La-Monroe,4/19/1976,2,0,St. Louis Rams / 6th / 176th pick / 1999,BarnLi20
28,Idrees Bashir,23,DB,15,15,198,6-2,Memphis,12/7/1978,Rook,4,Indianapolis Colts / 2nd / 37th pick / 2001,BashId20
41,Cory Bird,23,DB,14,0,213,5-10,Virginia Tech,8/10/1978,Rook,1,Indianapolis Colts / 3rd / 91st pick / 2001,BirdCo20
92,Chad Bratzke,30,DE,15,15,270,6-5,East. Kentucky,9/15/1971,7,5,New York Giants / 5th / 155th pick / 1994,BratCh20
10,Doug Brien,31,K,1,0,180,6-0,California,11/24/1970,7,0,San Francisco 49ers / 3rd / 85th pick / 1994,briendou01
26,Rodregis Brooks,23,DB,5,0,184,5-9,Ala-Birmingham,8/30/1978,Rook,0,Indianapolis Colts / 7th / 238th pick / 2000,BrooRo20
20,Jeff Burris,29,DB,15,15,190,6-0,Notre Dame,6/7/1972,7,5,Buffalo Bills / 1st / 27th pick / 1994,BurrJe20
37,Chad Cota,30,DB,16,16,198,6-1,Oregon,8/8/1971,6,5,Carolina Panthers / 7th / 209th pick / 1995,CotaCh20
31,Clifton Crosby,27,DB,14,0,179,5-10,Maryland,9/17/1974,2,1,,CrosCl21
49,Joe Davenport,25,TE,3,0,268,6-6,Arkansas,10/29/1976,Rook,0,,DaveJo00
64,Rick DeMulling,24,G,7,0,304,6-4,Idaho,7/21/1977,Rook,1,Indianapolis Colts / 7th / 220th pick / 2001,DeMuRi20
71,Ryan Diem,22,T,15,8,320,6-6,Northern Illinois,7/1/1979,Rook,5,Indianapolis Colts / 4th / 118th pick / 2001,DiemRy20
85,Ken Dilger,30,TE,16,16,250,6-5,Illinois,2/2/1971,6,4,Indianapolis Colts / 2nd / 48th pick / 1995,DilgKe00
34,Jason Doering,23,DB,16,1,201,6-0,Wisconsin,4/22/1978,Rook,1,Indianapolis Colts / 6th / 193rd pick / 2001,DoerJa20
36,Jim Finn,25,FB,15,0,245,6-0,Pennsylvania,12/9/1976,1,0,Chicago Bears / 7th / 253rd pick / 1999,FinnJi00
78,Tarik Glenn,25,T,16,16,332,6-5,California,5/25/1976,4,10,Indianapolis Colts / 1st / 19th pick / 1997,GlenTa99
47,Jermaine Hampton,22,DB,10,0,205,6-0,Northern Illinois,6/12/1979,Rook,0,,HampJe20
25,Nick Harper,27,DB,13,2,182,5-10,Fort Valley St.,9/10/1974,Rook,1,,HarpNi20
55,Sean Harris,29,RLB,1,0,250,6-3,Arizona,2/25/1972,6,0,Chicago Bears / 3rd / 83rd pick / 1995,HarrSe20
