No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
49,Matthew Adams,24,LB,16,4,229,6-0,Houston,12/12/1995,1,2,Indianapolis Colts / 7th / 221st pick / 2018,$570000,AdamMa00
81,Mo Alie-Cox,26,TE,16,2,267,6-5,Virginia Commonwealth,9/19/1993,1,1,,$570000,AlieMo00
63,Josh Andrews,28,G,6,0,298,6-2,Oregon St.,6/21/1991,5,0,,$720000,AndrJo01
96,Denico Autry,29,DE,14,14,285,6-5,East Mississippi CCMississippi St.,7/15/1990,5,6,,$3500000,AutrDe00
52,Ben Banogu,23,EDGE,16,0,252,6-3,TCU,1/19/1996,Rook,1,Indianapolis Colts / 2nd / 49th pick / 2019,$1482500,BanoBe00
28,Briean Boddy-Calhoun,26,CB,2,1,193,5-9,Minnesota,1/21/1993,3,0,,,BoddBr01
7,Jacoby Brissett,27,QB,15,15,235,6-4,FloridaNorth Carolina St.,12/11/1992,3,10,New England Patriots / 3rd / 91st pick / 2016,$2000000,BrisJa00
11,Deon Cain,23,WR,7,3,202,6-2,Clemson,8/9/1996,1,0,Indianapolis Colts / 6th / 185th pick / 2018,$495000,CainDe00
15,Parris Campbell,22,WR,7,3,208,6-0,Ohio St.,7/16/1997,Rook,1,Indianapolis Colts / 2nd / 59th pick / 2019,$495000,CampPa00
74,Anthony Castonzo,31,LT,16,16,307,6-7,Boston Col.,8/9/1988,8,8,Indianapolis Colts / 1st / 22nd pick / 2011,$6250000,CastAn00
91,Trevon Coley,25,DL,7,0,310,6-1,Florida Atlantic,7/13/1994,2,1,,,ColeTr01
76,Carl Davis,27,DT,1,0,320,6-5,Iowa,3/2/1992,4,0,Baltimore Ravens / 3rd / 90th pick / 2015,,DaviCa01
35,Pierre Desir,29,CB,12,11,192,6-1,Lindenwood,9/8/1990,5,4,Cleveland Browns / 4th / 127th pick / 2014,$1000000,DesiPi00
84,Jack Doyle,29,TE,16,16,262,6-6,Western Kentucky,5/5/1990,6,4,,$5150000,DoylJa00
16,Ashton Dulin,22,WR,13,0,215,6-1,Malone,5/15/1997,Rook,0,,,DuliAs00
85,Eric Ebron,26,TE,11,2,253,6-4,North Carolina,4/10/1993,5,3,Detroit Lions / 1st / 10th pick / 2014,$5250000,EbroEr00
44,Zaire Franklin,23,LB,16,0,235,6-0,Syracuse,7/2/1996,1,1,Indianapolis Colts / 7th / 235th pick / 2018,$570000,FranZa00
17,Devin Funchess,25,WR,1,1,225,6-4,Michigan,5/21/1994,4,0,Carolina Panthers / 2nd / 41st pick / 2015,$3000000,FuncDe00
26,Clayton Geathers,27,SS,15,10,216,6-2,Central Florida,6/1/1992,4,4,Indianapolis Colts / 4th / 109th pick / 2015,$1250000,GeatCl00
64,Mark Glowinski,27,OG,16,16,310,6-4,LackawannaWest Virginia,5/3/1992,4,8,Seattle Seahawks / 4th / 134th pick / 2015,$1500000,GlowMa00
73,Joe Haeg,26,OT,16,0,298,6-6,North Dakota St.,3/11/1993,3,1,Indianapolis Colts / 5th / 155th pick / 2016,$2025000,HaegJo00
13,T.Y. Hilton,30,WR,10,10,183,5-10,Florida International,11/14/1989,7,4,Indianapolis Colts / 3rd / 92nd pick / 2012,$13000000,HiltT.00
21,Nyheim Hines,23,RB,16,2,196,5-9,North Carolina St.,11/12/1996,1,6,Indianapolis Colts / 4th / 104th pick / 2018,$570000,HineNy00
29,Malik Hooker,23,FS,13,13,212,6-2,Ohio St.,4/2/1996,2,5,Indianapolis Colts / 1st / 15th pick / 2017,$1610446,HookMa00
99,Justin Houston,30,LOLB,16,16,270,6-3,Georgia,1/21/1989,8,8,Kansas City Chiefs / 3rd / 70th pick / 2011,$1000000,HousJu00
2,Brian Hoyer,34,QB,4,1,216,6-2,Michigan St.,10/13/1985,10,1,,,HoyeBr00
92,Margus Hunt,32,DE,16,5,295,6-8,SMU,7/14/1987,6,3,Cincinnati Bengals / 2nd / 53rd pick / 2013,$1000000,HuntMa00
86,Dontrelle Inman,30,WR,3,0,205,6-3,Virginia,1/31/1989,5,0,,,InmaDo00
83,Marcus Johnson,25,WR,8,6,207,6-1,Texas,8/5/1994,2,2,,$570000,JohnMa07
78,Ryan Kelly,26,C,16,16,307,6-4,Alabama,5/30/1993,3,10,Indianapolis Colts / 1st / 18th pick / 2016,$1875134,KellRy00
86,Matt Lengel,29,TE,1,1,265,6-7,NortheasternEast. Kentucky,12/27/1990,3,0,,,LengMa00
53,Darius Leonard,24,LB,13,13,230,6-2,South Carolina St.,7/27/1995,1,12,Indianapolis Colts / 2nd / 36th pick / 2018,$809446,LeonDa00
38,Ryan Lewis,25,CB,3,0,185,6-0,Pittsburgh,4/15/1994,1,0,,,LewiRy01
94,Tyquan Lewis,24,DE,9,0,277,6-3,Ohio St.,1/30/1995,1,1,Indianapolis Colts / 2nd / 64th pick / 2018,$678457,LewiTy00
25,Marlon Mack,23,RB,14,12,210,6-0,South Florida,3/7/1996,2,8,Indianapolis Colts / 4th / 143rd pick / 2017,$645000,MackMa00
5,Chase McLaughlin,23,K,4,0,180,6-0,Illinois,4/9/1996,Rook,1,,,McLaCh00
42,Rolan Milligan,25,S,11,1,200,5-10,Toledo,8/16/1994,1,1,,$495000,MillRo03
23,Kenny Moore,24,CB,11,11,190,5-9,Valdosta St.,8/23/1995,2,4,,$645000,MoorKe03
55,Skai Moore,24,OLB,1,0,225,6-2,South Carolina,1/8/1995,1,0,,$570000,MoorSk00
97,Al-Quadin Muhammad,24,DE,16,4,250,6-4,Miami (FL),3/28/1995,2,3,New Orleans Saints / 6th / 196th pick / 2017,$645000,MuhaAl00
56,Quenton Nelson,23,OG,16,16,330,6-5,Notre Dame,3/19/1996,1,15,Indianapolis Colts / 1st / 6th pick / 2018,$570000,NelsQu00
30,George Odum,26,S,16,1,202,6-1,Central Arkansas,11/3/1993,1,1,,$570000,OdumGe00
58,Bobby Okereke,23,LB,16,8,235,6-1,Stanford,7/29/1996,Rook,4,Indianapolis Colts / 3rd / 89th pick / 2019,$495000,OkerBo00
14,Zach Pascal,25,WR,16,13,214,6-2,Old Dominion,12/18/1994,1,6,,$570000,PascZa00
46,Luke Rhodes,27,LB,16,0,238,6-2,William & Mary,12/2/1992,3,2,,$720000,RhodLu00
80,Chester Rogers,25,WR,12,6,184,6-0,Grambling St.,1/12/1994,3,2,,$3095000,RogeCh02
8,Rigoberto Sanchez,25,P,16,0,195,6-0,Hawaii,9/8/1994,2,2,,$645000,SancRi00
93,Jabaal Sheard,30,DL,13,12,268,6-3,Pittsburgh,5/10/1989,8,5,Cleveland Browns / 2nd / 37th pick / 2011,$7500000,SheaJa00
72,Braden Smith,23,OG,16,16,315,6-6,Auburn,3/25/1996,1,8,Indianapolis Colts / 2nd / 37th pick / 2018,$806986,SmitBr06
45,E.J. Speed,24,LB,12,0,224,6-3,Tarleton St.,6/1/1995,Rook,1,Indianapolis Colts / 5th / 164th pick / 2019,$700000,SpeeEJ00
