No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
27,Michael Adams,23,DB,5,1,178,5-8,Louisiana,6/17/1985,1,1,,AdamMi98
28,J.J. Arrington,25,RB,11,3,212,5-9,California,1/23/1983,3,5,Arizona Cardinals / 2nd / 44th pick / 2005,ArriJ.00
52,Monty Beisel,30,MLB,16,0,246,6-4,Kansas St.,8/20/1978,7,1,Kansas City Chiefs / 4th / 107th pick / 2001,BeisMo20
92,Bertrand Berry,33,DE,14,4,254,6-3,Notre Dame,8/15/1975,11,2,Indianapolis Colts / 3rd / 86th pick / 1997,BerrBe99
81,Anquan Boldin,28,WR,12,11,220,6-1,Florida St.,10/3/1980,5,11,Arizona Cardinals / 2nd / 54th pick / 2003,BoldAn00
78,Alan Branch,24,DT,4,0,350,6-6,Michigan,12/29/1984,1,0,Arizona Cardinals / 2nd / 33rd pick / 2007,BranAl99
15,Steve Breaston,25,WR,16,9,175,6-1,Michigan,8/20/1983,1,10,Arizona Cardinals / 5th / 142nd pick / 2007,BreaSt00
61,Elton Brown,26,G,16,0,335,6-6,Virginia,5/22/1982,3,1,Arizona Cardinals / 4th / 111th pick / 2005,BrowEl20
75,Levi Brown,24,T,16,16,323,6-6,Penn St.,3/16/1984,1,9,Arizona Cardinals / 1st / 5th pick / 2007,BrowLe20
20,Ralph Brown,30,DB,16,3,185,5-10,Nebraska,9/16/1978,8,2,New York Giants / 5th / 140th pick / 2000,BrowRa20
93,Calais Campbell,22,DE,16,0,300,6-8,Miami (FL),9/1/1986,Rook,1,Arizona Cardinals / 2nd / 50th pick / 2008,CampCa99
46,Tim Castille,24,RB,14,0,242,5-11,Alabama,5/29/1984,Rook,0,,CastTi20
35,Oliver Celestin,27,DB,2,0,207,6-0,Texas Southern,2/25/1981,4,0,,CeleOl20
58,Karlos Dansby,27,LB,16,16,250,6-4,Auburn,11/3/1981,4,7,Arizona Cardinals / 2nd / 33rd pick / 2004,DansKa20
90,Darnell Dockett,27,DT,16,16,290,6-4,Florida St.,5/27/1981,4,7,Arizona Cardinals / 3rd / 64th pick / 2004,DockDa20
80,Early Doucet,23,WR,7,0,211,6-0,LSU,10/28/1985,Rook,1,Arizona Cardinals / 3rd / 81st pick / 2008,DoucEa00
11,Larry Fitzgerald,25,WR,16,16,218,6-3,Pittsburgh,8/31/1983,4,14,Arizona Cardinals / 1st / 3rd pick / 2004,FitzLa00
47,Aaron Francisco,25,DB,16,4,207,6-2,BYU,7/5/1983,3,2,,FranAa20
69,Mike Gandy,29,T,16,16,316,6-4,Notre Dame,1/3/1979,6,9,Chicago Bears / 3rd / 68th pick / 2001,GandMi20
5,Ben Graham,35,P,4,0,236,6-5,Deakin (Australia),11/2/1973,3,1,,GrahBe20
25,Eric Green,26,DB,13,9,198,6-0,Virginia Tech,3/16/1982,3,3,Arizona Cardinals / 3rd / 75th pick / 2005,GreeEr20
53,Clark Haggans,31,LOLB,11,0,243,6-4,Colorado St.,1/10/1977,8,1,Pittsburgh Steelers / 5th / 137th pick / 2000,HaggCl20
