No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
94,Zach Allen,23,DL,13,7,281,6-4,Boston Col.,8/20/1997,1,4,Arizona Cardinals / 3rd / 65th pick / 2019,$690171,AlleZa01
85,Dan Arnold,25,WR,16,5,240,6-6,Wisconsin–Platteville,3/15/1995,2,4,,$750000,ArnoDa00
32,Budda Baker,24,FS,15,15,195,5-10,Washington,1/10/1996,3,14,Arizona Cardinals / 2nd / 36th pick / 2017,$1000000,BakeBu00
31,Chris Banjo,30,S,13,4,207,5-10,SMU,2/26/1990,7,2,,$1050000,BanjCh00
25,De'Vante Bausby,27,DB,1,0,190,6-2,Pittsburg St.,1/15/1993,4,0,,,BausDe00
89,Evan Baylis,27,TE,5,1,250,6-5,Oregon,11/18/1993,3,0,,$585000,BaylEv00
68,Kelvin Beachum,31,T,16,16,308,6-3,SMU,6/8/1989,8,8,Pittsburgh Steelers / 7th / 248th pick / 2012,$1050000,BeacKe00
96,Angelo Blackson,28,DT,16,9,315,6-4,Auburn,11/14/1992,5,5,Tennessee Titans / 4th / 100th pick / 2015,$910000,BlacAn00
46,Aaron Brewer,30,LS,16,0,232,6-5,San Diego St.,7/5/1990,8,1,,$1050000,BrewAa00
59,De'Vondre Campbell,27,OLB,16,16,232,6-3,Minnesota,7/1/1993,4,8,Atlanta Falcons / 4th / 115th pick / 2016,$1000000,CampDe00
52,Mason Cole,24,C,14,14,298,6-5,Michigan,3/28/1996,2,6,Arizona Cardinals / 3rd / 97th pick / 2018,$750000,ColeMa02
93,Trevon Coley,26,DL,6,2,310,6-1,Florida Atlantic,7/13/1994,3,1,,$825000,ColeTr01
81,Darrell Daniels,26,TE,12,8,256,6-3,Washington,11/22/1994,3,1,,$825000,DaniDa02
86,Seth Devalve,27,TE,4,0,245,6-3,Princeton,1/29/1993,4,0,Cleveland Browns / 4th / 138th pick / 2016,,DevaSe00
91,Michael Dogbe,24,DL,3,0,295,6-3,Temple,5/5/1996,1,0,Arizona Cardinals / 7th / 249th pick / 2019,$585000,DogbMi00
41,Kenyan Drake,26,RB,15,13,211,6-1,Alabama,1/26/1994,4,6,Miami Dolphins / 3rd / 73rd pick / 2016,$8483000,DrakKe00
