No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
5,Dan Bailey,26,K,16,0,190,6-0,Oklahoma St.,1/26/1988,3,4,,BailDa00
11,Cole Beasley,25,WR,16,2,174,5-8,SMU,4/26/1989,2,4,,BeasCo00
73,Mackenzy Bernadeau,28,G,16,1,292,6-4,Bentley College,1/3/1986,6,2,Carolina Panthers / 7th / 250th pick / 2008,BernMa20
66,Ken Bishop,24,DT,3,0,306,6-0,Northern Illinois,9/8/1990,Rook,0,Dallas Cowboys / 7th / 251st pick / 2014,BishKe01
79,Kenneth Boatright,24,DE,1,0,254,6-3,Southern Illinois,3/6/1990,1,0,,BoatKe00
95,Josh Brent,26,DT,1,0,321,6-2,Illinois,1/30/1988,4,0,Dallas Cowboys / 7th / 1st pick / 2010 Supp,BrenJo00
88,Dez Bryant,26,WR,16,16,220,6-2,Oklahoma St.,11/4/1988,4,14,Dallas Cowboys / 1st / 24th pick / 2010,BryaDe01
39,Brandon Carr,28,DB,16,16,210,6-0,Grand Valley St.,5/19/1986,6,6,Kansas City Chiefs / 5th / 140th pick / 2008,CarrBr99
54,Bruce Carter,26,MLB,13,8,240,6-2,North Carolina,2/19/1988,3,6,Dallas Cowboys / 2nd / 40th pick / 2011,CartBr00
42,Barry Church,26,DB,16,16,218,6-2,Toledo,2/11/1988,4,7,,ChurBa99
24,Morris Claiborne,24,CB,4,3,192,5-11,LSU,2/7/1990,2,1,Dallas Cowboys / 1st / 6th pick / 2012,ClaiMo00
44,Tyler Clutts,30,FB,16,1,260,6-2,Fresno St.,11/9/1984,3,0,,ClutTy00
60,Davon Coleman,23,DT,2,1,276,6-2,Arizona St.,1/11/1991,Rook,1,,ColeDa00
58,Jack Crawford,26,DE,6,0,288,6-5,Penn St.,9/7/1988,2,1,Oakland Raiders / 5th / 158th pick / 2012,CrawJa00
98,Tyrone Crawford,25,DE,15,15,290,6-4,Boise St.,11/22/1989,2,6,Dallas Cowboys / 3rd / 81st pick / 2012,CrawTy00
25,Lance Dunbar,24,RB,16,0,191,5-8,North Texas,1/25/1990,2,3,,DunbLa00
52,Justin Durant,29,LB,6,6,230,6-4,Hampton,9/20/1985,7,3,Jacksonville Jaguars / 2nd / 48th pick / 2007,DuraJu99
95,Lavar Edwards,24,DE,4,0,277,6-4,LSU,3/29/1990,1,0,Tennessee Titans / 5th / 142nd pick / 2013,EdwaLa00
89,Gavin Escobar,23,TE,16,1,247,6-5,San Diego St.,2/3/1991,1,1,Dallas Cowboys / 2nd / 47th pick / 2013,EscoGa00
72,Travis Frederick,23,C,16,16,320,6-4,Wisconsin,3/18/1991,1,12,Dallas Cowboys / 1st / 31st pick / 2013,FredTr00
68,Doug Free,30,T,11,11,324,6-6,Northern Illinois,1/6/1984,7,5,Dallas Cowboys / 4th / 122nd pick / 2007,FreeDo20
23,Jakar Hamilton,25,S,1,0,196,5-11,South Carolina St.,10/2/1989,1,0,,HamiJa00
84,James Hanna,25,TE,16,12,252,6-4,Oklahoma,7/14/1989,2,0,Dallas Cowboys / 6th / 186th pick / 2012,HannJa00
17,Dwayne Harris,27,WR,16,0,215,5-10,East Carolina,9/16/1987,3,1,Dallas Cowboys / 6th / 176th pick / 2011,HarrDw00
71,Donald Hawkins,22,G,1,0,310,6-5,Northwest Mississippi CCTexas,4/22/1992,Rook,0,,HawkDo01
96,Nick Hayden,28,DT,16,16,295,6-4,Wisconsin,2/4/1986,6,6,Carolina Panthers / 6th / 181st pick / 2008,HaydNi99
38,Jeff Heath,23,S,14,0,212,6-1,Saginaw Valley St.,5/14/1991,1,1,,HeatJe00
67,Tony Hills,30,T,3,0,305,6-5,Texas,11/4/1984,6,0,Pittsburgh Steelers / 4th / 130th pick / 2008,HillTo21
59,Anthony Hitchens,22,OLB,16,11,231,6-0,Iowa,6/10/1992,Rook,6,Dallas Cowboys / 4th / 119th pick / 2014,HitcAn00
6,Chris Jones,25,P,16,0,205,6-0,Carson-Newman,7/21/1989,3,2,,JoneCh02
91,L.P. Ladouceur,33,LS,16,0,256,6-5,California,3/13/1981,9,3,,LadoL.20
53,Cameron Lawrence,23,LB,16,0,234,6-2,Mississippi St.,1/20/1991,1,1,,LawrCa01
90,DeMarcus Lawrence,22,DE,7,0,265,6-3,Butler (KS)Boise St.,4/28/1992,Rook,1,Dallas Cowboys / 2nd / 34th pick / 2014,LawrDe00
65,Ronald Leary,25,G,15,15,320,6-3,Memphis,4/29/1989,2,7,,LearRo00
70,Zack Martin,24,G,16,16,315,6-4,Notre Dame,11/20/1990,Rook,15,Dallas Cowboys / 1st / 16th pick / 2014,MartZa00
55,Rolando McClain,25,MLB,13,12,254,6-3,Alabama,7/14/1989,4,6,Oakland Raiders / 1st / 8th pick / 2010,McClRo00
97,Terrell McClain,26,DL,13,0,300,6-2,South Florida,7/20/1988,3,1,Carolina Panthers / 3rd / 65th pick / 2011,McClTe00
69,Henry Melton,28,DE,16,3,280,6-3,Texas,10/11/1986,5,3,Chicago Bears / 4th / 105th pick / 2009,MeltHe99
92,Jeremy Mincey,31,DE,16,16,280,6-4,Florida,12/14/1983,7,7,New England Patriots / 6th / 191st pick / 2006,MincJe99
26,Sterling Moore,24,CB,16,7,200,5-9,LaneySMU,2/3/1990,3,4,,MoorSt00
29,DeMarco Murray,26,RB,16,16,220,6-1,Oklahoma,2/12/1988,3,18,Dallas Cowboys / 3rd / 71st pick / 2011,MurrDe00
78,Jermey Parnell,28,T,16,5,326,6-6,Mississippi,7/20/1986,3,3,,ParnJe00
20,Tyler Patmon,23,CB,11,0,188,5-10,Oklahoma St.,1/26/1991,Rook,1,,PatmTy00
31,Micah Pellerin,26,CB,3,0,195,6-0,Hampton,11/23/1988,2,0,,PellMi00
21,Joseph Randle,23,RB,16,0,204,6-0,Oklahoma St.,12/29/1991,1,3,Dallas Cowboys / 5th / 151st pick / 2013,RandJo01
9,Tony Romo,34,QB,15,15,230,6-2,Eastern Illinois,4/21/1980,10,14,,RomoTo00
32,Orlando Scandrick,27,DB,14,14,196,5-10,Boise St.,2/10/1987,6,6,Dallas Cowboys / 5th / 143rd pick / 2008,ScanOr99
99,George Selvie,27,DE,16,13,247,6-4,South Florida,3/6/1987,4,6,St. Louis Rams / 7th / 226th pick / 2010,SelvGe99
57,Keith Smith,22,LB,10,0,240,6-0,San Jose St.,4/8/1992,Rook,1,,SmitKe03
77,Tyron Smith,24,OT,16,16,320,6-5,USC,12/12/1990,3,15,Dallas Cowboys / 1st / 9th pick / 2011,SmitTy00
93,Anthony Spencer,30,DE,13,0,261,6-3,Purdue,1/23/1984,7,2,Dallas Cowboys / 1st / 26th pick / 2007,SpenAn99
37,C.J. Spillman,28,DB,16,0,192,6-0,Marshall,5/6/1986,5,1,,SpilCJ99
15,Devin Street,23,WR,16,0,200,6-3,Pittsburgh,3/30/1991,Rook,0,Dallas Cowboys / 5th / 146th pick / 2014,StreDe00
56,Korey Toomer,26,ILB,1,0,235,6-2,Idaho,12/9/1988,1,0,Seattle Seahawks / 5th / 154th pick / 2012,ToomKo00
56,Dekoda Watson,26,LB,1,0,245,6-2,Florida St.,3/3/1988,4,0,Tampa Bay Buccaneers / 7th / 217th pick / 2010,WatsDe99
3,Brandon Weeden,31,QB,5,1,227,6-3,Oklahoma St.,10/14/1983,2,1,Cleveland Browns / 1st / 22nd pick / 2012,WeedBr00
51,Kyle Wilber,25,OLB,16,3,240,6-4,Wake Forest,4/26/1989,2,2,Dallas Cowboys / 4th / 113th pick / 2012,WilbKy00
27,J.J. Wilcox,23,S,16,16,212,6-0,Georgia Southern,2/14/1991,1,7,Dallas Cowboys / 3rd / 80th pick / 2013,WilcJ.00
83,Terrance Williams,25,WR,16,16,210,6-2,Baylor,9/8/1989,1,6,Dallas Cowboys / 3rd / 74th pick / 2013,WillTe01
82,Jason Witten,32,TE,16,16,263,6-6,Tennessee,5/6/1982,11,7,Dallas Cowboys / 3rd / 69th pick / 2003,WittJa00
,Team Total,26,,16,,248.3,6-2.1,,,3.1,,,-9999
