No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
56,Bradlee Anae,22,DL,7,0,257,6-3,Utah,10/17/1998,Rook,1,Dallas Cowboys / 5th / 179th pick / 2020,$610000,AnaeBr00
95,Eli Ankou,26,DT,7,0,325,6-3,UCLA,6/8/1994,3,1,,$436765,AnkoEl00
92,Dorance Armstrong Jr.,23,DE,16,2,255,6-4,Kansas,6/10/1997,2,2,Dallas Cowboys / 4th / 116th pick / 2018,$750000,ArmsDo00
24,Chidobe Awuzie,25,CB,8,6,202,6-0,Colorado,5/24/1995,3,2,Dallas Cowboys / 2nd / 60th pick / 2017,$1049126,AwuzCh00
80,Blake Bell,29,TE,16,2,260,6-6,Oklahoma,8/7/1991,5,1,San Francisco 49ers / 4th / 117th pick / 2015,$1000000,BellBl00
44,Francis Bernard,25,LB,13,0,235,6-1,Utah,4/8/1995,Rook,1,,$466471,BernFr01
63,Tyler Biadasz,23,OL,12,4,316,6-3,Wisconsin,11/20/1997,Rook,2,Dallas Cowboys / 4th / 146th pick / 2020,$610000,BiadTy00
30,Anthony Brown,27,CB,10,8,196,5-11,Boston Col.Purdue,12/15/1993,4,3,Dallas Cowboys / 6th / 189th pick / 2016,$1750000,BrowAn02
85,Noah Brown,24,WR,16,1,225,6-2,Ohio St.,1/6/1996,3,1,Dallas Cowboys / 7th / 239th pick / 2017,$825000,BrowNo00
33,Deante Burton,26,WR,4,0,205,6-2,Kansas St.,7/12/1994,2,0,,$660000,BurtDe00
39,Brandon Carr,34,DB,3,0,210,6-0,Grand Valley St.,5/19/1986,12,0,Kansas City Chiefs / 5th / 140th pick / 2008,$988240,CarrBr99
97,Ron'Dell Carter,23,DE,3,0,269,6-3,RutgersJames Madison,7/3/1997,Rook,0,,,CartRo02
19,Amari Cooper,26,WR,16,15,210,6-1,Alabama,6/17/1994,5,9,Oakland Raiders / 1st / 4th pick / 2015,$10000000,CoopAm00
98,Tyrone Crawford,31,DE,16,3,290,6-4,Boise St.,11/22/1989,8,2,Dallas Cowboys / 3rd / 81st pick / 2012,$8000000,CrawTy00
14,Andy Dalton,33,QB,11,9,219,6-2,TCU,10/29/1987,9,5,Cincinnati Bengals / 2nd / 35th pick / 2011,$1000000,DaltAn00
27,Trevon Diggs,22,CB,12,11,195,6-2,Alabama,9/20/1998,Rook,4,Dallas Cowboys / 2nd / 51st pick / 2020,$610000,DiggTr00
7,Ben DiNucci,24,QB,3,1,210,,PittsburghJames Madison,11/24/1996,Rook,1,Dallas Cowboys / 7th / 231st pick / 2020,$610000,DiNuBe00
