No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
38,Mike Anderson,27,RB,16,12,230,6-0,Utah,9/21/1973,Rook,14,Denver Broncos / 6th / 189th pick / 2000,AndeMi00
92,Lester Archambeau,33,DE,3,0,275,6-5,Stanford,6/27/1967,10,0,Green Bay Packers / 7th / 186th pick / 1990,ArchLe20
3,Scott Bentley,26,K,1,0,203,6-0,Florida St.,4/10/1974,3,0,,bentlsco01
85,Robert Brooks,30,WR,4,0,177,6-0,South Carolina,6/23/1970,8,1,Green Bay Packers / 3rd / 62nd pick / 1992,BrooRo00
26,Eric Brown,25,DB,16,16,210,6-1,Mississippi St.,3/20/1975,2,7,Denver Broncos / 2nd / 61st pick / 1998,BrowEr21
27,Terrell Buckley,29,DB,16,16,180,5-10,Florida St.,6/7/1971,8,7,Green Bay Packers / 1st / 5th pick / 1992,BuckTe20
55,Keith Burns,28,MLB,13,0,235,6-2,Oklahoma St.,5/16/1972,6,1,Denver Broncos / 7th / 210th pick / 1994,BurnKe21
59,Glenn Cadrez,30,MLB,16,3,240,6-3,Houston,1/2/1970,8,2,New York Jets / 6th / 154th pick / 1992,CadrGl20
65,Cooper Carlisle,23,G,14,0,310,6-5,Florida,8/11/1977,Rook,1,Denver Broncos / 4th / 112th pick / 2000,CarlCo20
89,Dwayne Carswell,28,TE,16,16,290,6-3,Liberty,1/18/1972,6,5,,CarsDw00
86,Byron Chamberlain,29,TE,15,0,250,6-1,MissouriWayne State (NE),10/17/1971,5,3,Denver Broncos / 7th / 222nd pick / 1995,ChamBy00
88,Desmond Clark,23,TE,16,2,249,6-3,Wake Forest,4/20/1977,1,4,Denver Broncos / 6th / 179th pick / 1999,ClarDe00
48,George Coghill,30,DB,16,0,210,6-0,Wake Forest,3/30/1970,2,1,,CoghGe20
84,Chris Cole,23,WR,8,0,195,6-0,Texas A&M,11/12/1977,Rook,0,Denver Broncos / 3rd / 70th pick / 2000,ColeCh00
46,KaRon Coleman,22,RB,9,0,198,5-7,S.F. Austin,5/22/1978,Rook,1,,ColeKa00
39,Ray Crockett,33,DB,13,11,185,5-10,Baylor,1/5/1967,11,5,Detroit Lions / 4th / 86th pick / 1989,CrocRa20
30,Terrell Davis,28,RB,5,4,206,5-11,Long Beach St.Georgia,10/28/1972,5,2,Denver Broncos / 6th / 196th pick / 1995,DaviTe00
1,Jason Elam,30,K,13,0,194,5-11,Hawaii,3/8/1970,7,2,Denver Broncos / 3rd / 70th pick / 1993,elamxjas01
12,Gus Frerotte,29,QB,10,6,237,6-3,Tulsa,7/31/1971,6,8,Washington Redskins / 7th / 197th pick / 1994,FrerGu00
64,Lennie Friedman,24,G,16,8,295,6-3,Duke,8/13/1976,Rook,5,Denver Broncos / 2nd / 61st pick / 1999,FrieLe20
22,Olandis Gary,25,RB,1,0,218,5-11,MarshallGeorgia,5/18/1975,1,1,Denver Broncos / 4th / 127th pick / 1999,GaryOl00
52,Ian Gold,22,LB,16,0,223,6-0,Michigan,8/23/1978,Rook,2,Denver Broncos / 2nd / 40th pick / 2000,GoldIa00
14,Brian Griese,25,QB,10,10,214,6-3,Michigan,3/18/1975,2,12,Denver Broncos / 3rd / 91st pick / 1998,GrieBr00
29,Howard Griffith,33,RB,14,14,230,6-0,Illinois,11/17/1967,7,1,Indianapolis Colts / 9th / 236th pick / 1991,GrifHo00
34,Raymont Harris,30,RB,3,0,226,6-0,Ohio St.,12/23/1970,6,0,Chicago Bears / 4th / 114th pick / 1994,HarrRa00
96,Harald Hasselbach,33,DE,16,1,281,6-6,Washington,9/22/1967,6,2,,HassHa20
17,Jarious Jackson,23,QB,2,0,228,6-0,Notre Dame,5/3/1977,Rook,0,Denver Broncos / 7th / 214th pick / 2000,JackJa01
32,Billy Jenkins,26,DB,16,16,205,5-10,Howard,7/8/1974,3,7,,JenkBi20
60,K.C. Jones,26,C,16,0,275,6-1,Miami (FL),3/28/1974,Rook,1,,JoneK.20
77,Tony Jones,34,T,16,16,290,6-5,Western Carolina,5/24/1966,12,11,,JoneTo01
28,Kenoy Kennedy,23,DB,13,0,215,6-1,Arkansas,11/15/1977,Rook,1,Denver Broncos / 2nd / 45th pick / 2000,KennKe21
78,Matt Lepsis,26,T,16,16,290,6-4,Colorado,1/13/1974,2,11,,LepsMa20
2,Steve Lindsey,26,K,6,0,185,6-1,Mississippi,11/25/1974,1,0,,LindSt20
97,Mike Lodish,33,NT,16,0,275,6-3,UCLA,8/11/1967,10,1,Buffalo Bills / 10th / 265th pick / 1990,LodiMi20
87,Ed McCaffrey,32,WR,16,16,215,6-5,Stanford,8/17/1968,9,14,New York Giants / 3rd / 83rd pick / 1991,McCaEd00
83,Travis McGriff,24,WR,15,0,185,5-8,Florida,6/24/1976,1,1,Denver Broncos / 3rd / 93rd pick / 1999,McGrTr00
82,Billy Miller,23,TE,12,0,252,6-3,USC,4/24/1977,1,0,Denver Broncos / 7th / 218th pick / 1999,MillBi00
51,John Mobley,27,LB,15,14,236,6-1,Kutztown (PA),10/10/1973,4,6,Denver Broncos / 1st / 15th pick / 1996,MoblJo20
81,Scottie Montgomery,22,WR,4,0,195,6-1,Duke,5/26/1978,Rook,0,,MontSc00
66,Tom Nalen,29,C,16,16,286,6-3,Boston Col.,5/13/1971,6,17,Denver Broncos / 7th / 218th pick / 1994,NaleTo00
6,Joe Nedney,27,K,3,0,220,6-5,San Jose St.,3/22/1973,4,0,,nednejoe01
62,Dan Neil,27,G,16,16,285,6-2,Texas,10/21/1973,3,9,Denver Broncos / 3rd / 67th pick / 1997,NeilDa21
24,Deltha O'Neal,23,DB,16,0,194,5-11,California,1/30/1977,Rook,3,Denver Broncos / 1st / 15th pick / 2000,ONeaDe00
95,Kavika Pittman,26,DE,15,15,273,6-6,McNeese St.,10/9/1974,4,7,Dallas Cowboys / 2nd / 37th pick / 1996,PittKa20
31,Darryl Pounds,28,DB,9,0,185,5-10,Nicholls St.,7/21/1972,5,0,Washington Redskins / 3rd / 68th pick / 1995,PounDa20
93,Trevor Pryce,25,DT,16,16,290,6-5,MichiganClemson,8/3/1975,3,11,Denver Broncos / 1st / 28th pick / 1997,PrycTr00
99,Montae Reagor,23,DT,13,0,285,6-3,Texas Tech,6/29/1977,1,1,Denver Broncos / 2nd / 58th pick / 1999,ReagMo20
53,Bill Romanowski,34,LB,16,16,245,6-4,Boston Col.,4/2/1966,12,8,San Francisco 49ers / 3rd / 80th pick / 1988,RomaBi00
16,Tom Rouen,32,P,16,0,225,6-3,Colorado St.Colorado,6/9/1968,7,1,,rouentom01
58,Steve Russ,28,LB,2,0,245,6-4,Air Force,9/16/1972,3,0,Denver Broncos / 7th / 218th pick / 1995,RussSt20
69,Mark Schlereth,34,G,8,8,282,6-3,Idaho,1/25/1966,11,4,Washington Redskins / 10th / 263rd pick / 1989,SchlMa00
42,Detron Smith,26,RB,16,0,229,5-10,Texas A&M,2/25/1974,4,0,Denver Broncos / 3rd / 65th pick / 1996,SmitDe00
80,Rod Smith,30,WR,16,16,200,6-0,Missouri Southern,5/15/1970,5,18,,SmitRo01
33,Jimmy Spencer,31,DB,16,6,188,5-9,Florida,3/29/1969,8,4,Washington Redskins / 8th / 215th pick / 1991,SpenJi21
35,Jason Suttle,26,DB,5,0,182,5-10,Wisconsin,12/2/1974,1,1,,SuttJa20
98,Maa Tanuvasa,30,DE,16,16,270,6-2,Hawaii,11/6/1970,5,8,Los Angeles Rams / 8th / 209th pick / 1993,TanuMa20
70,Trey Teague,26,C,2,0,300,6-5,Tennessee,12/27/1974,1,0,Denver Broncos / 7th / 200th pick / 1998,TeagTr20
94,Keith Traylor,31,DT,16,16,337,6-2,OklahomaCentral Oklahoma,9/3/1969,9,7,Denver Broncos / 3rd / 61st pick / 1991,TrayKe20
56,Al Wilson,23,LB,15,14,240,6-0,Tennessee,6/21/1977,1,7,Denver Broncos / 1st / 31st pick / 1999,WilsAl00
,Team Total,27.5,,16,,236.7,6-1.4,,,4.2,,,-9999
