No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
92,Cliff Avril,23,DE,13,11,260,6-3,Purdue,4/8/1986,1,4,Detroit Lions / 3rd / 92nd pick / 2008,AvriCl99
76,Jeff Backus,32,T,16,16,305,6-5,Michigan,9/21/1977,8,6,Detroit Lions / 1st / 18th pick / 2001,BackJe20
52,Darnell Bing,25,DB,4,0,232,6-2,USC,9/10/1984,1,1,Oakland Raiders / 4th / 101st pick / 2006,BingDa00
21,Aaron Brown,24,RB,15,2,196,6-0,TCU,10/10/1985,Rook,1,Detroit Lions / 6th / 192nd pick / 2009,BrowAa00
94,Copeland Bryan,26,DE,5,1,253,6-4,Arizona,7/14/1983,2,1,,BryaCo99
31,Phillip Buchanon,29,DB,13,11,190,5-11,Miami (FL),9/19/1980,7,3,Oakland Raiders / 1st / 17th pick / 2002,BuchPh20
77,Gosder Cherilus,25,T,15,15,315,6-7,Boston Col.,6/28/1984,1,6,Detroit Lions / 1st / 17th pick / 2008,CherGo20
46,Vinny Ciurciu,29,MLB,9,0,240,6-0,ClemsonBoston Col.,5/2/1980,6,0,,CiurVi20
60,Joe Cohen,25,DT,7,0,315,6-2,Florida,6/6/1984,Rook,0,San Francisco 49ers / 4th / 135th pick / 2007,CoheJo00
98,Landon Cohen,23,DT,14,4,274,6-3,Ohio,8/3/1986,1,2,Detroit Lions / 7th / 216th pick / 2008,CoheLa99
11,Daunte Culpepper,32,QB,8,5,260,6-4,Central Florida,1/28/1977,10,1,Minnesota Vikings / 1st / 11th pick / 1999,CulpDa00
91,Chartric Darby,34,DT,2,0,270,6-0,South Carolina St.,10/22/1975,8,0,,DarbCh20
26,Louis Delmas,22,DB,15,15,197,5-11,Western Michigan,4/12/1987,Rook,5,Detroit Lions / 2nd / 33rd pick / 2009,DelmLo99
57,Jordon Dizon,23,LB,16,0,228,6-0,Colorado,1/16/1986,1,1,Detroit Lions / 2nd / 45th pick / 2008,DizoJo99
38,Demarcus Faggins,30,DB,2,0,178,5-10,Kansas St.,6/13/1979,7,0,Houston Texans / 6th / 173rd pick / 2002,FaggDe20
45,Jerome Felton,23,RB,13,8,246,6-0,Furman,7/3/1986,1,1,Detroit Lions / 5th / 146th pick / 2008,FeltJe00
16,Yamon Figurs,26,WR,3,0,174,6-0,Kansas St.,1/10/1983,2,0,Baltimore Ravens / 3rd / 74th pick / 2007,FiguYa00
82,Casey Fitzsimmons,29,TE,12,1,258,6-4,Carroll (MT),10/10/1980,6,1,,FitzCa00
96,Andre Fluellen,24,DT,14,3,285,6-2,Florida St.,3/7/1985,1,2,Detroit Lions / 3rd / 87th pick / 2008,FlueAn99
49,Zack Follett,22,LB,12,0,231,6-2,California,7/3/1987,Rook,1,Detroit Lions / 7th / 235th pick / 2009,FollZa99
55,Larry Foote,29,LB,14,14,239,6-1,Michigan,6/12/1980,7,5,Pittsburgh Steelers / 4th / 128th pick / 2002,FootLa20
18,Eric Fowler,25,WR,3,0,208,6-2,Grand Valley St.,10/17/1984,Rook,0,,FowlEr20
65,Dylan Gandy,27,G,15,5,295,6-3,Texas Tech,3/8/1982,4,3,Indianapolis Colts / 4th / 129th pick / 2005,GandDy20
47,Dan Gronkowski,24,TE,2,0,255,6-6,Maryland,1/21/1985,Rook,0,Detroit Lions / 7th / 255th pick / 2009,GronDa00
4,Jason Hanson,39,K,16,0,190,6-0,Washington St.,6/17/1970,17,3,Detroit Lions / 2nd / 56th pick / 1992,hansojas01
2,Nick Harris,31,P,16,0,218,6-2,California,7/23/1978,8,2,Denver Broncos / 4th / 120th pick / 2001,HarrNi20
89,Will Heller,28,TE,16,9,275,6-6,Georgia Tech,2/28/1981,6,2,,HellWi00
32,Anthony Henry,33,DB,14,6,207,6-1,South Florida,11/3/1976,8,2,Cleveland Browns / 4th / 97th pick / 2001,HenrAn20
79,Sammie Lee Hill,23,DT,13,12,331,6-4,Stillman,11/8/1986,Rook,4,Detroit Lions / 4th / 115th pick / 2009,HillSa99
23,Kevin Hobbs,23,DB,14,2,188,6-0,Auburn,11/8/1986,2,1,,HobbKe99
58,Nathan Hodel,32,TE,1,0,249,6-2,Illinois,11/12/1977,7,0,,HodeNa20
97,Jason Hunter,26,DE,14,9,270,6-4,Appalachian St.,8/28/1983,3,4,,HuntJa24
90,Grady Jackson,36,DT,15,13,345,6-2,Knoxville,1/21/1973,12,4,Oakland Raiders / 6th / 193rd pick / 1997,JackGr20
68,Jon Jansen,33,T,11,2,305,6-6,Michigan,1/28/1976,10,1,Washington Redskins / 2nd / 37th pick / 1999,JansJo20
17,Adam Jennings,27,WR,1,0,180,5-9,Fresno St.,11/17/1982,3,0,Atlanta Falcons / 6th / 184th pick / 2006,JennAd00
80,Bryant Johnson,28,WR,16,16,212,6-3,Penn St.,3/7/1981,6,3,Arizona Cardinals / 1st / 17th pick / 2003,JohnBr02
81,Calvin Johnson,24,WR,14,14,237,6-5,Georgia Tech,9/29/1985,2,7,Detroit Lions / 1st / 2nd pick / 2007,JohnCa00
29,Eric King,27,DB,4,1,190,5-10,Wake Forest,5/10/1982,4,0,Buffalo Bills / 5th / 156th pick / 2005,KingEr20
54,DeAndre Levy,22,MLB,16,10,230,6-2,Wisconsin,3/26/1987,Rook,4,Detroit Lions / 3rd / 76th pick / 2009,LevyDe99
70,Daniel Loper,27,T,8,5,320,6-6,Texas Tech,1/15/1982,3,2,Tennessee Titans / 5th / 150th pick / 2005,LopeDa20
40,Marquand Manuel,30,DB,9,6,213,6-0,Florida,7/11/1979,7,2,Cincinnati Bengals / 6th / 181st pick / 2002,ManuMa20
83,Michael Matthews,26,TE,3,0,270,6-4,Georgia Tech,10/9/1983,2,0,,MattMi00
75,Turk McBride,24,DT,11,4,285,6-4,Tennessee,5/30/1985,2,2,Kansas City Chiefs / 2nd / 54th pick / 2007,McBrTu99
25,Marcus McCauley,26,DB,1,0,203,6-1,Fresno St.,9/3/1983,2,0,Minnesota Vikings / 3rd / 72nd pick / 2007,McCaMa99
28,Maurice Morris,30,RB,14,3,216,5-11,Oregon,12/1/1979,7,4,Seattle Seahawks / 2nd / 54th pick / 2002,MorrMa00
48,Don Muhlbach,28,C,15,0,258,6-4,Texas A&M,8/17/1981,5,2,,MuhlDo20
85,Jake Nordin,25,TE,4,1,261,6-3,Northern Illinois,7/8/1984,2,0,,NordJa00
86,Dennis Northcutt,32,WR,16,2,175,5-11,Arizona,12/22/1977,9,3,Cleveland Browns / 2nd / 32nd pick / 2000,NortDe00
24,Kalvin Pearson,31,DB,12,0,200,5-10,MorehouseGrambling St.,10/22/1978,7,1,,PearKa20
35,Cedric Peerman,23,RB,2,0,212,5-10,Virginia,10/10/1986,Rook,0,Baltimore Ravens / 6th / 185th pick / 2009,PeerCe00
66,Stephen Peterman,27,G,9,9,323,6-4,LSU,1/11/1982,4,3,Dallas Cowboys / 3rd / 83rd pick / 2004,PeteSt20
59,Julian Peterson,31,LB,16,14,245,6-3,Michigan St.,7/28/1978,9,5,San Francisco 49ers / 1st / 16th pick / 2000,PeteJu00
41,Will Peterson,30,DB,16,14,200,6-0,MichiganWestern Illinois,6/15/1979,8,4,New York Giants / 3rd / 78th pick / 2001,PeteWi20
84,Brandon Pettigrew,24,TE,11,11,257,6-5,Oklahoma St.,2/23/1985,Rook,2,Detroit Lions / 1st / 20th pick / 2009,PettBr00
51,Dominic Raiola,31,C,16,16,295,6-1,Nebraska,12/30/1978,8,6,Detroit Lions / 2nd / 50th pick / 2001,RaioDo20
63,Manuel Ramirez,26,G,13,12,326,6-3,Texas Tech,2/19/1983,2,5,Detroit Lions / 4th / 117th pick / 2007,RamiMa20
74,Ephraim Salaam,33,T,5,0,310,6-7,San Diego St.,6/19/1976,11,0,Atlanta Falcons / 7th / 199th pick / 1998,SalaEp20
30,Ko Simpson,26,DB,8,5,202,6-1,South Carolina,11/9/1983,3,2,Buffalo Bills / 4th / 105th pick / 2006,SimpKo20
50,Ernie Sims,25,LB,11,8,233,6-0,Florida St.,12/23/1984,3,3,Detroit Lions / 1st / 9th pick / 2006,SimsEr20
39,DeAngelo Smith,23,DB,7,1,191,5-11,Cincinnati,7/17/1986,Rook,1,Dallas Cowboys / 5th / 143rd pick / 2009,SmitDe98
34,Kevin Smith,23,RB,13,13,210,6-0,Central Florida,12/17/1986,1,5,Detroit Lions / 3rd / 64th pick / 2008,SmitKe02
44,Terrelle Smith,31,FB,8,0,246,6-0,Arizona St.,3/12/1978,9,0,New Orleans Saints / 4th / 96th pick / 2000,SmitTe00
9,Matthew Stafford,21,QB,10,10,220,6-3,Georgia,2/7/1988,Rook,3,Detroit Lions / 1st / 1st pick / 2009,StafMa00
16,John Standeford,27,WR,2,0,200,6-4,Purdue,4/15/1982,1,0,,StanJo00
5,Drew Stanton,25,QB,3,1,226,6-3,Michigan St.,5/7/1984,1,1,Detroit Lions / 2nd / 43rd pick / 2007,StanDr00
99,Dewayne White,30,DE,10,5,273,6-2,Louisville,10/19/1979,6,2,Tampa Bay Buccaneers / 2nd / 64th pick / 2003,WhitDe20
25,Marvin White,26,DB,10,6,199,6-1,TCU,12/5/1983,2,2,Cincinnati Bengals / 4th / 114th pick / 2007,WhitMa99
12,Derrick Williams,23,WR,11,0,197,5-11,Penn St.,7/6/1986,Rook,0,Detroit Lions / 3rd / 82nd pick / 2009,WillDe05
42,Jack Williams,24,DB,1,0,181,5-8,Kent St.,3/27/1985,1,0,Denver Broncos / 4th / 119th pick / 2008,WillJa96
36,Brian Witherspoon,24,DB,1,0,175,5-10,Stillman,6/5/1985,1,0,,WithBr20
33,Jahi Word-Daniels,23,DB,2,0,193,6-0,Georgia Tech,11/19/1986,Rook,0,,WordJa99
,Team Total,27,,16,,240.1,6-1.7,,,3.9,,,-9999
