No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
76,Oday Aboushi,29,OT,16,8,308,6-5,Virginia,6/5/1991,7,4,New York Jets / 5th / 141st pick / 2013,$1050000,AbouOd00
39,Jamal Agnew,25,WR/CB,14,2,190,5-10,San Diego,4/3/1995,3,2,Detroit Lions / 5th / 165th pick / 2017,$825000,AgneJa00
80,Danny Amendola,35,WR,14,5,185,5-11,Texas Tech,11/2/1985,11,5,,$1500000,AmenDa00
10,David Blough,25,QB,1,0,205,6-1,Purdue,7/31/1995,1,0,,$430588,BlouDa00
31,Tramaine Brock,32,DB,1,0,188,6-0,MinnesotaBelhaven,8/20/1988,10,0,,,BrocTr00
62,Evan Brown,24,C,2,0,320,6-3,SMU,9/16/1996,2,0,,,BrowEv00
94,Austin Bryant,24,EDGE,6,1,260,6-5,Clemson,11/12/1996,1,1,Detroit Lions / 4th / 117th pick / 2019,$557353,BryaAu00
86,Hunter Bryant,22,TE,5,0,239,6-2,Washington,8/20/1998,Rook,0,,$461763,BryaHu02
53,Jason Cabinda,24,ILB,16,2,240,6-1,Penn St.,3/17/1996,2,2,,$750000,CabiJa00
87,Quintez Cephus,22,WR,13,2,208,6-1,Wisconsin,4/1/1998,Rook,3,Detroit Lions / 5th / 166th pick / 2020,$610000,CephQu00
27,Justin Coleman,27,CB,11,5,190,5-11,Tennessee,3/27/1993,5,2,,$6950000,ColeJu01
58,Jamie Collins,31,OLB,14,14,255,6-3,Southern Miss,10/20/1989,7,5,New England Patriots / 2nd / 52nd pick / 2013,$4000000,CollJa00
65,Tyrell Crosby,25,OT,12,11,310,6-4,Oregon,9/5/1995,2,6,Detroit Lions / 5th / 153rd pick / 2018,$750000,CrosTy00
66,Joe Dahl,27,OG,9,4,310,6-4,Washington St.,4/9/1993,4,2,Detroit Lions / 5th / 151st pick / 2016,$1475000,DahlJo00
4,Chase Daniel,34,QB,4,0,218,6-0,Missouri,10/7/1986,11,1,,$1250000,DaniCh00
40,Jarrad Davis,26,ILB,14,4,245,6-1,Florida,11/16/1994,3,2,Detroit Lions / 1st / 21st pick / 2017,$1960798,DaviJa01
68,Taylor Decker,27,OT,16,16,318,6-7,Ohio St.,8/23/1993,4,8,Detroit Lions / 1st / 16th pick / 2016,$6850000,DeckTa00
90,Trey Flowers,27,DE,7,5,265,6-2,Arkansas,8/16/1993,5,2,New England Patriots / 4th / 101st pick / 2015,$11125000,FlowTr00
38,Mike Ford,25,CB,9,1,194,6-0,SE Missouri St.,8/4/1995,2,1,,$644120,FordMi01
3,Jack Fox,24,P,16,0,215,6-2,Rice,9/1/1996,Rook,3,,$610000,FoxxJa01
19,Kenny Golladay,27,WR,5,5,213,6-4,Northern Illinois,11/3/1993,3,3,Detroit Lions / 3rd / 96th pick / 2017,$2133000,GollKe00
98,Everson Griffen,33,DE,7,2,273,6-3,USC,12/22/1987,10,1,Minnesota Vikings / 4th / 100th pick / 2010,$1764706,GrifEv99
17,Marvin Hall,27,WR,11,5,190,5-10,Washington,4/10/1993,3,2,,$825000,HallMa02
93,Da'Shawn Hand,25,DE,10,1,297,6-3,Alabama,11/14/1995,2,1,Detroit Lions / 4th / 114th pick / 2018,$750000,HandDa00
26,Duron Harmon,29,FS,16,16,205,6-0,Rutgers,1/24/1991,7,4,New England Patriots / 3rd / 91st pick / 2013,$3500000,HarmDu00
25,Will Harris,25,S,16,5,206,6-1,Boston Col.,12/19/1995,1,2,Detroit Lions / 3rd / 81st pick / 2019,$675000,HarrWi02
75,Frank Herron,26,DL,4,0,305,6-4,LSU,7/9/1994,1,0,,$585000,HerrFr00
88,T.J. Hockenson,23,TE,16,16,248,6-5,Iowa,7/3/1997,1,6,Detroit Lions / 1st / 8th pick / 2019,$675000,HockTJ00
64,Albert Huggins,23,DL,1,0,305,6-3,Clemson,6/27/1997,1,0,,,HuggAl01
73,Jonah Jackson,23,OL,16,16,308,6-4,RutgersOhio St.,2/5/1997,Rook,7,Detroit Lions / 3rd / 75th pick / 2020,$610000,JackJo03
83,Jesse James,26,TE,16,7,251,6-7,Penn St.,6/4/1994,5,1,Pittsburgh Steelers / 5th / 160th pick / 2015,$3800000,JameJe00
33,Kerryon Johnson,23,RB,16,2,211,5-11,Auburn,6/30/1997,2,3,Detroit Lions / 2nd / 43rd pick / 2018,$1071245,JohnKe06
31,Ty Johnson,23,RB,2,0,210,5-10,Maryland,9/17/1997,1,0,Detroit Lions / 6th / 186th pick / 2019,$675000,JohnTy02
41,Chris Jones,25,CB,1,0,200,6-0,Nebraska,8/13/1995,2,0,,$705882,JoneCh06
52,Christian Jones,29,ILB,16,13,245,6-3,Florida St.,2/18/1991,6,5,,$910000,JoneCh05
11,Marvin Jones,30,WR,16,16,199,6-2,California,3/12/1990,8,8,Cincinnati Bengals / 5th / 166th pick / 2012,$6500000,JoneMa02
42,Jayron Kearse,26,SS,11,7,215,6-4,Clemson,2/11/1994,4,2,Minnesota Vikings / 7th / 244th pick / 2016,$823530,KearJa00
35,Miles Killebrew,27,SS,15,0,222,6-2,Southern Utah,5/10/1993,4,1,Detroit Lions / 4th / 111th pick / 2016,$1862500,KillMi00
55,Elijah Lee,24,OLB,4,0,230,6-3,Kansas St.,2/8/1996,3,0,Minnesota Vikings / 7th / 232nd pick / 2017,$825000,LeexEl00
69,Kareem Martin,28,DE,1,0,272,6-6,North Carolina,2/19/1992,6,0,Arizona Cardinals / 3rd / 84th pick / 2014,,MartKa00
60,Marcus Martin,27,C,2,0,330,6-3,USC,11/29/1993,6,0,San Francisco 49ers / 3rd / 70th pick / 2014,,MartMa01
34,Tony McRae,27,CB,8,0,185,5-10,North Carolina A&T,5/3/1993,3,0,,$910000,McRaTo00
49,C.J. Moore,25,DB,12,0,197,5-11,Mississippi,12/15/1995,1,1,,$675000,MoorCJ01
48,Don Muhlbach,39,C,16,0,258,6-4,Texas A&M,8/17/1981,16,2,,$1050000,MuhlDo20
43,Alexander Myres,24,DB,1,0,192,5-11,Houston,4/20/1996,Rook,0,,,MyreAl00
89,Isaac Nauta,23,TE,7,0,246,6-3,Georgia,5/21/1997,1,0,Detroit Lions / 7th / 224th pick / 2019,$441176,NautIs00
67,Matt Nelson,25,T,16,1,316,6-7,Iowa,12/19/1995,Rook,2,,$610000,NelsMa00
30,Jeff Okudah,21,CB,9,6,202,6-1,Ohio St.,2/2/1999,Rook,2,Detroit Lions / 1st / 3rd pick / 2020,$610000,OkudJe00
99,Julian Okwara,23,DL,6,0,245,6-4,Notre Dame,12/27/1997,Rook,0,Detroit Lions / 3rd / 67th pick / 2020,$474116,OkwaJu00
95,Romeo Okwara,25,DE,16,9,255,6-4,Notre Dame,6/17/1995,4,4,,$2750000,OkwaRo01
24,Amani Oruwariye,24,CB,16,15,205,6-2,Penn St.,2/9/1996,1,4,Detroit Lions / 5th / 146th pick / 2019,$675000,OruwAm00
91,John Penisini,23,DL,16,12,335,6-2,Utah,5/31/1997,Rook,5,Detroit Lions / 6th / 197th pick / 2020,$610000,PeniJo00
28,Adrian Peterson,35,RB,16,10,220,6-1,Oklahoma,3/21/1985,13,5,Minnesota Vikings / 1st / 7th pick / 2007,$1050000,PeteAd01
5,Matt Prater,36,K,16,0,201,5-10,Central Florida,8/10/1984,13,2,,$2700000,PratMa20
47,Bobby Price,22,DB,2,0,208,6-3,Norfolk St.,4/25/1998,Rook,0,,,PricBo00
59,Reggie Ragland,27,ILB,16,6,252,6-2,Alabama,9/23/1993,3,3,Buffalo Bills / 2nd / 41st pick / 2016,$825000,RaglRe00
77,Frank Ragnow,24,C,14,14,311,6-5,Arkansas,5/17/1996,2,9,Detroit Lions / 1st / 20th pick / 2018,$1550922,RagnFr00
44,Jalen Reeves-Maybin,25,OLB,16,0,230,6-1,Tennessee,1/31/1995,3,1,Detroit Lions / 4th / 124th pick / 2017,$825000,ReevJa00
29,Darryl Roberts,30,CB,11,5,190,6-0,Marshall,11/26/1990,4,2,New England Patriots / 7th / 247th pick / 2015,$1000000,RobeDa00
12,Mohamed Sanu,31,WR,7,4,210,6-2,Rutgers,8/23/1989,8,2,Cincinnati Bengals / 3rd / 83rd pick / 2012,,SanuMo00
71,Danny Shelton,27,DT,12,12,345,6-2,Washington,8/20/1993,5,4,Cleveland Browns / 1st / 12th pick / 2015,$1500000,ShelDa01
70,Dan Skipper,26,OT,5,0,325,6-9,Arkansas,9/20/1994,3,0,,$675000,SkipDa00
9,Matthew Stafford,32,QB,16,16,220,6-3,Georgia,2/7/1988,11,13,Detroit Lions / 1st / 1st pick / 2009,$7200000,StafMa00
61,Logan Stenberg,23,OL,2,0,315,6-6,Kentucky,3/18/1997,Rook,0,Detroit Lions / 4th / 121st pick / 2020,$610000,StenLo00
92,Kevin Strong,24,DT,6,1,295,6-4,Texas-San Antonio,8/5/1996,1,1,,$585000,StroKe00
32,D'Andre Swift,21,RB,13,4,211,5-9,Georgia,1/14/1999,Rook,6,Detroit Lions / 2nd / 35th pick / 2020,$610000,SwifDA00
51,Jahlani Tavai,24,LB,16,10,250,6-2,Hawaii,9/28/1996,1,4,Detroit Lions / 2nd / 43rd pick / 2019,$808362,TavaJa00
23,Desmond Trufant,30,CB,6,6,190,6-0,Washington,9/10/1990,7,2,Atlanta Falcons / 1st / 22nd pick / 2013,$4500000,TrufDe00
72,Halapoulivaati Vaitai,27,OT,10,10,325,6-6,TCU,6/16/1993,4,5,Philadelphia Eagles / 5th / 164th pick / 2016,$4000000,VaitHa00
36,Dee Virgin,27,CB,2,0,195,5-9,West Alabama,10/29/1993,2,0,,,VirgDe00
21,Tracy Walker,25,S,15,7,206,6-1,Louisiana,2/1/1995,2,2,Detroit Lions / 3rd / 82nd pick / 2018,$750000,WalkTr01
79,Kenny Wiggins,32,T,4,0,315,6-6,Fresno St.,8/8/1988,9,0,,$986800,WiggKe00
41,Jonathan Williams,26,RB,5,0,217,6-0,Arkansas,2/2/1994,4,0,Buffalo Bills / 5th / 156th pick / 2016,$485294,WillJo07
97,Nick Williams,30,DT,14,13,310,6-4,Samford,2/21/1990,6,4,Pittsburgh Steelers / 7th / 223rd pick / 2013,$2900000,WillNi01
,Team Total,26.6,,16,,245.6,6-2.2,,,3.8,,,,-9999
