No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
84,Jared Abbrederis,25,WR,10,0,195,6-1,Wisconsin,12/17/1990,1,1,Green Bay Packers / 5th / 176th pick / 2014,AbbrJa00
17,Davante Adams,23,WR,13,12,215,6-1,Fresno St.,12/24/1992,1,4,Green Bay Packers / 2nd / 53rd pick / 2014,AdamDa01
86,Kennard Backman,22,TE,7,0,258,6-3,Ala-Birmingham,2/26/1993,Rook,0,Green Bay Packers / 6th / 213th pick / 2015,BackKe00
69,David Bakhtiari,24,OT,14,14,310,6-4,Colorado,9/30/1991,2,7,Green Bay Packers / 4th / 109th pick / 2013,BakhDa00
32,Chris Banjo,25,S,16,1,207,5-10,SMU,2/26/1990,2,1,,BanjCh00
67,Don Barclay,26,G,16,5,305,6-4,West Virginia,4/18/1989,3,3,,BarcDo00
58,Sam Barrington,25,ILB,1,1,246,6-1,South Florida,10/5/1990,2,0,Green Bay Packers / 7th / 232nd pick / 2013,BarrSa00
93,Josh Boyd,26,DT,2,0,310,6-3,Mississippi St.,8/3/1989,2,0,Green Bay Packers / 5th / 167th pick / 2013,BoydJo00
75,Bryan Bulaga,26,T,12,12,314,6-5,Iowa,3/21/1989,5,6,Green Bay Packers / 1st / 23rd pick / 2010,BulaBr20
42,Morgan Burnett,26,DB,11,11,210,6-1,Georgia Tech,1/13/1989,5,4,Green Bay Packers / 3rd / 71st pick / 2010,BurnMo99
21,Ha Ha Clinton-Dix,23,FS,16,16,211,6-1,Alabama,12/21/1992,1,6,Green Bay Packers / 1st / 21st pick / 2014,ClinHa00
18,Randall Cobb,25,WR,16,15,195,5-10,Kentucky,8/22/1990,4,8,Green Bay Packers / 2nd / 64th pick / 2011,CobbRa00
38,John Crockett,23,RB,2,0,215,6-0,North Dakota St.,2/16/1992,Rook,0,,CrocJo00
2,Mason Crosby,31,K,16,0,207,6-1,Colorado,9/3/1984,8,4,Green Bay Packers / 6th / 193rd pick / 2007,CrosMa20
76,Mike Daniels,26,DT,16,16,310,6-0,Iowa,5/5/1989,3,9,Green Bay Packers / 4th / 132nd pick / 2012,DaniMi00
91,Jayrone Elliott,24,LB,14,0,240,6-3,Toledo,11/11/1991,1,2,,ElliJa02
99,Bruce Gaston,24,DT,2,0,308,6-2,Purdue,11/29/1991,1,0,,GastBr00
61,Brett Goode,31,LB,14,0,255,6-1,Arkansas,11/2/1984,7,2,,GoodBr99
39,Demetri Goodson,26,CB,14,0,197,5-11,Baylor,6/11/1989,1,1,Green Bay Packers / 6th / 197th pick / 2014,GoodDe00
98,Letroy Guion,28,DT,13,4,295,6-4,Florida St.,6/21/1987,7,3,Minnesota Vikings / 5th / 152nd pick / 2008,GuioLe99
36,Ladarius Gunter,23,CB,8,0,200,6-2,Miami (FL),5/13/1992,Rook,0,,GuntLa00
46,Alonzo Harris,23,RB,6,0,237,6-1,Louisiana,11/9/1992,Rook,0,,HarrAl00
29,Casey Hayward,26,DB,16,11,192,5-11,Vanderbilt,9/9/1989,3,4,Green Bay Packers / 2nd / 62nd pick / 2012,HaywCa00
