No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
17,Davante Adams,28,WR,14,14,215,6-1,Fresno St.,12/24/1992,6,16,Green Bay Packers / 2nd / 53rd pick / 2014,$12000000,AdamDa01
90,Montravius Adams,25,DT,8,0,304,6-3,Auburn,7/24/1995,3,1,Green Bay Packers / 3rd / 93rd pick / 2017,$825000,AdamMo00
23,Jaire Alexander,23,CB,15,15,196,5-10,Louisville,2/9/1997,2,11,Green Bay Packers / 1st / 18th pick / 2018,$1575522,AlexJa00
31,Adrian Amos,27,FS,16,16,214,6-0,Penn St.,4/29/1993,5,6,Chicago Bears / 5th / 142nd pick / 2015,$1750000,AmosAd00
16,Tavon Austin,30,WR,4,0,179,5-8,West Virginia,3/15/1990,7,0,St. Louis Rams / 1st / 8th pick / 2013,,AustTa00
69,David Bakhtiari,29,OT,12,12,310,6-4,Colorado,9/30/1991,7,15,Green Bay Packers / 4th / 109th pick / 2013,$10500000,BakhDa00
51,Krys Barnes,22,LB,13,10,229,6-2,UCLA,4/2/1998,Rook,5,,$610000,BarnKr00
84,Reggie Begelton,27,WR,1,0,200,6-0,Lamar,8/31/1993,Rook,0,,,BegeRe00
41,Henry Black,23,DB,8,0,204,6-0,Baylor,1/3/1997,Rook,1,,,BlacHe00
8,Tim Boyle,26,QB,8,0,233,6-4,ConnecticutEast. Kentucky,10/3/1994,2,0,,$750000,BoylTi00
64,Ben Braden,26,OG,4,0,329,6-6,Michigan,3/9/1994,2,0,,,BradBe00
43,Hunter Bradley,26,LS,16,0,241,6-3,Mississippi St.,5/21/1994,2,1,Green Bay Packers / 7th / 239th pick / 2018,$750000,BradHu00
57,James Burgess,26,LB,4,0,230,6-0,Louisville,3/9/1994,3,0,,$533824,BurgJa01
42,Oren Burks,25,ILB,16,0,233,6-3,Vanderbilt,3/21/1995,2,1,Green Bay Packers / 3rd / 88th pick / 2018,$750000,BurkOr00
97,Kenny Clark,25,DT,13,13,314,6-3,UCLA,10/4/1995,4,6,Green Bay Packers / 1st / 27th pick / 2016,$1690000,ClarKe01
2,Mason Crosby,36,K,16,0,207,6-1,Colorado,9/3/1984,13,5,Green Bay Packers / 6th / 193rd pick / 2007,$1400000,CrosMa20
49,Dominique Dafney,23,TE,5,2,243,6-2,IowaIndiana St.,6/3/1997,Rook,0,,,DafnDo00
