No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
52,Xavier Adibi,25,MLB,16,0,220,6-2,Virginia Tech,10/18/1984,1,1,Houston Texans / 4th / 118th pick / 2008,AdibXa99
89,David Anderson,26,WR,16,8,192,5-10,Colorado St.,7/28/1983,3,3,Houston Texans / 7th / 251st pick / 2006,AndeDa01
34,Dominique Barber,23,DB,13,6,211,6-0,Minnesota,8/2/1986,1,3,Houston Texans / 6th / 173rd pick / 2008,BarbDo99
98,Connor Barwin,23,DE,16,0,255,6-4,Cincinnati,10/15/1986,Rook,2,Houston Texans / 2nd / 46th pick / 2009,BarwCo99
32,Fred Bennett,26,DB,10,3,196,6-1,South Carolina,12/31/1983,2,1,Houston Texans / 4th / 123rd pick / 2007,BennFr99
57,Kevin Bentley,30,MLB,16,0,248,6-0,Northwestern,12/29/1979,7,1,Cleveland Browns / 4th / 101st pick / 2002,BentKe20
65,Mike Brisiel,26,G,5,5,310,6-5,Colorado St.,3/14/1983,2,3,,BrisMi20
22,Chris Brown,28,RB,14,4,235,6-3,Colorado,4/17/1981,6,2,Tennessee Titans / 3rd / 93rd pick / 2003,BrowCh03
76,Duane Brown,24,LT,16,16,315,6-4,Virginia Tech,8/30/1985,1,8,Houston Texans / 1st / 26th pick / 2008,BrowDu20
3,Kris Brown,33,K,16,0,215,5-11,Nebraska,12/23/1976,10,0,Pittsburgh Steelers / 7th / 228th pick / 1999,brownkri01
93,Tim Bulman,27,DT,15,1,281,6-4,Boston Col.,10/31/1982,4,2,,BulmTi20
40,John Busing,26,DB,16,4,218,6-2,Miami (OH),9/1/1983,3,2,,BusiJo20
78,Rashad Butler,26,T,16,0,317,6-4,Miami (FL),2/10/1983,2,1,Carolina Panthers / 3rd / 89th pick / 2006,ButlRa20
62,Antoine Caldwell,23,C,11,3,307,6-3,Alabama,4/19/1986,Rook,2,Houston Texans / 3rd / 77th pick / 2009,CaldAn20
53,Khary Campbell,30,MLB,1,0,224,6-2,Bowling Green,4/4/1979,7,0,,CampKh20
86,James Casey,25,TE,15,0,235,6-3,Rice,9/22/1984,Rook,1,Houston Texans / 5th / 152nd pick / 2009,CaseJa00
95,Shaun Cody,26,DT,14,13,307,6-4,USC,1/22/1983,4,6,Detroit Lions / 2nd / 37th pick / 2005,CodySh20
56,Brian Cushing,22,LB,16,16,255,6-3,USC,1/24/1987,Rook,11,Houston Texans / 1st / 15th pick / 2009,CushBr99
81,Owen Daniels,27,TE,8,8,245,6-3,Wisconsin,11/9/1982,3,5,Houston Texans / 4th / 98th pick / 2006,DaniOw00
11,Andre' Davis,30,WR,14,1,195,6-1,Virginia Tech,6/12/1979,7,1,Cleveland Browns / 2nd / 47th pick / 2002,DaviAn01
54,Zach Diles,24,MLB,16,12,240,6-0,Kansas St.,6/11/1985,2,6,Houston Texans / 7th / 218th pick / 2007,DileZa99
85,Joel Dreessen,27,TE,16,11,245,6-4,Colorado St.,7/26/1982,4,3,New York Jets / 6th / 198th pick / 2005,DreeJo00
25,Nick Ferguson,35,DB,10,1,201,5-11,Morris BrownGeorgia Tech,11/27/1974,9,1,,FergNi20
27,Arian Foster,23,RB,6,1,227,6-1,Tennessee,8/24/1986,Rook,3,,FostAr00
5,Rex Grossman,29,QB,1,0,225,6-1,Florida,8/23/1980,6,0,Chicago Bears / 1st / 22nd pick / 2003,GrosRe00
87,Anthony Hill,24,TE,5,0,264,6-5,North Carolina St.,1/2/1985,Rook,0,Houston Texans / 4th / 122nd pick / 2009,HillAn00
96,Tim Jamison,23,DE,6,0,263,6-3,Michigan,2/26/1986,Rook,0,,JamiTi99
80,Andre Johnson,28,WR,16,16,229,6-3,Miami (FL),7/11/1981,6,14,Houston Texans / 1st / 3rd pick / 2003,JohnAn02
12,Jacoby Jones,25,WR,14,1,192,6-3,Lane,7/11/1984,2,5,Houston Texans / 3rd / 73rd pick / 2007,JoneJa03
44,Vonta Leach,28,RB,16,4,260,6-0,East Carolina,11/6/1981,5,1,,LeacVo00
17,Glenn Martinez,28,WR,7,0,195,6-1,Saginaw Valley St.,11/30/1981,4,0,,MartGl00
41,Brice McCain,23,DB,16,1,190,5-9,Utah,12/10/1986,Rook,1,Houston Texans / 6th / 188th pick / 2009,McCaBr99
21,Ryan Moats,27,RB,14,2,210,5-8,Louisiana Tech,12/17/1982,4,4,Philadelphia Eagles / 3rd / 77th pick / 2005,MoatRy00
28,Antwaun Molden,24,DB,4,0,198,6-1,East. Kentucky,1/23/1985,1,0,Houston Texans / 3rd / 79th pick / 2008,MoldAn99
55,Chris Myers,28,G,16,16,286,6-4,Miami (FL),9/15/1981,4,8,Denver Broncos / 6th / 200th pick / 2005,MyerCh20
72,Jesse Nading,24,DE,1,0,258,6-5,Colorado St.,7/3/1985,1,0,,NadiJe00
97,Frank Okam,24,DT,3,0,319,6-4,Texas,10/16/1985,1,0,Houston Texans / 5th / 151st pick / 2008,OkamFr99
91,Amobi Okoye,22,DT,16,16,302,6-2,Louisville,6/10/1987,2,7,Houston Texans / 1st / 10th pick / 2007,OkoyAm99
48,Bryan Pittman,32,C,3,0,270,6-3,Washington,1/20/1977,6,0,,PittBr20
69,Chester Pitts,30,T,2,2,308,6-4,San Diego St.,6/26/1979,7,1,Houston Texans / 2nd / 50th pick / 2002,PittCh20
31,Bernard Pollard,25,DB,13,13,225,6-1,Purdue,12/23/1984,3,6,Kansas City Chiefs / 2nd / 54th pick / 2006,PollBe20
29,Glover Quin,23,DB,15,12,207,6-0,New Mexico,1/15/1986,Rook,4,Houston Texans / 4th / 112th pick / 2009,QuinGl99
35,Jacques Reeves,27,DB,12,5,188,5-11,Purdue,10/8/1982,5,2,Dallas Cowboys / 7th / 223rd pick / 2004,ReevJa20
66,DelJuan Robinson,25,DT,11,0,303,6-3,Mississippi St.,7/1/1984,1,1,,RobiDe22
23,Dunta Robinson,27,DB,16,16,183,5-10,South Carolina,4/11/1982,5,5,Houston Texans / 1st / 10th pick / 2004,RobiDu20
42,Brian Russell,31,DB,3,0,210,6-2,San Diego St.,2/5/1978,7,0,,RussBr20
59,DeMeco Ryans,25,LB,16,16,247,6-1,Alabama,7/28/1984,3,11,Houston Texans / 2nd / 33rd pick / 2006,RyanDe20
8,Matt Schaub,28,QB,16,16,245,6-6,Virginia,6/25/1981,5,15,Atlanta Falcons / 3rd / 90th pick / 2004,SchaMa00
20,Steve Slaton,23,RB,11,10,195,5-10,West Virginia,1/4/1986,1,7,Houston Texans / 3rd / 89th pick / 2008,SlatSt00
94,Antonio Smith,28,DE,16,15,290,6-3,Oklahoma St.,10/21/1981,5,8,Arizona Cardinals / 5th / 135th pick / 2004,SmitAn22
64,Kasey Studdard,25,G,16,14,299,6-0,Texas,7/1/1984,2,8,Houston Texans / 6th / 183rd pick / 2007,StudKa20
51,Chaun Thompson,29,ROLB,3,0,250,6-2,West Texas A&M,5/22/1980,6,0,Cleveland Browns / 2nd / 52nd pick / 2003,ThomCh23
1,Matt Turk,41,P,16,0,251,6-5,Wisconsin–Whitewater,6/16/1968,14,2,,TurkMa20
83,Kevin Walter,28,WR,14,14,216,6-3,East. Michigan,8/4/1981,6,6,New York Giants / 7th / 255th pick / 2003,WaltKe00
63,Chris White,26,C,12,8,303,6-2,Southern Miss,2/28/1983,4,5,,WhitCh22
90,Mario Williams,24,DE,16,16,300,6-6,North Carolina St.,1/31/1985,3,11,Houston Texans / 1st / 1st pick / 2006,WillMa22
26,Eugene Wilson,29,DB,8,8,193,5-10,Illinois,8/17/1980,6,3,New England Patriots / 2nd / 36th pick / 2003,WilsEu20
