No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
89,Jerell Adams,27,TE,1,0,254,6-5,South Carolina,12/31/1992,3,0,New York Giants / 6th / 184th pick / 2016,$645000,AdamJe01
27,Mike Adams,38,DB,6,0,205,5-11,Delaware,3/24/1981,15,0,,,AdamMi21
50,Tyrell Adams,27,LB,5,2,230,6-2,West Georgia,4/11/1992,3,1,,$720000,AdamTy00
37,Jahleel Addae,29,S,16,3,195,5-10,Central Michigan,1/24/1990,6,2,,$805000,AddaJa00
88,Jordan Akins,27,TE,16,9,243,6-4,Central Florida,4/19/1992,1,4,Houston Texans / 3rd / 98th pick / 2018,$600000,AkinJo00
9,Bryan Anger,31,P,14,0,202,6-3,California,10/6/1988,7,2,Jacksonville Jaguars / 3rd / 70th pick / 2012,$930000,AngeBr00
30,Cornell Armstrong,24,CB,5,0,185,6-0,Southern Miss,9/22/1995,1,0,Miami Dolphins / 6th / 209th pick / 2018,,ArmsCo00
97,Angelo Blackson,27,DT,15,15,315,6-4,Auburn,11/14/1992,4,6,Tennessee Titans / 4th / 100th pick / 2015,$2000000,BlacAn00
28,Briean Boddy-Calhoun,26,CB,1,0,193,5-9,Minnesota,1/21/1993,3,0,,$720000,BoddBr01
14,DeAndre Carter,26,WR,16,3,188,5-8,Sacramento St.,4/10/1993,1,2,,$570000,CartDe02
77,Chris Clark,34,T,8,7,305,6-5,Southern Miss,10/1/1985,9,4,,,ClarCh21
51,Dylan Cole,25,LB,11,0,237,6-0,Missouri State,5/19/1994,2,1,,$645000,ColeDy00
22,Aaron Colvin,28,CB,1,1,191,6-0,Oklahoma,10/2/1991,5,0,Jacksonville Jaguars / 4th / 114th pick / 2014,$7500000,ColvAa00
22,Gareon Conley,24,CB,8,6,190,6-0,Ohio St.,6/29/1995,2,2,Oakland Raiders / 1st / 24th pick / 2017,,ConlGa00
16,Keke Coutee,22,WR,9,4,180,5-11,Texas Tech,1/14/1997,1,2,Houston Texans / 4th / 103rd pick / 2018,$570000,CoutKe00
28,Xavier Crawford,24,CB,4,0,185,5-11,Central Michigan,12/10/1995,Rook,0,Houston Texans / 6th / 195th pick / 2019,$495000,CrawXa00
35,Keion Crossen,23,CB,16,0,185,5-10,Western Carolina,4/17/1996,1,1,New England Patriots / 7th / 243rd pick / 2018,,CrosKe00
41,Zach Cunningham,25,OLB,16,16,238,6-3,Vanderbilt,12/2/1994,2,8,Houston Texans / 2nd / 57th pick / 2017,$871522,CunnZa00
8,Trevor Daniel,25,P,2,0,231,6-1,Tennessee,12/8/1994,1,0,,$570000,DaniTr00
92,Brandon Dunn,27,DT,16,6,310,6-2,Louisville,9/5/1992,5,3,,$2025000,DunnBr00
7,Ka'imi Fairbairn,25,K,16,0,183,6-0,UCLA,1/29/1994,2,3,,$3095000,FairKa01
87,Darren Fells,33,TE,16,14,270,6-7,UC Irvine,4/22/1986,6,3,,$900000,FellDa01
15,Will Fuller,25,WR,11,11,184,6-1,Notre Dame,4/16/1994,3,6,Houston Texans / 1st / 21st pick / 2016,$1836043,FullWi01
73,Zach Fulton,28,OG,15,15,321,6-5,Tennessee,9/23/1991,5,8,Kansas City Chiefs / 6th / 193rd pick / 2014,$6500000,FultZa00
29,Phillip Gaines,28,CB,6,2,193,6-0,Rice,4/4/1991,5,1,Kansas City Chiefs / 3rd / 87th pick / 2014,,GainPh00
44,Cullen Gillaspia,24,RB,16,0,235,6-2,Texas A&M,5/12/1995,Rook,0,Houston Texans / 7th / 220th pick / 2019,$495000,GillCu00
39,Tashaun Gipson,29,DB,14,14,207,6-1,Wyoming,8/7/1990,7,5,,$2500000,GipsTa00
28,Vernon Hargreaves III,24,CB,6,2,204,5-10,Florida,6/3/1995,3,1,Tampa Bay Buccaneers / 1st / 11th pick / 2016,,HargVe00
93,Joel Heath,26,DE,2,1,300,6-6,Michigan St.,6/18/1993,3,0,,$720000,HeatJo00
76,Seantrel Henderson,27,OT,4,1,351,6-7,Miami (FL),1/21/1992,5,1,Buffalo Bills / 7th / 237th pick / 2014,$1500000,HendSe00
10,DeAndre Hopkins,27,WR,15,15,212,6-1,Clemson,6/6/1992,6,11,Houston Texans / 1st / 27th pick / 2013,$12500000,HopkDe00
71,Tytus Howard,23,T,8,8,322,6-5,Alabama St.,5/23/1996,Rook,4,Houston Texans / 1st / 23rd pick / 2019,$495000,HowaTy00
38,Buddy Howell,23,RB,16,0,215,6-1,Florida Atlantic,3/27/1996,1,0,,$570000,HoweGr00
23,Carlos Hyde,29,RB,16,14,229,6-0,Ohio St.,9/20/1990,5,8,San Francisco 49ers / 2nd / 57th pick / 2014,,HydeCa00
25,Duke Johnson,26,RB,16,2,210,5-9,Miami (FL),9/23/1993,4,7,Cleveland Browns / 3rd / 77th pick / 2015,$1800000,JohnDu00
32,Lonnie Johnson Jr.,24,CB,14,7,213,6-2,Kentucky,11/4/1995,Rook,3,Houston Texans / 2nd / 54th pick / 2019,$495000,JohnLo01
63,Roderick Johnson,24,OT,16,3,306,6-6,Florida St.,11/28/1995,1,3,Cleveland Browns / 5th / 160th pick / 2017,$570000,JohnRo06
34,Taiwan Jones,31,RB,11,0,195,6-0,East. Washington,7/26/1988,8,0,Oakland Raiders / 4th / 125th pick / 2011,$930000,JoneTa00
24,Johnathan Joseph,35,DB,14,11,186,5-11,South Carolina,4/16/1984,13,4,Cincinnati Bengals / 1st / 24th pick / 2006,$2900000,JoseJo20
58,Peter Kalambayi,24,LB,16,0,254,6-3,Stanford,6/26/1995,1,1,Houston Texans / 6th / 214th pick / 2018,$570000,KalaPe00
64,Senio Kelemete,29,T,1,1,301,6-3,Washington,5/10/1990,7,1,Arizona Cardinals / 5th / 151st pick / 2012,$2750000,KeleSe00
65,Greg Mancz,27,C,9,1,302,6-4,Toledo,4/23/1992,4,1,,$1500000,MancGr00
54,Jacob Martin,24,LB,14,0,242,6-2,Temple,12/11/1995,1,1,Seattle Seahawks / 6th / 186th pick / 2018,,MartJa02
66,Nick Martin,26,C,16,16,295,6-4,Notre Dame,4/29/1993,2,9,Houston Texans / 2nd / 50th pick / 2016,$1101133,MartNi00
2,A.J. McCarron,29,QB,2,1,220,6-3,Alabama,9/13/1990,5,1,Cincinnati Bengals / 5th / 164th pick / 2014,$1500000,McCaA.00
55,Benardrick McKinney,27,ILB,14,14,257,6-4,Mississippi St.,11/19/1992,4,6,Houston Texans / 2nd / 43rd pick / 2015,$6000000,McKiBe00
59,Whitney Mercilus,29,DE,16,16,258,6-4,Illinois,7/21/1990,7,7,Houston Texans / 1st / 26th pick / 2012,$5750000,MercWh00
52,Barkevious Mingo,29,OLB,16,1,235,6-5,LSU,10/4/1990,6,1,Cleveland Browns / 1st / 6th pick / 2013,,MingBa00
11,Steven Mitchell,25,WR,3,1,186,5-10,USC,5/2/1994,1,0,,$495000,MitcSt02
33,A.J. Moore,24,DB,16,0,202,5-11,Mississippi,12/15/1995,1,1,,$570000,MoorA.00
94,Charles Omenihu,22,DL,14,0,280,6-5,Texas,8/20/1997,Rook,1,Houston Texans / 5th / 161st pick / 2019,$495000,OmenCh00
36,Jonathan Owens,24,S,1,0,210,5-11,Missouri Western St.,7/22/1995,Rook,0,,,OwenJo01
98,D.J. Reader,25,DT,15,15,347,6-3,Clemson,7/1/1994,3,6,Houston Texans / 5th / 166th pick / 2016,$2025000,ReadD.00
20,Justin Reid,22,FS,15,15,203,6-1,Stanford,2/15/1997,1,5,Houston Texans / 3rd / 68th pick / 2018,$664979,ReidJu00
21,Bradley Roby,27,CB,10,10,194,5-11,Ohio St.,5/1/1992,5,4,Denver Broncos / 1st / 31st pick / 2014,$5000000,RobyBr00
57,Brennan Scarlett,26,LB,15,10,263,6-4,CaliforniaStanford,7/31/1993,3,5,,$2025000,ScarBr00
74,Max Scharping,23,OT,16,14,327,6-6,Northern Illinois,8/10/1996,Rook,8,Houston Texans / 2nd / 55th pick / 2019,$495000,SchaMa01
70,Dan Skipper,25,OT,3,0,325,6-9,Arkansas,9/20/1994,2,0,,,SkipDa00
12,Kenny Stills,27,WR,13,5,202,6-1,Oklahoma,4/22/1992,6,5,New Orleans Saints / 5th / 144th pick / 2013,$7975000,StilKe00
83,Jordan Thomas,23,TE,5,2,277,6-5,Mississippi St.,8/2/1996,1,0,Houston Texans / 6th / 211th pick / 2018,$570000,ThomJo05
78,Laremy Tunsil,25,OT,14,14,313,6-5,Mississippi,8/2/1994,3,10,Miami Dolphins / 1st / 13th pick / 2016,$2148770,TunsLa00
95,Eddie Vanderdoes,25,DT,3,0,315,6-3,UCLA,10/13/1994,2,0,Oakland Raiders / 3rd / 88th pick / 2017,,VandEd00
91,Carlos Watkins,26,DT,10,1,305,6-3,Clemson,12/5/1993,2,2,Houston Texans / 4th / 142nd pick / 2017,$645000,WatkCa00
4,Deshaun Watson,24,QB,15,15,215,6-2,Clemson,9/14/1995,2,16,Houston Texans / 1st / 12th pick / 2017,$1724480,WatsDe00
99,J.J. Watt,30,DE,8,8,288,6-5,Central MichiganWisconsin,3/22/1989,8,4,Houston Texans / 1st / 11th pick / 2011,$13000000,WattJ.00
46,Jon Weeks,33,C,16,0,242,5-10,Baylor,2/17/1986,9,1,,$930000,WeekJo00
,Team Total,26.5,,16,,243.3,6-2.0,,,3.6,,,,-9999
