No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
4,Bryan Barker,36,P,16,0,202,6-1,Santa Clara,6/28/1964,10,2,,BarkBr20
84,Reggie Barlow,27,WR,16,0,190,6-0,Alabama St.,1/22/1973,4,0,Jacksonville Jaguars / 4th / 110th pick / 1996,BarlRe00
21,Aaron Beasley,27,DB,14,14,205,6-0,West Virginia,7/7/1973,4,6,Jacksonville Jaguars / 3rd / 63rd pick / 1996,BeasAa20
71,Tony Boselli,28,T,16,16,324,6-7,USC,4/17/1972,5,11,Jacksonville Jaguars / 1st / 2nd pick / 1995,BoseTo00
52,Brant Boyer,29,MLB,12,5,240,6-1,Arizona,6/27/1971,6,4,Miami Dolphins / 6th / 177th pick / 1994,BoyeBr20
90,Tony Brackens,26,DE,16,16,267,6-4,Texas,12/26/1974,4,9,Jacksonville Jaguars / 2nd / 33rd pick / 1996,BracTo00
80,Kyle Brady,28,TE,16,15,278,6-6,Penn St.,1/14/1972,5,7,New York Jets / 1st / 9th pick / 1995,BradKy00
8,Mark Brunell,30,QB,16,16,215,6-1,Washington,9/17/1970,6,15,Green Bay Packers / 5th / 118th pick / 1993,BrunMa00
25,Fernando Bryant,23,DB,14,14,174,5-10,Alabama,3/26/1977,1,6,Jacksonville Jaguars / 1st / 26th pick / 1999,BryaFe20
55,Danny Clark,23,LB,16,0,233,6-2,Illinois,5/9/1977,Rook,2,Jacksonville Jaguars / 7th / 245th pick / 2000,ClarDa21
29,Jason Craft,24,DB,16,3,187,5-10,Colorado St.,2/13/1976,1,2,Jacksonville Jaguars / 5th / 160th pick / 1999,CrafJa20
27,Shadwick Criss,24,DB,3,0,184,5-11,Missouri,1/11/1976,Rook,0,,CrisSh20
20,Donovin Darius,25,DB,16,16,225,6-1,Syracuse,8/12/1975,2,7,Jacksonville Jaguars / 1st / 25th pick / 1998,DariDo20
83,Greg DeLong,27,TE,4,1,250,6-4,North Carolina,4/3/1973,5,0,,DeLoGr00
42,Chad Dukes,29,RB,1,0,230,6-0,Pittsburgh,12/29/1971,Rook,0,,DukeCh00
78,Todd Fordham,27,T,16,8,319,6-5,Florida St.,10/9/1973,3,5,,FordTo20
85,Rich Griffith,31,TE,16,1,262,6-5,Arizona,7/31/1969,7,0,New England Patriots / 5th / 138th pick / 1993,GrifRi00
51,Kevin Hardy,27,LB,16,16,259,6-4,Illinois,7/24/1973,4,9,Jacksonville Jaguars / 1st / 2nd pick / 1996,HardKe00
1,Mike Hollis,28,K,12,0,179,5-7,Idaho,5/22/1972,5,5,,hollimik01
24,Chris Howard,25,RB,2,1,223,5-10,Michigan,5/5/1975,2,1,Denver Broncos / 5th / 153rd pick / 1998,HowaCh00
23,Anthony Johnson,33,RB,12,3,225,6-0,Notre Dame,10/25/1967,10,2,Indianapolis Colts / 2nd / 36th pick / 1990,JohnAn00
88,Damon Jones,26,TE,1,0,270,6-5,MichiganSouthern Illinois,9/18/1974,3,0,Jacksonville Jaguars / 5th / 147th pick / 1997,JoneDa00
64,Aaron Koch,22,G,8,0,300,6-3,Oregon St.,2/21/1978,Rook,1,,KochAa20
93,Emarlos Leroy,25,DT,9,1,304,6-1,Georgia,7/31/1975,1,1,Jacksonville Jaguars / 6th / 182nd pick / 1999,LeroEm20
2,Steve Lindsey,26,K,10,0,185,6-1,Mississippi,11/25/1974,1,0,,LindSt20
32,Mike Logan,26,DB,15,11,211,6-1,West Virginia,9/15/1974,3,6,Jacksonville Jaguars / 2nd / 50th pick / 1997,LogaMi20
34,Stacey Mack,25,RB,6,2,241,6-1,Temple,6/26/1975,1,1,,MackSt00
10,Jamie Martin,30,QB,5,0,205,6-2,Weber St.,2/8/1970,4,1,,MartJa00
58,Lonnie Marts,32,LLB,7,3,246,6-2,Tulane,11/10/1968,9,2,,MartLo20
87,Keenan McCardell,30,WR,16,16,191,6-1,UNLV,1/6/1970,8,12,Washington Redskins / 12th / 326th pick / 1991,McCaKe00
63,Brad Meester,23,C,16,16,292,6-3,Northern Iowa,3/23/1977,Rook,7,Jacksonville Jaguars / 2nd / 60th pick / 2000,MeesBr20
92,Rob Meier,23,DE,16,0,315,6-5,Washington St.,8/29/1977,Rook,1,Jacksonville Jaguars / 7th / 241st pick / 2000,MeieRo20
24,Craig Miller,23,DB,4,2,199,5-11,Utah St.,10/4/1977,Rook,1,,MillCr20
79,Reggie Nelson,24,T,1,0,321,6-3,McNeese St.,6/23/1976,1,0,San Diego Chargers / 5th / 141st pick / 1999,NelsRe20
83,Ryan Neufeld,25,TE,3,0,250,6-4,UCLA,11/22/1975,1,0,,NeufRy00
65,Quentin Neujahr,29,C,16,2,297,6-4,Kansas St.,1/30/1971,4,2,,NeujQu20
56,Hardy Nickerson,35,LB,6,6,230,6-2,California,9/1/1965,13,3,Pittsburgh Steelers / 5th / 122nd pick / 1987,NickHa00
45,Erik Olson,23,DB,14,0,210,6-1,Colorado St.,1/4/1977,Rook,1,Jacksonville Jaguars / 7th / 236th pick / 2000,OlsoEr20
91,Seth Payne,25,DT,16,14,303,6-4,Cornell,2/12/1975,3,15,Jacksonville Jaguars / 4th / 114th pick / 1997,PaynSe20
54,Troy Pelshak,23,LB,1,0,242,6-2,North Carolina A&T,3/6/1977,1,0,,PelsTr20
12,Jonathan Quinn,25,QB,1,0,243,6-6,TulaneMiddle Tenn. St.,2/27/1975,2,0,Jacksonville Jaguars / 3rd / 86th pick / 1998,QuinJo00
95,David Richie,27,NT,1,0,280,6-4,Washington,9/26/1973,3,0,,RichDa23
31,Daimon Shelton,28,FB,16,9,262,6-0,Sacramento St.,9/15/1972,3,1,Jacksonville Jaguars / 6th / 184th pick / 1997,ShelDa00
