No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
53,Dakota Allen,25,LB,13,2,232,6-1,Texas TechEast Mississippi CC,11/2/1995,1,1,Los Angeles Rams / 7th / 251st pick / 2019,$675000,AlleDa01
41,Josh Allen,23,EDGE,8,7,262,6-5,Kentucky,7/13/1997,1,3,Jacksonville Jaguars / 1st / 7th pick / 2019,$1528756,AlleJo03
36,Luq Barcoo,22,DB,3,1,175,6-1,San Diego St.,7/27/1998,Rook,0,,,BarcLu00
78,Ben Bartch,22,OL,13,1,309,6-6,Saint John's (MN),7/22/1998,Rook,1,Jacksonville Jaguars / 4th / 116th pick / 2020,$610000,BartBe00
1,Jonathan Brown,28,K,1,0,194,5-10,Louisville,12/7/1992,2,0,,,BrowJo03
90,Taven Bryan,24,DT,16,8,291,6-5,Florida,3/11/1996,2,4,Jacksonville Jaguars / 1st / 29th pick / 2018,$1403178,BryaTa00
60,A.J. Cann,29,OG,15,15,315,6-3,South Carolina,10/23/1991,5,5,Jacksonville Jaguars / 3rd / 67th pick / 2015,$4675000,CannA.00
45,K'Lavon Chaisson,21,LB,16,3,254,6-3,LSU,7/25/1999,Rook,2,Jacksonville Jaguars / 1st / 20th pick / 2020,$610000,ChaiKL00
17,DJ Chark,24,WR,13,12,198,6-4,LSU,9/23/1996,2,5,Jacksonville Jaguars / 2nd / 61st pick / 2018,$884294,CharDJ00
27,Chris Claybrooks,23,CB,13,4,179,5-9,Memphis,7/17/1997,Rook,2,Jacksonville Jaguars / 7th / 223rd pick / 2020,$610000,ClayCh02
84,Keelan Cole,27,WR,16,5,194,6-1,Kentucky Wesleyan,4/20/1993,3,6,,$3259000,ColeKe00
1,Dustin Colquitt,38,P,1,0,210,6-3,Tennessee,5/6/1982,15,0,Kansas City Chiefs / 3rd / 99th pick / 2005,,ColqDu20
18,Chris Conley,28,WR,15,4,205,6-3,Georgia,10/25/1992,5,3,Kansas City Chiefs / 3rd / 76th pick / 2015,$2275000,ConlCh00
9,Logan Cooke,25,P,14,0,230,6-5,Mississippi St.,7/28/1995,2,3,Jacksonville Jaguars / 7th / 247th pick / 2018,$750000,CookLo00
55,Kamalei Correa,26,OLB,6,6,241,6-3,Boise St.,4/27/1994,4,2,Baltimore Ravens / 2nd / 42nd pick / 2016,$705888,CorrKa00
58,Doug Costin,23,DT,12,9,295,6-2,Miami (OH),10/5/1997,Rook,4,,$610000,CostDo00
31,Nathan Cottrell,24,RB,8,0,193,5-11,Georgia Tech,8/2/1996,Rook,0,,,CottNa00
87,Tyler Davis,23,TE,8,0,,,ConnecticutGeorgia Tech,4/2/1997,Rook,0,Jacksonville Jaguars / 6th / 206th pick / 2020,$610000,DaviTy02
88,Tyler Eifert,30,TE,15,4,255,6-6,Notre Dame,9/8/1990,7,3,Cincinnati Bengals / 1st / 21st pick / 2013,$1000000,EifeTy00
99,Daniel Ekuale,26,DL,9,5,300,6-3,Washington St.,1/13/1994,1,2,,$595588,EkuaDa00
86,Ben Ellefson,24,TE,7,4,250,6-3,North Dakota St.,9/1/1996,Rook,0,,$504702,ElleBe00
43,Joe Giles-Harris,23,LB,9,3,234,6-2,Duke,4/1/1997,1,2,,$585000,GileJo01
2,Mike Glennon,31,QB,5,5,225,6-7,North Carolina St.,12/12/1989,7,0,Tampa Bay Buccaneers / 3rd / 73rd pick / 2013,$1050000,GlenMi00
14,Terry Godwin,24,WR,3,0,185,5-11,Georgia,10/23/1996,Rook,0,Carolina Panthers / 7th / 237th pick / 2019,,GodwTe00
96,Adam Gotsis,28,DT,16,14,287,6-4,Georgia Tech,9/23/1992,4,6,Denver Broncos / 2nd / 63rd pick / 2016,$910000,GotsAd00
52,DaVon Hamilton,23,DL,11,6,320,6-4,Ohio St.,2/1/1997,Rook,3,Jacksonville Jaguars / 3rd / 73rd pick / 2020,$610000,HamiDa02
3,Stephen Hauschka,35,K,1,0,210,6-4,MiddleburyNorth Carolina St.,6/29/1985,12,0,,,HausSt00
25,D.J. Hayden,30,CB,5,1,190,5-11,Houston,6/27/1990,7,1,Oakland Raiders / 1st / 12th pick / 2013,$6000000,HaydDJ00
