No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
73,Nick Allegretti,24,G,16,9,315,6-4,Illinois,4/21/1996,1,5,Kansas City Chiefs / 7th / 216th pick / 2019,$675000,AlleNi00
30,Deandre Baker,23,CB,2,1,186,5-11,Georgia,9/4/1997,1,0,New York Giants / 1st / 30th pick / 2019,,BakeDe00
26,Le'Veon Bell,28,RB,9,2,225,6-1,Michigan St.,2/18/1992,7,2,Pittsburgh Steelers / 2nd / 48th pick / 2013,$705882,BellLe00
21,Bashaud Breeland,28,CB,11,11,195,5-11,Clemson,1/30/1992,6,4,Washington Redskins / 4th / 102nd pick / 2014,$764706,BreeBa00
7,Harrison Butker,25,K,16,0,196,6-4,Georgia Tech,7/14/1995,3,3,Carolina Panthers / 7th / 233rd pick / 2017,$2345000,ButkHa00
94,Taco Charlton,26,DE,7,0,270,6-6,Michigan,11/7/1994,3,1,Dallas Cowboys / 1st / 28th pick / 2017,$825000,CharTa00
55,Frank Clark,27,DE,15,15,261,6-3,Michigan,6/14/1993,5,10,Seattle Seahawks / 2nd / 63rd pick / 2015,$12000000,ClarFr01
59,Omari Cobb,23,LB,1,0,223,6-4,Marshall,5/31/1997,Rook,0,,,CobbOm00
51,Michael Danna,23,DE,13,1,255,6-2,Central MichiganMichigan,12/4/1997,Rook,1,Kansas City Chiefs / 5th / 177th pick / 2020,$572941,DannMi00
12,Gehrig Dieter,27,WR,4,0,207,6-3,Alabama,2/24/1993,2,0,,,DietGe00
79,Yasir Durant,22,T,11,1,330,6-7,Missouri,5/21/1998,Rook,1,,,DuraYa01
25,Clyde Edwards-Helaire,21,RB,13,13,209,5-8,LSU,4/11/1999,Rook,8,Kansas City Chiefs / 1st / 32nd pick / 2020,$610000,EdwaCl00
27,Rashad Fenton,23,CB,16,3,188,5-11,South Carolina,2/17/1997,1,2,Kansas City Chiefs / 6th / 201st pick / 2019,$675000,FentRa00
72,Eric Fisher,29,OT,15,15,315,6-7,Central Michigan,1/5/1991,7,11,Kansas City Chiefs / 1st / 1st pick / 2013,$8750000,FishEr00
50,Willie Gay Jr.,22,LB,16,8,235,6-2,Mississippi St.,2/15/1998,Rook,4,Kansas City Chiefs / 2nd / 63rd pick / 2020,,GayJWi00
