No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
35,Walt Aikens,24,CB,16,3,200,6-1,Liberty,6/19/1991,1,2,Miami Dolphins / 4th / 125th pick / 2014,AikeWa00
23,Jay Ajayi,22,RB,9,0,223,6-0,Boise St.,6/15/1993,Rook,2,Miami Dolphins / 5th / 149th pick / 2015,AjayJa00
76,Branden Albert,31,G,14,14,314,6-5,Virginia,11/4/1984,7,8,Kansas City Chiefs / 1st / 15th pick / 2008,AlbeBr20
30,Zackary Bowman,31,DB,10,0,197,6-1,Nebraska,11/14/1984,7,1,Chicago Bears / 5th / 142nd pick / 2008,BowmZa20
65,Sam Brenner,25,C,3,0,301,6-2,Utah,4/27/1990,2,0,,BrenSa01
84,Jordan Cameron,27,TE,16,16,265,6-5,USC,8/7/1988,4,3,Cleveland Browns / 4th / 102nd pick / 2011,CameJo00
62,Deandre Coleman,24,DT,4,0,314,6-5,California,1/27/1991,1,0,,ColeDe01
98,Quinton Coples,25,DE,6,0,284,6-6,North Carolina,6/22/1990,3,0,New York Jets / 1st / 16th pick / 2012,CoplQu00
4,Matt Darr,23,P,16,0,217,6-1,Tennessee,7/2/1992,Rook,3,,DarrMa00
92,John Denney,37,DE,16,0,242,6-5,BYU,12/13/1978,10,2,,DennJo20
75,Jamil Douglas,23,OG,16,6,309,6-4,Arizona St.,2/28/1992,Rook,3,Miami Dolphins / 4th / 114th pick / 2015,DougJa00
78,Terrence Fede,24,DE,15,0,267,6-4,Marist,11/19/1991,1,1,Miami Dolphins / 7th / 234th pick / 2014,FedeTe00
74,Jason Fox,27,T,15,11,299,6-6,Miami (FL),5/2/1988,5,5,Detroit Lions / 4th / 128th pick / 2010,FoxxJa20
96,A.J. Francis,25,DL,1,0,337,6-5,Maryland,5/7/1990,2,0,,FranA.00
3,Andrew Franks,22,K,16,0,205,6-1,Rensselaer Polytechnic Institute,1/11/1993,Rook,3,,FranAn01
27,Shamiel Gary,25,SS,6,1,205,6-0,Oklahoma St.,5/31/1990,1,1,,GarySh00
29,Jonas Gray,25,RB,6,0,223,5-9,Notre Dame,6/27/1990,3,1,,GrayJo00
21,Brent Grimes,32,DB,15,15,185,5-10,Shippensburg,7/19/1983,8,9,,GrimBr20
