No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
84,Aundrae Allison,21,WR,11,0,198,6-0,East Carolina,4/20/1986,Rook,2,Minnesota Vikings / 5th / 146th pick / 2007,AlliAu00
78,Matt Birk,31,C,16,16,310,6-4,Harvard,7/23/1976,9,8,Minnesota Vikings / 6th / 173rd pick / 1998,BirkMa00
9,Brooks Bollinger,28,QB,5,1,205,6-0,Wisconsin,11/15/1979,3,1,New York Jets / 6th / 200th pick / 2003,BollBr00
60,Conrad Bolston,22,DT,1,0,304,6-3,Maryland,1/9/1985,Rook,0,,BolsCo99
50,Vinny Ciurciu,27,MLB,13,0,240,6-0,ClemsonBoston Col.,5/2/1980,4,1,,CiurVi20
62,Ryan Cook,24,C,16,16,325,6-6,New Mexico,5/8/1983,1,6,Minnesota Vikings / 2nd / 51st pick / 2006,CookRy20
21,Mike Doss,26,DB,8,1,207,5-10,Ohio St.,3/24/1981,4,1,Indianapolis Colts / 2nd / 58th pick / 2003,DossMi20
83,Jeff Dugan,26,TE,16,3,258,6-4,Maryland,4/8/1981,3,1,Minnesota Vikings / 7th / 220th pick / 2004,DugaJe00
91,Ray Edwards,22,DE,12,11,268,6-5,Purdue,1/1/1985,1,6,Minnesota Vikings / 4th / 127th pick / 2006,EdwaRa21
90,Fred Evans,24,DT,11,0,305,6-4,Texas St.,11/6/1983,1,1,Miami Dolphins / 7th / 212th pick / 2006,EvanFr21
59,Heath Farwell,26,LB,16,0,235,6-0,San Diego St.,12/31/1981,2,2,,FarwHe20
89,Robert Ferguson,28,WR,15,8,210,6-1,Texas A&M,12/17/1979,6,4,Green Bay Packers / 2nd / 41st pick / 2001,FergRo00
37,Eric Frampton,23,DB,9,0,204,5-11,Washington St.,2/6/1984,Rook,1,Oakland Raiders / 5th / 165th pick / 2007,FramEr99
41,Charles Gordon,23,DB,16,3,165,5-11,Kansas,7/18/1984,1,2,,GordCh20
52,Chad Greenway,24,LB,16,16,237,6-3,Iowa,1/12/1983,Rook,9,Minnesota Vikings / 1st / 17th pick / 2006,GreeCh99
