No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
69,Tom Ackerman,24,G,2,0,290,6-3,East. Washington,9/6/1972,Rook,0,New Orleans Saints / 5th / 145th pick / 1996,AckeTo20
21,Eric Allen,31,DB,16,16,184,5-10,Arizona St.,11/22/1965,8,6,Philadelphia Eagles / 2nd / 30th pick / 1988,AlleEr00
24,Mario Bates,23,RB,14,10,217,6-1,Arizona St.,1/16/1973,2,4,New Orleans Saints / 2nd / 44th pick / 1994,BateMa00
10,Doug Brien,26,K,16,0,180,6-0,California,11/24/1970,2,4,San Francisco 49ers / 3rd / 85th pick / 1994,briendou01
99,Willie Broughton,32,DT,14,5,285,6-5,Miami (FL),9/9/1964,11,3,Indianapolis Colts / 4th / 88th pick / 1985,BrouWi20
20,Derek Brown,25,RB,11,0,201,5-9,Nebraska,4/15/1971,3,1,New Orleans Saints / 4th / 109th pick / 1993,BrowDe01
37,Je'Rod Cherry,23,DB,13,0,210,6-1,California,5/30/1973,Rook,1,New Orleans Saints / 2nd / 40th pick / 1996,CherJe20
53,Don Davis,24,LB,11,0,235,6-1,Kansas,12/17/1972,Rook,1,,DaviDo22
87,Lee DeRamus,24,WR,15,4,205,6-0,Wisconsin,8/24/1972,1,1,New Orleans Saints / 6th / 184th pick / 1995,DeRaLe00
56,Ernest Dixon,25,MLB,16,0,243,6-1,South Carolina,10/17/1971,2,1,,DixoEr20
72,Jim Dombrowski,33,G,10,10,300,6-5,Virginia,10/19/1963,10,4,New Orleans Saints / 1st / 6th pick / 1986,DombJi20
17,Jim Everett,33,QB,15,15,212,6-5,Purdue,1/3/1963,10,6,Houston Oilers / 1st / 3rd pick / 1986,EverJi00
55,Mark Fields,24,LB,16,15,244,6-2,Washington St.,11/9/1972,1,7,New Orleans Saints / 1st / 13th pick / 1995,FielMa99
62,Kendall Gammon,28,C,16,0,255,6-4,Pittsburg St.,10/23/1968,4,1,Pittsburgh Steelers / 11th / 291st pick / 1992,GammKe00
85,Paul Green,30,TE,14,5,236,6-3,USC,10/8/1966,7,1,Denver Broncos / 8th / 208th pick / 1989,GreePa00
18,Terry Guess,22,WR,3,2,200,6-0,Gardner-Webb,9/22/1974,Rook,0,New Orleans Saints / 5th / 165th pick / 1996,GuesTe00
52,Richard Harvey,30,LILB,14,7,235,6-1,Tulane,9/11/1966,6,4,Buffalo Bills / 11th / 305th pick / 1989,HarvRi21
89,Mercury Hayes,23,WR,7,0,195,5-11,Michigan,1/1/1973,Rook,1,New Orleans Saints / 5th / 136th pick / 1996,HayeMe21
81,Michael Haynes,31,WR,16,10,184,6-0,Northern Arizona,12/24/1965,8,6,Atlanta Falcons / 7th / 166th pick / 1988,HaynMi00
76,Keno Hills,23,G,1,0,305,6-6,Kent St.Louisiana,6/13/1973,Rook,0,New Orleans Saints / 6th / 179th pick / 1996,HillKe21
28,Derrick Hoskins,26,DB,1,0,210,6-2,Southern Miss,11/14/1970,4,0,Los Angeles Raiders / 5th / 128th pick / 1992,HoskDe20
33,Tyrone Hughes,26,DB,16,1,175,5-9,Nebraska,1/14/1970,3,1,New Orleans Saints / 5th / 137th pick / 1993,HughTy00
32,Earnest Hunter,26,RB,6,0,201,5-8,SE Oklahoma St.,12/21/1970,1,1,,HuntEa00
47,Greg Jackson,30,DB,16,15,217,6-1,LSU,8/20/1966,7,6,New York Giants / 3rd / 78th pick / 1989,JackGr21
80,Haywood Jeffires,32,WR,9,1,201,6-2,North Carolina St.,12/12/1964,9,2,Houston Oilers / 1st / 20th pick / 1987,JeffHa00
