No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
54,Kiko Alonso,29,ILB,13,4,239,6-3,Oregon,8/14/1990,6,2,Buffalo Bills / 2nd / 46th pick / 2013,,AlonKi00
58,Stephone Anthony,27,ILB,12,1,245,6-3,Clemson,7/28/1992,4,1,New Orleans Saints / 1st / 31st pick / 2015,,AnthSt00
47,Alex Anzalone,25,OLB,2,0,237,6-3,Florida,9/22/1994,2,0,New Orleans Saints / 3rd / 76th pick / 2017,$717000,AnzaAl00
25,Eli Apple,24,CB,15,15,199,6-1,Ohio St.,8/9/1995,3,4,New York Giants / 1st / 10th pick / 2016,$2516225,ApplEl00
72,Terron Armstead,28,OT,15,15,304,6-5,Ark-Pine Bluff,7/23/1991,6,10,New Orleans Saints / 3rd / 75th pick / 2013,$10700000,ArmsTe00
50,Ray-Ray Armstrong,28,LB,5,0,220,6-3,Miami (FL),3/5/1991,6,0,,,ArmsRa01
85,Dan Arnold,24,WR,2,0,240,6-6,Wisconsin–Platteville,3/15/1995,1,0,,$570000,ArnoDa00
29,Johnson Bademosi,29,DB,6,0,219,6-0,Stanford,7/23/1990,7,0,,,BadeJo00
24,Vonn Bell,25,SS,13,13,205,5-11,Ohio St.,12/12/1994,3,5,New Orleans Saints / 2nd / 61st pick / 2016,$991677,BellVo00
9,Drew Brees,40,QB,11,11,209,6-0,Purdue,1/15/1979,18,11,San Diego Chargers / 2nd / 32nd pick / 2001,$1400000,BreeDr00
5,Teddy Bridgewater,27,QB,9,5,215,6-2,Louisville,11/10/1992,5,5,Minnesota Vikings / 1st / 32nd pick / 2014,$1250000,BridTe00
90,Malcom Brown,25,DT,16,16,320,6-2,Texas,2/2/1994,4,7,New England Patriots / 1st / 32nd pick / 2015,$1000000,BrowMa01
80,Austin Carr,26,WR,6,3,195,6-1,Northwestern,12/25/1993,2,0,,$645000,CarrAu00
64,Will Clapp,24,C,14,3,311,6-5,LSU,12/10/1995,1,2,New Orleans Saints / 7th / 245th pick / 2018,$570000,ClapWi00
87,Jared Cook,32,TE,14,7,246,6-5,South Carolina,4/7/1987,10,7,Tennessee Titans / 3rd / 89th pick / 2009,$2000000,CookJa02
20,Ken Crawley,26,DB,1,0,180,6-1,Colorado,2/8/1993,3,0,,$2025000,CrawKe02
92,Marcus Davenport,23,DE,13,13,265,6-6,Texas-San Antonio,9/4/1996,1,6,New Orleans Saints / 1st / 14th pick / 2018,$779632,DaveMa00
56,Demario Davis,30,OLB,16,16,248,6-2,Arkansas St.,1/11/1989,7,14,New York Jets / 3rd / 77th pick / 2012,$5950000,DaviDe00
62,Nick Easton,27,C,10,6,303,6-3,Harvard,6/16/1992,3,3,,$2000000,EastNi00
97,Mario Edwards,25,DE,14,0,280,6-3,Florida St.,1/25/1994,4,1,Oakland Raiders / 2nd / 35th pick / 2015,$935000,EdwaMa01
55,Kaden Elliss,24,LB,3,0,238,6-3,Idaho,7/10/1995,Rook,0,New Orleans Saints / 7th / 244th pick / 2019,$495000,ElliKa00
22,Chauncey Gardner-Johnson,22,S,16,7,210,5-11,Florida,12/20/1997,Rook,3,New Orleans Saints / 4th / 105th pick / 2019,$495000,GardCh00
19,Ted Ginn Jr.,34,WR,16,9,180,5-11,Ohio St.,4/12/1985,12,4,Miami Dolphins / 1st / 9th pick / 2007,$2500000,GinnTe00
96,Carl Granderson,23,DE,8,0,261,6-5,Wyoming,12/18/1996,Rook,1,,$495000,GranCa01
48,J.T. Gray,23,DB,16,0,202,6-0,Mississippi St.,1/18/1996,1,4,,$570000,GrayJ.00
32,T.J. Green,24,FS,1,0,215,6-3,Clemson,3/15/1995,3,0,Indianapolis Colts / 2nd / 57th pick / 2016,$720000,GreeT.00
33,Saquan Hampton,24,S,5,0,207,6-1,Rutgers,12/12/1995,Rook,0,New Orleans Saints / 6th / 177th pick / 2019,$495000,HampSa00
34,Justin Hardee,25,WR,16,0,200,6-1,Illinois,2/7/1994,2,1,,$645000,HardJu01
11,Deonte Harris,22,WR,14,1,170,5-6,Assumption,12/4/1997,Rook,1,,$495000,HarrDe07
91,Trey Hendrickson,25,DE,13,3,270,6-4,Florida Atlantic,12/5/1994,2,2,New Orleans Saints / 3rd / 103rd pick / 2017,$668000,HendTr00
89,Josh Hill,29,TE,16,11,250,6-5,Idaho St.,5/21/1990,6,2,,$850000,HillJo02
7,Taysom Hill,29,QB,16,5,221,6-2,BYU,8/23/1990,2,4,,$645000,HillTa00
81,Krishawn Hogan,24,WR,8,0,217,6-3,Marian,5/12/1995,2,0,,,HogaKr00
84,Lil'Jordan Humphrey,21,WR,5,1,225,6-4,Texas,4/19/1998,Rook,0,,,HumpLi01
20,Jackrabbit Jenkins,31,CB,2,1,190,5-10,North AlabamaFlorida,10/29/1988,7,1,St. Louis Rams / 2nd / 39th pick / 2012,,JenkJa03
94,Cameron Jordan,30,DE,16,16,287,6-4,California,7/10/1989,8,13,New Orleans Saints / 1st / 24th pick / 2011,$8000000,JordCa00
41,Alvin Kamara,24,RB,14,9,215,5-10,AlabamaHutchinson (KS)Tennessee,7/25/1995,2,11,New Orleans Saints / 3rd / 67th pick / 2017,$807500,KamaAl00
18,Keith Kirkwood,25,WR,1,0,210,6-3,HawaiiTemple,12/26/1994,1,0,,$570000,KirkKe00
53,A.J. Klein,28,ILB,15,15,240,6-1,Iowa St.,7/30/1991,6,7,Carolina Panthers / 5th / 148th pick / 2013,$4100000,KleiAJ00
23,Marshon Lattimore,23,CB,14,14,192,6-0,Ohio St.,5/20/1996,2,7,New Orleans Saints / 1st / 11th pick / 2017,$1861324,LattMa01
42,Zach Line,29,FB,12,2,233,6-1,SMU,4/26/1990,6,1,,$850000,LineZa01
70,Mitchell Loewen,26,DE,1,0,285,6-5,Arkansas,2/14/1993,2,0,,,LoewMi00
3,Wil Lutz,25,K,16,0,184,5-11,Georgia St.,7/7/1994,3,5,,$850000,LutzWi00
78,Erik McCoy,22,OL,16,16,303,6-4,Texas A&M,8/27/1997,Rook,8,New Orleans Saints / 2nd / 48th pick / 2019,$495000,McCoEr01
6,Thomas Morstead,33,P,16,0,235,6-4,SMU,3/8/1986,10,2,New Orleans Saints / 5th / 164th pick / 2009,$2950000,MorsTh00
28,Latavius Murray,29,RB,16,8,230,6-3,Central Florida,1/18/1990,6,7,Oakland Raiders / 6th / 181st pick / 2013,$1000000,MurrLa00
70,Michael Ola,31,T,2,0,312,6-5,Hampton,4/19/1988,5,0,,$805000,OlaxMi00
60,Patrick Omameh,30,G,14,1,327,6-4,Michigan,12/29/1989,6,2,,$805000,OmamPa00
93,David Onyemata,27,DT,15,15,300,6-4,Manitoba,11/13/1992,3,6,New Orleans Saints / 4th / 120th pick / 2016,$2025000,OnyeDa00
30,Ricky Ortiz,25,FB,1,0,233,6-0,Oregon St.,4/15/1994,1,0,,,OrtiRi00
75,Andrus Peat,26,OT,10,10,316,6-7,Stanford,11/4/1993,4,7,New Orleans Saints / 1st / 13th pick / 2015,$9625000,PeatAn00
71,Ryan Ramczyk,25,OT,16,16,314,6-6,Wisconsin,4/22/1994,2,16,New Orleans Saints / 1st / 32nd pick / 2017,$1273323,RamcRy00
98,Sheldon Rankins,25,DT,10,0,305,6-2,Louisville,4/2/1994,3,1,New Orleans Saints / 1st / 12th pick / 2016,$2195680,RankSh00
52,Craig Robertson,31,LB,15,1,234,6-1,North Texas,2/11/1988,8,2,,$1000000,RobeCr00
21,Patrick Robinson,32,DB,11,0,191,5-11,Florida St.,9/7/1987,9,1,New Orleans Saints / 1st / 32nd pick / 2010,$4000000,RobiPa99
10,Tre'Quan Smith,23,WR,11,6,210,6-2,Central Florida,1/7/1996,1,2,New Orleans Saints / 3rd / 91st pick / 2018,$616500,SmitTr03
95,Taylor Stallworth,24,DT,4,0,305,6-2,South Carolina,8/18/1995,1,0,,$570000,StalTa00
36,D.J. Swearinger,28,FS,1,0,205,5-10,South Carolina,9/1/1991,6,0,Houston Texans / 2nd / 57th pick / 2013,,SweaDJ00
51,Manti Te'o,28,ILB,3,2,241,6-1,Notre Dame,1/26/1991,6,1,San Diego Chargers / 2nd / 38th pick / 2013,,TeoxMa00
13,Michael Thomas,26,WR,16,15,212,6-3,Ohio St.,3/3/1993,3,17,New Orleans Saints / 2nd / 47th pick / 2016,$1148041,ThomMi05
99,Shy Tuttle,24,DL,16,1,300,6-3,Tennessee,10/20/1995,Rook,2,,$495000,TuttSh00
86,Jason Vander Laan,27,TE,2,1,245,6-3,Ferris St.,9/22/1992,2,0,,,VandJa00
67,Larry Warford,28,OG,15,15,317,6-3,Kentucky,6/18/1991,6,10,Detroit Lions / 3rd / 65th pick / 2013,$7650000,WarfLa00
27,Dwayne Washington,25,RB,16,0,223,6-1,Washington,4/24/1994,3,1,Detroit Lions / 7th / 236th pick / 2016,$720000,WashDw00
43,Marcus Williams,23,S,15,15,195,6-1,Utah,9/8/1996,2,5,New Orleans Saints / 2nd / 42nd pick / 2017,$1032313,WillMa06
26,P.J. Williams,26,CB,14,8,196,6-0,Florida St.,6/1/1993,3,3,New Orleans Saints / 3rd / 78th pick / 2015,$850000,WillP.00
49,Zach Wood,26,DE,16,0,255,6-3,SMU,1/10/1993,2,2,,$645000,WoodZa00
35,Zach Zenner,28,RB,1,0,224,5-11,South Dakota St.,9/13/1991,4,0,,,ZennZa00
,Team Total,26.6,,16,,241.3,6-2.1,,,3.8,,,,-9999
