No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
48,Danny Aiken,26,LS,15,0,250,6-4,Virginia,8/28/1988,3,1,,AikeDa00
6,Ryan Allen,24,P,16,0,220,6-2,Louisiana Tech,2/28/1990,1,2,,AlleRy01
80,Danny Amendola,29,WR,16,4,185,5-11,Texas Tech,11/2/1985,5,2,,AmenDa00
25,Kyle Arrington,28,DB,14,4,196,5-10,Hofstra,8/12/1986,5,3,,ArriKy00
55,Akeem Ayers,25,MLB,9,4,255,6-3,UCLA,7/10/1989,3,3,Tennessee Titans / 2nd / 39th pick / 2011,AyerAk00
64,Chris Barker,24,OG,1,0,305,6-3,Nevada,8/3/1990,1,0,,BarkCh00
29,LeGarrette Blount,28,RB,5,1,247,6-0,East Mississippi CCOregon,12/5/1986,4,3,,BlouLe00
38,Brandon Bolden,24,RB,16,2,220,5-11,Mississippi,1/26/1990,2,1,,BoldBr00
82,Josh Boyce,23,WR,1,0,206,5-11,TCU,5/6/1991,1,0,New England Patriots / 4th / 102nd pick / 2013,BoycJo00
12,Tom Brady,37,QB,16,16,225,6-4,Michigan,8/3/1977,14,16,New England Patriots / 6th / 199th pick / 2000,BradTo00
97,Alan Branch,30,DT,8,2,350,6-6,Michigan,12/29/1984,7,2,Arizona Cardinals / 2nd / 33rd pick / 2007,BranAl99
39,Brandon Browner,30,CB,9,9,221,6-4,Oregon St.,8/2/1984,3,3,,BrowBr00
99,Michael Buchanan,23,DE,3,0,255,6-6,Illinois,1/24/1991,1,0,New England Patriots / 7th / 226th pick / 2013,BuchMi00
21,Malcolm Butler,24,CB,11,1,190,5-11,West Alabama,3/2/1990,Rook,1,,ButlMa01
61,Marcus Cannon,26,OL,16,4,335,6-6,TCU,5/6/1988,3,4,New England Patriots / 5th / 138th pick / 2011,CannMa00
52,Jonathan Casillas,27,MLB,8,3,225,6-0,Wisconsin,6/3/1987,5,2,,CasiJo99
23,Patrick Chung,27,DB,16,15,215,5-11,Oregon,8/19/1987,5,5,New England Patriots / 2nd / 34th pick / 2009,ChunPa99
91,Jamie Collins,25,OLB,15,15,255,6-3,Southern Miss,10/20/1989,1,9,New England Patriots / 2nd / 52nd pick / 2013,CollJa00
63,Dan Connolly,32,G,13,13,305,6-4,SE Missouri St.,9/2/1982,9,8,,ConnDa21
53,Ja'Gared Davis,24,LB,3,0,235,6-1,SMU,9/11/1990,1,0,,DaviJa02
37,Alfonzo Dennard,25,CB,6,4,204,5-10,Nebraska,9/9/1989,2,2,New England Patriots / 7th / 224th pick / 2012,DennAl00
46,James Develin,26,RB,16,4,255,6-3,Brown,7/23/1988,3,1,,DeveJa00
65,Jordan Devey,26,T,7,4,320,6-6,Memphis,1/11/1988,1,3,,DeveJo00
17,Aaron Dobson,23,WR,4,1,210,6-3,Marshall,7/23/1991,1,0,New England Patriots / 2nd / 59th pick / 2013,DobsAa00
