No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
7,Jake Bailey,22,P,16,0,205,6-2,Stanford,6/18/1997,Rook,2,New England Patriots / 5th / 163rd pick / 2019,$495000,BailJa00
77,Michael Bennett,34,DE,6,1,275,6-4,Texas A&M,11/13/1985,10,2,,$3000000,BennMi99
51,Ja'Whaun Bentley,23,ILB,16,2,255,6-2,Purdue,8/24/1996,1,4,New England Patriots / 5th / 143rd pick / 2018,$570000,BentJa00
29,Justin Bethel,29,CB,9,0,200,6-0,Presbyterian,6/17/1990,7,1,Arizona Cardinals / 6th / 177th pick / 2012,,BethJu00
38,Brandon Bolden,29,RB,15,2,220,5-11,Mississippi,1/26/1990,7,1,,$1000000,BoldBr00
12,Tom Brady,42,QB,16,16,225,6-4,Michigan,8/3/1977,19,12,New England Patriots / 6th / 199th pick / 2000,$14000000,BradTo00
25,Terrence Brooks,27,FS,15,0,205,5-11,Florida St.,3/2/1992,5,1,Baltimore Ravens / 3rd / 79th pick / 2014,$805000,BrooTe00
17,Antonio Brown,31,WR,1,0,185,5-10,Central Michigan,7/10/1988,9,1,Pittsburgh Steelers / 6th / 195th pick / 2010,,BrowAn04
34,Rex Burkhead,29,RB,13,1,215,5-10,Nebraska,7/2/1990,6,4,Cincinnati Bengals / 6th / 190th pick / 2013,$1750000,BurkRe00
70,Adam Butler,25,DT,16,2,295,6-5,Vanderbilt,4/12/1994,2,5,,$645000,ButlAd00
90,Shilique Calhoun,27,DE,15,1,260,6-4,Michigan St.,3/20/1992,3,2,Oakland Raiders / 3rd / 75th pick / 2016,$720000,CalhSh00
61,Marcus Cannon,31,OL,15,15,335,6-6,TCU,5/6/1988,8,7,New England Patriots / 5th / 138th pick / 2011,$5500000,CannMa00
49,Joe Cardona,27,LS,16,0,245,6-3,Navy,4/16/1992,4,1,New England Patriots / 5th / 166th pick / 2015,$805000,CardJo00
23,Patrick Chung,32,DB,13,12,215,5-11,Oregon,8/19/1987,10,6,New England Patriots / 2nd / 34th pick / 2009,$1900000,ChunPa99
58,Jamie Collins,30,OLB,16,15,255,6-3,Southern Miss,10/20/1989,6,15,New England Patriots / 2nd / 52nd pick / 2013,$900000,CollJa00
99,Byron Cowart,23,DL,5,0,300,6-3,Maryland,5/20/1996,Rook,1,New England Patriots / 5th / 159th pick / 2019,$495000,CowaBy00
74,Korey Cunningham,24,OT,1,0,305,6-6,Cincinnati,5/17/1995,1,0,Arizona Cardinals / 7th / 254th pick / 2018,,CunnKo00
46,James Develin,31,RB,2,2,255,6-3,Brown,7/23/1988,8,0,,$1000000,DeveJa00
13,Phillip Dorsett,26,WR,14,4,192,5-10,Miami (FL),1/5/1993,4,3,Indianapolis Colts / 1st / 29th pick / 2015,$1500000,DorsPh00
43,Nate Ebner,31,DB,14,0,215,6-0,Ohio St.,12/14/1988,7,1,New England Patriots / 6th / 197th pick / 2012,$2000000,EbneNa00
11,Julian Edelman,33,WR,16,13,198,5-10,Kent St.,5/22/1986,10,10,New England Patriots / 7th / 232nd pick / 2009,$1000000,EdelJu00
65,Jermaine Eluemunor,25,OG,10,0,245,6-4,LackawannaTexas A&M,12/13/1994,2,1,Baltimore Ravens / 5th / 159th pick / 2017,,ElueJe00
66,James Ferentz,30,C,15,2,300,6-2,Iowa,6/5/1989,5,2,,$720000,FereJa00
2,Nick Folk,35,K,7,0,222,6-1,Arizona,11/5/1984,12,1,Dallas Cowboys / 6th / 178th pick / 2007,,FolkNi20
2,Kai Forbath,32,K,1,0,197,5-11,UCLA,9/2/1987,8,0,,,ForbKa00
24,Stephon Gilmore,29,CB,16,16,202,6-1,South Carolina,9/19/1990,7,22,Buffalo Bills / 1st / 10th pick / 2012,$1000000,GilmSt00
10,Josh Gordon,28,WR,6,6,225,6-3,UtahBaylor,4/13/1991,7,2,Cleveland Browns / 2nd / 1st pick / 2012 Supp,$2025000,GordJo02
3,Stephen Gostkowski,35,K,4,0,215,6-1,Memphis,1/28/1984,13,0,New England Patriots / 4th / 118th pick / 2006,$1100000,GostSt20
93,Lawrence Guy,29,DT,16,16,315,6-4,Arizona St.,3/17/1990,8,14,Green Bay Packers / 7th / 233rd pick / 2011,$2400000,GuyxLa00
21,Duron Harmon,28,FS,16,8,205,6-0,Rutgers,1/24/1991,6,5,New England Patriots / 3rd / 91st pick / 2013,$2500000,HarmDu00
37,Damien Harris,22,RB,2,0,213,5-11,Alabama,2/11/1997,Rook,0,New England Patriots / 3rd / 87th pick / 2019,$495000,HarrDa06
15,N'Keal Harry,22,WR,7,5,225,6-4,Arizona St.,12/17/1997,Rook,1,New England Patriots / 1st / 32nd pick / 2019,$495000,HarrNK00
54,Dont'a Hightower,29,ILB,15,15,260,6-3,Alabama,3/12/1990,7,17,New England Patriots / 1st / 25th pick / 2012,$7000000,HighDo01
85,Ryan Izzo,24,TE,6,4,255,6-5,Florida St.,12/21/1995,1,1,New England Patriots / 7th / 250th pick / 2018,$495000,IzzoRy00
27,J.C. Jackson,24,DB,16,6,198,6-1,FloridaRiverside CCMaryland,11/17/1995,1,5,,$570000,JackJ.00
47,Jakob Johnson,25,FB,4,3,255,6-3,Tennessee,12/15/1994,Rook,0,,,JohnJa12
31,Jonathan Jones,26,CB,15,9,190,5-10,Auburn,9/20/1993,3,5,,$3095000,JoneJo03
75,Ted Karras,26,OG,15,15,305,6-4,Illinois,3/15/1993,3,7,New England Patriots / 6th / 221st pick / 2016,$720000,KarrTe00
83,Matt LaCosse,27,TE,11,8,255,6-6,Illinois,9/21/1992,4,1,,$700000,LaCoMa00
69,Shaq Mason,26,G,15,15,310,6-1,Georgia Tech,8/28/1993,4,7,New England Patriots / 4th / 131st pick / 2015,$4000000,MasoSh01
32,Devin McCourty,32,DB,16,16,195,5-10,Rutgers,8/13/1987,9,9,New England Patriots / 1st / 27th pick / 2010,$9000000,McCoDe99
30,Jason McCourty,32,DB,12,10,195,5-11,Rutgers,8/13/1987,10,5,Tennessee Titans / 6th / 203rd pick / 2009,$2000000,McCoJa99
16,Jakobi Meyers,23,WR,15,1,200,6-2,North Carolina St.,11/9/1996,Rook,3,,$495000,MeyeJa01
26,Sony Michel,24,RB,16,14,215,5-11,Georgia,2/17/1995,1,5,New England Patriots / 1st / 31st pick / 2018,$917577,MichSo00
72,Marshall Newhouse,31,GT,15,9,330,6-4,TCU,9/29/1988,8,4,Green Bay Packers / 5th / 169th pick / 2010,,NewhMa20
2,Mike Nugent,37,K,4,0,190,5-10,Ohio St.,3/2/1982,14,-1,New York Jets / 2nd / 47th pick / 2005,,nugenmik01
80,Gunner Olszewski,23,WR,8,0,190,6-0,Bemidji St.,11/26/1996,Rook,0,,$495000,OlszGu00
39,Jordan Richards,26,SS,3,0,215,5-11,Stanford,1/21/1993,4,0,New England Patriots / 2nd / 64th pick / 2015,,RichJo00
52,Elandon Roberts,25,ILB,16,3,238,6-1,Houston,4/22/1994,3,4,New England Patriots / 6th / 214th pick / 2016,$2025000,RobeEl00
14,Mohamed Sanu,30,WR,8,6,210,6-2,Rutgers,8/23/1989,7,2,Cincinnati Bengals / 3rd / 83rd pick / 2012,,SanuMo00
71,Danny Shelton,26,DT,16,14,345,6-2,Washington,8/20/1993,4,12,Cleveland Browns / 1st / 12th pick / 2015,$805000,ShelDa01
55,John Simon,29,DE,16,12,260,6-2,Ohio St.,10/14/1990,6,11,Baltimore Ravens / 4th / 129th pick / 2013,$900000,SimoJo01
18,Matthew Slater,34,WR,16,0,205,6-0,UCLA,9/9/1985,11,0,New England Patriots / 5th / 153rd pick / 2008,$1600000,SlatMa00
4,Jarrett Stidham,23,QB,3,0,214,6-3,Auburn,8/8/1996,Rook,0,New England Patriots / 4th / 133rd pick / 2019,$495000,StidJa00
62,Joe Thuney,27,OG,16,16,304,6-5,North Carolina St.,11/18/1992,3,11,New England Patriots / 3rd / 78th pick / 2016,$1995000,ThunJo00
82,Eric Tomlinson,27,TE,2,2,263,6-6,Texas-El Paso,4/22/1992,3,0,,,TomlEr01
53,Kyle Van Noy,28,OLB,15,15,250,6-3,BYU,3/26/1991,5,13,Detroit Lions / 2nd / 40th pick / 2014,$4250000,VanNKy00
82,Ben Watson,39,TE,10,8,255,6-3,DukeGeorgia,12/18/1980,15,1,New England Patriots / 1st / 32nd pick / 2004,$3000000,WatsBe00
28,James White,27,RB,15,1,205,5-10,Wisconsin,2/3/1992,5,7,New England Patriots / 4th / 130th pick / 2014,$2500000,WhitJa02
33,Joejuan Williams,22,CB,9,0,212,6-3,Vanderbilt,12/6/1997,Rook,1,New England Patriots / 2nd / 45th pick / 2019,$495000,WillJo13
50,Chase Winovich,24,EDGE,16,0,250,6-3,Michigan,4/19/1995,Rook,3,New England Patriots / 3rd / 77th pick / 2019,$495000,WinoCh00
91,Deatrich Wise Jr.,25,DE,14,3,275,6-5,Arkansas,7/26/1994,2,5,New England Patriots / 4th / 131st pick / 2017,$645000,WiseDe00
76,Isaiah Wynn,24,OT,8,8,310,6-2,Georgia,12/9/1995,1,4,New England Patriots / 1st / 23rd pick / 2018,$1000087,WynnIs00
,Team Total,28,,16,,240.8,6-1.7,,,5.2,,,,-9999
