No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
20,Prince Amukamara,24,CB,16,16,206,6-0,Nebraska,6/6/1989,2,7,New York Giants / 1st / 19th pick / 2011,AmukPr00
64,David Baas,32,G,3,3,312,6-4,Michigan,9/28/1981,8,1,San Francisco 49ers / 2nd / 33rd pick / 2005,BaasDa20
54,Jon Beason,28,LB,12,11,237,6-0,Miami (FL),1/14/1985,6,6,Carolina Panthers / 1st / 25th pick / 2007,BeasJo99
65,Will Beatty,28,T,16,16,291,6-6,Connecticut,3/2/1985,4,6,New York Giants / 2nd / 60th pick / 2009,BeatWi20
77,Kevin Boothe,30,T,16,16,325,6-5,Cornell,7/5/1983,7,6,Oakland Raiders / 6th / 176th pick / 2006,BootKe20
59,Allen Bradford,25,RB,9,0,235,5-11,USC,8/31/1988,2,1,Tampa Bay Buccaneers / 6th / 187th pick / 2011,BradAl00
73,James Brewer,26,OL,16,8,323,6-6,Indiana,12/23/1987,2,3,New York Giants / 4th / 117th pick / 2011,BrewJa00
35,Andre Brown,27,RB,8,8,224,6-0,North Carolina St.,12/15/1986,4,3,New York Giants / 4th / 129th pick / 2009,BrowAn03
3,Josh Brown,34,K,16,0,202,6-0,Nebraska,4/29/1979,10,3,Seattle Seahawks / 7th / 222nd pick / 2003,brownjos01
39,John Conner,26,RB,13,7,240,5-11,Kentucky,6/8/1987,3,0,New York Jets / 5th / 139th pick / 2010,ConnJo00
53,Dan Connor,28,MLB,1,0,233,6-3,Penn St.,11/2/1985,5,0,Carolina Panthers / 3rd / 74th pick / 2008,ConnDa99
63,Jim Cordle,26,C,11,7,297,6-4,Ohio St.,8/22/1987,2,3,,CordJi00
29,Michael Cox,25,RB,14,1,214,,Massachusetts,11/14/1988,Rook,0,New York Giants / 7th / 253rd pick / 2013,CoxxMi00
80,Victor Cruz,27,WR,14,12,204,6-0,Massachusetts,11/11/1986,3,6,,CruzVi00
51,Zak DeOssie,29,LB,16,0,250,6-5,Brown,5/25/1984,6,3,New York Giants / 4th / 116th pick / 2007,DeOsZa99
66,David Diehl,33,G,11,11,304,6-5,Illinois,9/15/1980,10,4,New York Giants / 5th / 160th pick / 2003,DiehDa21
84,Larry Donnell,25,TE,16,1,269,6-5,Grambling St.,11/1/1988,1,0,,DonnLa00
53,Marcus Dowtin,24,LB,3,0,230,6-2,North Alabama,1/22/1989,1,0,,DowtMa00
79,Stephen Goodin,25,G,1,0,310,6-6,Nebraska-Kearney,8/25/1988,1,0,,GoodSt00
