No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
56,John Abraham,27,DE,16,15,263,6-4,South Carolina,5/6/1978,5,6,New York Jets / 1st / 13th pick / 2000,AbraJo00
35,B.J. Askew,25,FB,10,1,233,6-3,Michigan,8/19/1980,2,0,New York Jets / 3rd / 85th pick / 2003,AskeB.00
86,Chris Baker,26,TE,8,8,261,6-3,Michigan St.,11/18/1979,3,2,New York Jets / 3rd / 88th pick / 2002,BakeCh00
96,Dave Ball,24,DE,3,0,255,6-5,UCLA,1/4/1981,1,0,San Diego Chargers / 5th / 133rd pick / 2004,BallDa20
36,David Barrett,28,DB,13,8,195,5-10,Arkansas,12/22/1977,5,4,Arizona Cardinals / 4th / 102nd pick / 2000,BarrDa22
50,Eric Barton,28,LILB,4,3,245,6-3,Maryland,9/29/1977,6,1,Oakland Raiders / 5th / 146th pick / 1999,BartEr20
23,Derrick Blaylock,26,RB,7,1,210,5-9,S.F. Austin,8/23/1979,3,0,Kansas City Chiefs / 5th / 150th pick / 2001,BlayDe00
5,Brooks Bollinger,26,QB,11,9,205,6-0,Wisconsin,11/15/1979,1,5,New York Jets / 6th / 200th pick / 2003,BollBr00
55,Mark Brown,25,LB,15,11,238,6-0,Auburn,5/19/1980,2,5,,BrowMa22
27,Terry Butler,23,RB,1,0,205,6-1,Villanova,8/2/1982,Rook,0,,ButlTe20
45,Oliver Celestin,24,DB,12,0,207,6-0,Texas Southern,2/25/1981,1,1,,CeleOl20
80,Wayne Chrebet,32,WR,8,0,188,5-10,Hofstra,8/14/1973,10,1,,ChreWa00
26,Erik Coleman,23,DB,16,16,207,5-10,Washington St.,5/6/1982,1,5,New York Jets / 5th / 143rd pick / 2004,ColeEr21
87,Laveranues Coles,28,WR,16,16,200,5-11,Florida St.,12/29/1977,5,7,New York Jets / 3rd / 78th pick / 2000,ColeLa00
89,Jerricho Cotchery,23,WR,16,1,205,6-1,North Carolina St.,6/16/1982,1,2,New York Jets / 4th / 108th pick / 2004,CotcJe00
85,James Dearth,29,TE,16,0,265,6-4,TulsaTarleton St.,1/22/1976,6,0,Cleveland Browns / 6th / 191st pick / 1999,DearJa00
83,Joel Dreessen,23,TE,14,0,245,6-4,Colorado St.,7/26/1982,Rook,0,New York Jets / 6th / 198th pick / 2005,DreeJo00
92,Shaun Ellis,28,DE,13,13,290,6-5,Tennessee,6/24/1977,5,5,New York Jets / 1st / 12th pick / 2000,ElliSh00
98,Jamar Enzor,24,LB,1,0,238,6-1,Cincinnati,12/28/1981,Rook,0,,EnzoJa20
69,Jason Fabini,31,T,9,9,309,6-7,Cincinnati,8/25/1974,7,3,New York Jets / 4th / 111th pick / 1998,FabiJa20
9,Jay Fiedler,34,QB,2,0,225,6-2,Dartmouth,12/29/1971,10,0,,FiedJa00
53,Barry Gardner,29,MLB,16,1,245,6-1,Northwestern,12/13/1976,6,1,Philadelphia Eagles / 2nd / 35th pick / 1999,GardBa20
78,Jonathan Goodwin,27,G,16,10,318,6-3,OhioMichigan,12/2/1978,3,4,New York Jets / 5th / 154th pick / 2002,GoodJo23
75,Scott Gragg,33,T,16,7,315,6-8,Montana,2/28/1972,10,3,New York Giants / 2nd / 54th pick / 1995,GragSc20
7,Ben Graham,32,P,16,0,236,6-5,Deakin (Australia),11/2/1973,Rook,3,,GrahBe20
54,Victor Hobson,25,ROLB,16,16,252,6-0,Michigan,2/3/1980,2,6,New York Jets / 2nd / 53rd pick / 2003,HobsVi20
98,T.J. Hollowell,24,LB,2,0,235,6-0,Nebraska,4/8/1981,1,0,,HollT.20
34,Cedric Houston,23,RB,12,4,220,6-0,Tennessee,6/28/1982,Rook,2,New York Jets / 6th / 182nd pick / 2005,HousCe00
32,Darrien Johnson,25,DB,8,0,185,5-10,Iowa,5/3/1980,Rook,0,,JohnDa22
97,Trevor Johnson,24,DE,9,0,260,6-4,Nebraska,2/26/1981,1,1,New York Jets / 7th / 234th pick / 2004,JohnTr21
88,Doug Jolley,26,TE,16,7,250,6-4,BYU,1/2/1979,3,3,Oakland Raiders / 2nd / 55th pick / 2002,JollDo00
79,Adrian Jones,24,T,16,16,330,6-4,Kansas,6/10/1981,1,6,New York Jets / 4th / 132nd pick / 2004,JoneAd20
64,Norm Katnik,24,C,1,0,296,6-4,USC,7/2/1981,-1,0,,KatnNo20
66,Pete Kendall,32,G,16,16,292,6-5,Boston Col.,7/9/1973,9,6,Seattle Seahawks / 1st / 21st pick / 1996,KendPe20
3,Kliff Kingsbury,26,QB,1,0,220,6-3,Texas Tech,8/9/1979,Rook,0,New England Patriots / 6th / 201st pick / 2003,KingKl00
24,Ty Law,31,DB,16,16,200,5-11,Michigan,2/10/1974,10,10,New England Patriots / 1st / 23rd pick / 1995,LawxTy00
44,Luke Lawton,25,RB,4,0,237,5-11,McNeese St.,8/26/1980,Rook,0,,LawtLu00
70,Lance Legree,28,DT,16,4,300,6-1,Notre Dame,12/22/1977,4,2,,LeGrLa20
31,Jeremy LeSueur,25,DB,2,0,204,6-0,Michigan,10/5/1980,Rook,0,Denver Broncos / 3rd / 85th pick / 2004,LeSuJe20
28,Curtis Martin,32,RB,12,12,210,5-11,Pittsburgh,5/1/1973,10,4,New England Patriots / 3rd / 74th pick / 1995,MartCu00
68,Kevin Mawae,34,C,6,6,289,6-4,LSU,1/23/1971,11,2,Seattle Seahawks / 2nd / 36th pick / 1994,MawaKe00
81,Justin McCareins,27,WR,16,16,215,6-2,Northern Illinois,12/1/1978,4,6,Tennessee Titans / 4th / 124th pick / 2001,McCaJu00
95,Matt McChesney,24,DT,3,0,290,6-4,Colorado,11/6/1981,Rook,0,,McChMa20
22,Justin Miller,21,DB,16,8,186,5-11,Clemson,2/14/1984,Rook,4,New York Jets / 2nd / 57th pick / 2005,MillJu99
65,Brandon Moore,25,G,16,16,305,6-3,Illinois,6/3/1980,2,6,,MoorBr20
76,Steve Morley,24,T,7,0,313,6-7,St. Mary's (Canada),8/18/1981,Rook,0,,MorlSt20
58,Ryan Myers,25,LB,15,0,245,6-2,AshlandAkron,2/27/1980,Rook,1,,MyerRy20
67,Doug Nienhuis,23,T,7,0,321,6-6,Oregon St.,2/16/1982,Rook,0,Seattle Seahawks / 7th / 254th pick / 2005,NienDo20
1,Mike Nugent,23,K,16,0,190,5-10,Ohio St.,3/2/1982,Rook,3,New York Jets / 2nd / 47th pick / 2005,nugenmik01
10,Chad Pennington,29,QB,3,3,230,6-3,Marshall,6/26/1976,5,2,New York Jets / 1st / 18th pick / 2000,PennCh01
91,Sione Pouha,26,DT,14,0,325,6-3,Utah,2/3/1979,Rook,1,New York Jets / 3rd / 88th pick / 2005,PouhSi20
93,James Reed,28,DT,16,15,286,6-0,Iowa St.,2/3/1977,4,6,New York Jets / 7th / 206th pick / 2001,ReedJa21
25,Kerry Rhodes,23,DB,16,16,212,6-3,Louisville,8/2/1982,Rook,5,New York Jets / 4th / 123rd pick / 2005,RhodKe20
84,Dante Ridgeway,21,WR,8,0,199,6-1,Ball St.,4/18/1984,Rook,0,St. Louis Rams / 6th / 192nd pick / 2005,RidgDa00
63,Dewayne Robertson,24,DT,13,12,317,6-1,Kentucky,10/16/1981,2,5,New York Jets / 1st / 4th pick / 2003,RobeDe20
33,Jerald Sowell,31,FB,16,14,237,6-0,Tulane,1/21/1974,8,1,Green Bay Packers / 7th / 231st pick / 1997,SoweJe00
21,Derrick Strait,25,DB,16,2,189,5-11,Oklahoma,8/27/1980,1,2,New York Jets / 3rd / 76th pick / 2004,StraDe20
16,Vinny Testaverde,42,QB,6,4,235,6-5,Miami (FL),11/13/1963,18,2,Tampa Bay Buccaneers / 1st / 1st pick / 1987,TestVi00
99,Bryan Thomas,26,DE,16,4,265,6-4,Ala-Birmingham,6/7/1979,3,3,New York Jets / 1st / 22nd pick / 2002,ThomBr21
51,Jonathan Vilma,23,LB,16,16,230,6-1,Miami (FL),4/16/1982,1,9,New York Jets / 1st / 12th pick / 2004,VilmJo99
42,Rashad Washington,25,DB,16,0,217,6-1,Kansas St.,3/15/1980,1,1,New York Jets / 7th / 236th pick / 2004,WashRa20
18,Harry Williams,23,WR,1,0,185,6-3,Tuskegee,8/10/1982,Rook,0,New York Jets / 7th / 240th pick / 2005,WillHa20
52,Kenyatta Wright,27,MLB,15,0,240,6-0,Oklahoma St.,2/19/1978,5,1,,WrigKe21
,Team Total,26.5,,16,,244.7,6-1.9,,,3.1,,,-9999
