No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
36,Josh Adams,24,RB,8,0,225,6-2,Notre Dame,10/29/1996,2,1,,$750000,AdamJo03
96,Henry Anderson,29,DE,16,8,300,6-6,Stanford,8/3/1991,5,4,Indianapolis Colts / 3rd / 93rd pick / 2015,$7000000,AndeHe00
68,Josh Andrews,29,G,15,4,298,6-2,Oregon St.,6/21/1991,6,2,,$750000,AndrJo01
31,Blessuan Austin,24,CB,11,10,198,6-1,Rutgers,7/19/1996,1,3,New York Jets / 6th / 196th pick / 2019,$675000,AustBl00
29,Kalen Ballage,25,RB,3,0,231,6-2,Arizona St.,12/22/1995,2,1,Miami Dolphins / 4th / 131st pick / 2018,$705882,BallKa00
27,Corey Ballentine,24,CB,6,0,191,6-0,Washburn,4/13/1996,1,0,New York Giants / 6th / 180th pick / 2019,$317648,BallCo00
93,Tarell Basham,26,DE,16,9,266,6-4,Ohio,3/18/1994,3,5,Indianapolis Colts / 3rd / 80th pick / 2017,$825000,BashTa00
77,Mekhi Becton,21,OL,14,13,363,6-7,Louisville,4/18/1999,Rook,5,New York Jets / 1st / 11th pick / 2020,$610000,BectMe00
26,Le'Veon Bell,28,RB,2,2,225,6-1,Michigan St.,2/18/1992,7,1,Pittsburgh Steelers / 2nd / 48th pick / 2013,$8500000,BellLe00
10,Braxton Berrios,25,WR,16,2,190,5-9,Miami (FL),10/6/1995,2,3,New England Patriots / 6th / 210th pick / 2018,$750000,BerrBr00
87,Daniel Brown,28,TE,16,1,247,6-5,James Madison,5/26/1992,5,0,,$910000,BrowDa04
86,Lawrence Cager,23,WR,2,1,220,6-5,Georgia,8/20/1997,Rook,0,,,CageLa01
26,Elijah Campbell,25,DB,3,0,190,5-11,Northern IllinoisNorthern Iowa,8/24/1995,Rook,0,,,CampEl00
53,Blake Cashman,24,LB,4,1,237,6-1,Minnesota,5/10/1996,1,1,New York Jets / 5th / 157th pick / 2019,$560588,CashBl00
6,Sergio Castillo,30,K,6,0,195,5-11,West Texas A&M,11/1/1990,Rook,0,,$358824,CastSe00
37,Marqui Christian,26,SS,1,0,195,5-11,Midwestern St.,10/27/1994,4,0,Arizona Cardinals / 5th / 167th pick / 2016,$802941,ChriMa00
82,Jamison Crowder,27,WR,12,7,177,5-9,Duke,6/17/1993,5,5,Washington Redskins / 4th / 105th pick / 2015,$8500000,CrowJa00
14,Sam Darnold,23,QB,12,12,225,6-3,USC,6/5/1997,2,4,New York Jets / 1st / 3rd pick / 2018,$750000,DarnSa00
32,Ashtyn Davis,24,S,10,6,200,6-1,California,10/10/1996,Rook,2,New York Jets / 3rd / 68th pick / 2020,$610000,DaviAs00
56,Noah Dawkins,23,LB,5,0,235,6-1,The Citadel,8/13/1997,1,0,,,DawkNo00
35,Pierre Desir,30,CB,9,8,192,6-1,Lindenwood,9/8/1990,6,3,Cleveland Browns / 4th / 127th pick / 2014,$1250000,DesiPi00
75,Chuma Edoga,23,OL,11,4,308,6-3,USC,5/25/1997,1,2,New York Jets / 3rd / 92nd pick / 2019,$675000,EdogCh00
67,Pat Elflein,26,C,6,6,303,6-3,Ohio St.,7/6/1994,3,2,Minnesota Vikings / 3rd / 70th pick / 2017,$2133000,ElflPa00
76,George Fant,28,T,14,14,322,6-5,Western Kentucky,7/19/1992,4,5,,$4600000,FantGe00
41,Matthias Farley,28,DB,16,2,209,5-11,Notre Dame,7/15/1992,4,1,,$910000,FarlMa00
94,Folorunso Fatukasi,25,DT,15,8,318,6-4,Connecticut,3/4/1995,2,5,New York Jets / 6th / 180th pick / 2018,$750000,FatuFo00
9,Sam Ficken,28,K,9,0,192,6-1,Penn St.,12/14/1992,3,1,,$675000,FickSa00
54,Sharif Finch,25,LB,3,0,250,6-4,Temple,10/1/1995,2,0,,,FincSh00
5,Joe Flacco,35,QB,5,4,245,6-6,PittsburghDelaware,1/16/1985,12,2,Baltimore Ravens / 1st / 18th pick / 2008,$1050000,FlacJo00
91,John Franklin-Myers,24,DE,15,2,288,6-4,S.F. Austin,9/26/1996,2,3,Los Angeles Rams / 4th / 135th pick / 2018,$750000,FranJo02
21,Frank Gore,37,RB,15,14,212,5-9,Miami (FL),5/14/1983,15,4,San Francisco 49ers / 3rd / 65th pick / 2005,$1050000,GoreFr00
84,Ryan Griffin,30,TE,15,6,255,6-6,Connecticut,1/11/1990,7,1,Houston Texans / 6th / 201st pick / 2013,$1160000,GrifRy00
40,Javelin Guidry,22,DB,11,2,191,5-9,Utah,8/6/1998,Rook,1,,$502353,GuidJa01
58,Bryce Hager,28,ILB,10,2,237,6-1,Baylor,5/4/1992,5,2,St. Louis Rams / 7th / 224th pick / 2015,$481765,HageBr00
25,Nate Hairston,26,CB,2,0,185,6-0,Temple,6/30/1994,3,0,Indianapolis Colts / 5th / 158th pick / 2017,$2133000,HairNa00
37,Bryce Hall,23,CB,8,7,202,6-1,Virginia,5/11/1997,Rook,2,New York Jets / 5th / 158th pick / 2020,$511173,HallBr02
29,Saquan Hampton,25,S,1,0,207,6-1,Rutgers,12/12/1995,1,0,New Orleans Saints / 6th / 177th pick / 2019,,HampSa00
49,J.T. Hassell,25,DB,3,0,199,5-11,Florida Tech,8/14/1995,1,0,,,HassJT00
42,Thomas Hennessy,26,LS,16,0,246,6-2,Duke,6/11/1994,3,1,,$825000,HennTh00
89,Chris Herndon,24,TE,16,13,253,6-4,Miami (FL),2/23/1996,2,2,New York Jets / 4th / 107th pick / 2018,$750000,HernCh00
46,Neville Hewitt,27,LB,16,16,234,6-2,Marshall,4/6/1993,5,8,,$1000000,HewiNe00
15,Chris Hogan,33,WR,5,4,210,6-1,Monmouth,10/24/1987,9,1,,$910000,HogaCh00
47,Bryce Huff,22,DE,14,0,255,6-3,Memphis,4/17/1998,Rook,1,,,HuffBr00
39,Bennett Jackson,29,CB,4,0,192,6-0,Notre Dame,9/16/1991,6,0,New York Giants / 6th / 187th pick / 2014,$357353,JackBe00
38,Lamar Jackson,22,DB,13,6,215,6-3,Nebraska,4/13/1998,Rook,2,,$430588,JackLa02
48,Jordan Jenkins,26,OLB,12,12,260,6-3,Georgia,7/1/1994,4,6,New York Jets / 3rd / 83rd pick / 2016,$1500000,JenkJo01
25,Ty Johnson,23,RB,11,1,210,5-10,Maryland,9/17/1997,1,2,Detroit Lions / 6th / 186th pick / 2019,$555884,JohnTy02
44,Harvey Langi,28,ILB,14,6,250,6-2,BYU,9/24/1992,3,4,,$750000,LangHa00
,Alex Lewis,28,OT,9,9,305,6-6,ColoradoNebraska,4/21/1992,4,3,Baltimore Ravens / 4th / 130th pick / 2016,$1100000,LewiAl01
50,Frankie Luvu,24,LB,13,3,235,6-3,Washington St.,9/19/1996,2,2,,$513236,LuvuFr00
83,Josh Malone,24,WR,4,0,205,6-3,Tennessee,3/21/1996,3,0,Cincinnati Bengals / 4th / 128th pick / 2017,$661765,MaloJo00
7,Braden Mann,23,P,16,0,198,5-11,Texas A&M,11/24/1997,Rook,3,New York Jets / 6th / 191st pick / 2020,$610000,MannBr01
23,Arthur Maulet,27,CB,11,5,190,5-10,Memphis,7/13/1993,3,2,,$825000,MaulAr00
20,Marcus Maye,27,FS,16,16,207,6-0,Florida,3/9/1993,3,6,New York Jets / 2nd / 39th pick / 2017,$1358733,MayeMa00
69,Conor McDermott,28,OT,15,1,305,6-8,UCLA,10/19/1992,3,1,New England Patriots / 6th / 211th pick / 2017,$825000,McDeCo00
30,Bradley McDougald,30,FS,7,7,215,6-1,Kansas,11/15/1990,7,2,,$3600000,McDoBr01
60,Connor McGovern,27,OG,16,16,306,6-4,Missouri,4/27/1993,3,5,Denver Broncos / 5th / 144th pick / 2016,$5000000,McGoCo00
3,Chase McLaughlin,24,K,1,0,180,6-0,Illinois,4/9/1996,1,0,,,McLaCh00
99,Steve McLendon,34,DT,6,6,310,6-3,Troy,1/3/1986,10,3,,,McLeSt00
11,Denzel Mims,23,WR,9,8,207,6-3,Baylor,10/10/1997,Rook,3,New York Jets / 2nd / 59th pick / 2020,$548235,MimsDe00
52,Alec Ogletree,29,OLB,2,1,250,6-3,Georgia,9/25/1991,7,1,St. Louis Rams / 1st / 30th pick / 2013,$856471,OgleAl00
51,Patrick Onwuasor,28,LB,1,0,227,6-0,ArizonaPortland St.,8/22/1992,4,0,,$1000000,OnwuPa00
22,La'Mical Perine,22,RB,10,0,216,5-11,Florida,1/30/1998,Rook,2,New York Jets / 4th / 120th pick / 2020,$610000,PeriLa00
19,Breshad Perriman,27,WR,12,12,210,6-1,Central Florida,9/10/1993,4,4,Baltimore Ravens / 1st / 26th pick / 2015,$3000000,PerrBr02
98,Kyle Phillips,23,DL,7,3,277,6-4,Tennessee,5/5/1997,1,2,,$527942,PhilKy00
34,Brian Poole,28,CB,9,7,211,5-10,Florida,10/20/1992,4,3,,$1500000,PoolBr01
18,Jaleel Scott,25,WR,1,1,210,6-5,New Mexico St.,2/23/1995,2,0,Baltimore Ravens / 4th / 132nd pick / 2018,,ScotJa02
