No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
67,Tom Ackerman,31,G,16,0,290,6-3,East. Washington,9/6/1972,7,2,New Orleans Saints / 5th / 145th pick / 1996,AckeTo20
58,Ken Amato,26,C,16,0,240,6-2,Montana St.,5/18/1977,Rook,3,,AmatKe20
1,Gary Anderson,44,K,15,0,193,5-11,Syracuse,7/16/1959,21,4,Buffalo Bills / 7th / 171st pick / 1982,andergar02
96,James Atkins,25,DT,13,4,325,6-5,Virginia Union,6/23/1978,Rook,3,,AtkiJa21
24,Tony Beckham,25,DB,16,3,187,6-1,Wisconsin–Stout,10/1/1978,1,2,Tennessee Titans / 4th / 115th pick / 2002,BeckTo20
83,Drew Bennett,25,WR,12,8,206,6-5,UCLA,8/26/1978,2,5,,BennDr00
82,Eddie Berlin,25,WR,14,0,195,5-11,Northern Iowa,1/14/1978,2,1,Tennessee Titans / 5th / 159th pick / 2001,BerlEd00
50,Rocky Boiman,23,ROLB,16,2,236,6-4,Notre Dame,1/24/1980,1,3,Tennessee Titans / 4th / 133rd pick / 2002,BoimRo20
29,Chris Brown,22,RB,11,0,235,6-3,Colorado,4/17/1981,Rook,2,Tennessee Titans / 3rd / 93rd pick / 2003,BrowCh03
53,Keith Bulluck,26,LB,16,16,235,6-3,Syracuse,4/4/1977,3,17,Tennessee Titans / 1st / 30th pick / 2000,BullKe00
87,Tyrone Calico,23,WR,14,2,223,6-4,Middle Tenn. St.,11/9/1980,Rook,3,Tennessee Titans / 2nd / 60th pick / 2003,CaliTy00
54,Rocky Calmus,24,MLB,10,8,238,6-3,Oklahoma,8/1/1979,1,5,Tennessee Titans / 3rd / 77th pick / 2002,CalmRo20
93,Kevin Carter,30,DE,16,16,305,6-6,Florida,9/21/1973,8,8,St. Louis Rams / 1st / 6th pick / 1995,CartKe00
91,Anthony Dunn,23,DE,2,0,255,6-2,Northern Colorado,7/1/1980,Rook,0,,DunnAn20
22,Andre Dyson,24,DB,16,16,183,5-10,Utah,5/25/1979,2,7,Tennessee Titans / 2nd / 60th pick / 2001,DysoAn20
20,Mike Echols,25,DB,5,0,190,5-10,Wisconsin,10/13/1978,1,0,Tennessee Titans / 4th / 110th pick / 2002,EchoMi20
27,Eddie George,30,RB,16,16,235,6-3,Ohio St.,9/24/1973,7,8,Houston Oilers / 1st / 14th pick / 1996,GeorEd00
97,Carlos Hall,24,DE,16,4,261,6-4,Arkansas,1/16/1979,1,4,Tennessee Titans / 7th / 240th pick / 2002,HallCa20
77,Justin Hartwig,25,C,16,16,312,6-5,Kansas,11/21/1978,1,9,Tennessee Titans / 6th / 187th pick / 2002,HartJu20
92,Albert Haynesworth,22,DT,12,11,335,6-6,Tennessee,6/17/1981,1,6,Tennessee Titans / 1st / 15th pick / 2002,HaynAl20
15,Craig Hentrich,32,P,16,0,213,6-3,Notre Dame,5/18/1971,9,4,New York Jets / 8th / 200th pick / 1993,hentrcra01
