No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
53,Daren Bates,29,LB,13,0,225,5-11,Auburn,11/27/1990,6,1,,$2050000,BateDa00
41,Khari Blasingame,23,RB,6,3,233,6-0,Vanderbilt,7/1/1996,Rook,0,,,BlasKh00
48,Beau Brinkley,29,LSTE,16,0,260,6-4,Missouri,1/25/1990,7,1,,$1250000,BrinBe00
35,Tramaine Brock,31,DB,4,4,188,6-0,MinnesotaBelhaven,8/20/1988,9,1,,,BrocTr00
11,A.J. Brown,22,WR,16,11,226,6-1,Mississippi,6/30/1997,Rook,10,Tennessee Titans / 2nd / 51st pick / 2019,$495000,BrowAJ00
55,Jayon Brown,24,ILB,14,14,226,6-0,UCLA,2/26/1995,2,8,Tennessee Titans / 5th / 155th pick / 2017,$645000,BrowJa06
21,Malcolm Butler,29,CB,9,9,190,5-11,West Alabama,3/2/1990,5,4,,$10500000,ButlMa01
31,Kevin Byard,26,S,16,16,212,5-11,Middle Tenn. St.,8/17/1993,3,7,Tennessee Titans / 3rd / 64th pick / 2016,$2025000,ByarKe01
99,Jurrell Casey,30,DL,14,14,305,6-1,USC,12/5/1989,8,11,Tennessee Titans / 3rd / 77th pick / 2011,$10550000,CaseJu00
78,Jack Conklin,25,OT,16,16,308,6-6,Michigan St.,8/17/1994,3,8,Tennessee Titans / 1st / 8th pick / 2016,$2617862,ConkJa00
44,Kamalei Correa,25,OLB,16,5,241,6-3,Boise St.,4/27/1994,3,4,Baltimore Ravens / 2nd / 42nd pick / 2016,$1234043,CorrKa00
29,Dane Cruikshank,24,CB,16,0,209,6-1,Arizona,4/27/1995,1,1,Tennessee Titans / 5th / 152nd pick / 2018,$570000,CruiDa00
84,Corey Davis,24,WR,15,11,209,6-3,Western Michigan,1/11/1995,2,5,Tennessee Titans / 1st / 5th pick / 2017,$645000,DaviCo03
64,Nate Davis,23,OL,13,12,316,6-3,Charlotte,9/23/1996,Rook,6,Tennessee Titans / 3rd / 82nd pick / 2019,$495000,DaviNa01
12,Rashard Davis,24,WR,1,0,175,5-9,James Madison,9/14/1995,1,0,,,DaviRa01
28,Dalyn Dawkins,25,RB,2,0,183,5-7,Colorado St.,12/12/1994,1,0,,$570000,DawkDa01
92,Matt Dickerson,24,DE,5,0,292,6-5,UCLA,11/9/1995,1,0,,$570000,DickMa00
75,Jamil Douglas,27,OG,15,5,309,6-4,Arizona St.,2/28/1992,4,3,Miami Dolphins / 4th / 114th pick / 2015,$570000,DougJa00
54,Rashaan Evans,24,ILB,16,16,232,6-2,Alabama,11/8/1995,1,9,Tennessee Titans / 1st / 22nd pick / 2018,$1006236,EvanRa01
56,Sharif Finch,24,LB,8,3,250,6-4,Temple,10/1/1995,1,2,,$570000,FincSh00
86,Anthony Firkser,24,TE,15,1,246,6-2,Harvard,2/19/1995,1,2,,$570000,FirkAn00
32,David Fluellen,27,RB,2,0,224,5-11,Toledo,1/28/1992,2,0,,$720000,FlueDa00
93,Reggie Gilbert,26,LB,11,5,261,6-3,Arizona,4/1/1993,2,3,,,GilbRe01
57,Nigel Harris,25,OLB,1,0,225,6-2,South Florida,12/7/1994,2,0,,$570000,HarrNi00
22,Derrick Henry,25,RB,15,15,247,6-3,Alabama,1/4/1994,3,13,Tennessee Titans / 2nd / 45th pick / 2016,$1187445,HenrDe00
16,Cody Hollister,26,WR,5,0,209,6-4,Arkansas,11/18/1993,Rook,0,,$495000,HollCo00
37,Amani Hooker,21,S,16,0,210,5-11,Iowa,6/14/1998,Rook,1,Tennessee Titans / 4th / 116th pick / 2019,$495000,HookAm00
10,Adam Humphries,26,WR,12,3,195,5-11,Clemson,6/24/1993,4,3,,$2000000,HumpAd00
96,Joey Ivie,24,DT,3,0,301,6-3,Florida,1/22/1995,1,0,Dallas Cowboys / 7th / 228th pick / 2017,,IvieJo00
25,Adoree' Jackson,24,CB,11,10,185,5-11,USC,9/18/1995,2,3,Tennessee Titans / 1st / 18th pick / 2017,$1490708,JackAd00
15,Darius Jennings,27,WR,8,0,180,5-10,Virginia,6/28/1992,4,0,,$720000,JennDa00
94,Austin Johnson,25,DT,16,1,314,6-4,Penn St.,5/8/1994,3,2,Tennessee Titans / 2nd / 43rd pick / 2016,$1222122,JohnAu01
60,Ben Jones,30,C,15,15,308,6-3,Georgia,7/2/1989,7,8,Houston Texans / 4th / 99th pick / 2012,$4500000,JoneBe01
90,DaQuan Jones,28,DT,16,16,320,6-4,Penn St.,12/27/1991,5,8,Tennessee Titans / 4th / 112th pick / 2014,$6000000,JoneDa04
7,Greg Joseph,25,K,2,0,206,6-0,Florida Atlantic,8/4/1994,1,0,,,JoseGr00
46,Joshua Kalu,24,CB,8,0,203,6-0,Nebraska,8/28/1995,1,0,,$570000,KaluJo00
71,Dennis Kelly,29,OT,15,4,321,6-8,Purdue,1/16/1990,7,3,Philadelphia Eagles / 5th / 153rd pick / 2012,$1350000,KellDe00
6,Brett Kern,33,P,16,0,214,6-2,Toledo,2/17/1986,11,3,,$1800000,KernBr20
58,Harold Landry,23,OLB,16,16,252,6-2,Boston Col.,6/5/1996,1,9,Tennessee Titans / 2nd / 41st pick / 2018,$786077,LandHa00
77,Taylor Lewan,28,OT,12,12,309,6-7,Michigan,7/22/1991,5,6,Tennessee Titans / 1st / 11th pick / 2014,$14500000,LewaTa00
33,Dion Lewis,29,RB,16,1,195,5-8,Pittsburgh,9/27/1990,8,3,Philadelphia Eagles / 5th / 149th pick / 2011,$4000000,LewiDi00
51,David Long,23,LB,14,0,227,5-11,West Virginia,10/12/1996,Rook,1,Tennessee Titans / 6th / 188th pick / 2019,$495000,LongDa04
97,Isaiah Mack,23,DT,13,1,299,6-1,Chattanooga,3/19/1996,Rook,2,,$495000,MackIs00
8,Marcus Mariota,26,QB,7,6,222,6-4,Oregon,10/30/1993,4,5,Tennessee Titans / 1st / 2nd pick / 2015,$20922000,MariMa01
30,Christopher Milton,27,CB,6,0,190,5-11,Georgia Tech,9/15/1992,3,0,,,MiltCh00
20,Kareem Orr,22,DB,2,0,195,5-11,Arizona St.Chattanooga,1/2/1997,Rook,0,,,OrrxKa00
3,Cody Parkey,27,K,3,0,190,6-0,Auburn,2/19/1992,5,1,,,ParkCo03
85,MyCole Pruitt,27,TE,16,10,245,6-2,Southern Illinois,3/24/1992,4,1,Minnesota Vikings / 5th / 143rd pick / 2015,$720000,PruiMy00
72,David Quessenberry,29,OT,4,0,310,6-5,San Jose St.,8/24/1990,6,0,Houston Texans / 6th / 176th pick / 2013,$495000,QuesDa00
14,Kalif Raymond,25,WR,8,1,182,5-8,Holy Cross,8/8/1994,3,1,,$645000,RaymKa00
50,Derick Roberson,24,DE,3,0,250,6-3,Sam Houston St.,11/15/1995,Rook,1,,,RobeDe01
26,Logan Ryan,28,CB,16,16,195,5-11,Rutgers,2/9/1991,6,7,New England Patriots / 3rd / 83rd pick / 2013,$9500000,RyanLo00
76,Rodger Saffold,31,T,16,16,325,6-5,Indiana,6/6/1988,9,8,St. Louis Rams / 2nd / 33rd pick / 2010,$3500000,SaffRo20
7,Cairo Santos,28,K,5,0,175,5-8,Tulane,11/12/1991,5,0,,,SantCa01
3,Ryan Santoso,24,P,3,0,258,6-5,Minnesota,8/26/1995,Rook,0,,,SantRy00
19,Tajae Sharpe,25,WR,15,6,194,6-2,Massachusetts,12/23/1994,3,3,Tennessee Titans / 5th / 140th pick / 2016,$2025000,SharTa00
98,Jeffery Simmons,22,DL,9,7,305,6-4,Mississippi St.,7/28/1997,Rook,4,Tennessee Titans / 1st / 19th pick / 2019,$495000,SimmJe01
36,LeShaun Sims,26,CB,14,2,203,6-0,Southern Utah,9/18/1993,3,2,Tennessee Titans / 5th / 157th pick / 2016,$720000,SimsLe00
81,Jonnu Smith,24,TE,16,14,248,6-3,Florida International,8/22/1995,2,4,Tennessee Titans / 3rd / 100th pick / 2017,$669000,SmitJo01
45,Rod Smith,27,RB,3,0,235,6-3,Ohio St.,1/10/1992,4,0,,,SmitRo06
23,Tye Smith,26,CB,9,3,195,6-0,Towson,5/3/1993,4,1,Seattle Seahawks / 5th / 170th pick / 2015,,SmitTy01
61,Aaron Stinnie,25,G,3,0,312,6-3,James Madison,2/18/1994,1,0,,$570000,StinAa00
4,Ryan Succop,33,K,6,0,218,6-2,South Carolina,9/19/1986,10,-1,Kansas City Chiefs / 7th / 256th pick / 2009,$2500000,SuccRy44
