No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
62,Ian Beckles,31,G,16,16,300,6-1,Indiana,7/20/1967,8,4,Tampa Bay Buccaneers / 5th / 114th pick / 1990,BeckIa20
18,Chris Boniol,27,K,16,0,169,5-11,Louisiana Tech,12/9/1971,4,1,,boniochr01
27,James Bostic,26,RB,2,0,230,5-11,Auburn,3/13/1972,Rook,0,Los Angeles Rams / 3rd / 83rd pick / 1994,BostJa00
76,Barrett Brooks,26,T,16,1,325,6-4,Kansas St.,5/5/1972,3,1,Philadelphia Eagles / 2nd / 58th pick / 1995,BrooBa20
56,Mike Caldwell,27,LLB,16,8,235,6-2,Middle Tenn. St.,8/31/1971,5,4,Cleveland Browns / 3rd / 83rd pick / 1993,CaldMi20
77,Richard Cooper,34,T,15,15,290,6-5,Tennessee,11/1/1964,8,4,,CoopRi20
86,Russell Copeland,27,WR,11,0,200,6-0,Memphis,11/14/1971,5,1,Buffalo Bills / 4th / 111th pick / 1993,CopeRu00
66,Jerry Crafts,30,T,1,0,343,6-5,OklahomaLouisville,1/6/1968,6,0,Indianapolis Colts / 11th / 292nd pick / 1991,CrafJe20
57,James Darling,24,LLB,12,8,247,6-1,Washington St.,12/29/1974,1,4,Philadelphia Eagles / 2nd / 57th pick / 1997,DarlJa20
20,Brian Dawkins,25,DB,14,14,210,6-0,Clemson,10/13/1973,2,6,Philadelphia Eagles / 2nd / 61st pick / 1996,DawkBr00
10,Koy Detmer,25,QB,8,5,195,6-1,Colorado,7/5/1973,Rook,1,Philadelphia Eagles / 7th / 207th pick / 1997,DetmKo00
53,Hugh Douglas,27,DE,15,13,281,6-2,Central State (OH),8/23/1971,3,7,New York Jets / 1st / 16th pick / 1995,DougHu00
87,Jason Dunn,25,TE,10,10,276,6-6,East. Kentucky,11/15/1973,2,1,Philadelphia Eagles / 2nd / 54th pick / 1996,DunnJa00
61,Steve Everitt,28,C,13,13,300,6-5,Michigan,8/21/1970,5,3,Cleveland Browns / 1st / 14th pick / 1993,EverSt20
55,Ray Farmer,24,LB,2,0,225,6-3,Duke,7/1/1974,2,0,Philadelphia Eagles / 4th / 121st pick / 1996,FarmRa20
85,Chris Fontenot,24,TE,5,3,250,6-3,McNeese St.,7/11/1974,Rook,1,,FontCh00
80,Irving Fryar,36,WR,16,16,200,6-0,Nebraska,9/28/1962,14,3,New England Patriots / 1st / 1st pick / 1984,FryaIr00
30,Charlie Garner,26,RB,10,3,190,5-10,Tennessee,2/13/1972,4,2,Philadelphia Eagles / 2nd / 42nd pick / 1994,GarnCh00
81,Jeff Graham,29,WR,15,15,200,6-2,Ohio St.,2/14/1969,7,4,Pittsburgh Steelers / 2nd / 46th pick / 1991,GrahJe00
97,Rhett Hall,30,DT,2,0,270,6-2,California,12/5/1968,7,0,Tampa Bay Buccaneers / 6th / 147th pick / 1991,HallRh20
82,Karl Hankton,28,WR,10,0,202,6-2,LSUTrinity (IL),7/24/1970,Rook,0,,HankKa00
31,Al Harris,24,DB,16,7,190,6-1,Texas A&M-Kingsville,12/7/1974,Rook,3,Tampa Bay Buccaneers / 6th / 169th pick / 1997,HarrAl21
90,Jon Harris,24,DE,16,4,300,6-7,Virginia,6/9/1974,1,3,Philadelphia Eagles / 1st / 25th pick / 1997,HarrJo26
33,Aaron Hayden,25,RB,1,0,216,6-0,Tennessee,4/13/1973,3,0,San Diego Chargers / 4th / 104th pick / 1995,HaydAa00
