No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
19,JJ Arcega-Whiteside,24,WR,8,0,225,6-2,Stanford,12/31/1996,1,1,Philadelphia Eagles / 2nd / 57th pick / 2019,$720056,ArceJJ00
37,Grayland Arnold,23,DB,6,1,190,5-10,Baylor,9/4/1997,Rook,1,,,ArnoGr01
58,Genard Avery,25,LB,11,0,250,6-0,Memphis,4/26/1995,2,1,Cleveland Browns / 5th / 150th pick / 2018,$573532,AverGe00
59,Joe Bachie,22,LB,4,0,235,6-2,Michigan St.,2/26/1998,Rook,0,,,BachJo01
96,Derek Barnett,24,DE,13,10,259,6-3,Tennessee,6/25/1996,3,5,Philadelphia Eagles / 1st / 14th pick / 2017,$2217378,BarnDe01
54,Shaun Bradley,23,LB,15,0,240,6-1,Temple,4/8/1997,Rook,1,Philadelphia Eagles / 6th / 196th pick / 2020,$610000,BradSh00
66,Jamon Brown,27,OT,2,1,340,6-4,Louisville,3/15/1993,5,0,St. Louis Rams / 3rd / 72nd pick / 2015,$856471,BrowJa04
16,Deontay Burnett,23,WR,2,0,186,6-0,USC,10/4/1997,2,0,,,BurnDe00
89,Hakeem Butler,24,WR,2,0,227,6-5,Iowa St.,5/16/1996,Rook,0,Arizona Cardinals / 4th / 103rd pick / 2019,$555882,ButlHa00
30,Corey Clement,26,RB,15,0,220,5-10,Wisconsin,11/2/1994,3,1,,$825000,ClemCo00
33,Blake Countess,27,CB,2,0,185,5-10,AuburnMichigan,8/8/1993,4,0,Philadelphia Eagles / 6th / 196th pick / 2016,,CounBl00
91,Fletcher Cox,30,DT,15,15,310,6-4,Mississippi St.,12/13/1990,8,11,Philadelphia Eagles / 1st / 12th pick / 2012,$4035000,CoxxFl00
81,Jason Croom,26,TE,4,0,246,6-5,Tennessee,2/28/1994,2,0,,,CrooJa00
75,Vinny Curry,32,DE,11,3,279,6-3,Marshall,6/30/1988,8,3,Philadelphia Eagles / 2nd / 59th pick / 2012,$1300000,CurrVi00
63,Jack Driscoll,23,OL,11,4,296,6-5,Auburn,4/1/1997,Rook,2,Philadelphia Eagles / 4th / 145th pick / 2020,$610000,DrisJa00
57,T.J. Edwards,24,LB,12,12,242,6-1,Wisconsin,8/12/1996,1,6,,$630882,EdwaTJ02
4,Jake Elliott,25,K,16,0,167,5-9,Memphis,1/21/1995,3,2,Cincinnati Bengals / 5th / 153rd pick / 2017,$825000,ElliJa03
22,Marcus Epps,24,S,14,5,198,6-0,Wyoming,1/27/1996,1,3,Minnesota Vikings / 6th / 191st pick / 2019,$675000,EppsMa00
86,Zach Ertz,30,TE,11,11,250,6-5,Stanford,11/10/1990,7,3,Philadelphia Eagles / 2nd / 35th pick / 2013,$6660000,ErtzZa00
36,Rudy Ford,26,FS,8,1,204,6-0,Auburn,11/1/1994,3,1,Arizona Cardinals / 6th / 208th pick / 2017,$825000,FordRu00
13,Travis Fulgham,25,WR,13,8,215,6-2,Old Dominion,9/13/1995,1,4,Detroit Lions / 6th / 184th pick / 2019,$555882,FulgTr00
47,Nathan Gerry,25,SS,7,7,230,6-2,Nebraska,2/23/1995,3,6,Philadelphia Eagles / 5th / 184th pick / 2017,$825000,GerrNa00
88,Dallas Goedert,25,TE,11,9,256,6-5,South Dakota St.,1/3/1995,2,4,Philadelphia Eagles / 2nd / 49th pick / 2018,$991297,GoedDa00
55,Brandon Graham,32,DE,16,16,265,6-2,Michigan,4/3/1988,10,11,Philadelphia Eagles / 1st / 13th pick / 2010,$1360000,GrahBr99
93,Javon Hargrave,27,DT,15,11,305,6-2,South Carolina St.,2/7/1993,4,6,Pittsburgh Steelers / 3rd / 89th pick / 2016,$1000000,HargJa00
67,Nate Herbig,22,G,15,12,334,6-4,Stanford,7/10/1998,1,4,,$675000,HerbNa01
82,John Hightower,24,WR,13,4,189,6-1,Boise St.,5/31/1996,Rook,1,Philadelphia Eagles / 5th / 168th pick / 2020,$610000,HighJo00
33,Elijah Holyfield,23,RB,1,0,215,5-11,Georgia,11/30/1997,Rook,0,,,HolyEl00
46,Jameson Houston,24,DB,3,0,200,5-11,Baylor,6/30/1996,Rook,0,,,HousJa00
28,Jordan Howard,26,RB,2,1,224,6-0,Indiana,11/2/1994,4,0,Chicago Bears / 5th / 150th pick / 2016,,HowaJo00
32,Jason Huntley,22,RB,5,0,193,5-9,New Mexico St.,4/20/1998,Rook,0,Detroit Lions / 5th / 172nd pick / 2020,,HuntJa01
2,Jalen Hurts,22,QB,15,4,223,6-1,AlabamaOklahoma,8/7/1998,Rook,4,Philadelphia Eagles / 2nd / 53rd pick / 2020,$610000,HurtJa00
10,DeSean Jackson,34,WR,5,5,175,5-10,California,12/1/1986,12,2,Philadelphia Eagles / 2nd / 49th pick / 2008,$6200000,JackDe00
97,Malik Jackson,30,DT,15,6,285,6-5,Tennessee,1/11/1990,8,4,Denver Broncos / 5th / 137th pick / 2012,$1050000,JackMa02
38,Michael Jacquet,23,DB,7,2,201,6-2,Louisiana,1/29/1997,Rook,1,,,JacqMi00
39,Craig James,24,CB,4,0,195,5-10,Southern Illinois,4/29/1996,2,0,,$750000,JameCr01
17,Alshon Jeffery,30,WR,7,2,218,6-3,South Carolina,2/14/1990,8,1,Chicago Bears / 2nd / 45th pick / 2012,$9910000,JeffAl00
65,Lane Johnson,30,OT,7,7,325,6-6,Oklahoma,5/8/1990,7,3,Philadelphia Eagles / 1st / 4th pick / 2013,$1050000,JohnLa01
1,Cameron Johnston,28,P,16,0,194,5-11,Ohio St.,2/24/1992,2,3,,$750000,JohnCa02
74,Luke Juriga,23,C,13,0,295,6-4,Western Michigan,6/7/1997,Rook,1,,,JuriLu00
62,Jason Kelce,33,C,16,16,295,6-3,Cincinnati,11/5/1987,9,7,Philadelphia Eagles / 6th / 191st pick / 2011,$2000000,KelcJa00
46,Adrian Killins,22,RB,1,0,164,5-8,Central Florida,1/2/1998,Rook,0,,,KillAd00
34,Cre'von LeBlanc,26,DB,9,1,190,5-10,Florida Atlantic,7/25/1994,4,1,,$910000,LeBlCr01
45,Rick Lovato,28,LS,16,0,249,6-2,Old Dominion,9/9/1992,5,1,,$910000,LovaRi00
29,Avonte Maddox,24,CB,10,8,184,5-9,Pittsburgh,3/31/1996,2,3,Philadelphia Eagles / 4th / 125th pick / 2018,$750000,MaddAv00
68,Jordan Mailata,23,T,15,10,365,6-8,No College,3/31/1997,2,4,Philadelphia Eagles / 7th / 233rd pick / 2018,$675000,MailJo00
76,T.Y. McGill,28,DT,7,0,299,6-0,North Carolina St.,11/23/1992,5,1,,$825000,McGiT.00
23,Rodney McLeod,30,S,13,13,195,5-10,Virginia,6/23/1990,8,5,,$1050000,McLeRo00
21,Jalen Mills,26,CB,15,15,191,6-0,LSU,4/6/1994,4,5,Philadelphia Eagles / 7th / 233rd pick / 2016,$2000000,MillJa02
,Sua Opeta,24,G,8,2,305,6-4,Weber St.,8/15/1996,Rook,1,,,OpetIo00
95,Joe Ostman,25,DE,3,0,259,6-3,Central Michigan,7/12/1995,Rook,0,,$510000,OstmJo00
28,Will Parks,26,S,6,3,194,6-1,Arizona,7/29/1994,4,1,Denver Broncos / 6th / 219th pick / 2016,$1000000,ParkWi01
71,Jason Peters,38,T,8,8,328,6-4,Arkansas,1/22/1982,16,3,,$1050000,PeteJa21
66,Ross Pierschbacher,25,OL,3,0,315,6-4,Alabama,6/5/1995,1,0,Washington Redskins / 5th / 153rd pick / 2019,,PierRo00
69,Matt Pryor,26,OT,15,10,332,6-7,TCU,12/16/1994,2,4,Philadelphia Eagles / 6th / 206th pick / 2018,$732353,PryoMa00
18,Jalen Reagor,21,WR,11,11,197,5-11,TCU,1/2/1999,Rook,4,Philadelphia Eagles / 1st / 21st pick / 2020,$560588,ReagJa00
98,Hassan Ridgeway,26,DT,7,0,305,6-3,Texas,11/2/1994,4,1,Indianapolis Colts / 4th / 116th pick / 2016,$910000,RidgHa00
50,Duke Riley,26,OLB,13,8,230,6-1,LSU,8/9/1994,3,4,Atlanta Falcons / 3rd / 75th pick / 2017,$825000,RileDu00
48,Elijah Riley,22,DB,5,0,205,6-0,Army,6/12/1998,Rook,0,,,RileEl01
31,Nickell Robey-Coleman,28,CB,15,7,180,5-8,USC,1/17/1992,7,3,,$1050000,RobeNi00
85,Richard Rodgers,28,TE,14,4,257,6-4,California,1/22/1992,6,3,Green Bay Packers / 3rd / 98th pick / 2014,$910000,RodgRi00
26,Miles Sanders,23,RB,12,11,211,5-11,Penn St.,5/1/1997,1,6,Philadelphia Eagles / 2nd / 53rd pick / 2019,$738647,SandMi01
35,Boston Scott,25,RB,16,4,203,5-6,Louisiana Tech,4/27/1995,2,3,New Orleans Saints / 6th / 201st pick / 2018,$750000,ScotBo02
73,Isaac Seumalo,27,OG,9,9,303,6-4,Oregon St.,10/29/1993,4,3,Philadelphia Eagles / 3rd / 79th pick / 2016,$910000,SeumIs00
41,Kevon Seymour,27,CB,2,0,185,6-0,USC,11/30/1993,4,0,Buffalo Bills / 6th / 218th pick / 2016,,SeymKe00
49,Alex Singleton,27,LB,16,11,240,6-2,Montana St.,12/7/1993,1,7,,$675000,SingAl00
24,Darius Slay,29,CB,15,14,190,6-0,Mississippi St.,1/1/1991,7,5,Detroit Lions / 2nd / 36th pick / 2013,$1050000,SlayDa00
53,Rashad Smith,23,LB,2,0,220,6-1,Florida Atlantic,4/20/1997,Rook,0,,,SmitRa02
7,Nate Sudfeld,27,QB,1,0,227,6-6,Indiana,10/7/1993,3,0,Washington Redskins / 6th / 187th pick / 2016,$1100000,SudfNa00
94,Josh Sweat,23,DE,14,3,265,6-5,Florida St.,3/29/1997,2,3,Philadelphia Eagles / 4th / 130th pick / 2018,$750000,SweaJo00
52,Davion Taylor,22,LB,12,1,230,6-1,Colorado,8/5/1998,Rook,1,Philadelphia Eagles / 3rd / 103rd pick / 2020,$610000,TaylDa01
56,Casey Toohill,24,LB,1,0,254,6-5,Stanford,8/22/1996,Rook,0,Philadelphia Eagles / 7th / 233rd pick / 2020,$610000,ToohCa00
64,Brett Toth,24,T,6,1,304,6-6,Army,9/1/1996,Rook,1,,$516176,TothBr00
42,K'Von Wallace,23,S,15,3,205,5-11,Clemson,7/25/1997,Rook,2,Philadelphia Eagles / 4th / 127th pick / 2020,$610000,WallKV00
72,Prince Tega Wanogho,23,OL,1,0,308,6-5,Auburn,11/22/1997,Rook,0,Philadelphia Eagles / 6th / 210th pick / 2020,,WanoTe00
84,Greg Ward,25,WR,16,10,190,5-11,Houston,7/12/1995,1,3,,$675000,WardGr02
80,Quez Watkins,22,WR,6,0,193,6-0,Southern Miss,6/9/1998,Rook,1,Philadelphia Eagles / 6th / 200th pick / 2020,$560587,WatkQu00
11,Carson Wentz,28,QB,12,12,237,6-5,North Dakota St.,12/30/1992,4,5,Philadelphia Eagles / 1st / 2nd pick / 2016,$1383000,WentCa00
61,Raequan Williams,23,DT,6,0,303,6-4,Michigan St.,2/14/1997,Rook,1,,,WillRa03
41,Trevor Williams,27,CB,2,0,191,5-11,Penn St.,9/15/1993,4,0,,$802941,WillTr05
83,Caleb Wilson,24,TE,5,0,240,6-4,UCLA,7/15/1996,Rook,0,Arizona Cardinals / 7th / 254th pick / 2019,$585000,WilsCa00
,Team Total,25.7,,16,,239.8,6-1.6,,,2.9,,,,-9999
