No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
16,Charlie Batch,31,QB,4,2,216,6-2,East. Michigan,12/5/1974,7,1,Detroit Lions / 2nd / 60th pick / 1998,BatcCh00
36,Jerome Bettis,33,RB,12,0,252,5-11,Notre Dame,2/16/1972,12,3,Los Angeles Rams / 1st / 10th pick / 1993,BettJe00
72,Barrett Brooks,33,T,16,0,325,6-4,Kansas St.,5/5/1972,10,1,Philadelphia Eagles / 2nd / 58th pick / 1995,BrooBa20
23,Tyrone Carter,29,DB,16,0,190,5-8,Minnesota,3/31/1976,5,2,Minnesota Vikings / 4th / 118th pick / 2000,CartTy20
21,Ricardo Colclough,22,DB,14,0,194,5-11,Tusculum,9/26/1983,1,1,Pittsburgh Steelers / 2nd / 38th pick / 2004,ColcRi20
79,Trai Essex,23,T,6,4,324,6-5,Northwestern,12/5/1982,Rook,3,Pittsburgh Steelers / 3rd / 93rd pick / 2005,EsseTr20
66,Alan Faneca,29,G,16,16,316,6-5,LSU,12/7/1976,7,16,Pittsburgh Steelers / 1st / 26th pick / 1998,FaneAl00
51,James Farrior,30,LB,14,14,243,6-2,Virginia,1/6/1975,8,8,New York Jets / 1st / 8th pick / 1997,FarrJa99
50,Larry Foote,25,LB,16,16,239,6-1,Michigan,6/12/1980,3,9,Pittsburgh Steelers / 4th / 128th pick / 2002,FootLa20
94,Andre Frazier,23,LB,11,0,245,6-5,Cincinnati,6/29/1982,Rook,1,,FrazAn20
17,Chris Gardocki,35,P,16,0,192,6-1,Clemson,2/7/1970,14,2,Chicago Bears / 3rd / 78th pick / 1991,GardCh20
53,Clark Haggans,28,LOLB,13,13,243,6-4,Colorado St.,1/10/1977,5,7,Pittsburgh Steelers / 5th / 137th pick / 2000,HaggCl20
98,Casey Hampton,28,NT,16,15,325,6-1,Texas,9/3/1977,4,10,Pittsburgh Steelers / 1st / 19th pick / 2001,HampCa00
92,James Harrison,27,ROLB,16,3,242,6-0,Kent St.,5/4/1978,3,4,,HarrJa23
64,Jeff Hartings,33,C,16,16,299,6-3,Penn St.,9/7/1972,9,11,Detroit Lions / 1st / 23rd pick / 1996,HartJe55
34,Verron Haynes,26,RB,14,0,222,5-9,Georgia,2/17/1979,3,3,Pittsburgh Steelers / 5th / 166th pick / 2002,HaynVe00
38,Noah Herron,23,RB,2,0,224,5-11,Northwestern,4/3/1982,Rook,0,Pittsburgh Steelers / 7th / 244th pick / 2005,HerrNo00
76,Chris Hoke,29,NT,15,0,305,6-2,BYU,4/6/1976,1,1,,HokeCh20
