No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
92,Olasunkanmi Adeniyi,22,DE,16,0,248,6-1,Toledo,9/12/1997,1,1,,$570000,AdenOl00
27,Marcus Allen,23,S,1,0,215,6-2,Penn St.,8/7/1996,1,0,Pittsburgh Steelers / 5th / 148th pick / 2018,$570000,AlleMa03
94,Tyson Alualu,32,DT,16,5,304,6-3,California,5/12/1987,9,3,Jacksonville Jaguars / 1st / 10th pick / 2010,$1250000,AluaTy99
72,Zach Banner,26,OG,14,1,358,6-8,USC,12/25/1993,2,1,Indianapolis Colts / 4th / 137th pick / 2017,$645000,BannZa00
26,Mark Barron,30,LB,15,9,230,6-2,Alabama,10/27/1989,7,6,Tampa Bay Buccaneers / 1st / 7th pick / 2012,$1000000,BarrMa00
4,Jordan Berry,28,P,16,0,195,6-5,East. Kentucky,3/18/1991,4,2,,$1150000,BerrJo00
9,Chris Boswell,28,K,16,0,185,6-2,Rice,3/16/1991,4,5,,$1000000,BoswCh00
40,Tony Brooks-James,25,RB,3,0,179,5-9,Oregon,12/6/1994,Rook,0,,,BrooTo01
96,Isaiah Buggs,23,DL,9,0,295,6-3,Alabama,8/24/1996,Rook,1,Pittsburgh Steelers / 6th / 192nd pick / 2019,$495000,BuggIs00
25,Artie Burns,24,CB,10,1,197,6-0,Miami (FL),5/1/1995,3,1,Pittsburgh Steelers / 1st / 25th pick / 2016,$1757861,BurnAr00
55,Devin Bush Jr.,21,LB,16,15,234,5-11,Michigan,7/18/1998,Rook,9,Pittsburgh Steelers / 1st / 10th pick / 2019,$495000,BushDe01
17,Deon Cain,23,WR,6,3,202,6-2,Clemson,8/9/1996,1,1,Indianapolis Colts / 6th / 185th pick / 2018,,CainDe00
57,Kameron Canaday,26,LS,16,0,245,6-4,Portland St.,8/20/1993,3,1,,$720000,CanaKa00
56,Anthony Chickillo,27,DE,11,0,255,6-3,Miami (FL),12/10/1992,4,1,Pittsburgh Steelers / 6th / 212th pick / 2015,$806000,ChicAn00
30,James Conner,24,RB,10,10,233,6-1,Pittsburgh,5/5/1995,2,4,Pittsburgh Steelers / 3rd / 105th pick / 2017,$668000,ConnJa00
37,Jordan Dangerfield,29,FS,16,0,199,5-11,Towson,12/25/1990,5,1,,$645000,DangJo00
21,Sean Davis,26,FS,1,1,202,6-1,Maryland,10/23/1993,3,0,Pittsburgh Steelers / 2nd / 58th pick / 2016,$1007314,DaviSe00
66,David DeCastro,29,G,16,16,316,6-5,Stanford,1/11/1990,7,8,Pittsburgh Steelers / 1st / 24th pick / 2012,$7070000,DeCaDa00
48,Bud Dupree,26,DE,16,16,269,6-4,Kentucky,2/12/1993,4,8,Pittsburgh Steelers / 1st / 22nd pick / 2015,$9232000,DuprAl00
34,Terrell Edmunds,22,S,16,16,217,6-1,Virginia Tech,1/20/1997,1,6,Pittsburgh Steelers / 1st / 28th pick / 2018,$966263,EdmuTe00
33,Trey Edmunds,25,RB,11,0,223,6-2,Maryland,12/30/1994,2,1,,$645000,EdmuTr00
51,Jayrone Elliott,28,LB,5,0,240,6-3,Toledo,11/11/1991,5,0,,$720000,ElliJa02
71,Matt Feiler,27,T,16,16,330,6-6,Bloomsburg,7/7/1992,5,6,,$645000,FeilMa00
