No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
24,Johnathan Abram,23,S,1,1,205,6-0,Mississippi St.,10/25/1996,Rook,0,Oakland Raiders / 1st / 27th pick / 2019,$495000,AbraJo01
51,Dakota Allen,24,LB,2,0,232,6-1,Texas TechEast Mississippi CC,11/2/1995,Rook,0,Los Angeles Rams / 7th / 251st pick / 2019,,AlleDa01
88,Marcell Ateman,25,WR,11,0,215,6-4,Oklahoma St.,9/16/1994,1,1,Oakland Raiders / 7th / 228th pick / 2018,$570000,AtemMa00
54,Preston Brown,27,ILB,1,0,251,6-1,Louisville,10/27/1992,5,0,Buffalo Bills / 3rd / 73rd pick / 2014,,BrowPr00
77,Trent Brown,26,OT,11,11,380,6-8,Georgia MilitaryFlorida,4/13/1993,4,6,San Francisco 49ers / 7th / 244th pick / 2015,$5000000,BrowTr02
55,Vontaze Burfict,29,MLB,4,4,255,6-1,Arizona St.,9/24/1990,7,2,,$1150000,BurfVo00
8,Daniel Carlson,24,K,16,0,215,6-5,Auburn,1/23/1995,1,2,Minnesota Vikings / 5th / 167th pick / 2018,$570000,CarlDa00
4,Derek Carr,28,QB,16,16,210,6-3,Fresno St.,3/28/1991,5,11,Oakland Raiders / 2nd / 36th pick / 2014,$19900000,CarrDe02
85,Derek Carrier,29,TE,16,4,240,6-3,Beloit,7/25/1990,7,1,,$1600000,CarrDe00
6,AJ Cole III,24,P,16,0,220,6-4,North Carolina St.,11/27/1995,Rook,2,,,ColeAJ01
51,William Compton,30,MLB,9,4,235,6-1,Nebraska,9/19/1989,6,2,,,CompWi00
21,Gareon Conley,24,CB,6,6,190,6-0,Ohio St.,6/29/1995,2,2,Oakland Raiders / 1st / 24th pick / 2017,$1416584,ConlGa00
67,Lester Cotton,23,G,1,0,335,6-4,Alabama,2/20/1996,Rook,0,,,CottLe00
98,Maxx Crosby,22,EDGE,16,10,255,6-5,East. Michigan,8/22/1997,Rook,6,Oakland Raiders / 4th / 106th pick / 2019,$822500,CrosMa00
11,Trevor Davis,26,WR,9,4,188,6-1,California,7/4/1993,3,1,Green Bay Packers / 5th / 163rd pick / 2016,,DaviTr03
65,Jordan Devey,31,T,4,4,320,6-6,Memphis,1/11/1988,6,2,,$805000,DeveJo00
18,Keelan Doss,23,WR,8,2,215,6-3,UC Davis,3/21/1996,Rook,1,,,DossKe00
96,Clelin Ferrell,22,EDGE,15,15,265,6-4,Clemson,5/17/1997,Rook,6,Oakland Raiders / 1st / 4th pick / 2019,$495000,FerrCl00
10,Rico Gafford,23,WR,4,1,185,5-10,Wyoming,5/23/1996,1,0,,$495000,GaffRi00
7,Mike Glennon,30,QB,2,0,225,6-7,North Carolina St.,12/12/1989,6,0,Tampa Bay Buccaneers / 3rd / 73rd pick / 2013,$1000000,GlenMi00
71,Denzelle Good,28,OT,16,5,340,6-5,Mars Hill,3/8/1991,4,3,Indianapolis Colts / 7th / 255th pick / 2015,$1000000,GoodDe01
19,Ryan Grant,29,WR,2,1,195,6-0,Tulane,12/19/1990,5,0,Washington Redskins / 5th / 142nd pick / 2014,$805000,GranRy01
92,P.J. Hall,24,DT,16,12,305,6-0,Sam Houston St.,4/5/1995,1,5,Oakland Raiders / 2nd / 57th pick / 2018,$693830,HallP.00
90,Johnathan Hankins,27,DT,16,16,340,6-3,Ohio St.,3/30/1992,6,7,New York Giants / 2nd / 49th pick / 2013,$1000000,HankJo00
17,Dwayne Harris,32,WR,3,0,215,5-10,East Carolina,9/16/1987,8,0,Dallas Cowboys / 6th / 176th pick / 2011,$930000,HarrDw00
25,Erik Harris,29,DB,16,14,225,6-2,California (PA),4/2/1990,3,5,,$1275000,HarrEr00
61,Rodney Hudson,30,C,15,15,315,6-2,Florida St.,7/12/1989,8,11,Kansas City Chiefs / 2nd / 55th pick / 2011,$8250000,HudsRo00
73,Maurice Hurst Jr.,24,DT,16,4,291,6-2,Michigan,5/9/1995,1,3,Oakland Raiders / 5th / 140th pick / 2018,$570000,HursMa00
64,Richie Incognito,36,G,12,12,322,6-4,NebraskaOregon,7/5/1983,13,5,St. Louis Rams / 3rd / 81st pick / 2005,$1030000,IncoRi20
45,Alec Ingold,23,FB,16,4,240,6-1,Wisconsin,7/9/1996,Rook,0,,$495000,IngoAl01
66,Gabe Jackson,28,OG,11,11,335,6-3,Mississippi St.,7/12/1991,5,5,Oakland Raiders / 3rd / 81st pick / 2014,$6750000,JackGa00
28,Josh Jacobs,21,RB,13,13,220,5-10,Alabama,2/11/1998,Rook,8,Oakland Raiders / 1st / 24th pick / 2019,$495000,JacoJo01
68,Andre James,22,OL,12,1,300,6-4,UCLA,5/2/1997,Rook,1,,$495000,JameAn01
31,Isaiah Johnson,24,CB,5,0,210,6-2,Houston,12/20/1995,Rook,0,Oakland Raiders / 4th / 129th pick / 2019,$792500,JohnIs02
12,Zay Jones,24,WR,10,7,200,6-2,East Carolina,3/30/1995,2,1,Buffalo Bills / 2nd / 37th pick / 2017,,JoneZa00
95,Dion Jordan,29,DE,7,0,284,6-6,Oregon,3/5/1990,6,1,Miami Dolphins / 1st / 3rd pick / 2013,,JordDi00
42,Karl Joseph,26,SS,9,9,200,5-10,West Virginia,9/8/1993,3,3,Oakland Raiders / 1st / 14th pick / 2016,$2070589,JoseKa00
29,Lamarcus Joyner,29,CB,14,10,185,5-8,Florida St.,11/27/1990,5,3,St. Louis Rams / 2nd / 41st pick / 2014,$4700000,JoynLa00
99,Arden Key,23,DE,7,0,240,6-5,LSU,5/3/1996,1,1,Oakland Raiders / 3rd / 87th pick / 2018,$624250,KeyxAr00
26,Nevin Lawson,28,CB,11,5,192,5-9,Utah St.,4/23/1991,5,2,Detroit Lions / 4th / 133rd pick / 2014,$1000000,LawsNe00
32,Dallin Leavitt,25,S,15,0,195,5-10,Utah St.,8/8/1994,1,1,,$495000,LeavDa00
52,Marquel Lee,24,ILB,5,3,235,6-3,Wake Forest,10/21/1995,2,1,Oakland Raiders / 5th / 168th pick / 2017,$645000,LeexMa01
94,Corey Liuget,29,DT,3,0,300,6-2,Illinois,3/18/1990,8,0,San Diego Chargers / 1st / 18th pick / 2011,$930000,LiugCo00
62,Erik Magnuson,25,OT,1,0,300,6-6,Michigan,1/5/1994,2,0,,,MagnEr00
97,Josh Mauro,28,DE,13,7,290,6-6,Stanford,2/17/1991,5,3,,$900000,MaurJo00
91,Benson Mayowa,28,DE,15,0,252,6-3,Idaho,8/3/1991,6,2,,$805000,MayoBe00
93,Terrell McClain,31,DL,3,0,300,6-2,South Florida,7/20/1988,8,0,Carolina Panthers / 3rd / 65th pick / 2011,,McClTe00
74,Kolton Miller,24,OT,16,16,325,6-8,UCLA,10/9/1995,1,7,Oakland Raiders / 1st / 15th pick / 2018,$1092333,MillKo00
87,Foster Moreau,22,TE,13,7,250,6-4,LSU,5/6/1997,Rook,1,Oakland Raiders / 4th / 137th pick / 2019,$910000,MoreFo00
50,Nicholas Morrow,24,MLB,16,8,225,6-0,Greenville,7/10/1995,2,4,,$645000,MorrNi00
27,Trayvon Mullen,22,CB,16,10,200,6-2,Clemson,9/20/1997,Rook,3,Oakland Raiders / 2nd / 40th pick / 2019,$495000,MullTr00
15,JJ Nelson,27,WR,2,1,160,5-10,Ala-Birmingham,4/24/1992,4,0,Arizona Cardinals / 5th / 159th pick / 2015,$805000,NelsJJ00
23,Nick Nelson,23,CB,2,0,205,5-11,Wisconsin,10/16/1996,1,0,Oakland Raiders / 4th / 110th pick / 2018,$570000,NelsNi00
22,Keisean Nixon,22,CB,14,0,200,5-10,South Carolina,6/22/1997,Rook,1,,$495000,NixoKe00
75,Brandon Parker,24,OT,11,3,320,6-8,North Carolina A&T,10/21/1995,1,2,Oakland Raiders / 3rd / 65th pick / 2018,$666152,ParkBr01
