No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
31,Maurice Alexander,25,SS,14,14,220,6-2,Utah St.,2/16/1991,2,5,St. Louis Rams / 4th / 110th pick / 2014,AlexMa00
66,David Arkin,29,OL,2,0,300,6-5,Missouri State,10/7/1987,5,0,Dallas Cowboys / 4th / 110th pick / 2011,ArkiDa00
11,Tavon Austin,26,WR,15,15,179,5-8,West Virginia,3/15/1990,3,4,St. Louis Rams / 1st / 8th pick / 2013,AustTa00
61,Tim Barnes,28,C,16,16,297,6-4,Missouri,5/14/1988,5,5,,BarnTi01
26,Mark Barron,27,LB,16,16,230,6-2,Alabama,10/27/1989,4,14,Tampa Bay Buccaneers / 1st / 7th pick / 2012,BarrMa00
18,Kenny Britt,28,WR,15,15,230,6-3,Rutgers,9/19/1988,7,6,Tennessee Titans / 1st / 30th pick / 2009,BritKe00
90,Michael Brockers,26,DT,14,14,297,6-5,LSU,12/21/1990,4,6,St. Louis Rams / 1st / 14th pick / 2012,BrocMi00
68,Jamon Brown,23,OT,11,5,340,6-4,Louisville,3/15/1993,1,2,St. Louis Rams / 3rd / 72nd pick / 2015,BrowJa04
39,Malcolm Brown,23,RB,16,0,225,5-11,Texas,5/15/1993,1,0,,BrowMa03
41,Marqui Christian,22,SS,11,0,195,5-11,Midwestern St.,10/27/1994,Rook,1,Arizona Cardinals / 5th / 167th pick / 2016,ChriMa00
10,Pharoh Cooper,21,WR,10,3,208,5-11,South Carolina,3/7/1995,Rook,1,Los Angeles Rams / 4th / 117th pick / 2016,CoopPh00
24,Blake Countess,23,CB,5,2,185,5-10,AuburnMichigan,8/8/1993,Rook,1,Philadelphia Eagles / 6th / 196th pick / 2016,CounBl00
23,Benny Cunningham,26,RB,11,0,218,5-10,Middle Tenn. St.,7/7/1990,3,1,,CunnBe01
38,Cody Davis,27,S,15,3,203,6-2,Texas Tech,6/6/1989,3,2,,DaviCo02
99,Aaron Donald,25,DT,16,16,280,6-1,Pittsburgh,5/23/1991,2,15,St. Louis Rams / 1st / 13th pick / 2014,DonaAa00
64,Andrew Donnal,24,OT,16,4,305,6-6,Iowa,3/3/1992,1,2,St. Louis Rams / 4th / 119th pick / 2015,DonnAn00
91,Dominique Easley,24,DT,16,0,263,6-2,Florida,4/28/1992,2,2,New England Patriots / 1st / 29th pick / 2014,EaslDo00
59,Josh Forrest,24,ILB,10,4,249,6-3,Kentucky,2/24/1992,Rook,2,Los Angeles Rams / 6th / 190th pick / 2016,ForrJo00
70,Morgan Fox,22,DL,4,0,260,6-3,Colorado State-Pueblo,9/12/1994,Rook,1,,FoxxMo00
33,E.J. Gaines,24,CB,11,10,190,5-10,Missouri,2/23/1992,2,3,St. Louis Rams / 6th / 188th pick / 2014,GainE.00
16,Jared Goff,22,QB,7,7,217,6-4,California,10/14/1994,Rook,-2,Los Angeles Rams / 1st / 1st pick / 2016,GoffJa00
21,Dwayne Gratz,26,CB,3,0,201,5-11,Connecticut,3/8/1990,3,0,Jacksonville Jaguars / 3rd / 64th pick / 2013,GratDw00
36,Aaron Green,24,RB,2,0,206,5-11,TCU,10/15/1992,Rook,0,,GreeAa01
55,Nicholas Grigsby,24,LB,6,0,230,6-2,Pittsburgh,7/2/1992,Rook,0,,GrigNi01
30,Todd Gurley,22,RB,16,16,224,6-1,Georgia,8/3/1994,1,4,St. Louis Rams / 1st / 10th pick / 2015,GurlTo01
54,Bryce Hager,24,ILB,16,0,237,6-1,Baylor,5/4/1992,1,1,St. Louis Rams / 7th / 224th pick / 2015,HageBr00
46,Cory Harkey,26,TE,12,0,272,6-3,UCLA,6/17/1990,4,0,,HarkCo00
79,Rob Havenstein,24,OT,15,15,330,6-8,Wisconsin,5/13/1992,1,5,St. Louis Rams / 2nd / 57th pick / 2015,HaveRo00
95,William Hayes,31,DE,14,14,265,6-3,Winston-Salem St.,5/2/1985,8,7,Tennessee Titans / 4th / 103rd pick / 2008,HayeWi99
6,Johnny Hekker,26,P,16,0,241,6-5,Oregon St.,2/8/1990,4,3,,HekkJo00
84,Temarrick Hemingway,23,TE,8,0,245,6-5,South Carolina St.,7/30/1993,Rook,0,Los Angeles Rams / 6th / 177th pick / 2016,HemiTe00
89,Tyler Higbee,23,TE,16,7,255,6-6,Western Kentucky,1/1/1993,Rook,1,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00
32,Troy Hill,25,CB,12,4,183,5-11,Oregon,8/29/1991,1,2,,HillTr01
27,Isaiah Johnson,24,DB,3,0,210,6-1,Georgia Tech,5/16/1992,1,0,,JohnIs01
22,Trumaine Johnson,26,CB,14,14,213,6-2,Montana,1/1/1990,4,4,St. Louis Rams / 3rd / 65th pick / 2012,JohnTr05
35,Mike Jordan,24,DB,5,2,200,6-1,Missouri Western St.,10/21/1992,Rook,1,,JordMi00
20,Lamarcus Joyner,26,CB,14,8,185,5-8,Florida St.,11/27/1990,2,3,St. Louis Rams / 2nd / 41st pick / 2014,JoynLa00
17,Case Keenum,28,QB,10,9,215,6-1,Houston,2/17/1988,4,4,,KeenCa00
88,Lance Kendricks,28,TE,16,16,250,6-3,Wisconsin,1/30/1988,5,3,St. Louis Rams / 2nd / 47th pick / 2011,KendLa00
58,Cory Littleton,23,LB,16,1,228,6-3,Washington,11/18/1993,Rook,2,,LittCo01
96,Matt Longacre,25,DE,6,0,265,6-3,NW Missouri St.,9/21/1991,1,1,,LongMa00
14,Sean Mannion,24,QB,1,0,230,6-6,Oregon St.,4/25/1992,1,0,St. Louis Rams / 3rd / 89th pick / 2015,MannSe00
15,Bradley Marquez,24,WR,14,0,205,5-10,Texas Tech,12/14/1992,1,0,,MarqBr00
25,T.J. McDonald,25,FS,16,16,215,6-2,USC,1/26/1991,3,5,St. Louis Rams / 3rd / 71st pick / 2013,McDoTJ00
44,Jake McQuaide,29,LS,16,0,247,6-2,Ohio St.,12/7/1987,5,2,,McQuJa00
8,Paul McRoberts,24,WR,2,0,192,6-3,SE Missouri St.,11/15/1992,Rook,0,,McRoPa00
72,Pace Murphy,22,OL,2,0,308,6-6,Northwestern St. (LA),3/2/1994,Rook,0,,MurpPa00
52,Alec Ogletree,25,OLB,16,16,250,6-3,Georgia,9/25/1991,3,13,St. Louis Rams / 1st / 30th pick / 2013,OgleAl00
83,Brian Quick,27,WR,16,8,215,6-3,Appalachian St.,6/5/1989,4,3,St. Louis Rams / 2nd / 33rd pick / 2012,QuicBr00
94,Robert Quinn,26,DE,9,8,245,6-4,North Carolina,5/18/1990,5,4,St. Louis Rams / 1st / 14th pick / 2011,QuinRo00
34,Chase Reynolds,29,RB,16,0,195,6-0,Montana,10/22/1987,5,0,,ReynCh00
65,Demetrius Rhaney,24,C,16,0,305,6-2,Tennessee St.,6/22/1992,2,1,St. Louis Rams / 7th / 250th pick / 2014,RhanDe00
73,Greg Robinson,24,OT,14,14,330,6-5,Auburn,10/21/1992,2,4,St. Louis Rams / 1st / 2nd pick / 2014,RobiGr01
76,Rodger Saffold,28,T,15,15,325,6-5,Indiana,6/6/1988,6,5,St. Louis Rams / 2nd / 33rd pick / 2010,SaffRo20
21,Coty Sensabaugh,28,CB,3,2,187,5-11,Clemson,11/15/1988,4,1,Tennessee Titans / 4th / 115th pick / 2012,SensCo00
97,Eugene Sims,30,LB,16,8,240,6-5,West Texas A&M,3/18/1986,6,5,St. Louis Rams / 6th / 189th pick / 2010,SimsEu99
92,Cam Thomas,30,DT,16,2,330,6-3,North Carolina,12/12/1986,6,2,San Diego Chargers / 5th / 146th pick / 2010,ThomCa99
13,Mike Thomas,22,WR,15,0,189,6-1,Southern Miss,8/16/1994,Rook,0,Los Angeles Rams / 6th / 206th pick / 2016,ThomMi04
93,Ethan Westbrooks,26,DE,16,2,287,6-4,West Texas A&M,11/15/1990,2,3,,WestEt00
69,Cody Wichmann,24,OG,12,11,325,6-5,Fresno St.,3/2/1992,1,3,St. Louis Rams / 6th / 215th pick / 2015,WichCo00
21,Steve Williams,25,CB,1,0,181,5-9,California,3/7/1991,3,0,San Diego Chargers / 5th / 145th pick / 2013,WillSt02
4,Greg Zuerlein,29,K,16,0,191,6-0,Missouri Western St.,12/27/1987,4,4,St. Louis Rams / 6th / 171st pick / 2012,ZuerGr00
,Team Total,25.3,,16,,240.9,6-2.0,,,2.4,,,-9999
