No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
51,Aaron Adeoye,27,DE,1,0,250,6-6,SE Missouri St.,8/26/1993,Rook,0,,,AdeoAa00
50,Otaro Alaka,24,LB,5,0,239,6-3,Texas A&M,5/18/1996,Rook,0,,$498530,AlakOt01
89,Mark Andrews,25,TE,14,2,256,6-5,Oklahoma,9/6/1995,2,8,Baltimore Ravens / 3rd / 86th pick / 2018,$750000,AndrMa00
23,Anthony Averett,26,CB,10,4,178,5-11,Alabama,11/30/1994,2,2,Baltimore Ravens / 4th / 118th pick / 2018,$555884,AverAn00
49,Chris Board,25,LB,16,2,229,6-2,North Dakota St.,7/23/1995,2,2,,$750000,BoarCh00
38,Terrell Bonds,24,DB,4,1,182,5-8,Tennessee St.,7/22/1996,Rook,1,,$357353,BondTe00
54,Tyus Bowser,25,OLB,16,2,242,6-3,Houston,5/23/1995,3,3,Baltimore Ravens / 2nd / 47th pick / 2017,$1225310,BowsTy00
80,Miles Boykin,24,WR,16,13,220,6-4,Notre Dame,10/12/1996,1,3,Baltimore Ravens / 3rd / 93rd pick / 2019,$675000,BoykMi00
86,Nick Boyle,27,TE,9,9,270,6-4,Delaware,2/17/1993,5,1,Baltimore Ravens / 5th / 171st pick / 2015,$4500000,BoylNi00
77,Bradley Bozeman,26,C,16,16,325,6-5,Alabama,11/24/1994,2,8,Baltimore Ravens / 6th / 215th pick / 2018,$750000,BozeBr00
67,Ben Bredeson,22,OL,10,0,315,6-5,Michigan,2/20/1998,Rook,1,Baltimore Ravens / 4th / 143rd pick / 2020,$610000,BredBe00
17,Nate Brooks,24,DB,1,0,192,6-0,North Texas,9/5/1996,1,0,,,BrooNa00
15,Marquise Brown,23,WR,16,14,180,5-9,College of the Canyons (CA)Oklahoma,6/4/1997,1,9,Baltimore Ravens / 1st / 25th pick / 2019,$1030788,BrowMa04
78,Orlando Brown Jr.,24,OT,16,16,363,6-8,Oklahoma,5/2/1996,2,12,Baltimore Ravens / 3rd / 83rd pick / 2018,$750000,BrowOr00
88,Dez Bryant,32,WR,6,0,220,6-2,Oklahoma St.,11/4/1988,10,1,Dallas Cowboys / 1st / 24th pick / 2010,,BryaDe01
93,Calais Campbell,34,DE,12,12,300,6-8,Miami (FL),9/1/1986,12,9,Arizona Cardinals / 2nd / 50th pick / 2008,$5000000,CampCa99
36,Chuck Clark,25,FS,16,16,205,6-0,Virginia Tech,4/19/1995,3,8,Baltimore Ravens / 6th / 186th pick / 2017,$2000000,ClarCh00
63,Trystan Colon-Castillo,22,C,2,2,313,6-3,Missouri,3/23/1998,Rook,1,,$466471,ColoTr01
46,Morgan Cox,34,C,15,0,233,6-4,Tennessee,4/26/1986,10,0,,$1100000,CoxxMo00
69,Aaron Crawford,23,DT,1,0,290,6-2,North Carolina,11/4/1997,Rook,0,,,CrawAa00
84,Sean Culkin,27,TE,1,0,255,6-5,Missouri,6/11/1993,3,0,,,CulkSe00
47,Pierre Desir,30,CB,3,0,192,6-1,Lindenwood,9/8/1990,6,0,Cleveland Browns / 4th / 127th pick / 2014,,DesiPi00
27,J.K. Dobbins,22,RB,15,1,214,5-10,Ohio St.,12/17/1998,Rook,7,Baltimore Ravens / 2nd / 55th pick / 2020,$610000,DobbJK00
31,Khalil Dorsey,22,DB,6,0,170,5-9,Northern Arizona,3/31/1998,Rook,0,,$367647,DorsKh00
