No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
33,Ashley Ambrose,32,DB,16,16,190,5-11,Miss. Valley St.,9/17/1970,10,7,Indianapolis Colts / 2nd / 29th pick / 1992,AmbrAs00
64,Martin Bibla,23,G,10,0,306,6-3,Miami (FL),10/4/1979,Rook,1,Atlanta Falcons / 4th / 116th pick / 2002,BiblMa20
21,Juran Bolden,28,DB,14,6,207,6-2,Mississippi Delta CC,6/27/1974,6,4,Atlanta Falcons / 4th / 127th pick / 1996,BoldJu20
56,Keith Brooking,27,LB,16,16,240,6-2,Georgia Tech,10/30/1975,4,14,Atlanta Falcons / 1st / 12th pick / 1998,BrooKe00
34,Ray Buchanan,31,DB,12,11,186,5-9,Louisville,9/29/1971,9,5,Indianapolis Colts / 3rd / 65th pick / 1993,BuchRa00
29,Keion Carpenter,25,DB,16,16,205,5-11,Virginia Tech,10/31/1977,3,8,,CarpKe20
35,Johndale Carty,25,DB,16,1,196,6-0,Utah St.,8/27/1977,3,2,Atlanta Falcons / 4th / 126th pick / 1999,CartJo22
82,Darrin Chiaverini,25,WR,7,0,210,6-2,Colorado,10/12/1977,3,0,Cleveland Browns / 5th / 148th pick / 1999,ChiaDa00
44,Bob Christian,34,RB,15,10,226,5-11,Northwestern,11/14/1968,10,3,Atlanta Falcons / 12th / 310th pick / 1991,ChriBo00
71,Travis Claridge,24,G,16,16,300,6-5,USC,3/23/1978,2,9,Atlanta Falcons / 2nd / 37th pick / 2000,ClarTr20
83,Alge Crumpler,25,TE,16,9,275,6-2,North Carolina,12/23/1977,1,5,Atlanta Falcons / 2nd / 35th pick / 2001,CrumAl00
54,Chris Draft,26,MLB,15,5,234,5-11,Stanford,2/26/1976,4,5,Chicago Bears / 6th / 157th pick / 1998,DrafCh20
45,T.J. Duckett,21,RB,12,3,254,6-0,Michigan St.,2/17/1981,Rook,4,Atlanta Falcons / 1st / 18th pick / 2002,DuckT.00
28,Warrick Dunn,27,RB,15,14,180,5-9,Florida St.,1/5/1975,5,11,Tampa Bay Buccaneers / 1st / 12th pick / 1997,DunnWa00
4,Jay Feely,26,K,16,0,208,5-10,Michigan,5/23/1976,1,4,,feelyjay01
86,Brian Finneran,26,WR,16,16,210,6-5,Villanova,1/31/1976,3,9,,FinnBr00
