No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
37,Ricardo Allen,28,CB,16,16,186,5-9,Purdue,12/18/1991,5,5,Atlanta Falcons / 5th / 147th pick / 2014,$3500000,AlleRi00
9,Ryan Allen,29,P,8,0,220,6-2,Louisiana Tech,2/28/1990,6,1,,,AlleRy01
93,Allen Bailey,30,DL,15,5,288,6-3,Miami (FL),3/25/1989,8,3,Kansas City Chiefs / 3rd / 86th pick / 2011,$2750000,BailAl00
38,Kenjon Barner,30,RB,14,0,195,5-9,Oregon,4/28/1989,6,1,Carolina Panthers / 6th / 182nd pick / 2013,$805000,BarnKe00
44,Vic Beasley,27,OLB,16,15,246,6-3,Clemson,7/8/1992,4,7,Atlanta Falcons / 1st / 8th pick / 2015,$12810000,BeasVi00
13,Christian Blake,23,WR,9,3,181,6-1,Northern Illinois,6/8/1996,1,1,,$495000,BlakCh00
5,Matthew Bosher,32,P,3,0,208,6-0,Miami (FL),10/18/1987,8,0,Atlanta Falcons / 6th / 192nd pick / 2011,$2545000,BoshMa00
68,Jamon Brown,26,OT,10,9,340,6-4,Louisville,3/15/1993,4,5,St. Louis Rams / 3rd / 72nd pick / 2015,$2500000,BrowJa04
3,Matt Bryant,44,K,7,0,203,5-9,Baylor,5/29/1975,17,0,,,bryanmat01
59,De'Vondre Campbell,26,OLB,16,15,232,6-3,Minnesota,7/1/1993,3,8,Atlanta Falcons / 4th / 115th pick / 2016,$2025000,CampDe00
77,James Carpenter,30,LG,11,11,321,6-5,Alabama,3/22/1989,8,6,Seattle Seahawks / 1st / 25th pick / 2011,$2000000,CarpJa00
35,Jamal Carter,25,S,11,0,215,6-1,Miami (FL),4/12/1994,2,1,,,CartJa02
99,Adrian Clayborn,31,DL,15,1,280,6-3,Iowa,7/6/1988,8,2,Tampa Bay Buccaneers / 1st / 20th pick / 2011,$930000,ClayAd00
50,John Cominsky,24,DE,10,0,285,6-5,Charleston (WV),11/22/1995,Rook,1,Atlanta Falcons / 4th / 135th pick / 2019,$495000,ComiJo00
95,Jack Crawford,31,DE,16,4,288,6-5,Penn St.,9/7/1988,7,2,Oakland Raiders / 5th / 158th pick / 2012,$2550000,CrawJa00
32,Johnathan Cyprien,29,SS,1,1,211,6-1,Florida International,7/29/1990,6,0,Jacksonville Jaguars / 2nd / 33rd pick / 2013,,CyprJo00
96,Tyeler Davison,27,DT,16,12,309,6-2,Fresno St.,9/3/1992,4,6,New Orleans Saints / 5th / 154th pick / 2015,$805000,DaviTy01
24,Devonta Freeman,27,RB,14,14,206,5-8,Florida St.,3/15/1992,5,8,Atlanta Falcons / 4th / 103rd pick / 2014,$3750000,FreeDe00
83,Russell Gage,23,WR,16,4,184,6-0,LSU,1/22/1996,1,4,Atlanta Falcons / 6th / 194th pick / 2018,$570000,GageRu00
73,Matt Gono,23,T,5,0,305,6-4,Wesley,5/10/1996,1,0,,$570000,GonoMa00
53,Jermaine Grace,26,LB,12,0,223,6-0,Miami (FL),11/8/1993,2,1,,$570000,GracJe00
87,Jaeden Graham,24,TE,16,0,250,6-4,Yale,10/10/1995,Rook,1,,$495000,GrahJa01
14,Justin Hardy,28,WR,16,1,192,5-10,East Carolina,12/18/1991,4,2,Atlanta Falcons / 4th / 107th pick / 2015,$805000,HardJu00
64,Sean Harlow,24,OG,1,0,284,6-4,Oregon St.,3/28/1995,1,0,Atlanta Falcons / 4th / 136th pick / 2017,$570000,HarlSe00
47,Josh Harris,30,LS,16,0,224,6-1,Auburn,4/27/1989,7,1,,$930000,HarrJo02
23,Brian Hill,24,RB,12,2,219,6-1,Wyoming,11/9/1995,2,3,Atlanta Falcons / 5th / 156th pick / 2017,$645000,HillBr02
81,Austin Hooper,25,TE,13,10,255,6-4,Stanford,10/29/1994,3,6,Atlanta Falcons / 3rd / 81st pick / 2016,$2025000,HoopAu00
36,Kemal Ishmael,28,DB,14,3,206,6-0,Central Florida,5/6/1991,6,1,Atlanta Falcons / 7th / 243rd pick / 2013,$805000,IshmKe00
97,Grady Jarrett,26,DT,16,16,305,6-0,Clemson,4/28/1993,4,13,Atlanta Falcons / 5th / 137th pick / 2015,$15209000,JarrGr00
45,Deion Jones,25,OLB,16,16,227,6-1,LSU,11/4/1994,3,8,Atlanta Falcons / 2nd / 52nd pick / 2016,$1069860,JoneDe01
11,Julio Jones,30,WR,15,15,220,6-3,Alabama,2/8/1989,8,11,Atlanta Falcons / 1st / 6th pick / 2011,$9600000,JoneJu02
27,Damontae Kazee,26,CB,16,14,174,5-11,San Diego St.,6/5/1993,2,5,Atlanta Falcons / 5th / 149th pick / 2017,$645000,KazeDa00
7,Younghoe Koo,25,K,8,0,185,5-9,Georgia Southern,8/3/1994,2,3,,,KooxYo00
62,Austin Larkin,24,DE,2,0,265,6-3,Purdue,4/6/1995,Rook,0,,,LarkAu00
63,Chris Lindstrom,22,OL,5,5,307,6-3,Boston Col.,2/28/1997,Rook,3,Atlanta Falcons / 1st / 14th pick / 2019,$495000,LindCh00
51,Alex Mack,34,C,16,16,311,6-4,California,11/19/1985,10,8,Cleveland Browns / 1st / 21st pick / 2009,$8500000,MackAl20
70,Jake Matthews,27,OT,16,16,309,6-5,Texas A&M,2/11/1992,5,8,Atlanta Falcons / 1st / 6th pick / 2014,$6500000,MattJa00
76,Kaleb McGary,24,OL,16,16,306,6-6,Washington,2/22/1995,Rook,8,Atlanta Falcons / 1st / 31st pick / 2019,$495000,McGaKa00
98,Takkarist McKinley,24,OLB,14,13,260,6-2,UCLA,11/2/1995,2,6,Atlanta Falcons / 1st / 26th pick / 2017,$1393775,McKiTa00
85,Carson Meier,24,TE,1,1,254,6-5,Oklahoma,6/29/1995,Rook,0,,,MeieCa00
28,Jordan Miller,22,CB,10,0,190,6-2,Washington,2/8/1997,Rook,1,Atlanta Falcons / 5th / 172nd pick / 2019,$495000,MillJo05
22,Keanu Neal,24,FS,3,3,211,6-0,Florida,7/26/1995,3,1,Atlanta Falcons / 1st / 17th pick / 2016,$1914224,NealKe01
41,Sharrod Neasman,28,S,15,0,213,5-11,Florida Atlantic,10/14/1991,3,1,,$720000,NeasSh00
26,Isaiah Oliver,23,CB,16,16,210,6-0,Colorado,9/30/1996,1,5,Atlanta Falcons / 2nd / 58th pick / 2018,$690757,OlivIs00
30,Qadree Ollison,23,RB,8,0,232,6-1,Pittsburgh,9/8/1996,Rook,0,Atlanta Falcons / 5th / 152nd pick / 2019,$495000,OlliQa00
54,Foyesade Oluokun,24,LB,16,3,215,6-2,Yale,8/2/1995,1,3,Atlanta Falcons / 6th / 200th pick / 2018,$570000,OluoFo00
9,Kasey Redfern,28,P,3,0,205,6-1,Wofford,9/26/1991,2,0,,,RedfKa00
18,Calvin Ridley,25,WR,13,10,190,6-1,Alabama,12/20/1994,1,7,Atlanta Falcons / 1st / 26th pick / 2018,$975487,RidlCa00
42,Duke Riley,25,OLB,4,0,230,6-1,LSU,8/9/1994,2,0,Atlanta Falcons / 3rd / 75th pick / 2017,$726500,RileDu00
2,Matt Ryan,34,QB,15,15,217,6-4,Boston Col.,5/17/1985,11,13,Atlanta Falcons / 1st / 3rd pick / 2008,$2750000,RyanMa00
74,Ty Sambrailo,27,OT,13,0,311,6-5,Colorado St.,3/10/1992,4,1,Denver Broncos / 2nd / 59th pick / 2015,$2000000,SambTy00
12,Mohamed Sanu,30,WR,7,6,210,6-2,Rutgers,8/23/1989,7,3,Cincinnati Bengals / 3rd / 83rd pick / 2012,$6000000,SanuMo00
8,Matt Schaub,38,QB,6,1,245,6-6,Virginia,6/25/1981,15,2,Atlanta Falcons / 3rd / 90th pick / 2004,$1030000,SchaMa00
71,Wes Schweitzer,26,OT,15,7,300,6-4,San Jose St.,9/11/1993,2,4,Atlanta Falcons / 6th / 195th pick / 2016,$2025000,SchwWe00
94,Deadrin Senat,25,DT,2,0,305,6-1,South Florida,7/22/1994,1,0,Atlanta Falcons / 3rd / 90th pick / 2018,$622000,SenaDe00
20,Kendall Sheffield,23,CB,16,11,212,5-10,Ohio St.,5/30/1996,Rook,3,Atlanta Falcons / 4th / 111th pick / 2019,$495000,ShefKe00
25,Ito Smith,24,RB,7,0,195,5-9,Southern Miss,9/11/1995,1,1,Atlanta Falcons / 4th / 126th pick / 2018,$570000,SmitIt00
40,Keith Smith,27,LB,16,5,240,6-0,San Jose St.,4/8/1992,5,0,,,SmitKe03
80,Luke Stocker,31,TE,15,9,253,6-5,Tennessee,7/17/1988,8,0,Tampa Bay Buccaneers / 4th / 104th pick / 2011,$1400000,StocLu00
43,Jamar Taylor,29,CB,3,0,192,5-11,Boise St.,9/29/1990,6,0,Miami Dolphins / 2nd / 54th pick / 2013,,TaylJa01
52,Ahmad Thomas,25,FS,1,0,227,6-0,Oklahoma,12/15/1994,1,0,,,ThomAh00
21,Desmond Trufant,29,CB,9,9,190,6-0,Washington,9/10/1990,6,3,Atlanta Falcons / 1st / 22nd pick / 2013,$9500000,TrufDe00
91,Jacob Tuioti-Mariner,23,DT,8,1,285,6-2,UCLA,7/25/1996,Rook,1,,$495000,TuioJa00
75,John Wetzel,28,T,2,0,328,6-7,Boston Col.,7/18/1991,6,0,,$720000,WetzJo00
39,D.J. White,26,CB,1,0,193,5-11,Georgia Tech,9/9/1993,3,0,Kansas City Chiefs / 6th / 178th pick / 2016,,WhitD.00
4,Matt Wile,27,P,2,0,225,6-2,Michigan,6/20/1992,3,0,,,WileMa01
33,Blidi Wreh-Wilson,30,CB,14,2,190,6-1,Connecticut,12/5/1989,6,1,Tennessee Titans / 3rd / 70th pick / 2013,$805000,WrehBl00
17,Olamide Zaccheaus,22,WR,10,0,193,5-8,Virginia,7/23/1997,Rook,1,,$495000,ZaccOl01
,Team Total,26.9,,16,,239.5,6-1.5,,,3.9,,,,-9999
