--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
37,DeAundre Alford,25,DB,,,175,5-11,Tusculum,11/5/1997,Rook,,,AlfoDe00
25,Tyler Allgeier,22,RB,,,220,5-11,BYU,4/15/2000,Rook,,Atlanta Falcons / 5th / 151st pick / 2022,AllgTy00
44,Troy Andersen,23,LB,,,235,6-4,Montana St.,4/23/1999,Rook,,Atlanta Falcons / 2nd / 58th pick / 2022,AndeTr00
65,Abdullah Anderson,26,DT,,,297,6-3,Bucknell,1/24/1996,3,,,AndeAb00
56,Quinton Bell,26,DE,,,253,6-4,Prairie View A&M,5/9/1996,2,,Oakland Raiders / 7th / 230th pick / 2019,BellQu00
83,Jared Bernhardt,,WR,,,195,6-1,Ferris State,,Rook,,,BernJa00
14,Damiere Byrd,29,WR,,,175,5-9,South Carolina,1/27/1993,6,,,ByrdDa00
9,Lorenzo Carter,27,DE,,,255,6-5,Georgia,12/10/1995,4,,New York Giants / 3rd / 66th pick / 2018,CartLo01
67,Drew Dalman,24,OL,,,300,6-3,Stanford,10/15/1998,1,,Atlanta Falcons / 4th / 114th pick / 2021,DalmDr00
92,Matt Dickerson,27,DE,,,292,6-5,UCLA,11/9/1995,4,,,DickMa00
47,Arnold Ebiketie,23,DE,,,256,6-3,TemplePenn St.,1/23/1999,Rook,,Atlanta Falcons / 2nd / 38th pick / 2022,EbikAr00
75,Chuma Edoga,25,OL,,,308,6-3,USC,5/25/1997,3,,New York Jets / 3rd / 92nd pick / 2019,EdogCh00
89,Bryan Edwards,24,WR,,,212,6-3,South Carolina,11/13/1998,2,,Las Vegas Raiders / 3rd / 81st pick / 2020,EdwaBr01
54,Rashaan Evans,27,ILB,,,232,6-2,Alabama,11/8/1995,4,,Tennessee Titans / 1st / 22nd pick / 2018,EvanRa01
15,Feleipe Franks,25,QB,,,234,6-6,FloridaArkansas,12/22/1997,1,,,FranFe00
66,Colby Gossett,27,G,,,311,6-5,Appalachian St.,6/23/1995,4,,Minnesota Vikings / 6th / 213th pick / 2018,GossCo00
95,Ta'Quon Graham,24,DT,,,294,6-4,Texas,12/1/1998,1,,Atlanta Falcons / 5th / 148th pick / 2021,GrahTa00
27,Richie Grant,25,S,,,200,6-0,Central Florida,11/9/1997,1,,Atlanta Falcons / 2nd / 40th pick / 2021,GranRi00
34,Darren Hall,22,CB,,,190,6-0,San Diego St.,5/2/2000,1,,Atlanta Falcons / 4th / 108th pick / 2021,HallDa03
23,Erik Harris,32,DB,,,225,6-2,California (PA),4/2/1990,6,,,HarrEr00
32,Jaylinn Hawkins,25,S,,,208,6-1,California,8/25/1997,2,,Atlanta Falcons / 4th / 134th pick / 2020,HawkJa00
29,Casey Hayward,33,DB,,,192,5-11,Vanderbilt,9/9/1989,10,,Green Bay Packers / 2nd / 62nd pick / 2012,HaywCa00
61,Matt Hennessy,25,OL,,,307,6-3,Temple,11/17/1997,2,,Atlanta Falcons / 3rd / 78th pick / 2020,HennMa00
46,Parker Hesse,27,TE,,,261,6-3,Iowa,5/26/1995,1,,,HessPa00
12,KhaDarel Hodge,27,WR,,,183,5-11,Prairie View A&M,1/3/1995,4,,,HodgKh00
93,Timmy Horne,25,DT,,,323,6-4,Kansas State,10/25/1997,Rook,,,HornTi00
74,Germain Ifedi,28,OT,,,344,6-5,Texas A&M,6/2/1994,6,,Seattle Seahawks / 1st / 31st pick / 2016,IfedGe00
97,Grady Jarrett,29,DT,,,305,6-0,Clemson,4/28/1993,7,,Atlanta Falcons / 5th / 137th pick / 2015,JarrGr00
7,Younghoe Koo,28,K,,,185,5-9,Georgia Southern,8/3/1994,5,,,KooxYo00
53,Nick Kwiatkoski,29,ILB,,,242,6-2,West Virginia,5/26/1993,6,,Chicago Bears / 4th / 113th pick / 2016,KwiaNi00
55,Nathan Landman,24,LB,,,235,6-3,Colorado,11/19/1998,Rook,,,LandNa01
63,Chris Lindstrom,25,OL,,,307,6-3,Boston Col.,2/28/1997,3,,Atlanta Falcons / 1st / 14th pick / 2019,LindCh00
5,Drake London,21,WR,,,210,6-5,USC,7/24/2001,Rook,,Atlanta Falcons / 1st / 8th pick / 2022,LondDr00
51,DeAngelo Malone,23,DE,,,240,6-4,Western Kentucky,7/12/1999,Rook,,Atlanta Falcons / 3rd / 82nd pick / 2022,MaloDe00
1,Marcus Mariota,29,QB,,,222,6-4,Oregon,10/30/1993,7,,Tennessee Titans / 1st / 2nd pick / 2015,MariMa01
21,Dean Marlowe,30,S,,,203,6-1,James Madison,7/25/1992,7,,,MarlDe00
70,Jake Matthews,30,OT,,,309,6-5,Texas A&M,2/11/1992,8,,Atlanta Falcons / 1st / 6th pick / 2014,MattJa00
48,Liam McCullough,25,LS,,,237,6-2,Ohio State,6/5/1997,Rook,,,McCuLi00
76,Kaleb McGary,27,OL,,,306,6-6,Washington,2/22/1995,3,,Atlanta Falcons / 1st / 31st pick / 2019,McGaKa00
92,Adetokunbo Ogundeji,24,OLB,,,268,6-4,Notre Dame,10/9/1998,1,,Atlanta Falcons / 5th / 182nd pick / 2021,OgunAd01
84,Cordarrelle Patterson,31,WR,,,220,6-2,Tennessee,3/17/1991,9,,Minnesota Vikings / 1st / 29th pick / 2013,PattCo00
13,Bradley Pinion,28,P,,,229,6-5,Clemson,6/1/1994,7,,San Francisco 49ers / 5th / 165th pick / 2015,PiniBr00
8,Kyle Pitts,22,TE,,,246,6-6,Florida,10/6/2000,1,,Atlanta Falcons / 1st / 4th pick / 2021,PittKy00
4,Desmond Ridder,23,QB,,,215,6-4,Cincinnati,8/31/1999,Rook,,Atlanta Falcons / 3rd / 74th pick / 2022,RiddDe00
94,Anthony Rush,26,NT,,,361,6-4,Ala-Birmingham,9/1/1996,3,,,RushAn00
40,Keith Smith,30,LB,,,240,6-0,San Jose St.,4/8/1992,8,,,SmitKe03
24,AJ Terrell,24,CB,,,195,6-1,Clemson,9/23/1998,2,,Atlanta Falcons / 1st / 16th pick / 2020,TerrAJ00
3,Mykal Walker,25,LB,,,230,6-3,Azusa PacificFresno St.,8/28/1997,2,,Atlanta Falcons / 4th / 119th pick / 2020,WalkMy00
68,Elijah Wilkinson,27,OT,,,322,6-6,Massachusetts,2/10/1995,5,,,WilkEl00
35,Avery Williams,24,OLB,,,195,5-9,Boise St.,7/15/1998,1,,Atlanta Falcons / 5th / 183rd pick / 2021,WillAv02
6,Damien Williams,30,RB,,,225,5-11,Oklahoma,4/3/1992,8,,,WillDa05
17,Olamide Zaccheaus,25,WR,,,193,5-8,Virginia,7/23/1997,3,,,ZaccOl01
18,Calvin Ridley (SUS),28,WR,,,190,6-1,Alabama,12/20/1994,4,,Atlanta Falcons / 1st / 26th pick / 2018,RidlCa00
44,Beau Brinkley (IR),32,LSTE,,,260,6-4,Missouri,1/25/1990,10,,,BrinBe00
,Jalen Dalton (IR),25,DT,,,288,6-5,North Carolina,8/4/1997,Rook,,,DaltJa00
90,Marlon Davidson (IR),24,DL,,,303,6-3,Auburn,5/11/1998,2,,Atlanta Falcons / 2nd / 47th pick / 2020,DaviMa01
87,John FitzPatrick (IR),22,TE,,,250,6-7,Georgia,3/9/2000,Rook,,Atlanta Falcons / 6th / 213th pick / 2022,FitzJo00
45,Deion Jones (IR),28,OLB,,,227,6-1,LSU,11/4/1994,6,,Atlanta Falcons / 2nd / 52nd pick / 2016,JoneDe01
77,Jalen Mayfield (IR),22,OL,,,320,6-5,Michigan,5/23/2000,1,,Atlanta Falcons / 3rd / 68th pick / 2021,MayfJa00
