No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
88,Kamar Aiken,22,WR,2,0,216,6-2,Central Florida,5/30/1989,Rook,0,,AikeKa00
50,Nick Barnett,30,LB,16,16,228,6-2,Oregon St.,5/27/1981,8,7,Green Bay Packers / 1st / 29th pick / 2003,BarnNi20
57,Danny Batten,24,LB,16,4,250,6-4,South Dakota St.,12/8/1987,Rook,2,Buffalo Bills / 6th / 192nd pick / 2010,BattDa99
77,Demetress Bell,27,T,7,6,301,6-5,Northwestern St. (LA),5/3/1984,3,3,Buffalo Bills / 7th / 219th pick / 2008,BellDe20
87,Kevin Brock,25,TE,2,0,315,6-5,Rutgers,4/9/1986,Rook,0,,BrocKe00
74,Colin Brown,26,T,11,1,325,6-8,Missouri,8/29/1985,2,1,Kansas City Chiefs / 5th / 139th pick / 2009,BrowCo23
31,Jairus Byrd,25,DB,16,16,205,6-0,Oregon,10/7/1986,2,5,Buffalo Bills / 2nd / 42nd pick / 2009,ByrdJa99
92,Alex Carrington,24,DE,16,6,284,6-5,Arkansas St.,6/19/1987,1,3,Buffalo Bills / 3rd / 72nd pick / 2010,CarrAl99
83,Mike Caussin,24,TE,6,2,252,6-5,James Madison,2/26/1987,Rook,0,,CausMi00
84,Scott Chandler,26,TE,14,9,270,6-7,Iowa,7/23/1985,4,3,San Diego Chargers / 4th / 129th pick / 2007,ChanSc00
30,Tashard Choice,27,RB,6,0,210,5-9,OklahomaGeorgia Tech,11/20/1984,3,1,Dallas Cowboys / 4th / 122nd pick / 2008,ChoiTa00
59,Antonio Coleman,25,DE,3,0,255,6-2,Auburn,9/1/1986,1,0,,ColeAn01
27,Reggie Corner,28,DB,11,1,175,5-10,Akron,11/17/1983,3,1,Buffalo Bills / 4th / 114th pick / 2008,CornRe99
10,Brandon Coutu,27,K,1,0,188,5-11,Georgia,9/29/1984,Rook,0,Seattle Seahawks / 7th / 235th pick / 2008,CoutBr00
99,Marcell Dareus,21,DT,16,15,331,6-3,Alabama,3/13/1990,Rook,6,Buffalo Bills / 1st / 3rd pick / 2011,DareMa00
54,Andra Davis,33,LB,16,3,255,6-1,Florida,12/23/1978,9,2,Cleveland Browns / 5th / 141st pick / 2002,DaviAn20
97,Lionel Dotson,26,DT,5,0,289,6-4,Arizona,2/11/1985,3,0,Miami Dolphins / 7th / 245th pick / 2008,DotsLi99
59,Robert Eddins,23,LB,1,0,248,6-3,Ball St.,10/11/1988,Rook,0,,EddiRo00
98,Dwan Edwards,30,DT,16,13,305,6-3,Oregon St.,5/16/1981,7,5,Baltimore Ravens / 2nd / 51st pick / 2004,EdwaDw20
14,Ryan Fitzpatrick,29,QB,16,16,221,6-2,Harvard,11/24/1982,6,11,St. Louis Rams / 7th / 250th pick / 2005,FitzRy00
29,Drayton Florence,31,DB,16,16,200,6-0,ChattanoogaTuskegee,12/19/1980,8,5,San Diego Chargers / 2nd / 46th pick / 2003,FlorDr20
80,Derek Hagan,27,WR,4,1,210,6-2,Arizona St.,9/21/1984,5,1,Miami Dolphins / 3rd / 82nd pick / 2006,HagaDe00
75,Chris Hairston,22,T,13,7,323,6-6,Clemson,4/26/1989,Rook,4,Buffalo Bills / 4th / 122nd pick / 2011,HairCh00
72,Kellen Heard,26,DT,15,2,355,6-6,Memphis,10/17/1985,Rook,2,,HearKe00
22,Fred Jackson,30,RB,10,10,215,6-1,Coe College,2/20/1981,4,9,,JackFr02
91,Spencer Johnson,30,DT,16,11,304,6-3,Auburn,12/12/1981,7,5,,JohnSp20
13,Steve Johnson,25,WR,16,16,210,6-2,Kentucky,11/28/1986,3,8,Buffalo Bills / 7th / 224th pick / 2008,JohnSt00
19,Donald Jones,24,WR,8,7,214,6-0,Youngstown St.,12/17/1987,1,2,,JoneDo00
90,Chris Kelsay,32,DE,12,12,263,6-4,Nebraska,10/31/1979,8,4,Buffalo Bills / 2nd / 48th pick / 2003,KelsCh21
67,Andy Levitre,25,G,16,16,303,6-2,Oregon St.,5/15/1986,2,8,Buffalo Bills / 2nd / 51st pick / 2009,LeviAn20
9,Rian Lindell,34,K,8,0,227,6-3,Washington St.,1/20/1977,11,2,,linderia01
80,David Martin,32,TE,3,0,264,6-4,Tennessee,3/13/1979,10,0,Green Bay Packers / 6th / 198th pick / 2001,MartDa00
82,Ruvell Martin,29,WR,14,0,214,6-4,Saginaw Valley St.,8/10/1982,5,1,,MartRu00
24,Terrence McGee,31,DB,6,6,205,5-9,Northwestern St. (LA),10/14/1980,8,2,Buffalo Bills / 4th / 111th pick / 2003,McGeTe99
38,Corey McIntyre,32,FB,16,1,245,6-0,West Virginia,1/25/1979,6,0,,McInCo00
21,Leodis McKelvin,26,DB,16,6,190,5-11,Troy,9/1/1985,3,4,Buffalo Bills / 1st / 11th pick / 2008,McKeLe99
56,Shawne Merriman,27,LB,5,5,264,6-4,Maryland,5/25/1984,6,2,San Diego Chargers / 1st / 12th pick / 2005,MerrSh99
52,Arthur Moats,23,LOLB,14,0,246,6-0,James Madison,3/14/1988,1,1,Buffalo Bills / 6th / 178th pick / 2010,MoatAr00
94,Kyle Moore,25,DE,4,0,265,6-4,USC,10/25/1986,2,0,Tampa Bay Buccaneers / 4th / 117th pick / 2009,MoorKy99
8,Brian Moorman,35,P,16,0,174,6-0,Pittsburg St.,2/5/1976,10,3,,MoorBr24
58,Kirk Morrison,29,LB,14,0,245,6-2,San Diego St.,2/19/1982,6,1,Oakland Raiders / 3rd / 78th pick / 2005,MorrKi20
86,David Nelson,25,WR,16,13,217,6-5,Florida,11/7/1986,1,5,,NelsDa01
11,Roscoe Parrish,29,WR,2,2,175,5-9,Miami (FL),7/16/1982,6,0,Buffalo Bills / 2nd / 55th pick / 2005,ParrRo00
79,Erik Pears,29,T,16,16,316,6-8,Colorado St.,6/25/1982,5,8,,PearEr20
3,Dave Rayner,29,K,7,0,215,6-2,Michigan St.,10/26/1982,6,0,Indianapolis Colts / 6th / 202nd pick / 2005,raynedav01
76,Chad Rinehart,26,T,16,12,320,6-5,Northern Iowa,5/4/1985,3,6,Washington Redskins / 3rd / 96th pick / 2008,RineCh20
26,Justin Rogers,23,DB,13,1,180,5-11,Richmond,1/16/1988,Rook,1,Buffalo Bills / 7th / 206th pick / 2011,RogeJu00
18,Naaman Roosevelt,24,WR,10,0,189,6-0,Buffalo,12/24/1987,1,2,,RoosNa00
65,Garrison Sanborn,26,C,16,0,240,6-1,Florida St.,7/31/1985,2,2,,SanbGa00
43,Bryan Scott,30,DB,16,7,220,6-1,Penn St.,4/13/1981,8,7,Atlanta Falcons / 2nd / 55th pick / 2003,ScotBr20
25,Da'Norris Searcy,23,DB,16,3,205,5-11,North Carolina,11/16/1988,Rook,2,Buffalo Bills / 4th / 100th pick / 2011,SearDa00
55,Kelvin Sheppard,23,MLB,16,9,249,6-2,LSU,1/2/1988,Rook,4,Buffalo Bills / 3rd / 68th pick / 2011,ShepKe00
16,Brad Smith,28,WR,15,5,213,6-2,Missouri,12/12/1983,5,3,New York Jets / 4th / 103rd pick / 2006,SmitBr01
85,Lee Smith,24,TE,10,3,265,6-6,TennesseeMarshall,11/21/1987,Rook,0,New England Patriots / 5th / 159th pick / 2011,SmitLe00
28,C.J. Spiller,24,RB,16,11,194,5-11,Clemson,8/5/1987,1,6,Buffalo Bills / 1st / 9th pick / 2010,SpilC.00
4,Tyler Thigpen,27,QB,3,0,235,6-3,Coastal Carolina,4/14/1984,4,0,Minnesota Vikings / 7th / 217th pick / 2007,ThigTy00
96,Torell Troup,23,DT,6,0,310,6-3,Central Florida,11/30/1988,1,0,Buffalo Bills / 2nd / 41st pick / 2010,TrouTo00
60,Kraig Urbik,26,G,13,13,323,6-5,Wisconsin,9/23/1985,2,6,Pittsburgh Steelers / 3rd / 79th pick / 2009,UrbiKr20
51,Chris White,22,LB,7,0,241,6-2,Mississippi Gulf Coast CCMississippi St.,1/15/1989,Rook,0,Buffalo Bills / 6th / 169th pick / 2011,WhitCh03
20,Johnny White,23,RB,12,0,200,5-10,North Carolina,2/3/1988,Rook,0,Buffalo Bills / 5th / 133rd pick / 2011,WhitJo01
23,Aaron Williams,21,DB,9,6,195,6-0,Texas,4/23/1990,Rook,2,Buffalo Bills / 2nd / 34th pick / 2011,WillAa00
95,Kyle Williams,28,DT,5,5,303,6-1,LSU,6/10/1983,5,2,Buffalo Bills / 5th / 134th pick / 2006,WillKy20
37,George Wilson,30,SS,13,13,210,6-0,Arkansas,3/14/1981,6,5,,WilsGe01
70,Eric Wood,25,C,9,9,310,6-4,Louisville,3/18/1986,2,4,Buffalo Bills / 1st / 28th pick / 2009,WoodEr20
