--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
17,Josh Allen,26,QB,,,237,6-5,Wyoming,5/21/1996,4,,Buffalo Bills / 1st / 7th pick / 2018,AlleJo02
55,Boogie Basham,25,DL,,,281,6-3,Wake Forest,12/16/1997,1,,Buffalo Bills / 2nd / 61st pick / 2021,BashCa00
2,Tyler Bass,25,K,,,183,5-10,Georgia Southern,2/14/1997,2,,Buffalo Bills / 6th / 188th pick / 2020,BassTy00
71,Ryan Bates,25,OL,,,302,6-4,Penn St.,2/14/1997,3,,,BateRy02
47,Christian Benford,22,DB,,,205,6-1,Villanova,9/21/2000,Rook,,Buffalo Bills / 6th / 185th pick / 2022,BenfCh00
43,Terrel Bernard,23,LB,,,222,6-1,Baylor,5/7/1999,Rook,,Buffalo Bills / 3rd / 89th pick / 2022,BernTe00
79,Spencer Brown,24,OT,,,311,6-9,Northern Iowa,2/28/1998,1,,Buffalo Bills / 3rd / 93rd pick / 2021,BrowSp00
28,James Cook,23,RB,,,190,5-11,Georgia,9/25/1999,Rook,,Buffalo Bills / 2nd / 63rd pick / 2022,CookJa01
80,Jamison Crowder,29,WR,,,177,5-9,Duke,6/17/1993,7,,Washington Redskins / 4th / 105th pick / 2015,CrowJa00
13,Gabriel Davis,23,WR,,,210,6-2,Central Florida,4/1/1999,2,,Buffalo Bills / 4th / 128th pick / 2020,DaviGa01
73,Dion Dawkins,28,OG,,,320,6-5,Temple,4/26/1994,5,,Buffalo Bills / 2nd / 63rd pick / 2017,DawkDi00
14,Stefon Diggs,29,WR,,,191,6-0,Maryland,11/29/1993,7,,Minnesota Vikings / 5th / 146th pick / 2015,DiggSt00
53,Tyrel Dodson,24,LB,,,237,6-0,Texas A&M,6/25/1998,2,,,DodsTy01
72,Tommy Doyle,24,OL,,,320,6-8,Miami (OH),5/6/1998,1,,Buffalo Bills / 5th / 161st pick / 2021,DoylTo00
49,Tremaine Edmunds,24,ILB,,,250,6-5,Virginia Tech,5/2/1998,4,,Buffalo Bills / 1st / 16th pick / 2018,EdmuTr01
24,Kaiir Elam,21,CB,,,195,6-2,Florida,5/5/2001,Rook,,Buffalo Bills / 1st / 23rd pick / 2022,ElamKa00
57,A.J. Epenesa,24,DL,,,260,6-6,Iowa,9/15/1998,2,,Buffalo Bills / 2nd / 54th pick / 2020,EpenAJ00
69,Reid Ferguson,28,LS,,,235,6-2,LSU,3/24/1994,5,,,FergRe00
41,Reggie Gilliam,25,TE,,,244,6-0,Toledo,8/20/1997,2,,,GillRe00
3,Damar Hamlin,24,S,,,200,6-0,Pittsburgh,3/24/1998,1,,Buffalo Bills / 6th / 212th pick / 2021,HamlDa00
68,Bobby Hart,28,OG,,,310,6-5,Florida St.,8/21/1994,7,,New York Giants / 7th / 226th pick / 2015,HartBo00
23,Micah Hyde,32,S,,,197,6-0,Iowa,12/31/1990,9,,Green Bay Packers / 5th / 159th pick / 2013,HydeMi00
30,Dane Jackson,26,CB,,,180,5-11,Pittsburgh,11/29/1996,2,,Buffalo Bills / 7th / 239th pick / 2020,JackDa02
4,Jaquan Johnson,27,CB,,,191,5-10,Miami (FL),11/6/1995,3,,Buffalo Bills / 6th / 181st pick / 2019,JohnJa11
7,Taron Johnson,26,CB,,,192,5-11,Weber St.,7/27/1996,4,,Buffalo Bills / 4th / 121st pick / 2018,JohnTa01
92,DaQuan Jones,31,DT,,,320,6-4,Penn St.,12/27/1991,8,,Tennessee Titans / 4th / 112th pick / 2014,JoneDa04
25,Taiwan Jones,34,RB,,,195,6-0,East. Washington,7/26/1988,11,,Oakland Raiders / 4th / 125th pick / 2011,JoneTa00
18,Case Keenum,34,QB,,,215,6-1,Houston,2/17/1988,10,,,KeenCa00
88,Dawson Knox,26,TE,,,254,6-4,Mississippi,11/14/1996,3,,Buffalo Bills / 3rd / 96th pick / 2019,KnoxDa00
15,Jake Kumerow,30,WR,,,209,6-4,Wisconsin–Whitewater,2/17/1992,4,,,KumeJa00
90,Shaq Lawson,28,DE,,,270,6-3,Clemson,6/17/1994,6,,Buffalo Bills / 1st / 19th pick / 2016,LawsSh00
39,Cameron Lewis,25,DB,,,185,5-9,Buffalo,4/13/1997,2,,,LewiCa00
8,Sam Martin,32,P,,,211,6-1,Appalachian St.,2/27/1990,9,,Detroit Lions / 5th / 165th pick / 2013,MartSa01
44,Tyler Matakevich,30,ILB,,,235,6-1,Temple,12/22/1992,6,,Pittsburgh Steelers / 7th / 246th pick / 2016,MataTy00
6,Isaiah McKenzie,27,WR,,,173,5-8,Georgia,4/9/1995,5,,Denver Broncos / 5th / 172nd pick / 2017,McKeIs00
58,Matt Milano,28,OLB,,,223,6-0,Boston Col.,7/28/1994,5,,Buffalo Bills / 5th / 163rd pick / 2017,MilaMa00
40,Von Miller,33,OLB,,,250,6-3,Texas A&M,3/26/1989,11,,Denver Broncos / 1st / 2nd pick / 2011,MillVo00
85,Quintin Morris,23,,,,248,6-4,Bowling Green,1/21/1999,Rook,,,MorrQu00
60,Mitch Morse,30,C,,,305,6-6,Missouri,4/21/1992,7,,Kansas City Chiefs / 2nd / 49th pick / 2015,MorsMi00
20,Zack Moss,25,RB,,,205,5-9,Utah,12/15/1997,2,,Buffalo Bills / 3rd / 86th pick / 2020,MossZa00
33,Siran Neal,28,CB,,,206,6-0,Jacksonville St.,8/4/1994,4,,Buffalo Bills / 5th / 154th pick / 2018,NealSi00
91,Ed Oliver,25,DL,,,287,6-1,Houston,12/12/1997,3,,Buffalo Bills / 1st / 9th pick / 2019,OlivEd00
97,Jordan Phillips,30,DT,,,341,6-6,Oklahoma,9/21/1992,7,,Miami Dolphins / 2nd / 52nd pick / 2015,PhilJo01
21,Jordan Poyer,31,CB,,,191,6-0,Oregon St.,4/25/1991,9,,Philadelphia Eagles / 7th / 218th pick / 2013,PoyeJo00
77,David Quessenberry,32,OT,,,310,6-5,San Jose St.,8/24/1990,9,,Houston Texans / 6th / 176th pick / 2013,QuesDa00
50,Gregory Rousseau,22,DE,,,266,6-6,Miami (FL),4/5/2000,1,,Buffalo Bills / 1st / 30th pick / 2021,RousGr00
76,Rodger Saffold,34,T,,,325,6-5,Indiana,6/6/1988,12,,St. Louis Rams / 2nd / 33rd pick / 2010,SaffRo20
99,Tim Settle,25,DT,,,308,6-3,Virginia Tech,7/11/1997,4,,Washington Redskins / 5th / 163rd pick / 2018,SettTi00
10,Khalil Shakir,22,WR,,,190,6-0,Boise St.,2/3/2000,Rook,,Buffalo Bills / 5th / 148th pick / 2022,ShakKh00
26,Devin Singletary,25,RB,,,203,5-7,Florida Atlantic,9/3/1997,3,,Buffalo Bills / 3rd / 74th pick / 2019,SingDe00
54,Baylon Spector,24,LB,,,230,6-2,Clemson,10/20/1998,Rook,,Buffalo Bills / 7th / 231st pick / 2022,SpecBa00
89,Tommy Sweeney,27,TE,,,251,6-5,Boston Col.,7/1/1995,3,,Buffalo Bills / 7th / 228th pick / 2019,SweeTo00
75,Greg Van Roten,32,G,,,305,6-3,Pennsylvania,2/26/1990,10,,,VanRGr00
9,Andre Smith (SUS),25,ILB,,,240,6-0,North Carolina,4/20/1997,4,,Carolina Panthers / 7th / 234th pick / 2018,SmitAn04
65,Ike Boettger (PUP),28,G,,,313,6-6,Iowa,10/5/1994,4,,,BoetIk00
27,Tre'Davious White (PUP),27,CB,,,192,5-11,LSU,1/16/1995,5,,Buffalo Bills / 1st / 27th pick / 2017,WhitTr01
5,Marquez Stevenson (IR),24,WR,,,190,6-0,Houston,3/26/1998,1,,Buffalo Bills / 6th / 203rd pick / 2021,StevMa00
