No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
97,Mario Addison,32,DE,15,15,260,6-3,Troy,9/6/1987,8,6,,$6500000,AddiMa00
7,Kyle Allen,23,QB,13,12,210,6-3,Texas A&MHouston,3/8/1996,1,7,,$495000,AlleKy00
40,Alex Armah,25,FB,16,1,255,6-2,West Georgia,5/17/1994,2,0,Carolina Panthers / 6th / 192nd pick / 2017,$645000,ArmaAl00
39,Reggie Bonnafon,23,RB,16,0,215,6-0,Louisville,1/4/1996,Rook,1,,$495000,BonnRe00
33,Tre Boston,27,FS,16,16,205,6-1,North Carolina,6/25/1992,5,5,Carolina Panthers / 4th / 128th pick / 2014,$1125000,BostTr00
24,James Bradberry,26,CB,15,15,212,6-1,Arkansas St.Samford,8/4/1993,3,5,Carolina Panthers / 2nd / 62nd pick / 2016,$940114,BradJa00
53,Brian Burns,21,EDGE,16,5,250,6-5,Florida St.,4/23/1998,Rook,4,Carolina Panthers / 1st / 16th pick / 2019,$495000,BurnBr00
92,Vernon Butler,25,DT,14,9,330,6-4,Louisiana Tech,6/14/1994,3,5,Carolina Panthers / 1st / 30th pick / 2016,$1144980,ButlVe00
56,Jermaine Carter Jr.,24,LB,16,5,225,6-1,Maryland,1/14/1995,1,3,Carolina Panthers / 5th / 161st pick / 2018,$570000,CartJe00
47,Ross Cockrell,28,CB,14,11,191,6-0,Duke,8/6/1991,5,4,Buffalo Bills / 4th / 109th pick / 2014,$2300000,CockRo00
91,Bryan Cox Jr.,25,DE,1,0,270,6-3,Florida,6/25/1994,2,0,,$645000,CoxxBr01
65,Dennis Daley,23,OL,14,9,325,6-6,South Carolina,8/7/1996,Rook,4,Carolina Panthers / 6th / 212th pick / 2019,$495000,DaleDe00
27,Mike Davis,26,RB,5,0,220,5-9,South Carolina,2/19/1993,4,0,San Francisco 49ers / 4th / 126th pick / 2015,,DaviMi01
14,Greg Dortch,21,WR,2,0,173,5-7,Wake Forest,5/29/1998,Rook,0,,,DortGr01
35,Corn Elder,25,CB,1,0,185,5-10,Miami (FL),10/9/1994,1,0,Carolina Panthers / 5th / 152nd pick / 2017,$645000,EldeCo00
23,Javien Elliott,26,CB,16,3,185,5-11,Florida St.,7/18/1993,3,2,,$720000,ElliJa01
28,Rashaan Gaulden,24,CB,9,0,200,6-0,Tennessee,1/23/1995,1,0,Carolina Panthers / 3rd / 85th pick / 2018,$595250,GaulRa00
36,T.J. Green,24,FS,1,0,215,6-3,Clemson,3/15/1995,3,0,Indianapolis Colts / 2nd / 57th pick / 2016,,GreeT.00
3,Will Grier,24,QB,2,2,220,6-1,FloridaWest Virginia,4/3/1995,Rook,1,Carolina Panthers / 3rd / 100th pick / 2019,$495000,GrieWi00
98,Marquis Haynes,26,OLB,11,0,235,6-2,Mississippi,12/16/1993,1,1,Carolina Panthers / 4th / 136th pick / 2018,$570000,HaynMa01
15,Chris Hogan,32,WR,7,1,210,6-1,Monmouth,10/24/1987,8,0,,$825000,HogaCh00
96,Wes Horton,29,DE,6,0,265,6-5,USC,1/18/1990,6,0,,,HortWe00
55,Bruce Irvin,32,DE,13,12,250,6-3,Butler (KS)West Virginia,11/1/1987,7,5,Seattle Seahawks / 1st / 15th pick / 2012,$1250000,IrviBr00
26,Donte Jackson,24,CB,13,10,180,5-10,LSU,11/8/1995,1,4,Carolina Panthers / 2nd / 55th pick / 2018,$698751,JackDo02
30,Natrell Jamerson,24,FS,5,0,200,5-11,Wisconsin,12/15/1995,1,0,New Orleans Saints / 5th / 164th pick / 2018,,JameNa00
44,J.J. Jansen,33,C,16,0,235,6-2,Notre Dame,1/20/1986,10,2,,$1030000,JansJ.00
42,Colin Jones,32,DB,16,0,205,6-0,TCU,10/27/1987,8,1,San Francisco 49ers / 6th / 190th pick / 2011,$930000,JoneCo01
59,Luke Kuechly,28,ILB,16,16,238,6-3,Boston Col.,4/20/1991,7,12,Carolina Panthers / 1st / 9th pick / 2012,$10000059,KuecLu00
43,Jordan Kunaszyk,23,LB,9,0,235,6-3,California,10/15/1996,Rook,1,,$495000,KunaJo00
69,Tyler Larsen,28,C,16,0,335,6-4,Utah St.,7/8/1991,3,1,,$900000,LarsTy00
74,Greg Little,22,OL,4,3,310,6-5,Mississippi,11/4/1997,Rook,1,Carolina Panthers / 2nd / 37th pick / 2019,$495000,LittGr01
77,Kyle Love,33,DT,15,1,310,6-1,Mississippi St.,11/18/1986,9,1,,$930000,LoveKy00
32,Cole Luke,24,CB,8,0,200,5-11,Notre Dame,6/30/1995,1,0,,$495000,LukeCo00
64,Brad Lundblade,24,C,1,0,305,6-3,Oklahoma St.,9/21/1995,Rook,0,,,LundBr00
82,Chris Manhertz,27,TE,15,6,255,6-6,Canisius,4/10/1992,5,0,,,ManhCh00
22,Christian McCaffrey,23,RB,16,16,205,5-11,Stanford,6/7/1996,2,15,Carolina Panthers / 1st / 8th pick / 2017,$2032390,McCaCh01
