No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
,Henry Anderson,31,DE,,,300,6-6,Stanford,8/3/1991,7,,Indianapolis Colts / 3rd / 93rd pick / 2015,AndeHe00
3,Robby Anderson,29,WR,,,190,6-3,Temple,5/9/1993,6,,,AndeRo04
90,Amare Barno,23,DE,,,245,6-6,Butler (KS)Virginia Tech,4/26/1999,Rook,,Carolina Panthers / 6th / 189th pick / 2022,BarnAm00
56,Bradley Bozeman,28,C,,,325,6-5,Alabama,11/24/1994,4,,Baltimore Ravens / 6th / 215th pick / 2018,BozeBr00
95,Derrick Brown,24,DL,,,320,6-5,Auburn,4/15/1998,2,,Carolina Panthers / 1st / 7th pick / 2020,BrowDe05
53,Brian Burns,24,EDGE,,,250,6-5,Florida St.,4/23/1998,3,,Carolina Panthers / 1st / 16th pick / 2019,BurnBr00
34,Sean Chandler,26,FS,,,200,5-10,Temple,4/27/1996,4,,,ChanSe00
21,Jeremy Chinn,24,S,,,220,6-3,Southern Illinois,2/26/1998,2,,Carolina Panthers / 2nd / 64th pick / 2020,ChinJe00
70,Brady Christensen,26,T,,,300,6-6,BYU,9/27/1996,1,,Carolina Panthers / 3rd / 70th pick / 2021,ChriBr00
63,Austin Corbett,27,C,,,306,6-4,Nevada,9/5/1995,4,,Cleveland Browns / 2nd / 33rd pick / 2018,CorbAu00
79,Ikem Ekwonu,22,T,,,320,6-4,North Carolina St.,10/31/2000,Rook,,Carolina Panthers / 1st / 6th pick / 2022,EkwoIk00
60,Pat Elflein,28,C,,,303,6-3,Ohio St.,7/6/1994,5,,Minnesota Vikings / 3rd / 70th pick / 2017,ElflPa00
75,Cameron Erving,30,OT,,,315,6-5,Florida St.,8/23/1992,7,,Cleveland Browns / 1st / 19th pick / 2015,ErviCa00
33,D'Onta Foreman,26,RB,,,236,6-1,Texas,4/24/1996,5,,Houston Texans / 3rd / 89th pick / 2017,ForeDO00
42,Sam Franklin,26,OLB,,,210,6-3,Temple,2/2/1996,2,,,FranSa00
97,Yetur Gross-Matos,24,DL,,,265,6-5,Penn St.,2/26/1998,2,,Carolina Panthers / 2nd / 38th pick / 2020,GrosYe00
38,Myles Hartsfield,25,DB,,,210,5-11,Mississippi,8/5/1997,2,,,HartMy00
98,Marquis Haynes,29,OLB,,,235,6-2,Mississippi,12/16/1993,4,,Carolina Panthers / 4th / 136th pick / 2018,HaynMa01
10,Johnny Hekker,32,P,,,241,6-5,Oregon St.,2/8/1990,10,,,HekkJo00
24,C.J. Henderson,24,CB,,,204,6-1,Florida,9/30/1998,2,,Jacksonville Jaguars / 1st / 9th pick / 2020,HendCJ00
17,Rashard Higgins,28,WR,,,198,6-1,Colorado St.,10/7/1994,6,,Cleveland Browns / 5th / 172nd pick / 2016,HiggRa00
8,Jaycee Horn,23,CB,,,200,6-1,South Carolina,11/26/1999,1,,Carolina Panthers / 1st / 8th pick / 2021,HornJa00
71,Phil Hoskins,25,DT,,,315,6-5,Highland (KS)Kentucky,1/2/1997,1,,Carolina Panthers / 7th / 232nd pick / 2021,HoskPh00
30,Chuba Hubbard,23,RB,,,210,6-1,Oklahoma St.,6/11/1999,1,,Carolina Panthers / 4th / 126th pick / 2021,HubbCh01
99,Matthew Ioannidis,28,DT,,,310,6-3,Temple,1/11/1994,6,,Washington Redskins / 5th / 152nd pick / 2016,IoanMa01
26,Donte Jackson,27,CB,,,180,5-10,LSU,11/8/1995,4,,Carolina Panthers / 2nd / 55th pick / 2018,JackDo02
44,J.J. Jansen,36,C,,,235,6-2,Notre Dame,1/20/1986,13,,,JansJ.00
73,Michael Jordan,24,OL,,,315,6-6,Ohio St.,1/25/1998,3,,Cincinnati Bengals / 4th / 136th pick / 2019,JordMi01
55,Cory Littleton,29,LB,,,228,6-3,Washington,11/18/1993,6,,,LittCo01
49,Frankie Luvu,26,LB,,,235,6-3,Washington St.,9/19/1996,4,,,LuvuFr00
88,Terrace Marshall Jr.,22,WR,,,200,6-2,LSU,6/9/2000,1,,Carolina Panthers / 2nd / 59th pick / 2021,MarsTe00
6,Baker Mayfield,27,QB,,,215,6-1,Oklahoma,4/14/1995,4,,Cleveland Browns / 1st / 1st pick / 2018,MayfBa00
64,Cade Mays,23,OL,,,325,6-6,GeorgiaTennessee,4/26/1999,Rook,,Carolina Panthers / 6th / 199th pick / 2022,MaysCa00
22,Christian McCaffrey,26,RB,,,205,5-11,Stanford,6/7/1996,5,,Carolina Panthers / 1st / 8th pick / 2017,McCaCh01
78,Marquan McCall,,NT,,,379,,Kentucky,,Rook,,,McCaMa03
2,D.J. Moore,25,WR,,,210,6-0,Maryland,4/14/1997,4,,Carolina Panthers / 1st / 24th pick / 2018,MoorD.00
72,Taylor Moton,28,OT,,,325,6-5,Western Michigan,8/14/1994,5,,Carolina Panthers / 2nd / 64th pick / 2017,MotoTa00
4,Eddy Pineiro,27,K,,,177,5-11,Florida,9/13/1995,4,,,PineEd00
45,Giovanni Ricci,26,TE,,,240,6-3,Western Michigan,10/16/1996,1,,,RiccGi00
18,Andre Roberts,34,WR,,,195,5-11,The Citadel,1/9/1988,12,,Arizona Cardinals / 3rd / 88th pick / 2010,RobeAn00
93,Bravvion Roy,26,DT,,,330,6-1,Baylor,10/18/1996,2,,Carolina Panthers / 6th / 184th pick / 2020,RoyxBr00
15,Laviska Shenault Jr.,24,WR,,,227,6-1,Colorado,10/5/1998,2,,Jacksonville Jaguars / 2nd / 42nd pick / 2020,ShenLa00
40,Brandon Smith,21,LB,,,241,6-3,Penn St.,4/12/2001,Rook,,Carolina Panthers / 4th / 120th pick / 2022,SmitBr08
12,Shi Smith,24,WR,,,190,5-10,South Carolina,10/26/1998,1,,Carolina Panthers / 6th / 204th pick / 2021,SmitSh03
84,Stephen Sullivan,26,TE,,,248,6-5,LSU,11/28/1996,2,,Seattle Seahawks / 7th / 251st pick / 2020,SullSt00
28,Keith Taylor,24,CB,,,195,6-3,Washington,11/20/1998,1,,Carolina Panthers / 5th / 166th pick / 2021,TaylKe03
80,Ian Thomas,26,TE,,,260,6-4,Indiana,6/6/1996,4,,Carolina Panthers / 4th / 101st pick / 2018,ThomIa00
23,Stantley Thomas-Oliver,24,CB,,,190,6-0,Florida International,6/4/1998,2,,Carolina Panthers / 7th / 221st pick / 2020,ThomSt00
7,Shaq Thompson,28,OLB,,,230,6-0,Washington,4/21/1994,7,,Carolina Panthers / 1st / 25th pick / 2015,ThomSh01
82,Tommy Tremble,22,TE,,,250,6-4,Notre Dame,6/2/2000,1,,Carolina Panthers / 3rd / 83rd pick / 2021,TremTo00
11,P.J. Walker,27,QB,,,210,5-11,Temple,2/26/1995,4,,,WalkPh00
57,Damien Wilson,29,ILB,,,243,6-0,Minnesota,5/28/1993,7,,Dallas Cowboys / 4th / 127th pick / 2015,WilsDa02
25,Xavier Woods,27,SS,,,204,5-11,Louisiana Tech,7/26/1995,5,,Dallas Cowboys / 6th / 191st pick / 2017,WoodXa00
41,Spencer Brown (IR),24,RB,,,220,6-0,Ala-Birmingham,11/13/1998,1,,,BrowSp01
9,Matt Corral (IR),23,QB,,,205,6-1,Mississippi,1/31/1999,Rook,,Carolina Panthers / 3rd / 94th pick / 2022,CorrMa00
14,Sam Darnold (IR),25,QB,,,225,6-3,USC,6/5/1997,4,,New York Jets / 1st / 3rd pick / 2018,DarnSa00
5,Zane Gonzalez (IR),27,K,,,202,6-0,Arizona St.,5/7/1995,5,,Cleveland Browns / 7th / 224th pick / 2017,GonzZa00
50,Julian Stanford (IR),32,LB,,,230,6-1,Wagner,9/2/1990,10,,,StanJu00
