No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
64,Alex Bars,25,T,16,8,334,6-5,Notre Dame,9/8/1995,1,4,,$675000,BarsAl01
53,Devante Bond,27,OLB,2,0,236,6-1,Oklahoma,7/3/1993,3,0,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,,BondDe00
8,Tyler Bray,29,QB,1,0,223,6-6,Tennessee,12/27/1991,7,0,,$142800,BrayTy00
26,Deon Bush,27,FS,11,0,187,6-0,Miami (FL),8/14/1993,4,1,Chicago Bears / 4th / 124th pick / 2016,$1262500,BushDe00
19,DeAndre Carter,27,WR,4,0,188,5-8,Sacramento St.,4/10/1993,2,0,,$750000,CartDe02
29,Tarik Cohen,25,RB,3,0,191,5-6,North Carolina A&T,7/26/1995,3,1,Chicago Bears / 4th / 119th pick / 2017,$1133000,CoheTa00
69,Rashaad Coward,26,DT,16,5,319,6-5,Old Dominion,11/6/1994,3,3,,$825000,CowaRa00
47,Xavier Crawford,25,CB,3,0,185,5-11,Central Michigan,12/10/1995,1,0,Houston Texans / 6th / 195th pick / 2019,$675000,CrawXa00
68,James Daniels,23,C,5,5,327,6-4,Iowa,9/13/1997,2,2,Chicago Bears / 2nd / 39th pick / 2018,$1111833,DaniJa01
97,Mario Edwards,26,DE,15,0,280,6-3,Florida St.,1/25/1994,5,1,Oakland Raiders / 2nd / 35th pick / 2015,$910000,EdwaMa01
60,Dieter Eiselen,24,G,1,0,300,6-4,Yale,6/10/1996,Rook,0,,,EiseDi00
9,Nick Foles,31,QB,9,7,262,6-6,Arizona,1/20/1989,8,3,Philadelphia Eagles / 3rd / 88th pick / 2012,$4000000,FoleNi00
23,Kyle Fuller,28,CB,16,16,190,5-11,Virginia Tech,2/16/1992,6,6,Chicago Bears / 1st / 14th pick / 2014,$4500000,FullKy00
19,Ted Ginn Jr.,35,WR,6,0,180,5-11,Ohio St.,4/12/1985,13,0,Miami Dolphins / 1st / 9th pick / 2007,$1050000,GinnTe00
38,Tashaun Gipson,30,DB,16,16,207,6-1,Wyoming,8/7/1990,8,7,,$1050000,GipsTa00
99,Trevis Gipson,23,DL,7,0,263,6-4,Tulsa,6/13/1997,Rook,1,Chicago Bears / 5th / 155th pick / 2020,$610000,GipsTr00
80,Jimmy Graham,34,TE,16,15,259,6-7,Miami (FL),11/24/1986,10,4,New Orleans Saints / 3rd / 95th pick / 2010,$3000000,GrahJi00
71,Arlington Hambright,24,OT,9,1,300,,Colorado,1/30/1996,Rook,1,Chicago Bears / 7th / 226th pick / 2020,$610000,HambAr00
86,Demetrius Harris,29,TE,15,5,230,6-7,Wisconsin–Milwaukee,7/29/1991,7,0,,$1150000,HarrDe03
82,Dwayne Harris,33,WR,3,0,215,5-10,East Carolina,9/16/1987,9,0,Dallas Cowboys / 6th / 176th pick / 2011,$555882,HarrDw00
96,Akiem Hicks,31,DE,15,15,335,6-4,Regina,11/16/1989,8,7,New Orleans Saints / 3rd / 89th pick / 2012,$10200000,HickAk00
81,J.P. Holtz,27,TE,16,1,246,6-3,Pittsburgh,8/28/1993,2,0,,$675000,HoltJ.01
36,DeAndre Houston-Carson,27,FS,16,0,202,6-0,William & Mary,4/13/1993,4,2,Chicago Bears / 6th / 185th pick / 2016,$910000,HousDe00
74,Germain Ifedi,26,OT,16,16,344,6-5,Texas A&M,6/2/1994,4,6,Seattle Seahawks / 1st / 31st pick / 2016,$910000,IfedGe00
45,Joel Iyiegbuniwe,25,LB,16,0,235,6-1,Western Kentucky,10/12/1995,2,1,Chicago Bears / 4th / 115th pick / 2018,$750000,IyieJo00
39,Eddie Jackson,27,SS,16,16,206,6-0,Alabama,12/10/1993,3,7,Chicago Bears / 4th / 112th pick / 2017,$1050000,JackEd01
90,John Jenkins,31,DT,11,0,335,6-3,Mississippi Gulf Coast CCGeorgia,7/11/1989,7,1,New Orleans Saints / 3rd / 82nd pick / 2013,$1050000,JenkJo00
33,Jaylon Johnson,21,CB,13,13,196,6-0,Utah,4/19/1999,Rook,5,Chicago Bears / 2nd / 50th pick / 2020,$610000,JohnJa13
85,Cole Kmet,21,TE,16,9,260,6-6,Notre Dame,3/10/1999,Rook,2,Chicago Bears / 2nd / 43rd pick / 2020,$610000,KmetCo00
62,Eric Kush,31,C,1,0,317,6-4,California (PA),9/9/1989,7,0,Kansas City Chiefs / 6th / 170th pick / 2013,,KushEr00
72,Charles Leno Jr.,29,LT,16,16,302,6-3,Boise St.,10/9/1991,6,8,Chicago Bears / 7th / 246th pick / 2014,$7900000,LenoCh00
52,Khalil Mack,29,OLB,16,16,267,6-3,Buffalo,2/22/1991,6,14,Oakland Raiders / 1st / 5th pick / 2014,$13300000,MackKh00
70,Bobby Massie,31,T,8,8,316,6-6,Mississippi,8/1/1989,8,4,Arizona Cardinals / 4th / 112th pick / 2012,$6900000,MassBo00
75,Daniel McCullers,28,DT,3,0,352,6-7,Tennessee,8/11/1992,6,0,Pittsburgh Steelers / 6th / 215th pick / 2014,$802941,McCuDa00
27,Sherrick McManis,33,DB,11,0,203,5-11,Northwestern,12/19/1987,10,1,Houston Texans / 5th / 144th pick / 2010,$1050000,McMaSh99
17,Anthony Miller,26,WR,16,6,199,5-11,Memphis,10/9/1994,2,4,Chicago Bears / 2nd / 51st pick / 2018,$966700,MillAn02
25,Lamar Miller,29,RB,1,0,221,5-10,Miami (FL),4/25/1991,8,0,Miami Dolphins / 4th / 97th pick / 2012,,MillLa01
50,Barkevious Mingo,30,OLB,16,3,235,6-5,LSU,10/4/1990,7,3,Cleveland Browns / 1st / 6th pick / 2013,$1050000,MingBa00
32,David Montgomery,23,RB,15,14,224,5-11,Iowa St.,6/7/1997,1,10,Chicago Bears / 3rd / 73rd pick / 2019,$684136,MontDa01
11,Darnell Mooney,23,WR,16,9,173,5-11,Tulane,10/29/1997,Rook,6,Chicago Bears / 5th / 173rd pick / 2020,$610000,MoonDa00
67,Sam Mustipher,24,C,9,7,332,6-2,Notre Dame,8/13/1996,Rook,3,,$430584,MustSa01
35,Ryan Nall,25,RB,16,0,239,6-2,Oregon St.,12/27/1995,1,1,,$675000,NallRy00
98,Bilal Nichols,24,DT,16,16,302,6-3,Delaware,9/14/1996,2,8,Chicago Bears / 5th / 145th pick / 2018,$750000,NichBi00
16,Pat O'Donnell,29,P,16,0,223,6-4,Miami (FL),2/22/1991,6,3,Chicago Bears / 6th / 191st pick / 2014,$1750000,ODonPa00
84,Cordarrelle Patterson,29,WR,16,3,220,6-2,Tennessee,3/17/1991,7,4,Minnesota Vikings / 1st / 29th pick / 2013,$4150000,PattCo00
46,Artavis Pierce,24,RB,5,0,208,5-11,Oregon St.,5/17/1996,Rook,0,,,PierAr00
94,Robert Quinn,30,DE,15,13,245,6-4,North Carolina,5/18/1990,9,6,St. Louis Rams / 1st / 14th pick / 2011,$3000000,QuinRo00
88,Riley Ridley,24,WR,5,1,200,6-1,Georgia,7/21/1996,1,0,Chicago Bears / 4th / 126th pick / 2019,$675000,RidlRi00
95,Roy Robertson-Harris,27,DE,8,6,298,6-5,Texas-El Paso,7/23/1993,3,3,,$3259000,RobeRo00
12,Allen Robinson,27,WR,16,16,220,6-2,Penn St.,8/24/1993,6,11,Jacksonville Jaguars / 2nd / 61st pick / 2014,$10900000,RobiAl02
2,Cairo Santos,29,K,16,0,175,5-8,Tulane,11/12/1991,6,5,,$856471,SantCa01
48,Patrick Scales,32,LS,16,0,226,6-3,Utah St.,2/11/1988,6,1,,$910000,ScalPa00
20,Duke Shelley,24,CB,11,2,176,5-9,Kansas St.,10/8/1996,1,1,Chicago Bears / 6th / 205th pick / 2019,$675000,ShelDu00
24,Buster Skrine,31,DB,12,3,187,5-9,Chattanooga,4/26/1989,9,2,Cleveland Browns / 5th / 137th pick / 2011,$4650000,SkriBu00
58,Roquan Smith,23,ILB,16,16,232,6-1,Georgia,4/8/1997,2,14,Chicago Bears / 1st / 8th pick / 2018,$750000,SmitRo07
78,Jason Spriggs,26,OT,8,0,301,6-6,Indiana,5/17/1994,4,1,Green Bay Packers / 2nd / 48th pick / 2016,$825000,SpriJa00
59,Danny Trevathan,30,OLB,16,16,239,6-0,Kentucky,3/24/1990,8,7,Denver Broncos / 6th / 188th pick / 2012,$3000000,TrevDa00
