No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
17,Tyson Bagent,23,QB,0,0,213,6-3,Shepherd (WV),6/8/2000,Rook,,,BageTy00
97,Andrew Billings,28,DL,1,1,328,6-1,Baylor,3/6/1995,6,,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00
39,Josh Blackwell,24,DB,1,0,180,5-11,Duke,4/5/1999,1,,,BlacJo00
35,Khari Blasingame,27,FB,1,0,233,6-0,Vanderbilt,7/1/1996,4,,,BlasKh00
75,Larry Borom,24,OL,1,0,333,6-5,Missouri,3/30/1999,2,,Chicago Bears / 5th / 151st pick / 2021,BoroLa00
9,Jaquan Brisker,24,DB,1,1,200,6-1,LackawannaPenn St.,4/20/1999,1,,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01
69,Ja'Tyre Carter,24,OL,0,0,275,6-5,Southern,1/15/1999,1,,Chicago Bears / 7th / 226th pick / 2022,CartJa04
10,Chase Claypool,25,WR,1,1,238,6-4,Notre Dame,7/7/1998,3,,Pittsburgh Steelers / 2nd / 49th pick / 2020,ClayCh01
55,Dylan Cole,29,LB,0,0,237,6-0,Missouri State,5/19/1994,6,,,ColeDy00
64,Nate Davis,27,OL,1,1,316,6-3,Charlotte,9/23/1996,4,,Tennessee Titans / 3rd / 82nd pick / 2019,DaviNa01
99,Gervon Dexter,22,DL,1,1,312,,Florida,10/5/2001,Rook,,Chicago Bears / 2nd / 53rd pick / 2023,DextGe00
49,Tremaine Edmunds,25,LB,1,1,250,6-5,Virginia Tech,5/2/1998,5,,Buffalo Bills / 1st / 16th pick / 2018,EdmuTr01
53,T.J. Edwards,27,LB,1,1,242,6-1,Wisconsin,8/12/1996,4,,,EdwaTJ02
67,Dan Feeney,29,OL,1,0,310,6-4,Indiana,5/29/1994,6,,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
1,Justin Fields,24,QB,1,1,228,6-3,GeorgiaOhio St.,3/5/1999,2,,Chicago Bears / 1st / 11th pick / 2021,FielJu00
21,D'Onta Foreman,27,RB,1,0,236,6-1,Texas,4/24/1996,6,,Houston Texans / 3rd / 89th pick / 2017,ForeDO00
16,Trenton Gill,24,P,1,0,219,6-4,North Carolina St.,1/1/1999,1,,Chicago Bears / 7th / 255th pick / 2022,GillTr01
6,Kyler Gordon,24,DB,1,0,190,6-0,Washington,12/17/1999,1,,Chicago Bears / 2nd / 39th pick / 2022,GordKy00
94,Rasheem Green,26,DL,1,0,279,6-4,USC,5/15/1997,5,,Seattle Seahawks / 3rd / 79th pick / 2018,GreeRa01
24,Khalil Herbert,25,RB,1,1,212,5-9,KansasVirginia Tech,4/21/1998,2,,Chicago Bears / 6th / 217th pick / 2021,HerbKh00
22,Elijah Hicks,24,DB,1,0,200,5-11,California,10/16/1999,1,,Chicago Bears / 7th / 254th pick / 2022,HickEl00
20,Travis Homer,25,RB,1,0,202,5-10,Miami (FL),8/7/1998,4,,Seattle Seahawks / 6th / 204th pick / 2019,HomeTr00
4,Eddie Jackson,30,DB,1,1,206,6-0,Alabama,12/10/1993,6,,Chicago Bears / 4th / 112th pick / 2017,JackEd01
33,Jaylon Johnson,24,DB,1,1,196,6-0,Utah,4/19/1999,3,,Chicago Bears / 2nd / 50th pick / 2020,JohnJa13
26,Quindell Johnson,24,DB,0,0,205,,Memphis,11/5/1999,Rook,,,JohnQu01
23,Roschon Johnson,22,RB,1,0,222,,Texas,1/31/2001,Rook,,Chicago Bears / 4th / 115th pick / 2023,JohnRo07
70,Braxton Jones,24,OL,1,1,310,6-7,Southern Utah,3/27/1999,1,,Chicago Bears / 5th / 168th pick / 2022,JoneBr08
31,Jaylon Jones,26,DB,1,0,190,5-11,Mississippi,10/14/1997,1,,,JoneJa12
93,Justin Jones,27,DL,1,1,309,6-3,North Carolina St.,8/28/1996,5,,Los Angeles Chargers / 3rd / 84th pick / 2018,JoneJu03
12,Velus Jones Jr.,26,WR,0,0,200,6-0,USCTennessee,5/11/1997,1,,Chicago Bears / 3rd / 71st pick / 2022,JoneVe00
52,Khalid Kareem,25,DL,0,0,265,6-4,Notre Dame,4/28/1998,3,,Cincinnati Bengals / 5th / 147th pick / 2020,KareKh00
85,Cole Kmet,24,TE,1,1,260,6-6,Notre Dame,3/10/1999,3,,Chicago Bears / 2nd / 43rd pick / 2020,KmetCo00
84,Marcedes Lewis,39,TE,1,0,267,6-6,UCLA,5/19/1984,17,,Jacksonville Jaguars / 1st / 28th pick / 2006,LewiMa00
11,Darnell Mooney,26,WR,1,1,173,5-11,Tulane,10/29/1997,3,,Chicago Bears / 5th / 173rd pick / 2020,MoonDa00
2,D.J. Moore,26,WR,1,1,210,6-0,Maryland,4/14/1997,5,,Carolina Panthers / 1st / 24th pick / 2018,MoorD.00
91,Yannick Ngakoue,28,DL,1,1,246,6-2,Maryland,3/31/1995,7,,Jacksonville Jaguars / 3rd / 69th pick / 2016,NgakYa00
62,Lucas Patrick,30,OL,1,1,313,6-3,Duke,7/30/1993,6,,,PatrLu00
14,Nathan Peterman,29,QB,0,0,225,6-2,TennesseePittsburgh,5/4/1994,6,,Buffalo Bills / 5th / 171st pick / 2017,PeteNa00
96,Zacch Pickens,23,DL,1,0,305,,South Carolina,3/6/2000,Rook,,Chicago Bears / 3rd / 64th pick / 2023,PickZa00
90,Dominique Robinson,25,DL,1,0,249,6-4,Miami (OH),7/2/1998,1,,Chicago Bears / 5th / 174th pick / 2022,RobiDo00
57,Jack Sanborn,23,LB,1,0,236,,Wisconsin,7/29/2000,1,,,SanbJa00
8,Cairo Santos,32,K,1,0,175,5-8,Tulane,11/12/1991,9,,,SantCa01
48,Patrick Scales,35,LS,1,0,226,6-3,Utah St.,2/11/1988,9,,,ScalPa00
13,Tyler Scott,22,WR,1,0,177,,Cincinnati,10/12/2001,Rook,,Chicago Bears / 4th / 133rd pick / 2023,ScotTy00
44,Noah Sewell,22,LB,1,0,253,,Oregon,4/26/2001,Rook,,Chicago Bears / 5th / 148th pick / 2023,SeweNo00
32,Terell Smith,24,DB,1,0,215,6-1,Minnesota,7/27/1999,Rook,,Chicago Bears / 5th / 165th pick / 2023,SmitTe05
19,Equanimeous St. Brown,27,WR,0,0,214,6-5,Notre Dame,9/30/1996,5,,Green Bay Packers / 6th / 207th pick / 2018,St.BEq00
29,Tyrique Stevenson,23,DB,1,1,214,,GeorgiaMiami (FL),5/26/2000,Rook,,Chicago Bears / 2nd / 56th pick / 2023,StevTy01
15,Trent Taylor,29,WR,1,0,180,5-8,Louisiana Tech,4/30/1994,6,,San Francisco 49ers / 5th / 177th pick / 2017,TaylTr02
18,Robert Tonyan,29,TE,1,0,237,6-5,Indiana St.,4/30/1994,5,,,TonyRo00
95,DeMarcus Walker,29,DL,1,1,280,6-4,Florida St.,9/30/1994,6,,Denver Broncos / 2nd / 51st pick / 2017,WalkDe03
