No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
27,Karim Abdul-Jabbar,25,RB,10,6,194,5-10,UCLA,6/28/1974,3,3,Miami Dolphins / 3rd / 80th pick / 1996,AbduKa00
55,Rahim Abdullah,23,LILB,16,13,233,6-5,Clemson,3/22/1976,Rook,4,Cleveland Browns / 2nd / 45th pick / 1999,AbduRa20
94,Derrick Alexander,26,DE,16,16,277,6-4,Florida St.,11/13/1973,4,5,Minnesota Vikings / 1st / 11th pick / 1995,AlexDe20
93,Jerry Ball,35,NT,3,3,330,6-1,SMU,12/15/1964,12,1,Detroit Lions / 3rd / 63rd pick / 1987,BallJe00
92,Roy Barker,30,DE,12,3,287,6-5,North Carolina,2/14/1969,7,1,Minnesota Vikings / 4th / 98th pick / 1992,BarkRo20
74,Orlando Bobo,25,G,9,1,320,6-3,East Mississippi CCLa-Monroe,2/9/1974,2,1,,BoboOr20
75,Lomas Brown,36,T,10,10,282,6-4,Florida,3/30/1963,14,4,Detroit Lions / 1st / 6th pick / 1985,BrowLo00
77,Orlando Brown,29,T,15,15,360,6-7,Central State (OH)South Carolina St.,11/12/1970,5,6,,BrowOr20
65,Jim Bundren,25,G,16,1,303,6-3,Clemson,10/6/1974,Rook,1,Miami Dolphins / 7th / 210th pick / 1998,BundJi20
83,Mark Campbell,24,TE,14,4,260,6-6,Michigan,12/6/1975,Rook,1,,CampMa00
69,Roger Chanoine,23,T,1,0,305,6-4,Temple,9/11/1976,Rook,0,,ChanRo21
84,Darrin Chiaverini,22,WR,16,8,210,6-2,Colorado,10/12/1977,Rook,4,Cleveland Browns / 5th / 148th pick / 1999,ChiaDa00
93,Stalin Colinet,25,DT,11,9,281,6-6,Boston Col.,7/17/1974,2,2,Minnesota Vikings / 3rd / 78th pick / 1997,ColiSt20
2,Tim Couch,22,QB,15,14,220,6-4,Kentucky,7/31/1977,Rook,8,Cleveland Browns / 1st / 1st pick / 1999,CoucTi00
87,Zola Davis,24,WR,6,1,185,6-0,South Carolina,1/16/1975,Rook,0,,DaviZo00
4,Phil Dawson,24,K,15,0,200,5-11,Texas,1/23/1975,Rook,2,,dawsophi01
88,James Dearth,23,TE,2,0,265,6-4,TulsaTarleton St.,1/22/1976,Rook,0,Cleveland Browns / 6th / 191st pick / 1999,DearJa00
11,Ty Detmer,32,QB,5,2,189,6-0,BYU,10/30/1967,6,2,Green Bay Packers / 9th / 230th pick / 1992,DetmTy00
62,Bill Duff,25,DT,5,0,284,6-3,Tennessee,2/24/1974,Rook,0,,DuffBi20
81,Damon Dunn,23,WR,1,0,182,5-9,Stanford,3/15/1976,Rook,0,,DunnDa01
