No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
13,Odell Beckham Jr.,28,WR,7,7,198,5-11,LSU,11/5/1992,6,4,New York Giants / 1st / 12th pick / 2014,$14000000,BeckOd00
48,Elijah Benton,24,DB,1,0,205,6-1,Liberty,9/5/1996,Rook,0,,,BentEl00
75,Joel Bitonio,29,G,16,16,320,6-4,Nevada,10/11/1991,6,12,Cleveland Browns / 2nd / 35th pick / 2014,$8500000,BitoJo00
84,Ja'Marcus Bradley,24,WR,3,1,195,6-1,Louisiana,12/11/1996,Rook,1,,,BradJa01
63,Evan Brown,24,C,5,0,320,6-3,SMU,9/16/1996,2,0,,$750000,BrowEv00
88,Harrison Bryant,22,TE,15,9,230,6-5,Florida Atlantic,4/23/1998,Rook,2,Cleveland Browns / 4th / 115th pick / 2020,$610000,BryaHa00
89,Stephen Carlson,24,TE,16,2,240,6-4,Princeton,12/12/1996,1,0,,$675000,CarlSt00
24,Nick Chubb,25,RB,12,12,227,5-11,Georgia,12/27/1995,2,9,Cleveland Browns / 2nd / 35th pick / 2018,$1151190,ChubNi00
94,Adrian Clayborn,32,DL,15,2,280,6-3,Iowa,7/6/1988,9,2,Tampa Bay Buccaneers / 1st / 20th pick / 2011,$1750000,ClayAd00
78,Jack Conklin,26,OT,15,15,308,6-6,Michigan St.,8/17/1994,4,16,Tennessee Titans / 1st / 8th pick / 2016,$5000000,ConkJa00
55,Tae Davis,24,LB,13,0,224,6-1,Chattanooga,8/14/1996,2,1,,$750000,DaviTa00
68,Michael Dunn,26,OT,6,0,315,6-5,Maryland,8/28/1994,Rook,0,,,DunnMi01
90,Jordan Elliott,23,DL,16,1,303,6-4,TexasMissouri,11/23/1997,Rook,1,Cleveland Browns / 3rd / 88th pick / 2020,$610000,ElliJo02
95,Myles Garrett,25,DE,14,14,272,6-4,Texas A&M,12/29/1995,3,15,Cleveland Browns / 1st / 1st pick / 2017,$862126,GarrMy00
7,Jamie Gillan,23,P,16,0,207,6-1,Ark-Pine Bluff,7/4/1997,1,1,,$675000,GillJa00
93,B.J. Goodson,27,OLB,14,14,242,6-0,Clemson,5/29/1993,4,6,New York Giants / 4th / 109th pick / 2016,$1000000,GoodB.00
38,A.J. Green,22,DB,2,0,198,6-2,Oklahoma St.,6/9/1998,Rook,0,,,GreeAJ00
97,Porter Gustin,23,LB,14,3,260,6-5,USC,2/8/1997,1,2,,$675000,GustPo01
18,Marvin Hall,27,WR,1,1,190,5-10,Washington,4/10/1993,3,0,,,HallMa02
53,Nick Harris,22,OL,12,1,293,6-1,Washington,11/13/1998,Rook,1,Cleveland Browns / 5th / 160th pick / 2020,$610000,HarrNi01
33,Ronnie Harrison,23,SS,11,7,214,6-3,Alabama,4/18/1997,2,3,Jacksonville Jaguars / 3rd / 93rd pick / 2018,$750000,HarrRo02
82,Rashard Higgins,26,WR,13,6,198,6-1,Colorado St.,10/7/1994,4,6,Cleveland Browns / 5th / 172nd pick / 2016,$910000,HiggRa00
25,Dontrell Hilliard,25,RB,5,0,202,5-11,Tulane,2/26/1995,2,0,,$617652,HillDo00
12,KhaDarel Hodge,25,WR,9,0,183,5-11,Prairie View A&M,1/3/1995,2,2,,$697059,HodgKh00
81,Austin Hooper,26,TE,13,13,255,6-4,Stanford,10/29/1994,4,4,Atlanta Falcons / 3rd / 81st pick / 2016,$1500000,HoopAu00
74,Chris Hubbard,29,G,11,5,295,6-4,Ala-Birmingham,4/23/1991,7,3,,$2150000,HubbCh00
47,Charley Hughlett,30,LS,16,0,248,6-4,Central Florida,5/16/1990,6,1,,$1000000,HughCh01
27,Kareem Hunt,25,RB,16,5,216,5-11,Toledo,8/6/1995,3,9,Kansas City Chiefs / 3rd / 86th pick / 2017,$4009000,HuntKa00
91,Joe Jackson,24,EDGE,3,0,278,6-4,Miami (FL),12/20/1996,1,0,Dallas Cowboys / 5th / 165th pick / 2019,$675000,JackJo02
34,Robert Jackson,27,CB,10,1,207,6-2,UNLV,12/8/1993,2,1,,$476471,JackRo00
31,Andy Janovich,27,FB,14,3,238,6-1,Nebraska,5/23/1993,4,0,Denver Broncos / 6th / 176th pick / 2016,$1150000,JanoAn00
30,D'Ernest Johnson,24,RB,16,0,208,5-10,South Florida,2/27/1996,1,1,,$675000,JohnDE04
28,Kevin Johnson,28,CB,13,6,185,6-0,Wake Forest,8/5/1992,5,2,Houston Texans / 1st / 16th pick / 2015,$1500000,JohnKe04
42,Karl Joseph,27,SS,14,8,200,5-10,West Virginia,9/8/1993,4,3,Oakland Raiders / 1st / 14th pick / 2016,$1500000,JoseKa00
5,Case Keenum,32,QB,2,0,215,6-1,Houston,2/17/1988,8,0,,$1500000,KeenCa00
70,Kendall Lamm,28,T,15,1,310,6-5,Appalachian St.,6/5/1992,5,2,,$2250000,LammKe00
80,Jarvis Landry,28,WR,15,14,196,5-11,LSU,11/28/1992,6,9,Miami Dolphins / 2nd / 63rd pick / 2014,$13000000,LandJa00
52,Elijah Lee,24,OLB,8,0,230,6-3,Kansas St.,2/8/1996,3,1,Minnesota Vikings / 7th / 232nd pick / 2017,$485290,LeexEl00
69,Cameron Malveaux,26,DE,2,0,265,6-5,Houston,9/22/1994,3,0,,,MalvCa00
6,Baker Mayfield,25,QB,16,16,215,6-1,Oklahoma,4/14/1995,2,14,Cleveland Browns / 1st / 1st pick / 2018,$750000,MayfBa00
41,Montrel Meander,26,CB,4,0,215,6-2,Grambling St.,9/20/1994,Rook,0,,$585000,MeanMo00
39,Terrance Mitchell,28,CB,16,16,191,5-11,Oregon,5/17/1992,6,5,Dallas Cowboys / 7th / 254th pick / 2014,$2500000,MitcTe00
35,Jovante Moffatt,24,DB,9,0,210,6-0,Middle Tenn. St.,12/25/1996,Rook,0,,$502353,MoffJo01
19,Jojo Natson,26,WR,3,0,153,5-7,Utah St.Akron,2/1/1994,3,0,,$825000,NatsJo00
85,David Njoku,24,TE,13,5,246,6-4,Miami (FL),7/10/1996,3,2,Cleveland Browns / 1st / 29th pick / 2017,$1763877,NjokDa00
65,Larry Ogunjobi,26,DT,15,15,305,6-4,Charlotte,6/3/1994,3,6,Cleveland Browns / 3rd / 65th pick / 2017,$2133000,OgunLa00
2,Cody Parkey,28,K,15,0,190,6-0,Auburn,2/19/1992,6,3,,$856471,ParkCo03
63,Javon Patterson,23,OL,1,0,307,6-3,Mississippi,7/8/1997,Rook,0,Indianapolis Colts / 7th / 246th pick / 2019,,PattJa00
11,Donovan Peoples-Jones,21,WR,12,2,204,6-2,Michigan,2/19/1999,Rook,3,Cleveland Browns / 6th / 187th pick / 2020,$610000,PeopDo00
50,Jacob Phillips,21,LB,9,3,233,6-4,LSU,4/1/1999,Rook,2,Cleveland Browns / 3rd / 97th pick / 2020,$610000,PhilJa01
29,Sheldrick Redwine,24,S,15,3,196,6-0,Miami (FL),11/6/1996,1,2,Cleveland Browns / 4th / 119th pick / 2019,$675000,RedwSh00
