No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
49,Matthew Adams,25,LB,9,0,229,6-0,Houston,12/12/1995,2,1,Indianapolis Colts / 7th / 221st pick / 2018,$644118,AdamMa00
81,Mo Alie-Cox,27,TE,15,6,267,6-5,Virginia Commonwealth,9/19/1993,2,4,,$750000,AlieMo00
6,Ryan Allen,30,P,2,0,220,6-2,Louisiana Tech,2/28/1990,7,0,,,AlleRy01
96,Denico Autry,30,DE,14,13,285,6-5,East Mississippi CCMississippi St.,7/15/1990,6,6,,$5300000,AutrDe00
52,Ben Banogu,24,EDGE,9,0,252,6-3,TCU,1/19/1996,1,1,Indianapolis Colts / 2nd / 49th pick / 2019,$765205,BanoBe00
32,Julian Blackmon,22,S,15,14,187,6-0,Utah,8/24/1998,Rook,5,Indianapolis Colts / 3rd / 85th pick / 2020,$610000,BlacJu01
3,Rodrigo Blankenship,23,K,16,0,184,6-1,Georgia,1/29/1997,Rook,3,,$610000,BlanRo03
7,Jacoby Brissett,28,QB,11,0,235,6-4,FloridaNorth Carolina St.,12/11/1992,4,0,New England Patriots / 3rd / 91st pick / 2016,$6000000,BrisJa00
99,DeForest Buckner,26,DT,15,14,295,6-7,Oregon,3/17/1994,4,15,San Francisco 49ers / 1st / 7th pick / 2016,$12378000,BuckDe00
80,Trey Burton,29,TE,13,4,238,6-2,Florida,10/29/1991,6,2,,$910000,BurtTr01
33,Ibraheim Campbell,28,SS,5,0,210,5-11,Northwestern,5/13/1992,5,0,Cleveland Browns / 4th / 115th pick / 2015,$802935,CampIb00
15,Parris Campbell,23,WR,2,2,208,6-0,Ohio St.,7/16/1997,1,1,Indianapolis Colts / 2nd / 59th pick / 2019,$712088,CampPa00
38,T.J. Carrie,30,CB,15,2,204,6-0,Ohio,7/28/1990,6,2,Oakland Raiders / 7th / 219th pick / 2014,$910000,CarrTr00
74,Anthony Castonzo,32,LT,12,12,307,6-7,Boston Col.,8/9/1988,9,7,Indianapolis Colts / 1st / 22nd pick / 2011,$7000000,CastAn00
62,Le'Raven Clark,27,OT,12,3,319,6-5,Texas Tech,4/22/1993,4,2,Indianapolis Colts / 3rd / 82nd pick / 2016,$1200000,ClarLe01
92,Kameron Cline,22,DT,1,0,270,6-4,South Dakota,2/19/1998,Rook,0,,,ClinKa00
91,Sheldon Day,26,DT,4,0,294,6-1,Notre Dame,7/1/1994,4,0,Jacksonville Jaguars / 4th / 103rd pick / 2016,$1000000,DayxSh00
84,Jack Doyle,30,TE,14,12,262,6-6,Western Kentucky,5/5/1990,7,2,,$1250000,DoylJa00
16,Ashton Dulin,23,WR,13,0,215,6-1,Malone,5/15/1997,1,1,,$542648,DuliAs00
60,Jake Eldrenkamp,26,OG,2,0,300,6-5,Washington,3/4/1994,2,0,,$585000,EldrJa00
10,Daurice Fountain,25,WR,5,0,210,6-2,Northern Iowa,12/22/1995,2,0,Indianapolis Colts / 5th / 159th pick / 2018,$635296,FounDa00
44,Zaire Franklin,24,LB,16,2,235,6-0,Syracuse,7/2/1996,2,2,Indianapolis Colts / 7th / 235th pick / 2018,$750000,FranZa00
59,Jordan Glasgow,24,LB,13,0,226,6-1,Michigan,6/28/1996,Rook,1,Indianapolis Colts / 6th / 213th pick / 2020,$610000,GlasJo00
64,Mark Glowinski,28,OG,16,16,310,6-4,LackawannaWest Virginia,5/3/1992,5,8,Seattle Seahawks / 4th / 134th pick / 2015,$5000000,GlowMa00
75,Chaz Green,28,OT,15,1,318,6-5,Florida,4/8/1992,4,2,Dallas Cowboys / 3rd / 91st pick / 2015,$910000,GreeCh02
41,Farrod Green,23,TE,1,0,240,6-4,Mississippi St.,6/10/1997,Rook,0,,,GreeFa00
12,De'Michael Harris,22,WR,7,0,178,5-8,Southern Miss,7/12/1998,-1,1,,,HarrDe09
13,T.Y. Hilton,31,WR,15,15,183,5-10,Florida International,11/14/1989,8,7,Indianapolis Colts / 3rd / 92nd pick / 2012,$14542000,HiltT.00
21,Nyheim Hines,24,RB,16,2,196,5-9,North Carolina St.,11/12/1996,2,7,Indianapolis Colts / 4th / 104th pick / 2018,$750000,HineNy00
69,Will Holden,27,OT,1,1,312,6-7,Vanderbilt,9/14/1993,3,1,Arizona Cardinals / 5th / 157th pick / 2017,,HoldWi00
29,Malik Hooker,24,FS,2,2,212,6-2,Ohio St.,4/2/1996,3,1,Indianapolis Colts / 1st / 15th pick / 2017,$2183169,HookMa00
50,Justin Houston,31,LOLB,16,16,270,6-3,Georgia,1/21/1989,9,8,Kansas City Chiefs / 3rd / 70th pick / 2011,$8000000,HousJu00
68,Joey Hunt,26,C,1,0,299,6-2,TCU,2/22/1994,4,0,Seattle Seahawks / 6th / 215th pick / 2016,,HuntJo00
83,Marcus Johnson,26,WR,11,3,207,6-1,Texas,8/5/1994,3,2,,$582353,JohnMa07
78,Ryan Kelly,27,C,15,15,307,6-4,Alabama,5/30/1993,4,11,Indianapolis Colts / 1st / 18th pick / 2016,$5350000,KellRy00
53,Darius Leonard,25,LB,14,14,230,6-2,South Carolina St.,7/27/1995,2,14,Indianapolis Colts / 2nd / 36th pick / 2018,$1138891,LeonDa00
94,Tyquan Lewis,25,DE,16,4,277,6-3,Ohio St.,1/30/1995,2,3,Indianapolis Colts / 2nd / 64th pick / 2018,$876914,LewiTy00
25,Marlon Mack,24,RB,1,1,210,6-0,South Florida,3/7/1996,3,0,Indianapolis Colts / 4th / 143rd pick / 2017,$2133000,MackMa00
55,Cassius Marsh,28,DE,3,0,254,6-4,UCLA,7/7/1992,6,0,Seattle Seahawks / 4th / 108th pick / 2014,,MarsCa00
23,Kenny Moore,25,CB,16,14,190,5-9,Valdosta St.,8/23/1995,3,5,,$5750000,MoorKe03
97,Al-Quadin Muhammad,25,DE,16,0,250,6-4,Miami (FL),3/28/1995,3,1,New Orleans Saints / 6th / 196th pick / 2017,$2133000,MuhaAl00
56,Quenton Nelson,24,OG,16,16,330,6-5,Notre Dame,3/19/1996,2,14,Indianapolis Colts / 1st / 6th pick / 2018,$750000,NelsQu00
30,George Odum,27,S,16,0,202,6-1,Central Arkansas,11/3/1993,2,6,,$750000,OdumGe00
58,Bobby Okereke,24,LB,14,8,235,6-1,Stanford,7/29/1996,1,4,Indianapolis Colts / 3rd / 89th pick / 2019,$675000,OkerBo00
14,Zach Pascal,26,WR,16,14,214,6-2,Old Dominion,12/18/1994,2,6,,$750000,PascZa00
85,Dezmon Patmon,22,WR,1,0,220,6-4,Washington St.,8/6/1998,Rook,0,Indianapolis Colts / 6th / 212th pick / 2020,$610000,PatmDe00
63,Danny Pinter,24,OL,13,1,306,6-4,Ball St.,6/19/1996,Rook,1,Indianapolis Colts / 5th / 149th pick / 2020,$610000,PintDa00
11,Michael Pittman Jr.,23,WR,13,8,223,6-4,USC,10/5/1997,Rook,5,Indianapolis Colts / 2nd / 34th pick / 2020,,PittMi01
46,Luke Rhodes,28,LB,16,0,238,6-2,William & Mary,12/2/1992,4,6,,$910000,RhodLu00
27,Xavier Rhodes,30,CB,16,16,218,6-1,Florida St.,6/19/1990,7,5,Minnesota Vikings / 1st / 25th pick / 2013,$1500000,RhodXa00
17,Philip Rivers,39,QB,16,16,228,6-5,North Carolina St.,12/8/1981,16,13,New York Giants / 1st / 4th pick / 2004,$13000000,RivePh00
34,Isaiah Rodgers,22,CB,13,0,170,5-10,Massachusetts,1/7/1998,Rook,2,Indianapolis Colts / 6th / 211th pick / 2020,$610000,RodgIs00
8,Rigoberto Sanchez,26,P,14,0,195,6-0,Hawaii,9/8/1994,3,2,,$2000000,SancRi00
72,Braden Smith,24,OG,14,14,315,6-6,Auburn,3/25/1996,2,8,Indianapolis Colts / 2nd / 37th pick / 2018,$1133972,SmitBr06
35,Tremon Smith,24,DB,10,0,190,5-11,Central Arkansas,7/20/1996,2,0,Kansas City Chiefs / 6th / 196th pick / 2018,$661770,SmitTr04
45,E.J. Speed,25,LB,15,0,224,6-3,Tarleton St.,6/1/1995,1,1,Indianapolis Colts / 5th / 164th pick / 2019,$675000,SpeeEJ00
76,Taylor Stallworth,25,DT,16,1,305,6-2,South Carolina,8/18/1995,2,2,,$750000,StalTa00
90,Grover Stewart,27,DT,16,16,315,6-4,Albany State (GA),10/20/1993,3,7,Indianapolis Colts / 4th / 144th pick / 2017,$2133000,StewGr00
28,Jonathan Taylor,21,RB,15,13,226,5-10,Wisconsin,1/19/1999,Rook,11,Indianapolis Colts / 2nd / 41st pick / 2020,$610000,TaylJo02
86,Noah Togiai,23,TE,4,0,246,6-4,Oregon St.,7/6/1997,Rook,0,,$610000,TogiNo00
57,Kemoko Turay,25,OLB,7,0,248,6-5,Rutgers,7/11/1995,2,1,Indianapolis Colts / 2nd / 52nd pick / 2018,$954400,TuraKe00
65,Jared Veldheer,33,T,1,1,321,6-8,Hillsdale,6/14/1987,10,1,Oakland Raiders / 3rd / 69th pick / 2010,,VeldJa20
54,Anthony Walker,25,MLB,16,16,235,6-1,Northwestern,8/8/1995,3,7,Indianapolis Colts / 5th / 161st pick / 2017,$2133000,WalkAn01
73,J'Marcus Webb,32,T,1,0,320,6-7,TexasNavarroWest Texas A&M,8/8/1988,10,0,Chicago Bears / 7th / 218th pick / 2010,,WebbJM20
20,Jordan Wilkins,26,RB,15,0,216,6-1,Mississippi,7/18/1994,2,3,Indianapolis Colts / 5th / 169th pick / 2018,$750000,WilkJo01
37,Khari Willis,24,S,14,14,213,5-11,Michigan St.,5/7/1996,1,5,Indianapolis Colts / 4th / 109th pick / 2019,$675000,WillKh00
31,Tavon Wilson,30,FS,15,2,208,6-0,Illinois,3/19/1990,8,1,New England Patriots / 2nd / 48th pick / 2012,$1050000,WilsTa00
93,Robert Windsor,23,DL,2,0,290,6-5,Penn St.,1/15/1997,Rook,0,Indianapolis Colts / 6th / 193rd pick / 2020,,WindRo01
34,Rock Ya-Sin,24,CB,13,8,190,6-0,Temple,5/23/1996,1,3,Indianapolis Colts / 2nd / 34th pick / 2019,$854839,Ya-SRo00
,Team Total,26.1,,16,,245.4,6-2.3,,,3.2,,,,-9999
