No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
81,Mo Alie-Cox,29,TE,,,267,6-5,Virginia Commonwealth,9/19/1993,4,,,AlieMo00
52,Ben Banogu,26,EDGE,,,252,6-3,TCU,1/19/1996,3,,Indianapolis Colts / 2nd / 49th pick / 2019,BanoBe00
32,Julian Blackmon,24,S,,,187,6-0,Utah,8/24/1998,2,,Indianapolis Colts / 3rd / 85th pick / 2020,BlacJu01
3,Rodrigo Blankenship,25,K,,,184,6-1,Georgia,1/29/1997,2,,,BlanRo03
99,DeForest Buckner,28,DT,,,295,6-7,Oregon,3/17/1994,6,,San Francisco 49ers / 1st / 7th pick / 2016,BuckDe00
1,Parris Campbell,25,WR,,,208,6-0,Ohio St.,7/16/1997,3,,Indianapolis Colts / 2nd / 59th pick / 2019,CampPa00
68,Byron Cowart,26,DL,,,300,6-3,Maryland,5/20/1996,3,,New England Patriots / 5th / 159th pick / 2019,CowaBy00
20,Nick Cross,21,DB,,,210,6-1,Maryland,9/10/2001,Rook,,Indianapolis Colts / 3rd / 96th pick / 2022,CrosNi00
57,JoJo Domann,,OLB,,,230,,Nebraska,,Rook,,,DomaJo00
16,Ashton Dulin,25,WR,,,215,6-1,Malone,5/15/1997,3,,,DuliAs00
4,Sam Ehlinger,24,QB,,,225,6-3,Texas,9/30/1998,1,,Indianapolis Colts / 6th / 218th pick / 2021,EhliSa00
31,Brandon Facyson,28,CB,,,197,6-2,Virginia Tech,9/8/1994,4,,,FacyBr00
30,Dallis Flowers,25,CB,,,196,6-1,Pittsburg State,6/4/1997,Rook,,,FlowDa00
9,Nick Foles,33,QB,,,262,6-6,Arizona,1/20/1989,10,,Philadelphia Eagles / 3rd / 88th pick / 2012,FoleNi00
44,Zaire Franklin,26,LB,,,235,6-0,Syracuse,7/2/1996,4,,Indianapolis Colts / 7th / 235th pick / 2018,FranZa00
62,Wesley French,26,C,,,307,6-4,Western Michigan,11/30/1996,Rook,,,FrenWe00
75,Will Fries,24,OL,,,309,6-6,Penn St.,4/4/1998,1,,Indianapolis Colts / 7th / 248th pick / 2021,FrieWi00
5,Stephon Gilmore,32,CB,,,202,6-1,South Carolina,9/19/1990,10,,Buffalo Bills / 1st / 10th pick / 2012,GilmSt00
83,Kylen Granson,24,TE,,,242,6-2,RiceSMU,3/27/1998,1,,Indianapolis Colts / 4th / 127th pick / 2021,GranKy00
6,Matt Haack,28,P,,,205,6-0,Arizona St.,7/25/1994,5,,,HaacMa00
21,Nyheim Hines,26,RB,,,196,5-9,North Carolina St.,11/12/1996,4,,Indianapolis Colts / 4th / 104th pick / 2018,HineNy00
35,Deon Jackson,23,RB,,,220,6-0,Duke,2/18/1999,1,,,JackDe02
93,Eric Johnson,24,DT,,,298,6-5,Missouri State,7/16/1998,Rook,,Indianapolis Colts / 5th / 159th pick / 2022,JohnEr01
73,Dennis Kelly,32,OT,,,321,6-8,Purdue,1/16/1990,10,,Philadelphia Eagles / 5th / 153rd pick / 2012,KellDe00
78,Ryan Kelly,29,C,,,307,6-4,Alabama,5/30/1993,6,,Indianapolis Colts / 1st / 18th pick / 2016,KellRy00
53,Shaquille Leonard,27,LB,,,230,6-2,South Carolina St.,7/27/1995,4,,Indianapolis Colts / 2nd / 36th pick / 2018,LeonDa00
