No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univâ²,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
78,Ryan Kelly,30,C,1,1,307,6-4,Alabama,5/30/1993,7,,Indianapolis Colts / 1st / 18th pick / 2016,KellRy00
38,Tony Brown,28,CB,1,0,199,6-0,Alabama,7/13/1995,5,,,BrowTo01
90,Grover Stewart,30,DT,1,1,315,6-4,Albany State (GA),10/20/1993,6,,Indianapolis Colts / 4th / 144th pick / 2017,StewGr00
72,Braden Smith,27,T,1,1,315,6-6,Auburn,3/25/1996,5,,Indianapolis Colts / 2nd / 37th pick / 2018,SmitBr06
63,Danny Pinter (IR),27,G,0,0,306,6-4,Ball St.,6/19/1996,3,,Indianapolis Colts / 5th / 149th pick / 2020,PintDa00
73,Blake Freeland,22,T,1,0,305,,BYU,5/3/2001,Rook,,Indianapolis Colts / 4th / 106th pick / 2023,FreeBl00
31,Daniel Scott (IR),25,S,0,0,215,,California,10/26/1998,Rook,,Indianapolis Colts / 5th / 158th pick / 2023,ScotDa03
79,Bernhard Raimann,26,T,1,1,290,6-7,Central Michigan,9/23/1997,1,,Indianapolis Colts / 3rd / 77th pick / 2022,RaimBe00
14,Alec Pierce,23,WR,1,1,213,6-3,Cincinnati,5/2/2000,1,,Indianapolis Colts / 2nd / 53rd pick / 2022,PierAl00
50,Segun Olubi,24,LB,1,0,220,6-2,Col. of IdahoSaddleback CollegeHardingSan Diego St.,11/1/1999,1,,,OlubSe00
35,Deon Jackson,24,RB,1,1,220,6-0,Duke,2/18/1999,2,,,JackDe02
52,Samson Ebukam,28,DE,1,1,245,6-3,East. Washington,5/9/1995,6,,Los Angeles Rams / 4th / 125th pick / 2017,EbukSa00
85,Andrew Ogletree,25,TE,1,1,250,6-7,FindlayYoungstown St.,7/28/1998,Rook,,Indianapolis Colts / 6th / 192nd pick / 2022,OgleAn00
5,Anthony Richardson,21,QB,1,1,232,,Florida,5/22/2002,Rook,,Indianapolis Colts / 1st / 4th pick / 2023,RichAn03
96,Taven Bryan,27,DT,1,0,291,6-5,Florida,3/11/1996,5,,Jacksonville Jaguars / 1st / 29th pick / 2018,BryaTa00
55,Isaiah Land,23,LB,0,0,215,,Florida A&M,2/5/2000,Rook,,,LandIs00
6,Isaiah McKenzie,28,WR,1,0,173,5-8,Georgia,4/9/1995,6,,Denver Broncos / 5th / 172nd pick / 2017,McKeIs00
39,Darrell Baker,25,CB,1,1,190,6-1,Georgia Southern,3/27/1998,1,,,BakeDa02
33,Dallis Flowers,26,CB,1,1,196,6-1,Grand ViewPittsburg St.,6/4/1997,1,,,FlowDa00
8,Rigoberto Sanchez,29,P,1,0,195,6-0,Hawaii,9/8/1994,6,,,SancRi00
41,Grant Stuard,25,LB,1,0,230,5-11,Houston,10/15/1998,2,,Tampa Bay Buccaneers / 7th / 259th pick / 2021,StuaGr00
