No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
46,Brent Alexander,26,DB,16,15,189,5-11,Tennessee St.,7/10/1971,3,5,,AlexBr20
63,Michael Bankston,27,DE,16,16,285,6-5,Sam Houston St.,3/12/1970,5,7,Phoenix Cardinals / 4th / 100th pick / 1992,BankMi21
28,Tommy Bennett,24,DB,13,7,219,6-2,UCLA,2/19/1973,1,3,,BennTo20
33,Kevin Bouie,26,RB,5,0,230,6-1,Mississippi St.,8/18/1971,1,0,Philadelphia Eagles / 7th / 210th pick / 1995,BouiKe20
89,Fred Brock,23,WR,2,0,181,5-11,Southern Miss,11/15/1974,Rook,0,,BrocFr00
75,Lomas Brown,34,T,14,14,282,6-4,Florida,3/30/1963,12,5,Detroit Lions / 1st / 6th pick / 1985,BrowLo00
3,Kevin Butler,35,K,6,0,215,6-0,Georgia,7/24/1962,12,0,Chicago Bears / 4th / 105th pick / 1985,butlekev01
52,Mike Caldwell,26,LLB,16,0,235,6-2,Middle Tenn. St.,8/31/1971,4,2,Cleveland Browns / 3rd / 83rd pick / 1993,CaldMi20
90,Mark Campbell,25,DT,5,0,290,6-1,Florida,9/12/1972,Rook,0,Denver Broncos / 3rd / 78th pick / 1996,CampMa20
80,Pat Carter,31,TE,16,10,256,6-4,Florida St.,8/1/1966,9,0,Detroit Lions / 2nd / 32nd pick / 1988,CartPa00
15,Stoney Case,25,QB,3,1,204,6-3,New Mexico,7/7/1972,2,1,Arizona Cardinals / 3rd / 80th pick / 1995,CaseSt00
37,Larry Centers,29,FB,15,14,225,6-0,S.F. Austin,6/1/1968,7,5,Phoenix Cardinals / 5th / 115th pick / 1990,CentLa00
51,Lyron Cobbins,23,LB,6,0,240,5-11,Notre Dame,9/17/1974,Rook,0,,CobbLy20
43,Matt Darby,29,DB,11,7,200,6-2,UCLA,11/19/1968,5,3,Buffalo Bills / 5th / 139th pick / 1992,DarbMa20
62,Mike Devlin,28,C,15,13,305,6-2,Iowa,11/16/1969,4,5,Buffalo Bills / 5th / 136th pick / 1993,DevlMi20
64,James Dexter,24,T,10,9,319,6-7,South Carolina,3/3/1973,1,3,Arizona Cardinals / 5th / 137th pick / 1996,DextJa20
67,Chris Dishman,23,G,8,0,339,6-3,Nebraska,2/27/1974,Rook,0,Arizona Cardinals / 4th / 106th pick / 1997,DishCh20
83,Anthony Edwards,31,WR,16,1,195,5-10,New Mex. Highlands,5/26/1966,8,1,,EdwaAn00
10,Jeff Feagles,31,P,16,0,215,6-1,Miami (FL),3/7/1966,9,3,,FeagJe20
84,Chris Gedney,27,TE,16,3,258,6-5,Syracuse,8/9/1970,4,2,Chicago Bears / 3rd / 61st pick / 1993,GednCh00
54,Aaron Graham,24,C,16,4,301,6-4,Nebraska,5/22/1973,1,2,Arizona Cardinals / 4th / 112th pick / 1996,GrahAa20
11,Kent Graham,29,QB,8,6,231,6-5,Notre DameOhio St.,11/1/1968,5,3,New York Giants / 8th / 211th pick / 1992,GrahKe00
71,Thomas Guynes,23,T,4,0,300,6-5,Michigan,9/9/1974,Rook,0,,GuynTh20
38,Kenny Harris,22,DB,11,0,198,6-1,North Carolina St.,4/27/1975,Rook,1,,HarrKe21
58,Eric Hill,31,LB,11,10,258,6-2,LSU,11/14/1966,8,4,Phoenix Cardinals / 1st / 10th pick / 1989,HillEr20
29,Ty Howard,24,DB,15,2,185,5-9,Ohio St.,11/30/1973,Rook,2,Arizona Cardinals / 3rd / 84th pick / 1997,HowaTy20
56,Terry Irving,26,RLB,16,6,230,6-2,McNeese St.,7/3/1971,3,3,Arizona Cardinals / 4th / 115th pick / 1994,IrviTe21
32,LeShon Johnson,26,RB,14,0,205,6-0,Northern Illinois,1/15/1971,3,1,Green Bay Packers / 3rd / 84th pick / 1994,JohnLe01
73,Matt Joyce,25,G,9,6,300,6-7,Richmond,3/30/1972,2,2,,JoycMa20
86,Trey Junkin,36,TE,16,0,240,6-2,Louisiana Tech,1/23/1961,14,0,Buffalo Bills / 4th / 93rd pick / 1983,JunkTr20
22,Tom Knight,23,DB,15,14,202,6-0,Iowa,12/29/1974,Rook,5,Arizona Cardinals / 1st / 9th pick / 1997,KnigTo20
42,Kwamie Lassiter,28,DB,16,1,207,6-0,Butler (KS)Kansas,12/3/1969,2,2,,LassKw20
44,J.J. McCleskey,27,DB,13,0,180,5-8,Tennessee,4/10/1970,3,1,,McClJ.20
50,Tony McCombs,23,RLB,12,0,246,6-2,East. Kentucky,8/24/1974,Rook,1,Arizona Cardinals / 6th / 188th pick / 1997,McCoTo20
30,Leeland McElroy,23,RB,14,8,212,5-9,Texas A&M,6/25/1974,1,3,Arizona Cardinals / 2nd / 32nd pick / 1996,McElLe00
57,Ronald McKinnon,24,LB,16,16,246,6-0,North Alabama,9/20/1973,1,7,,McKiRo21
87,Johnny McWilliams,25,TE,16,7,271,6-4,USC,12/14/1972,1,1,Arizona Cardinals / 3rd / 64th pick / 1996,McWiJo00
