No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
97,Zach Allen,22,DL,4,1,281,6-4,Boston Col.,8/20/1997,Rook,1,Arizona Cardinals / 3rd / 65th pick / 2019,$495000,AlleZa01
82,Dan Arnold,24,WR,3,1,240,6-6,Wisconsin–Platteville,3/15/1995,1,1,,,ArnoDa00
32,Budda Baker,23,FS,16,16,195,5-10,Washington,1/10/1996,2,6,Arizona Cardinals / 2nd / 36th pick / 2017,$1085910,BakeBu00
38,Chris Banjo,29,S,13,0,207,5-10,SMU,2/26/1990,6,1,,,BanjCh00
44,Keishawn Bierria,24,ILB,1,0,223,6-1,Washington,7/26/1995,1,0,Denver Broncos / 6th / 217th pick / 2018,,BierKe00
46,Aaron Brewer,29,LS,16,0,232,6-5,San Diego St.,7/5/1990,7,1,,$930000,BrewAa00
20,Tramaine Brock,31,DB,10,7,188,6-0,MinnesotaBelhaven,8/20/1988,9,2,,$1000000,BrocTr00
72,Miles Brown,22,DT,9,0,320,6-2,,9/4/1997,Rook,1,,$495000,BrowMi01
90,Jonathan Bullard,26,DE,9,6,290,6-3,Florida,10/22/1993,3,2,Chicago Bears / 3rd / 72nd pick / 2016,,BullJo00
14,Damiere Byrd,26,WR,11,3,175,5-9,South Carolina,1/27/1993,3,3,,$720000,ByrdDa00
85,Charles Clay,30,TE,15,10,246,6-3,Tulsa,2/13/1989,8,2,Miami Dolphins / 6th / 174th pick / 2011,$1150000,ClayCh00
52,Mason Cole,23,C,16,2,298,6-5,Michigan,3/28/1996,1,2,Arizona Cardinals / 3rd / 97th pick / 2018,$570000,ColeMa02
12,Pharoh Cooper,24,WR,12,1,208,5-11,South Carolina,3/7/1995,3,2,Los Angeles Rams / 4th / 117th pick / 2016,$720000,CoopPh00
15,Michael Crabtree,32,WR,2,1,215,6-1,Texas Tech,9/14/1987,10,0,San Francisco 49ers / 1st / 10th pick / 2009,,CrabMi00
81,Darrell Daniels,25,TE,11,0,256,6-3,Washington,11/22/1994,2,0,,$645000,DaniDa02
30,Jalen Davis,23,CB,2,0,185,5-10,Utah St.,2/2/1996,1,0,,,DaviJa06
91,Michael Dogbe,23,DL,8,0,295,6-3,Temple,5/5/1996,Rook,0,Arizona Cardinals / 7th / 249th pick / 2019,$495000,DogbMi00
41,Kenyan Drake,25,RB,8,8,211,6-1,Alabama,1/26/1994,3,6,Miami Dolphins / 3rd / 73rd pick / 2016,,DrakKe00
29,Chase Edmonds,23,RB,13,2,210,5-9,Fordham,4/13/1996,1,3,Arizona Cardinals / 4th / 134th pick / 2018,$570000,EdmoCh00
49,Kylie Fitts,25,DE,3,0,260,6-4,UCLAUtah,10/11/1994,1,0,Chicago Bears / 6th / 181st pick / 2018,,FittKy00
11,Larry Fitzgerald,36,WR,16,16,218,6-3,Pittsburgh,8/31/1983,15,7,Arizona Cardinals / 1st / 3rd pick / 2004,$11000000,FitzLa00
37,D.J. Foster,26,RB,6,0,205,6-0,Arizona St.,11/22/1993,3,0,,$645000,FostD.01
73,Max Garcia,28,C,7,0,309,6-4,Florida,11/9/1991,4,1,Denver Broncos / 4th / 133rd pick / 2015,$1100000,GarcMa00
42,Dennis Gardeck,25,LB,14,0,232,6-0,Sioux Falls,8/9/1994,1,1,,$570000,GardDe01
5,Zane Gonzalez,24,K,16,0,202,6-0,Arizona St.,5/7/1995,2,4,Cleveland Browns / 7th / 224th pick / 2017,$645000,GonzZa00
