--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
94,Zach Allen,25,DL,,,281,6-4,Boston Col.,8/20/1997,3,,Arizona Cardinals / 3rd / 65th pick / 2019,AlleZa01
89,Stephen Anderson,29,TE,,,230,6-3,California,1/30/1993,6,,,AndeSt01
3,Budda Baker,26,FS,,,195,5-10,Washington,1/10/1996,5,,Arizona Cardinals / 2nd / 36th pick / 2017,BakeBu00
68,Kelvin Beachum,33,T,,,308,6-3,SMU,6/8/1989,10,,Pittsburgh Steelers / 7th / 248th pick / 2012,BeacKe00
26,Eno Benjamin,23,RB,,,207,5-9,Arizona St.,4/13/1999,1,,Arizona Cardinals / 7th / 222nd pick / 2020,BenjEn00
46,Aaron Brewer,32,LS,,,232,6-5,San Diego St.,7/5/1990,10,,,BrewAa00
2,Marquise Brown,25,WR,,,180,5-9,College of the Canyons (CA)Oklahoma,6/4/1997,3,,Baltimore Ravens / 1st / 25th pick / 2019,BrowMa04
25,Zaven Collins,23,LB,,,260,6-4,Tulsa,5/19/1999,1,,Arizona Cardinals / 1st / 16th pick / 2021,CollZa00
6,James Conner,27,RB,,,233,6-1,Pittsburgh,5/5/1995,5,,Pittsburgh Steelers / 3rd / 105th pick / 2017,ConnJa00
52,Victor Dimukeje,23,OLB,,,265,6-2,Duke,11/18/1999,1,,Arizona Cardinals / 6th / 210th pick / 2021,DimuVi00
91,Michael Dogbe,26,DL,,,295,6-3,Temple,5/5/1996,3,,Arizona Cardinals / 7th / 249th pick / 2019,DogbMi00
83,Greg Dortch,24,WR,,,173,5-7,Wake Forest,5/29/1998,3,,,DortGr01
86,Zach Ertz,32,TE,,,250,6-5,Stanford,11/10/1990,9,,Philadelphia Eagles / 2nd / 35th pick / 2013,ErtzZa00
72,Cody Ford,26,OL,,,329,6-3,Oklahoma,12/28/1996,3,,Buffalo Bills / 2nd / 38th pick / 2019,FordCo00
95,Leki Fotu,24,DL,,,330,6-5,Utah,8/23/1998,2,,Arizona Cardinals / 4th / 114th pick / 2020,FotuLe00
45,Dennis Gardeck,28,LB,,,232,6-0,Sioux Falls,8/9/1994,4,,,GardDe01
44,Markus Golden,31,OLB,,,260,6-3,Missouri,3/13/1991,7,,Arizona Cardinals / 2nd / 58th pick / 2015,GoldMa00
18,A.J. Green,34,WR,,,207,6-4,Georgia,7/31/1988,11,,Cincinnati Bengals / 1st / 4th pick / 2011,GreeA.00
27,Javelin Guidry,24,DB,,,191,5-9,Utah,8/6/1998,2,,,GuidJa01
64,Sean Harlow,27,OG,,,284,6-4,Oregon St.,3/28/1995,4,,Atlanta Falcons / 4th / 136th pick / 2017,HarlSe00
76,Will Hernandez,27,OG,,,327,6-2,Texas-El Paso,9/2/1995,4,,New York Giants / 2nd / 34th pick / 2018,HernWi00
61,Rodney Hudson,33,C,,,315,6-2,Florida St.,7/12/1989,11,,Kansas City Chiefs / 2nd / 55th pick / 2011,HudsRo00
74,D.J. Humphries,29,OT,,,307,6-5,Florida,12/28/1993,6,,Arizona Cardinals / 1st / 24th pick / 2015,HumpD.00
30,Keaontay Ingram,23,RB,,,215,6-0,TexasUSC,10/26/1999,Rook,,Arizona Cardinals / 6th / 201st pick / 2022,IngrKe01
