No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
76,Flozell Adams,33,T,16,16,338,6-7,Michigan St.,5/18/1975,10,10,Dallas Cowboys / 2nd / 38th pick / 1998,AdamFl00
34,Deon Anderson,25,FB,14,5,248,5-10,Connecticut,1/27/1983,1,0,Dallas Cowboys / 6th / 195th pick / 2007,AndeDe01
19,Miles Austin,24,WR,12,0,215,6-2,Monmouth,6/30/1984,2,2,,AustMi00
20,Alan Ball,23,DB,10,0,176,6-1,Illinois,3/29/1985,1,1,Dallas Cowboys / 7th / 237th pick / 2007,BallAl99
24,Marion Barber III,25,RB,15,13,218,5-11,Minnesota,6/10/1983,3,8,Dallas Cowboys / 4th / 109th pick / 2005,BarbMa01
35,Tra Battle,23,DB,5,0,177,5-10,Georgia,1/5/1985,Rook,0,,BattTr00
80,Martellus Bennett,21,TE,16,7,275,6-6,Texas A&M,3/10/1987,Rook,2,Dallas Cowboys / 2nd / 61st pick / 2008,BennMa00
67,Joe Berger,26,T,3,0,305,6-5,Michigan Tech,5/25/1982,3,0,Carolina Panthers / 6th / 207th pick / 2005,BergJo20
5,Brooks Bollinger,29,QB,2,0,205,6-0,Wisconsin,11/15/1979,4,0,New York Jets / 6th / 200th pick / 2003,BollBr00
72,Stephen Bowen,24,DE,14,0,300,6-5,Hofstra,3/28/1984,2,1,,BoweSt20
27,Courtney Brown,24,DB,9,1,205,6-1,Cal Poly-San Luis Obispo,2/10/1984,1,1,Dallas Cowboys / 7th / 212th pick / 2007,BrowCo97
57,Kevin Burnett,26,LOLB,16,2,230,6-3,Tennessee,12/24/1982,3,3,Dallas Cowboys / 2nd / 42nd pick / 2005,BurnKe20
99,Chris Canty,26,DE,16,16,317,6-7,Virginia,11/10/1982,3,7,Dallas Cowboys / 4th / 132nd pick / 2005,CantCh21
54,Bobby Carpenter,25,LB,13,0,249,6-2,Ohio St.,8/1/1983,2,1,Dallas Cowboys / 1st / 18th pick / 2006,CarpBo20
23,Tashard Choice,24,RB,16,3,210,5-9,OklahomaGeorgia Tech,11/20/1984,Rook,4,Dallas Cowboys / 4th / 122nd pick / 2008,ChoiTa00
30,Alonzo Coleman,24,RB,1,0,204,5-10,Hampton,1/27/1984,Rook,0,,ColeAl21
75,Marc Colombo,30,T,16,16,320,6-8,Boston Col.,10/8/1978,6,8,Chicago Bears / 1st / 29th pick / 2002,ColoMa20
84,Patrick Crayton,29,WR,16,7,205,6-0,NW Oklahoma St.,4/7/1979,4,4,Dallas Cowboys / 7th / 216th pick / 2004,CrayPa00
89,Tony Curtis,25,TE,16,6,251,6-5,Portland St.,2/11/1983,2,0,,CurtTo00
29,Keith Davis,30,DB,16,9,205,5-11,Sam Houston St.,12/30/1978,6,4,,DaviKe21
70,Leonard Davis,30,T,16,16,355,6-6,Texas,9/5/1978,7,10,Arizona Cardinals / 1st / 2nd pick / 2001,DaviLe21
98,Greg Ellis,33,DE,16,16,265,6-6,North Carolina,8/14/1975,10,7,Dallas Cowboys / 1st / 8th pick / 1998,ElliGr20
6,Nick Folk,24,K,16,0,222,6-1,Arizona,11/5/1984,1,5,Dallas Cowboys / 6th / 178th pick / 2007,FolkNi20
65,Andre Gurode,30,G,16,16,334,6-4,Colorado,3/6/1978,6,10,Dallas Cowboys / 2nd / 37th pick / 2002,GuroAn20
26,Ken Hamlin,27,DB,16,16,209,6-2,Arkansas,1/20/1981,5,6,Seattle Seahawks / 2nd / 42nd pick / 2003,HamlKe20
97,Jason Hatcher,26,DE,16,0,299,6-6,Grambling St.,7/13/1982,2,1,Dallas Cowboys / 3rd / 92nd pick / 2006,HatcJa20
42,Anthony Henry,32,DB,16,15,207,6-1,South Florida,11/3/1976,7,6,Cleveland Browns / 4th / 97th pick / 2001,HenrAn20
64,Montrae Holland,28,G,7,2,340,6-2,Florida St.,5/21/1980,5,1,New Orleans Saints / 4th / 102nd pick / 2003,HollMo20
17,Sam Hurd,23,WR,3,0,200,6-3,Northern Illinois,4/24/1985,2,0,,HurdSa00
56,Bradie James,27,LB,16,16,240,6-2,LSU,1/17/1981,5,8,Dallas Cowboys / 4th / 103rd pick / 2003,JameBr20
31,Mike Jenkins,23,DB,14,3,200,6-0,South Florida,3/22/1985,Rook,2,Dallas Cowboys / 1st / 25th pick / 2008,JenkMi99
