--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
5,Bryan Anger,34,P,,,202,6-3,California,10/6/1988,10,,Jacksonville Jaguars / 3rd / 70th pick / 2012,AngeBr00
92,Dorance Armstrong Jr.,25,DE,,,255,6-4,Kansas,6/10/1997,4,,Dallas Cowboys / 4th / 116th pick / 2018,ArmsDo00
75,Josh Ball,24,T,,,304,6-8,Butler (KS)Marshall,5/15/1998,Rook,,Dallas Cowboys / 4th / 138th pick / 2021,BallJo00
42,Anthony Barr,30,OLB,,,257,6-5,UCLA,3/18/1992,8,,Minnesota Vikings / 1st / 9th pick / 2014,BarrAn00
93,Tarell Basham,28,DE,,,266,6-4,Ohio,3/18/1994,5,,Indianapolis Colts / 3rd / 80th pick / 2017,BashTa00
41,Markquese Bell,,DB,,,205,,Florida A&M,,Rook,,,BellMa01
63,Tyler Biadasz,25,OL,,,316,6-3,Wisconsin,11/20/1997,2,,Dallas Cowboys / 4th / 146th pick / 2020,BiadTy00
30,DaRon Bland,23,DB,,,200,6-2,Sacramento St.,7/12/1999,Rook,,Dallas Cowboys / 5th / 167th pick / 2022,BlanDa00
98,Quinton Bohanna,23,DT,,,360,6-4,Kentucky,3/16/1999,1,,Dallas Cowboys / 6th / 192nd pick / 2021,BohaQu00
3,Anthony Brown,29,CB,,,196,5-11,Boston Col.Purdue,12/15/1993,6,,Dallas Cowboys / 6th / 189th pick / 2016,BrowAn02
85,Noah Brown,26,WR,,,225,6-2,Ohio St.,1/6/1996,5,,Dallas Cowboys / 7th / 239th pick / 2017,BrowNo00
14,Jabril Cox,24,LB,,,233,6-3,North Dakota St.LSU,4/16/1998,1,,Dallas Cowboys / 4th / 115th pick / 2021,CoxxJa00
7,Trevon Diggs,24,CB,,,195,6-2,Alabama,9/20/1998,2,,Dallas Cowboys / 2nd / 51st pick / 2020,DiggTr00
23,Rico Dowdle,24,RB,,,215,6-0,South Carolina,6/14/1998,2,,,DowdRi01
21,Ezekiel Elliott,27,RB,,,228,6-0,Ohio St.,7/22/1995,6,,Dallas Cowboys / 1st / 4th pick / 2016,ElliEz00
68,Matt Farniok,25,G,,,311,6-5,Nebraska,9/26/1997,1,,Dallas Cowboys / 7th / 238th pick / 2021,FarnMa00
81,Simi Fehoko,25,WR,,,220,6-3,Stanford,11/5/1997,1,,Dallas Cowboys / 5th / 179th pick / 2021,FehoSi00
87,Jake Ferguson,23,TE,,,244,6-5,Louisiana Tech,1/18/1999,Rook,,Dallas Cowboys / 4th / 129th pick / 2022,FergJa00
56,Dante Fowler,28,OLB,,,255,6-3,Florida,8/3/1994,6,,Jacksonville Jaguars / 1st / 3rd pick / 2015,FowlDa00
96,Neville Gallimore,25,DL,,,302,6-2,Oklahoma,1/17/1997,2,,Dallas Cowboys / 3rd / 82nd pick / 2020,GallNe00
13,Michael Gallup,26,WR,,,198,6-1,Colorado St.,3/4/1996,4,,Dallas Cowboys / 3rd / 81st pick / 2018,GallMi00
57,Luke Gifford,27,LB,,,243,6-3,Nebraska,8/28/1995,3,,,GiffLu00
99,Chauncey Golston,24,DE,,,268,6-5,Iowa,2/10/1998,1,,Dallas Cowboys / 3rd / 84th pick / 2021,GolsCh00
50,Devin Harper,24,LB,,,235,6-0,Oklahoma St.,5/13/1998,Rook,,Dallas Cowboys / 6th / 193rd pick / 2022,HarpDe00
89,Peyton Hendershot,,TE,,,254,,Indiana,,Rook,,,HendPe01
72,Trysten Hill,24,DL,,,308,6-3,Central Florida,3/25/1998,3,,Dallas Cowboys / 2nd / 58th pick / 2019,HillTr00
28,Malik Hooker,26,FS,,,212,6-2,Ohio St.,4/2/1996,5,,Indianapolis Colts / 1st / 15th pick / 2017,HookMa00
17,Dennis Houston,,WR,,,198,6-1,Western Illinois,,Rook,,,HousDe01
1,Kelvin Joseph,22,DB,,,192,6-1,LSUKentucky,11/11/2000,1,,Dallas Cowboys / 2nd / 44th pick / 2021,JoseKe02
27,Jayron Kearse,28,SS,,,215,6-4,Clemson,2/11/1994,6,,Minnesota Vikings / 7th / 244th pick / 2016,KearJa00
88,CeeDee Lamb,23,WR,,,189,6-2,Oklahoma,4/8/1999,2,,Dallas Cowboys / 1st / 17th pick / 2020,LambCe00
90,DeMarcus Lawrence,30,DE,,,265,6-3,Butler (KS)Boise St.,4/28/1992,8,,Dallas Cowboys / 2nd / 34th pick / 2014,LawrDe00
2,Jourdan Lewis,27,CB,,,195,5-10,Michigan,8/31/1995,5,,Dallas Cowboys / 3rd / 92nd pick / 2017,LewiJo01
70,Zack Martin,32,G,,,315,6-4,Notre Dame,11/20/1990,8,,Dallas Cowboys / 1st / 16th pick / 2014,MartZa00
66,Connor McGovern,25,OL,,,308,6-5,Penn St.,11/3/1997,2,,Dallas Cowboys / 3rd / 90th pick / 2019,McGoCo01
24,Israel Mukuamu,23,S,,,205,6-4,South Carolina,11/28/1999,1,,Dallas Cowboys / 6th / 227th pick / 2021,MukuIs00
97,Osa Odighizuwa,24,DT,,,280,6-2,UCLA,8/13/1998,1,,Dallas Cowboys / 3rd / 75th pick / 2021,OdigOs00
11,Micah Parsons,23,LB,,,245,6-3,Penn St.,5/26/1999,1,,Dallas Cowboys / 1st / 12th pick / 2021,ParsMi00
20,Tony Pollard,25,RB,,,209,6-0,Memphis,4/30/1997,3,,Dallas Cowboys / 4th / 128th pick / 2019,PollTo00
4,Dak Prescott,29,QB,,,238,6-2,Mississippi St.,7/29/1993,6,,Dallas Cowboys / 4th / 135th pick / 2016,PresDa01
95,John Ridgeway,23,DT,,,320,6-6,Illinois St.Arkansas,5/7/1999,Rook,,Dallas Cowboys / 5th / 178th pick / 2022,RidgJo00
86,Dalton Schultz,26,TE,,,244,6-5,Stanford,7/11/1996,4,,Dallas Cowboys / 4th / 137th pick / 2018,SchuDa00
73,Tyler Smith,21,OL,,,332,6-5,Tulsa,4/3/2001,Rook,,Dallas Cowboys / 1st / 24th pick / 2022,SmitTy02
78,Terence Steele,25,T,,,310,6-6,Texas Tech,6/4/1997,2,,,SteeTe01
18,Jalen Tolbert,23,WR,,,190,6-3,South Alabama,2/27/1999,Rook,,Dallas Cowboys / 3rd / 88th pick / 2022,TolbJa00
9,KaVontae Turpin,26,WR,,,153,5-9,TCU,8/2/1996,Rook,,,TurpKa00
55,Leighton Vander Esch,26,OLB,,,256,6-4,Boise St.,2/8/1996,4,,Dallas Cowboys / 1st / 19th pick / 2018,VandLe00
79,Matt Waletzko,23,OL,,,305,6-7,North Dakota,12/15/1999,Rook,,Dallas Cowboys / 5th / 155th pick / 2022,WaleMa00
54,Sam Williams,23,OLB,,,265,6-4,Northeast Mississippi CCMississippi,3/31/1999,Rook,,,WillSa00
6,Donovan Wilson,27,S,,,204,6-0,Texas A&M,2/21/1995,3,,Dallas Cowboys / 6th / 213th pick / 2019,WilsDo01
25,Nahshon Wright,24,CB,,,185,6-4,LaneyOregon St.,9/23/1998,1,,Dallas Cowboys / 3rd / 99th pick / 2021,WrigNa00
53,Damone Clark (NON),22,LB,,,245,6-3,LSU,6/28/2000,Rook,,Dallas Cowboys / 5th / 176th pick / 2022,ClarDa02
51,Devante Bond (IR),29,OLB,,,236,6-1,Oklahoma,7/3/1993,5,,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,BondDe00
89,Ian Bunting (IR),26,TE,,,248,6-6,California,2/10/1996,1,,,BuntIa00
77,Tyron Smith (IR),32,OT,,,320,6-5,USC,12/12/1990,11,,Dallas Cowboys / 1st / 9th pick / 2011,SmitTy00
83,James Washington (IR),26,WR,,,213,5-11,Oklahoma St.,4/2/1996,4,,Pittsburgh Steelers / 2nd / 60th pick / 2018,WashJa00
